hours,kW
0,427.12419
1,472.551197
2,438.05217
3,495.428152
4,490.088457
5,446.97654
6,511.532611
7,382.059319
8,288.043793
9,349.525298
10,330.374678
11,281.464058
12,316.464145
13,302.124132
14,251.32243
15,292.774471
16,350.641686
17,399.679746
18,433.19737
19,423.193543
20,398.585926
21,436.972667
22,415.96874
23,397.58162
24,488.855786
25,474.726498
26,452.866576
27,488.737492
28,484.417834
29,483.097473
30,3483.068884
31,3865.552065
32,3291.041074
33,2990.615728
34,2804.96186
35,2679.292801
36,2981.539943
37,2390.342555
38,2248.808811
39,2078.240578
40,2148.306486
41,2545.767952
42,1868.269203
43,1763.175512
44,1654.76573
45,1600.571257
46,436.927489
47,435.095214
48,435.095216
49,419.724996
50,438.410601
51,434.000187
52,426.613698
53,479.818575
54,1961.233935
55,2765.400799
56,2048.417884
57,1906.7953
58,1850.667736
59,1863.056168
60,2890.872125
61,1835.235426
62,1772.026978
63,1773.201535
64,1935.223817
65,3192.838427
66,1785.057623
67,1633.091861
68,1620.811113
69,1677.783163
70,447.805652
71,471.765645
72,471.511414
73,450.34189
74,487.954414
75,476.853471
76,455.174895
77,516.79286
78,2350.086282
79,3708.622768
80,2640.79917
81,2454.138462
82,2377.402417
83,2354.706709
84,3746.392866
85,2326.570525
86,2138.428889
87,2168.968837
88,2280.198669
89,3623.927422
90,2069.209852
91,1891.339733
92,1818.187613
93,1813.320835
94,457.442636
95,488.489795
96,487.838491
97,459.853063
98,502.551855
99,493.652772
100,467.473259
101,539.109516
102,2514.21989
103,4435.962393
104,2977.438768
105,2750.333225
106,2481.994019
107,2374.84952
108,4066.158061
109,2411.026699
110,2245.185317
111,2287.518966
112,2583.308173
113,4604.086361
114,2547.812471
115,2496.215297
116,2576.142876
117,2680.956978
118,489.125578
119,547.819093
120,553.598562
121,507.264126
122,576.587684
123,569.664472
124,518.827139
125,615.216916
126,3813.398892
127,6736.15866
128,3987.71624
129,3590.941207
130,3372.280192
131,3200.615745
132,5174.470749
133,2880.282581
134,2746.363736
135,2730.198618
136,2968.963298
137,5131.239751
138,2810.485991
139,2609.864529
140,2539.345882
141,2571.913117
142,484.148144
143,538.276481
144,486.889638
145,443.916056
146,506.349792
147,495.980252
148,450.949535
149,515.436443
150,3278.275095
151,3367.870502
152,3039.059795
153,2709.604848
154,2470.644908
155,2281.640188
156,2092.105127
157,1928.444204
158,1693.923672
159,1704.867003
160,1969.630664
161,2190.218879
162,402.785022
163,460.580552
164,459.368661
165,421.026732
166,466.847331
167,455.418466
168,421.095804
169,471.153219
170,464.6704
171,419.795189
172,475.699131
173,468.947667
174,428.041709
175,366.75721
176,319.274694
177,281.695594
178,328.746023
179,314.410673
180,265.144536
181,313.076379
182,292.123342
183,266.4809
184,387.495722
185,460.038569
186,418.223293
187,474.620659
188,467.220634
189,427.342524
190,473.847158
191,470.809262
192,483.232888
193,538.067041
194,530.996244
195,483.646462
196,549.901082
197,562.567344
198,4084.749003
199,5891.509957
200,3953.502471
201,3504.907488
202,3294.905999
203,3208.613179
204,4567.819018
205,2813.217826
206,2780.52197
207,2720.106783
208,2863.82235
209,4693.085142
210,2780.844084
211,2586.009536
212,2518.133661
213,2494.456821
214,474.208221
215,518.088008
216,521.851517
217,484.315035
218,543.042664
219,537.13077
220,498.012986
221,581.701229
222,3522.874471
223,5856.622583
224,3704.76786
225,3354.495525
226,3101.128786
227,2915.312442
228,4385.95498
229,2711.03539
230,2659.75326
231,2588.57882
232,2684.204025
233,4324.695038
234,2436.197291
235,2247.025415
236,2171.995451
237,2166.1916
238,466.1784
239,502.707112
240,502.471542
241,469.730725
242,517.535386
243,508.835037
244,477.149341
245,550.240307
246,2872.452037
247,4732.881235
248,3124.962148
249,2775.20216
250,2541.352134
251,2379.533125
252,3232.831407
253,2106.956017
254,2007.17703
255,1988.071125
256,2149.87084
257,3410.118341
258,1988.587165
259,1825.977797
260,1805.463187
261,1778.308696
262,451.929383
263,479.96371
264,476.471295
265,452.173836
266,492.462065
267,481.370463
268,457.359904
269,516.994359
270,2386.898607
271,3638.584713
272,2622.808047
273,2411.63338
274,2308.210035
275,2263.178413
276,3628.274427
277,2211.713587
278,1977.159336
279,1896.844074
280,2158.356155
281,3716.0544
282,1982.564681
283,1852.295073
284,1784.496756
285,1824.764335
286,460.093335
287,493.909482
288,491.672541
289,459.766651
290,502.730222
291,492.570063
292,467.375691
293,536.866242
294,2453.080163
295,4335.118028
296,2590.706186
297,2236.262411
298,2079.136415
299,1993.93145
300,3341.710528
301,2039.418578
302,1944.457267
303,1910.877464
304,2084.263987
305,3589.340557
306,1880.324193
307,1744.208965
308,1680.251338
309,1693.107687
310,457.772594
311,489.454739
312,438.432824
313,411.369045
314,460.544426
315,449.97913
316,418.468211
317,465.373658
318,2256.869144
319,2240.713649
320,1995.978004
321,1799.852159
322,1588.977017
323,1413.238678
324,1338.226126
325,1299.70814
326,1226.969303
327,1291.277367
328,1406.680572
329,1591.387141
330,382.389629
331,428.235334
332,433.366528
333,408.877146
334,456.446005
335,452.517426
336,424.609579
337,481.28174
338,477.203745
339,429.698879
340,494.29539
341,489.353234
342,442.447884
343,389.056536
344,339.998898
345,291.769043
346,340.42659
347,322.156788
348,269.084102
349,322.897429
350,301.390051
351,269.657015
352,356.319543
353,463.577626
354,420.355673
355,477.098237
356,470.257428
357,429.491919
358,480.10993
359,477.475214
360,433.135888
361,490.786235
362,478.145603
363,440.299676
364,497.983306
365,487.593091
366,435.983724
367,391.767766
368,342.207614
369,293.077405
370,340.898218
371,324.279915
372,279.176288
373,328.328039
374,313.900583
375,276.937429
376,366.86959
377,464.347925
378,433.740556
379,493.565012
380,471.078656
381,433.504625
382,492.889693
383,479.135503
384,490.256563
385,544.424328
386,537.319851
387,494.364632
388,557.467226
389,564.596794
390,4386.930815
391,5608.620948
392,4322.213036
393,3974.850432
394,3781.505083
