hours,kW
0,324.766363
1,324.766363
2,324.766363
3,324.766363
4,324.766363
5,324.766363
6,324.766363
7,3231.862164
8,6007.205616
9,134020.569622
10,67005.746821
11,54325.375568
12,47991.184694
13,41866.384443
14,38734.433168
15,39336.087054
16,39644.293971
17,3231.862164
18,324.766363
19,324.766363
20,1151.610818
21,324.766363
22,1169.819344
23,1169.88503
24,324.766363
25,324.766363
26,324.766363
27,324.766363
28,3231.862164
29,6007.205616
30,84472.541928
31,51477.544374
32,44409.246366
33,42393.412071
34,40163.445184
35,40321.520721
36,42680.590447
37,43710.256449
38,43006.368747
39,40262.785069
40,38208.081263
41,39672.476941
42,42353.941822
43,44392.905835
44,46745.636548
45,48762.773937
46,4076.992703
47,1169.845893
48,324.766363
49,324.766363
50,324.766363
51,324.766363
52,3231.862164
53,6007.205616
54,77459.515852
55,49898.048491
56,44077.868781
57,43389.91226
58,42082.881236
59,42283.801081
60,41036.885367
61,39903.958009
62,39865.033505
63,39575.563412
64,41363.165958
65,44775.398156
66,44652.545497
67,45016.84047
68,47180.638231
69,49139.709523
70,4076.958493
71,1169.717976
72,324.766363
73,324.766363
74,324.766363
75,324.766363
76,3231.862164
77,6007.205616
78,125417.597037
79,68743.153693
80,58398.19881
81,55433.440934
82,51912.214297
83,51611.976958
84,50568.773695
85,49047.824815
86,46810.625008
87,46467.733733
88,47730.730439
89,50419.677628
90,52221.489039
91,53435.879696
92,55023.955971
93,56034.402686
94,4076.915706
95,1169.876984
96,324.766363
97,324.766363
98,324.766363
99,324.766363
100,3231.862164
101,6007.205616
102,156146.291462
103,83835.50881
104,71051.166485
105,66759.325469
106,60720.708067
107,56569.007526
108,56101.423139
109,55614.269555
110,53759.727994
111,54807.988505
112,60798.29264
113,66612.377685
114,70381.639225
115,76231.416342
116,83219.062247
117,88242.137289
118,4076.986186
119,324.766363
120,324.766363
121,1134.251829
122,324.766363
123,324.766363
124,3231.862164
125,6007.205616
126,251936.232618
127,137562.43785
128,107051.260359
129,92765.623834
130,85988.40317
131,77799.555272
132,73511.958819
133,68199.539501
134,65462.767574
135,64314.274658
136,68970.685475
137,74902.376329
138,75726.461458
139,76617.884898
140,78346.706734
141,80640.225959
142,3537.326587
143,864.210624
144,324.766363
145,324.766363
146,324.766363
147,324.766363
148,1134.251988
149,324.766363
150,4818.662739
151,7885.464263
152,7607.811607
153,206401.48538
154,100264.481217
155,77418.95971
156,67083.273013
157,55744.014942
158,52816.927436
159,53079.855444
160,60949.409345
161,7726.534708
162,5372.294595
163,737.426702
164,324.766363
165,324.766363
166,1169.83316
167,1169.888393
