hours,kW
0,1859.571312
1,2109.164976
2,1935.382503
3,2312.83603
4,2237.012004
5,2005.169124
6,2429.537481
7,1841.977928
8,1386.177734
9,1766.070056
10,1619.396584
11,1307.167653
12,1532.102644
13,1361.460859
14,1083.046221
15,1312.969937
16,1521.835674
17,1696.252434
18,1907.965532
19,1826.361078
20,1693.59834
21,1919.119412
22,1794.053716
23,1686.848459
24,2120.950495
25,2025.328868
26,1907.748137
27,2129.598413
28,2080.645059
29,2048.623578
30,16795.576142
31,17801.624471
32,15093.122262
33,13726.797451
34,12898.057917
35,12261.667447
36,14900.052691
37,13091.577811
38,12455.721314
39,11658.755699
40,11089.67699
41,12303.635586
42,10327.709519
43,10425.293131
44,9908.777633
45,10378.085159
46,2069.876137
47,1991.221366
48,1922.609558
49,1684.345719
50,1774.649156
51,1755.918664
52,1724.865445
53,1963.610852
54,9573.45072
55,12457.137113
56,9451.865952
57,8869.46265
58,8859.045283
59,8722.645925
60,12857.112355
61,8536.208307
62,8267.320406
63,8222.255809
64,9416.69277
65,15139.429277
66,9360.344864
67,8654.30033
68,8772.42789
69,9219.500932
70,2027.968338
71,2175.763837
72,2222.88555
73,1993.208609
74,2202.33673
75,2212.912893
76,1993.109793
77,2295.99552
78,13685.908069
79,17970.945726
80,13391.735053
81,12386.168337
82,12168.853137
83,12252.363791
84,17959.597658
85,12281.154372
86,10842.165221
87,10886.489516
88,11558.775639
89,17200.860522
90,10480.410219
91,9458.284444
92,9273.129127
93,9251.101649
94,1872.873439
95,2038.821455
96,2034.148717
97,1895.708751
98,2106.220659
99,2068.38475
100,1934.218328
101,2273.2672
102,13981.596434
103,20883.181894
104,14616.020464
105,13522.168128
106,11776.034724
107,10767.273991
108,17415.21721
109,11056.596345
110,10393.172485
111,10365.440186
112,11870.463581
113,20493.070547
114,12674.779077
115,12674.778278
116,13196.4239
117,13795.826527
118,2034.913206
119,2371.282093
120,2389.126176
121,2160.014949
122,2561.874762
123,2515.578627
124,2269.577334
125,2839.457827
126,21363.916843
127,32026.17967
128,19822.810876
129,17529.833252
130,16185.685236
131,15228.226247
132,23020.93754
133,13593.170064
134,12967.348191
135,12858.74197
136,14098.122512
137,23220.344688
138,14285.098573
139,13474.411558
140,13309.04855
141,13413.996128
142,2006.283774
143,2314.032063
144,2100.254324
145,1890.20345
146,2230.533674
147,2171.304377
148,1953.026983
149,2348.46921
150,18509.431148
151,17997.816428
152,15581.958596
153,13586.165076
154,12130.221096
155,10929.584063
156,9946.230831
157,9072.356344
158,8035.418309
159,8169.419995
160,9557.560656
161,11003.982491
162,1661.864207
163,1953.744135
164,1947.029389
165,1760.934151
166,1996.031778
167,1936.512696
168,1766.832363
169,2028.310942
170,1983.751159
171,1771.246742
172,2071.802829
173,2023.361166
174,1828.913559
175,1688.943854
176,1441.544968
177,1256.365263
178,1510.638757
179,1360.345911
180,1193.679289
181,1417.724087
182,1366.504736
183,1181.972209
184,1660.996077
185,1956.7724
186,1781.996466
187,2115.361409
188,2040.177578
189,1850.413
190,2155.756835
191,2083.404634
192,2093.600189
193,2451.525869
194,2362.561172
195,2127.412025
196,2561.986781
197,2532.531562
198,21422.44488
199,27614.33336
200,19130.685914
201,16573.4885
202,15348.913073
203,15009.71352
204,20212.240089
205,12860.703289
206,12805.520523
207,12609.999299
208,13368.390694
209,21061.244258
210,13606.406929
211,12895.099046
212,12656.757536
213,12580.625282
214,1954.453205
215,2209.878198
216,2215.766158
217,2032.626601
218,2351.881694
219,2319.907966
220,2135.618311
221,2604.212424
222,18950.619355
223,27132.107714
224,18297.533541
225,16548.813578
226,15134.265704
227,14102.40405
228,19756.348808
229,12836.07516
230,12673.88406
231,12398.511718
232,12783.43832
233,19408.927106
234,12023.216104
235,11227.755468
236,10937.53538
237,10906.880084
238,1910.511067
239,2103.582054
240,2103.885648
241,1945.297551
242,2189.57376
243,2149.466806
244,1991.785196
245,2349.39096
246,15686.86159
247,22273.342809
248,15472.769379
249,13935.553981
250,12858.446852
251,11953.733272
252,14643.833094
253,9890.094351
254,9467.817619
255,9385.606733
256,10230.473996
257,16159.975949
258,10361.764894
259,9624.096343
260,9571.625617
261,9503.329576
262,2032.008645
263,2180.410171
264,2221.510104
265,1990.887347
266,2207.525283
267,2214.330058
268,1995.681843
269,2286.864577
270,13711.692329
271,17616.72232
272,13151.481116
273,12015.490204
274,11442.182895
275,11162.429354
276,16814.465035
277,10913.532531
278,9519.732384
279,8990.983863
280,10268.39685
281,17213.696214
282,9562.865069
283,9174.81775
284,9045.360716
285,9247.718782
286,1881.731179
287,2062.7771
288,2162.092987
289,1894.511257
290,2105.358282
291,2060.98664
292,1932.353609
293,2252.92539
294,13641.86302
295,20309.989175
296,12230.819092
297,10625.300664
298,9720.156662
299,9286.536692
300,15009.886092
301,9982.224732
302,9563.083667
303,9258.303825
304,10084.575815
305,16690.433683
306,8978.568502
307,8498.852013
308,8339.347343
309,8415.605298
310,1866.301611
311,2036.974174
312,1836.387753
313,1705.126992
314,1947.345477
315,1902.271387
316,1743.084345
317,1974.995154
318,12938.035893
319,12054.956551
320,10145.204538
321,9244.152532
322,8231.575616
323,6734.368248
324,6394.501091
325,6249.852173
326,6239.755792
327,7004.800303
328,7699.383929
329,8566.136714
330,1755.156374
331,1946.12571
332,1816.286586
333,1696.037864
334,1931.66059
335,1917.999297
336,1782.881292
337,2080.78226
338,2054.320269
339,1825.880624
340,2192.57898
341,2147.309811
342,1922.331248
343,1839.779274
344,1539.087668
345,1270.280678
346,1488.903738
347,1371.374033
348,1130.727292
349,1375.787956
350,1266.370535
351,1124.824736
352,1538.170883
353,1965.92613
354,1785.669938
355,2118.783166
356,2048.475291
357,1858.461757
358,2195.996497
359,2125.037128
360,1903.28767
361,2283.181842
362,2163.685661
363,1968.277357
364,2363.727972
365,2237.018576
366,1972.522739
367,1980.471876
368,1678.776139
369,1404.335147
370,1748.926084
371,1565.177507
372,1288.64702
373,1560.670112
374,1471.606741
375,1270.432174
376,1757.947546
377,2133.176347
378,1944.771575
379,2356.909201
380,2198.167561
381,1967.983003
382,2374.048431
383,2232.193854
384,2197.90182
385,2581.421735
386,2454.670879
387,2204.051963
388,2616.238597
389,2555.980342
390,22741.903534
391,26802.720223
392,20882.790615
393,19304.279423
394,18844.80789
395,17925.366553
396,21539.567159
397,15154.31529
398,14194.759815
399,13671.925423
400,13708.201182
401,19009.9548
402,12916.55628
403,12059.143832
404,11785.218107
405,11593.365415
406,2011.441506
407,2139.304753
408,2047.804047
409,1898.633024
410,2155.387396
411,2114.438933
412,1955.593931
413,2348.148446
414,17271.009841
415,23404.616747
416,16248.037151
417,15096.507758
418,13745.042088
419,12836.766395
420,19513.569655
421,12582.150921
422,12004.332816
423,12464.567827
424,13469.569664
425,22406.624011
426,13946.030533
427,13345.271906
428,13498.837855
429,13641.318502
430,2025.653431
431,2308.050866
432,2316.292539
433,2085.73151
434,2480.149764
435,2440.310439
436,2202.391603
437,2707.212557
438,20185.300123
439,30233.690468
440,19742.896835
441,17114.453326
442,15679.030568
443,14505.901991
444,21633.31513
445,12477.830213
446,11645.319227
447,11500.999652
448,12469.916983
449,21979.169767
450,13846.80334
451,13172.103792
452,13151.691696
453,13390.549774
454,2038.828114
455,2325.671015
456,2298.082699
457,2100.397321
458,2438.565011
459,2383.692664
460,2121.417288
461,2555.897503
462,18145.850667
463,26042.517977
464,16773.014147
465,14349.673479
466,13034.670309
467,12334.929147
468,19123.628465
469,10636.348452
470,9832.534192
471,10686.255609
472,11549.511491
473,19310.23958
474,11711.610971
475,11091.201635
476,11171.467971
477,11379.157163
478,1976.234352
479,2200.859913
480,1963.496772
481,1796.402124
482,2067.657637
483,2032.882738
484,1818.032352
485,2098.42784
486,15144.197689
487,14414.73083
488,13528.957933
489,12634.099729
490,11291.260338
491,9961.228054
492,8925.441017
493,8075.961541
494,6972.237885
495,7037.077995
496,7851.062395
497,9059.206263
498,1742.078103
499,1957.2378
500,2003.284342
501,1775.46998
502,1982.110083
503,2000.881396
504,1768.017093
505,1952.18429
506,1897.989431
507,1776.190054
508,2125.588267
509,2145.254407
510,1938.695971
511,1984.783787
512,1729.571724
513,1413.269522
514,1819.259081
515,1667.841729
516,1396.233324
517,1762.42441
518,1644.018247
519,1404.70299
520,1999.357456
521,2416.358881
522,2139.343086
523,2660.362251
524,2550.535586
525,2232.641028
526,2777.337229
527,2720.283847
528,2513.432423
529,3067.764857
530,2954.478973
531,2514.75836
532,3057.433151
533,3066.960083
534,26285.041082
535,34561.394426
536,26024.706649
537,23881.953991
538,21239.150243
539,19618.081353
540,24455.509607
541,16915.834658
542,15879.15641
543,15316.908156
544,15206.281473
545,20583.045946
546,13945.334549
547,12724.33348
548,12187.395684
549,12033.765439
550,1997.410431
551,2079.746608
552,2120.988349
553,1921.398971
554,2211.824878
555,2233.363933
556,2074.804073
557,2542.971853
558,18644.999486
559,26065.682045
560,18216.433202
561,16775.04413
562,15398.305474
563,14110.785024
564,19786.921901
565,11798.910732
566,11131.668682
567,10845.899001
568,11500.297096
569,20015.426558
570,12546.289333
571,11912.708724
572,11942.874733
573,12189.844461
574,1977.001738
575,2207.075998
576,2187.341653
577,2025.528959
578,2328.798891
579,2298.357737
580,2088.489936
581,2536.115834
582,18465.367734
583,26031.631857
584,18388.703324
585,17373.837745
586,16574.918448
587,16056.808855
588,22909.017447
589,15062.980326
590,14881.348213
591,14759.616331
592,15072.785645
593,23193.893545
594,14512.52694
595,13565.744139
596,13312.77038
597,13204.337041
598,1998.145549
599,2226.309488
600,2236.026069
601,2044.456127
602,2338.539887
603,2281.009736
604,2057.036734
605,2498.542091
606,17704.578489
607,24891.159459
608,17469.924629
609,16185.289804
610,15133.924335
611,13412.040053
612,19835.520711
613,12582.708476
614,11389.366799
615,10632.311578
616,10900.783106
617,18810.702075
618,11731.509505
619,11105.892958
620,10959.475497
621,10991.065819
622,1949.202669
623,2118.687163
624,2157.557414
625,1985.502383
626,2249.419404
627,2219.252872
628,1999.880317
629,2399.487245
630,16289.010827
631,23532.56843
632,16420.778052
633,14103.725561
634,13007.826051
635,13581.486356
636,20819.942453
637,12561.219541
638,13391.920176
639,13430.811722
640,13911.938767
641,24242.022975
642,14940.753805
643,14081.55992
644,14133.161855
645,14333.758365
646,2059.081691
647,2364.951015
648,2188.587514
649,1969.342558
650,2403.77171
651,2360.548745
652,2075.618003
653,2608.330377
654,21031.763677
655,21062.866281
656,18976.974746
657,18123.901682
658,15855.390687
659,14178.023273
660,13155.377937
661,12483.482117
662,11734.992885
663,11503.869024
664,11741.508163
665,13205.017519
666,1718.882859
667,2112.10853
668,2132.275941
669,1924.926196
670,2340.375836
671,2301.415946
672,2038.079646
673,2523.252389
674,2429.340355
675,2131.977508
676,2615.058386
677,2520.574335
678,2190.999328
679,2129.016187
680,1980.927686
681,1582.814452
682,2141.967799
683,2003.112997
684,1613.799164
685,2134.08021
686,2057.681185
687,1653.523521
688,2236.664422
689,2788.647385
690,2381.652151
691,2999.519104
692,2991.574589
693,2473.841926
694,3091.725783
695,3028.712865
696,2748.55574
697,3455.438526
698,3435.681753
