hours,kW
0,1517.948046
1,1517.948097
2,1449.283442
3,1517.948087
4,1517.948094
5,1449.28998
6,1517.948112
7,1079.012989
8,864.036607
9,932.701291
10,932.701297
11,864.040975
12,932.705582
13,932.71213
14,864.040912
15,932.701284
16,1225.324703
17,1449.283436
18,1517.948086
19,1517.948101
20,1449.283441
21,1517.954654
22,1517.94809
23,1449.283422
24,1729.957177
25,1729.957153
26,1661.292474
27,1729.957129
28,1729.957134
29,1751.977037
30,2049.922346
31,2417.570572
32,4850.626875
33,4520.920229
34,4444.834507
35,4520.940074
36,4499.173978
37,4584.360638
38,4444.823683
39,4444.8216
40,4851.600058
41,4772.366504
42,3351.56569
43,3250.102575
44,2675.388017
45,2624.643446
46,1751.97048
47,1729.957138
48,1729.957148
49,1661.292483
50,1729.957138
51,1729.957128
52,1661.292469
53,1820.641704
54,2049.922345
55,2417.570578
56,4854.979272
57,4520.92023
58,4444.834507
59,4520.940061
60,4510.396974
61,4602.149848
62,4453.228186
63,4457.021554
64,4879.494632
65,4814.906176
66,3351.565687
67,3250.102574
68,2675.388023
69,2624.643447
70,1751.97048
71,1729.957139
72,1729.957149
73,1661.292483
74,1729.957137
75,1729.957128
76,1661.292471
77,1820.641704
78,2049.922345
79,2417.570581
80,4868.955277
81,4521.175036
82,4444.834506
83,4530.459636
84,4520.22856
85,4610.13735
86,4460.048522
87,4463.274322
88,4884.608649
89,4819.118059
90,3351.565685
91,3250.102573
92,2675.388025
93,2624.643448
94,1751.970479
95,1729.95714
96,1729.957149
97,1661.292483
98,1729.957137
99,1729.957128
100,1661.292471
101,1820.641704
102,2049.922345
103,2417.570582
104,4920.140685
105,4550.144452
106,4471.711316
107,4580.54069
108,4616.727471
109,4711.872368
110,4536.465626
111,4541.051429
112,4979.111766
113,4899.878223
114,3368.923252
115,3250.102573
116,2675.388025
117,2624.643448
118,1751.970479
119,1729.95714
120,1729.957149
121,1661.292483
122,1729.957136
123,1729.957127
124,1661.292472
125,1820.641704
126,2049.922345
127,2417.570582
128,4866.435527
129,4520.920229
130,4444.834505
131,4535.585194
132,4569.178304
133,4660.912397
134,4484.902579
135,4492.817733
136,4930.629105
137,4894.013199
138,3354.797896
139,3250.102573
140,2675.388025
141,2624.643448
142,1751.970479
143,1729.95714
144,1517.950256
145,1449.285589
146,1517.950242
147,1517.950233
148,1449.285578
149,1517.956796
150,2049.922346
151,1813.896527
152,2579.661875
153,2668.44387
154,2630.395404
155,2719.173181
156,2668.441403
157,2566.989027
158,1550.817503
159,1500.08815
160,1805.394971
161,1823.325126
162,1449.289876
163,1517.954545
164,1517.954547
165,1449.294231
166,1517.950253
167,1517.950239
168,1449.283424
169,1517.948106
170,1517.948108
171,1449.283419
172,1517.948096
173,1517.954649
174,1449.283444
175,1079.012988
176,932.701275
177,864.036625
178,932.701297
179,932.70564
180,864.040912
181,932.712136
182,932.705577
