hours,kW
0,111.497389
1,111.497389
2,111.497389
3,111.497389
4,111.497389
5,111.497389
6,111.497389
7,1114.973887
8,2072.971876
9,2629.006004
10,2595.472069
11,2592.227014
12,2590.884082
13,2589.459401
14,2588.738847
15,2588.937498
16,2589.031516
17,1114.973887
18,111.497389
19,111.497389
20,111.497389
21,111.497389
22,111.497389
23,111.497389
24,111.497389
25,111.497389
26,111.497389
27,111.497389
28,1114.973887
29,2072.971876
30,2608.742236
31,2592.462688
32,2590.483437
33,2589.617738
34,2589.180733
35,2588.664986
36,2608.965736
37,2628.461797
38,2628.23916
39,2627.461504
40,2612.264084
41,2602.8868
42,2621.150114
43,2629.769188
44,2630.965559
45,2645.856911
46,1114.973887
47,111.497389
48,111.497389
49,111.497389
50,111.497389
51,111.497389
52,1114.973887
53,2072.971876
54,2605.792663
55,2591.181428
56,2589.797324
57,2589.339887
58,2589.1303
59,2588.625049
60,2588.499444
61,2588.419038
62,2588.406285
63,2588.269983
64,2588.624768
65,2589.13846
66,2589.214224
67,2589.282461
68,2589.830744
69,2590.053824
70,1114.973887
71,111.497389
72,111.497389
73,111.497389
74,111.497389
75,111.497389
76,1114.973887
77,2072.971876
78,2621.276057
79,2594.920582
80,2592.335112
81,2591.341732
82,2590.733105
83,2590.241097
84,2590.13593
85,2589.944163
86,2589.382596
87,2589.295577
88,2589.606786
89,2590.066536
90,2590.585094
91,2590.703462
92,2591.024961
93,2591.057131
94,1114.973887
95,111.497389
96,111.497389
97,111.497389
98,111.497389
99,111.497389
100,1114.973887
101,2072.971876
102,2629.895888
103,2597.206411
104,2594.167996
105,2592.912803
106,2591.641406
107,2590.496312
108,2590.181266
109,2590.460572
110,2590.044077
111,2590.095496
112,2591.13494
113,2592.133096
114,2593.090352
115,2594.275418
116,2595.695555
117,2596.531939
118,1114.973887
119,111.497389
120,111.497389
121,111.497389
122,111.497389
123,111.497389
124,1114.973887
125,2072.971876
126,2657.266802
127,2608.691993
128,2600.827255
129,2597.720733
130,2596.102395
131,2594.375617
132,2593.31763
133,2592.586305
134,2592.017664
135,2591.773664
136,2592.761421
137,2593.850421
138,2594.217005
139,2594.41519
140,2594.795678
141,2595.094274
142,1114.973887
143,111.497389
144,111.497389
145,111.497389
146,111.497389
147,111.497389
148,111.497389
149,111.497389
150,111.497389
151,1114.973887
152,2072.971876
153,2642.737221
154,2600.782278
155,2594.294101
156,2591.963718
157,2590.828425
158,2590.061946
159,2590.16112
160,2591.830396
161,1114.973887
162,111.497389
163,111.497389
164,111.497389
165,111.497389
166,111.497389
167,111.497389
168,111.497389
169,111.497389
170,111.497389
171,111.497389
172,111.497389
173,111.497389
174,111.497389
175,1114.973887
176,2072.971876
177,2637.512861
178,2599.875463
179,2594.415753
180,2591.967801
181,2590.936269
182,2590.581055
183,2590.630734
184,2591.256067
185,1114.973887
186,111.497389
187,111.497389
188,111.497389
189,111.497389
190,111.497389
191,111.497389
192,111.497389
193,111.497389
194,111.497389
195,111.497389
196,1114.973887
197,2072.971876
198,2636.902892
199,2600.606938
