hours,kW
0,0.348273
1,0.348273
2,0.348273
3,0.348273
4,0.348273
5,0.348273
6,0.348273
7,3.465787
8,6.442013
9,143.721101
10,71.855684
11,58.257496
12,51.46483
13,44.896712
14,41.538067
15,42.183269
16,42.513784
17,3.465787
18,0.348273
19,0.348273
20,1.234965
21,0.348273
22,1.254492
23,1.254562
24,0.348273
25,0.348273
26,0.348273
27,0.348273
28,3.465787
29,6.442013
30,90.586742
31,55.203536
32,47.623628
33,45.461886
34,43.070512
35,43.240029
36,45.769851
37,46.874045
38,46.119209
39,43.177042
40,40.973617
41,42.544007
42,45.419559
43,47.606105
44,50.129128
45,52.292268
46,4.372089
47,1.25452
48,0.348273
49,0.348273
50,0.348273
51,0.348273
52,3.465787
53,6.442013
54,83.066106
55,53.509715
56,47.268265
57,46.530514
58,45.128879
59,45.344341
60,44.007173
61,42.792243
62,42.750501
63,42.440079
64,44.35707
65,48.016282
66,47.884538
67,48.275201
68,50.595616
69,52.696487
70,4.372052
71,1.254383
72,0.348273
73,0.348273
74,0.348273
75,0.348273
76,3.465787
77,6.442013
78,134.495437
79,73.718846
80,62.625114
81,59.445764
82,55.669668
83,55.347699
84,54.228988
85,52.597951
86,50.198821
87,49.831111
88,51.185524
89,54.0691
90,56.001328
91,57.303617
92,59.00664
93,60.090224
94,4.372007
95,1.254554
96,0.348273
97,0.348273
98,0.348273
99,0.348273
100,3.465787
101,6.442013
102,167.448303
103,89.9036
104,76.193915
105,71.591426
106,65.115728
107,60.663524
108,60.162095
109,59.639681
110,57.650906
111,58.775041
112,65.198929
113,71.433842
114,75.475927
115,81.749116
116,89.242534
117,94.629184
118,4.372082
119,0.348273
120,0.348273
121,1.21635
122,0.348273
123,0.348273
124,3.465787
125,6.442013
126,270.171607
127,147.519333
128,114.799728
129,99.480084
130,92.212322
131,83.430758
132,78.832822
133,73.135884
134,70.201023
135,68.969401
136,73.962847
137,80.323879
138,81.207612
139,82.163557
140,84.017513
141,86.477039
142,3.793362
143,0.926763
144,0.348273
145,0.348273
146,0.348273
147,0.348273
148,1.21635
149,0.348273
150,5.167442
151,8.456221
152,8.158472
153,221.341014
154,107.521716
155,83.022615
156,71.938822
157,59.778818
158,56.639865
159,56.921824
160,65.360983
161,8.285788
162,5.761146
163,0.790802
164,0.348273
165,0.348273
166,1.254507
167,1.254566
168,0.348273
169,0.348273
170,0.348273
171,0.348273
172,0.348273
173,0.348273
174,6.361447
175,8.304081
176,7.36249
177,190.78548
178,96.963488
179,78.482784
180,67.198647
181,57.910303
182,56.596384
183,57.142026
184,60.324239
185,8.28491
186,5.249042
187,1.160374
188,0.348273
189,0.348273
190,1.254507
191,1.254566
192,0.348273
193,0.348273
194,0.348273
195,0.348273
196,3.465787
197,6.442013
198,192.065753
199,103.710557
200,82.077401
201,72.043162
202,68.308851
203,64.934152
204,61.487443
205,59.625717
206,59.910048
207,59.780398
208,63.090971
209,68.799636
210,72.911226
211,74.647653
212,77.476785
213,76.764549
214,4.372083
215,1.254499
216,0.348273
217,0.348273
218,0.348273
219,0.348273
220,3.465787
221,6.442013
222,228.918934
223,123.443234
224,98.79657
225,86.35213
226,78.459242
227,70.660587
228,66.569065
229,65.048991
230,64.947813
231,63.70858
232,64.652004
233,67.001601
234,67.257428
235,67.281849
236,69.641475
237,68.724704
238,4.372069
239,1.254531
240,0.348273
241,0.348273
242,0.348273
243,0.348273
244,3.465787
245,6.442013
246,185.625406
247,99.258303
248,81.176413
249,68.973645
250,61.331627
251,57.620382
252,52.610366
253,50.354889
254,49.235078
255,48.530942
256,50.897054
257,54.599007
258,54.234886
259,54.484691
260,58.68492
261,56.819564
262,4.372059
263,1.2544
264,0.348273
265,0.348273
266,0.348273
267,0.348273
268,3.465787
269,6.442013
270,143.318703
271,77.81489
272,65.440212
273,61.190688
274,57.459017
275,55.843166
276,54.845861
277,52.964359
278,48.691436
279,44.865578
280,49.521327
281,55.907396
282,58.136438
283,59.949167
284,63.081298
285,63.787612
286,4.37202
287,1.254567
288,0.348273
289,0.348273
290,0.348273
291,0.348273
292,3.465787
293,6.442013
294,172.908036
295,93.222019
296,70.320992
297,59.27075
298,52.600913
299,49.386591
300,48.385792
301,47.946421
302,47.675813
303,46.722306
304,48.990066
305,54.932467
306,57.334062
307,58.837179
308,61.035758
309,62.451056
310,4.372098
311,1.254524
312,0.348273
313,0.348273
314,0.348273
315,0.348273
316,0.348273
317,0.348273
318,5.169343
319,9.167815
320,7.615456
321,155.883347
322,74.144354
323,59.636758
324,54.391847
325,46.305632
326,48.090994
327,51.012803
328,55.450575
329,8.286125
330,5.871448
331,0.711359
332,0.348273
333,0.348273
334,1.254507
335,1.254566
336,0.348273
337,0.348273
338,0.348273
339,0.348273
340,0.348273
341,0.348273
342,6.361575
343,8.303953
344,7.36249
345,209.116525
346,103.570184
347,82.451495
348,71.858092
349,63.266056
350,58.894324
351,61.280016
352,63.609131
353,8.28491
354,5.249055
355,1.160365
356,0.348273
357,0.348273
358,1.254507
359,1.254566
360,0.348273
361,0.348273
362,0.348273
363,0.348273
364,0.348273
365,0.348273
366,0.348273
367,3.465787
368,7.328704
369,191.621625
370,97.698554
371,72.985965
372,63.167993
373,58.451535
374,56.150545
375,56.506337
376,59.190683
377,3.465787
378,0.348273
379,0.348273
380,0.849803
381,0.733357
382,1.254528
383,1.254589
384,0.348273
385,0.348273
386,0.348273
387,0.348273
388,3.465787
389,6.442013
390,172.745977
391,95.205498
392,76.732873
393,70.86638
394,67.143374
395,63.952483
396,59.304407
397,56.743045
398,55.651673
399,54.260654
400,55.363841
401,58.426448
402,58.736104
403,59.351115
404,61.106913
405,62.000366
406,4.37185
407,1.254545
408,0.348273
409,0.348273
410,0.348273
411,0.348273
412,3.465787
413,6.442013
414,176.641992
415,98.480717
416,81.990505
417,77.526559
418,72.897864
419,68.788407
420,66.972103
421,67.040311
422,66.310337
423,69.434513
424,73.671473
425,80.329751
426,82.276678
427,84.843123
428,89.369671
429,91.702786
430,4.372074
431,0.348273
432,1.21635
433,0.348273
434,0.348273
435,0.348273
436,3.465787
437,6.442013
438,251.680098
439,141.116095
440,113.11965
441,98.603364
442,91.697347
443,82.429777
444,77.323469
445,71.163794
446,67.652875
447,66.040744
448,70.347604
449,79.191958
450,83.488669
451,86.057251
452,89.913368
453,93.853033
454,3.901582
455,0.818541
456,0.348273
457,0.348273
458,0.348273
459,1.21635
460,3.465787
461,6.442013
462,230.856954
463,123.596553
464,97.318474
465,83.290428
466,78.148065
467,71.809186
468,69.150055
469,62.468808
470,59.035358
471,61.850002
472,65.202757
473,70.612378
474,72.821594
475,74.485234
476,78.281407
477,80.536813
478,3.465787
479,1.254507
480,0.348273
481,0.348273
482,0.348273
483,0.348273
484,0.348273
485,0.348273
486,6.374884
487,8.290251
488,7.36239
489,197.135538
490,99.621002
