hours,kW
0,30.93402
1,30.93402
2,30.93402
3,30.93402
4,30.93402
5,30.93402
6,30.93402
7,30.93402
8,30.93402
9,30.93402
10,30.93402
11,30.93402
12,30.93402
13,30.93402
14,30.93402
15,30.93402
16,30.93402
17,30.93402
18,30.93402
19,30.93402
20,30.93402
21,30.93402
22,30.93402
23,30.93402
24,30.93402
25,30.93402
26,30.93402
27,30.93402
28,30.93402
29,33.018403
30,33.018403
31,49.59858
32,127.828637
33,127.715018
34,127.573113
35,127.507103
36,118.777881
37,127.994123
38,127.978403
39,127.95691
40,127.733375
41,74.601678
42,41.355934
43,41.355934
44,37.187168
45,37.187168
46,33.018403
47,30.93402
48,30.93402
49,30.93402
50,30.93402
51,30.93402
52,30.93402
53,33.018403
54,33.018403
55,49.357654
56,127.62238
57,127.520081
58,127.559349
59,127.514366
60,118.89833
61,127.501296
62,127.497025
63,127.494368
64,127.93737
65,75.93796
66,41.355934
67,41.355934
68,37.187168
69,37.187168
70,33.018403
71,30.93402
72,30.93402
73,30.93402
74,30.93402
75,30.93402
76,30.93402
77,33.018403
78,33.018403
79,51.467333
80,129.10372
81,128.841696
82,128.793268
83,128.772759
84,120.388485
85,128.781425
86,128.576174
87,128.53996
88,128.565033
89,76.208135
90,41.355934
91,41.355934
92,37.187168
93,37.187168
94,33.018403
95,30.93402
96,30.93402
97,30.93402
98,30.93402
99,30.93402
100,30.93402
101,33.018403
102,33.018403
103,52.085282
104,128.308647
105,128.06566
106,127.85521
107,127.743767
108,119.356021
109,127.754274
110,127.723481
111,127.699272
112,127.748045
113,75.802672
114,41.355934
115,41.355934
116,37.187168
117,37.187168
118,33.018403
119,30.93402
120,30.93402
121,30.93402
122,30.93402
123,30.93402
124,30.93402
125,33.018403
126,33.018403
127,53.733363
128,130.31336
129,128.635376
130,128.165009
131,128.007847
132,120.373295
133,127.859826
134,127.819975
135,127.81079
136,127.866739
137,76.570078
138,41.355934
139,41.355934
140,37.187168
141,37.187168
142,33.018403
143,30.93402
144,30.93402
145,30.93402
146,30.93402
147,30.93402
148,30.93402
149,30.93402
150,30.93402
151,30.93402
152,30.93402
153,30.93402
154,30.93402
155,30.93402
156,30.93402
157,30.93402
158,30.93402
159,30.93402
160,30.93402
161,30.93402
162,30.93402
163,30.93402
164,30.93402
165,30.93402
166,30.93402
167,30.93402
168,30.93402
169,30.93402
170,30.93402
171,30.93402
172,30.93402
173,30.93402
174,30.93402
175,30.93402
176,30.93402
177,30.93402
178,30.93402
179,30.93402
180,30.93402
181,30.93402
182,30.93402
183,30.93402
184,30.93402
185,30.93402
186,30.93402
187,30.93402
188,30.93402
189,30.93402
190,30.93402
191,30.93402
192,30.93402
193,30.93402
194,30.93402
195,30.93402
196,30.93402
197,33.018403
198,33.018403
199,53.638144
200,128.479051
201,128.01004
202,127.89414
203,127.882026
204,119.554531
205,127.743711
206,127.756598
207,127.750749
208,127.776184
209,75.818348
210,41.355934
211,41.355934
212,37.187168
213,37.187168
214,33.018403
215,30.93402
216,30.93402
217,30.93402
218,30.93402
219,30.93402
220,30.93402
221,33.018403
222,33.018403
223,53.672111
224,129.485513
225,128.371581
226,128.148173
227,128.038786
228,119.934786
229,127.915623
230,127.888803
231,127.87456
232,127.874348
233,75.825627
234,41.355934
235,41.355934
236,37.187168
237,37.187168
238,33.018403
239,30.93402
240,30.93402
241,30.93402
242,30.93402
243,30.93402
244,30.93402
245,33.018403
246,33.018403
247,53.184293
248,128.634875
249,128.737947
250,129.008641
251,128.879699
252,119.372458
253,127.840569
254,127.800541
255,127.784838
256,127.987558
257,76.232143
258,41.355934
259,41.355934
260,37.187168
261,37.187168
262,33.018403
263,30.93402
264,30.93402
265,30.93402
266,30.93402
267,30.93402
268,30.93402
269,33.018403
270,33.018403
271,51.701554
272,129.187166
273,128.89126
274,128.776136
275,128.697962
276,120.309589
277,128.650333
278,128.471153
279,128.268711
280,128.115322
281,75.348238
282,41.355934
283,41.355934
284,37.187168
285,37.187168
286,33.018403
287,30.93402
288,30.93402
289,30.93402
290,30.93402
291,30.93402
292,30.93402
293,33.018403
294,33.018403
295,52.119822
296,128.109908
297,128.298426
298,128.533673
299,128.4325
300,119.964755
301,128.55223
302,128.475292
303,128.422206
304,128.378014
305,75.912738
306,41.355934
307,41.355934
308,37.187168
309,37.187168
310,33.018403
311,30.93402
312,30.93402
313,30.93402
314,30.93402
315,30.93402
316,30.93402
317,30.93402
318,30.93402
319,30.93402
320,30.93402
321,30.93402
322,30.93402
323,30.93402
324,30.93402
325,30.93402
326,30.93402
327,30.93402
328,30.93402
329,30.93402
330,30.93402
331,30.93402
332,30.93402
333,30.93402
334,30.93402
335,30.93402
336,30.93402
337,30.93402
338,30.93402
339,30.93402
340,30.93402
341,30.93402
342,30.93402
343,30.93402
344,30.93402
345,30.93402
346,30.93402
347,30.93402
348,30.93402
349,30.93402
350,30.93402
351,30.93402
352,30.93402
353,30.93402
354,30.93402
355,30.93402
356,30.93402
357,30.93402
358,30.93402
359,30.93402
360,30.93402
361,30.93402
362,30.93402
363,30.93402
364,30.93402
365,30.93402
366,30.93402
367,30.93402
368,30.93402
369,30.93402
370,30.93402
371,30.93402
372,30.93402
373,30.93402
374,30.93402
375,30.93402
376,30.93402
377,30.93402
378,30.93402
379,30.93402
380,30.93402
381,30.93402
382,30.93402
383,30.93402
384,30.93402
385,30.93402
386,30.93402
387,30.93402
388,30.93402
389,33.018403
390,33.018403
391,53.330058
392,129.769252
393,129.230468
394,129.13543
395,129.048053
396,120.728311
397,128.841089
398,128.7052
399,128.668866
400,128.642041
401,76.334779
402,41.355934
403,41.355934
404,37.187168
405,37.187168
406,33.018403
407,30.93402
408,30.93402
409,30.93402
410,30.93402
411,30.93402
412,30.93402
413,33.018403
414,33.018403
415,52.867994
416,128.320503
417,128.075204
418,127.901747
419,127.800578
420,119.520003
421,127.785689
422,127.753016
423,127.768499
424,127.815487
425,76.243103
426,41.355934
427,41.355934
428,37.187168
429,37.187168
430,33.018403
431,30.93402
432,30.93402
433,30.93402
434,30.93402
435,30.93402
436,30.93402
437,33.018403
438,33.018403
439,53.710193
440,130.156298
441,128.4579
442,128.087384
443,127.939884
444,120.00828
445,127.780576
446,127.738386
447,127.734767
448,127.774913
449,76.26355
450,41.355934
451,41.355934
452,37.187168
453,37.187168
454,33.018403
455,30.93402
456,30.93402
457,30.93402
458,30.93402
459,30.93402
460,30.93402
461,33.018403
462,33.018403
463,53.675151
464,129.3626
465,128.123338
466,127.913064
467,127.832609
468,119.658119
469,127.71861
470,127.689893
471,127.736949
472,127.77742
473,75.786389
474,41.355934
475,41.355934
476,37.187168
477,37.187168
478,33.018403
479,30.93402
480,30.93402
481,30.93402
482,30.93402
483,30.93402
484,30.93402
485,30.93402
486,30.93402
487,30.93402
488,30.93402
489,30.93402
490,30.93402
491,30.93402
492,30.93402
493,30.93402
494,30.93402
495,30.93402
496,30.93402
497,30.93402
498,30.93402
499,30.93402
500,30.93402
501,30.93402
502,30.93402
503,30.93402
504,30.93402
505,30.93402
506,30.93402
507,30.93402
508,30.93402
509,30.93402
510,30.93402
511,30.93402
512,30.93402
513,30.93402
514,30.93402
515,30.93402
516,30.93402
517,30.93402
518,30.93402
519,30.93402
520,30.93402
521,30.93402
522,30.93402
523,30.93402
524,30.93402
525,30.93402
526,30.93402
527,30.93402
528,30.93402
529,30.93402
530,30.93402
531,30.93402
532,30.93402
533,33.018403
534,33.018403
535,53.721644
536,130.755525
537,129.437059
538,128.437307
539,128.262898
540,120.582526
541,128.076934
542,128.929134
543,128.83225
544,128.801976
545,76.707696
546,41.355934
547,41.355934
548,37.187168
549,37.187168
550,33.018403
551,30.93402
552,30.93402
553,30.93402
554,30.93402
555,30.93402
556,30.93402
557,33.018403
558,33.018403
559,53.651091
560,128.820854
561,128.235474
562,128.060213
563,127.947823
564,119.765763
565,127.782065
566,127.753856
567,127.736113
568,127.756407
569,75.847536
570,41.355934
571,41.355934
572,37.187168
573,37.187168
574,33.018403
575,30.93402
576,30.93402
577,30.93402
578,30.93402
579,30.93402
580,30.93402
581,33.018403
582,33.018403
583,53.66788
584,129.546866
585,128.504747
586,128.296033
587,128.173196
588,120.587209
589,128.041903
590,128.008658
591,127.991057
592,127.982736
593,76.63293
594,41.355934
595,41.355934
596,37.187168
597,37.187168
598,33.018403
599,30.93402
600,30.93402
601,30.93402
602,30.93402
603,30.93402
604,30.93402
605,33.018403
606,33.018403
607,53.656281
608,129.167114
609,128.35565
610,128.162501
611,127.927461
612,119.776003
613,127.862858
614,127.779925
615,127.723888
616,127.733463
617,75.688414
618,41.355934
619,41.355934
620,37.187168
621,37.187168
622,33.018403
623,30.93402
624,30.93402
625,30.93402
626,30.93402
627,30.93402
628,30.93402
629,33.018403
630,33.018403
631,53.646304
632,128.969018
633,128.115393
634,127.927423
635,127.937839
636,119.95598
637,127.814599
638,127.872769
639,127.867357
640,127.879073
641,77.572565
642,41.355934
643,41.355934
644,37.187168
645,37.187168
646,33.018403
647,30.93402
648,30.93402
649,30.93402
