hours,kW
0,0.000
1,0.000
2,0.00
3,0.00
4,0.000
5,0.000
6,0.600
7,3.000
8,4.200
9,4.800
10,5.400
11,6.000
12,6.000
13,6.000
14,6.000
15,6.000
16,4.800
17,4.800
18,5.400
19,6.000
20,6.000
21,6.000
22,6.000
23,6.000
24,6.000
25,6.000
26,6.000
27,5.400
28,3.600
29,2.400
30,1.800
31,3.000
32,4.200
33,4.800
34,5.400
35,6.000
36,6.000
37,6.000
38,6.000
39,6.000
40,4.800
41,4.800
42,5.400
43,6.000
44,6.000
45,6.000
46,6.000
47,6.000
48,6.000
49,6.000
50,6.000
51,5.400
52,3.600
53,2.400
54,1.800
55,3.000
56,4.200
57,4.800
58,5.400
59,6.000
60,6.000
61,6.000
62,6.000
63,6.000
64,4.800
65,4.800
66,5.400
67,6.000
68,6.000
69,6.000
70,6.000
71,6.000
72,6.000
73,6.000
74,6.000
75,5.400
76,3.600
77,2.400
78,1.800
79,3.000
80,4.200
81,4.800
82,5.400
83,6.000
84,6.000
85,6.000
86,6.000
87,6.000
88,4.800
89,4.800
90,5.400
91,6.000
92,6.000
93,6.000
94,6.000
95,6.000
96,6.000
97,6.000
98,6.000
99,5.400
100,3.600
101,2.400
102,1.800
103,3.000
104,4.200
105,4.800
106,5.400
107,6.000
108,6.000
109,6.000
110,6.000
111,6.000
112,4.800
113,4.800
114,5.400
115,6.000
116,6.000
117,6.000
118,6.000
119,6.000
120,6.000
121,6.000
122,6.000
123,5.400
124,3.600
125,2.400
126,1.800
127,0.000
128,0.000
129,0.000
130,0.000
131,0.000
132,0.000
133,0.000
134,0.000
135,0.000
136,0.000
137,0.600
138,0.600
139,0.600
140,0.600
141,0.600
142,0.600
143,0.600
144,0.600
145,0.600
146,0.600
147,0.600
148,0.600
149,0.600
150,0.600
151,0.600
152,0.600
153,0.600
154,0.600
155,0.600
156,0.600
157,0.600
158,0.600
159,0.000
160,0.000
161,0.600
162,0.600
163,0.600
164,0.600
165,0.600
166,0.600
167,0.600
168,0.000
169,0.000
170,0.000
171,0.00
172,0.00
173,0.000
174,0.000
175,0.600
176,3.000
177,4.200
178,4.800
179,5.400
180,6.000
181,6.000
182,6.000
183,6.000
184,6.000
185,4.800
186,4.800
187,5.400
188,6.000
189,6.000
190,6.000
191,6.000
192,6.000
193,6.000
194,6.000
195,6.000
196,5.400
197,3.600
198,2.400
199,1.800
200,3.000
201,4.200
202,4.800
203,5.400
204,6.000
205,6.000
206,6.000
207,6.000
208,6.000
209,4.800
210,4.800
211,5.400
212,6.000
213,6.000
214,6.000
215,6.000
216,6.000
217,6.000
218,6.000
219,6.000
220,5.400
221,3.600
222,2.400
223,1.800
224,3.000
225,4.200
226,4.800
227,5.400
228,6.000
229,6.000
230,6.000
231,6.000
232,6.000
233,4.800
234,4.800
235,5.400
236,6.000
237,6.000
238,6.000
239,6.000
240,6.000
241,6.000
242,6.000
243,6.000
244,5.400
245,3.600
246,2.400
247,1.800
248,3.000
249,4.200
250,4.800
251,5.400
252,6.000
253,6.000
254,6.000
255,6.000
256,6.000
257,4.800
258,4.800
259,5.400
260,6.000
261,6.000
262,6.000
263,6.000
264,6.000
265,6.000
266,6.000
267,6.000
268,5.400
269,3.600
270,2.400
271,1.800
272,3.000
273,4.200
274,4.800
275,5.400
276,6.000
277,6.000
278,6.000
279,6.000
280,6.000
281,4.800
282,4.800
283,5.400
284,6.000
285,6.000
286,6.000
287,6.000
288,6.000
289,6.000
290,6.000
291,6.000
292,5.400
293,3.600
294,2.400
295,1.800
296,0.000
297,0.000
298,0.000
299,0.000
300,0.000
301,0.000
302,0.000
303,0.000
304,0.000
305,0.000
306,0.600
307,0.600
308,0.600
309,0.600
310,0.600
311,0.600
312,0.600
313,0.600
314,0.600
315,0.600
316,0.600
317,0.600
318,0.600
319,0.600
320,0.600
321,0.600
322,0.600
323,0.600
324,0.600
325,0.600
326,0.600
327,0.600
328,0.000
329,0.000
330,0.600
331,0.600
332,0.600
333,0.600
334,0.600
335,0.600
336,0.600
337,0.000
338,0.000
339,0.000
340,0.00
341,0.00
342,0.000
343,0.000
344,0.600
345,3.000
346,4.200
347,4.800
348,5.400
349,6.000
350,6.000
351,6.000
352,6.000
353,6.000
354,4.800
355,4.800
356,5.400
357,6.000
358,6.000
359,6.000
360,6.000
361,6.000
362,6.000
363,6.000
364,6.000
365,5.400
366,3.600
367,2.400
368,1.800
369,3.000
370,4.200
371,4.800
372,5.400
373,6.000
374,6.000
375,6.000
376,6.000
377,6.000
378,4.800
379,4.800
380,5.400
381,6.000
382,6.000
383,6.000
384,6.000
385,6.000
386,6.000
387,6.000
388,6.000
389,5.400
390,3.600
391,2.400
392,1.800
393,3.000
394,4.200
395,4.800
396,5.400
397,6.000
398,6.000
399,6.000
400,6.000
401,6.000
402,4.800
403,4.800
404,5.400
405,6.000
406,6.000
407,6.000
