hours,kW
0,272.298478
1,274.256758
2,274.257222
3,272.298596
4,274.257071
5,274.25746
6,274.336244
7,276.457466
8,274.663553
9,274.038288
10,272.51703
11,274.256829
12,274.257189
13,272.298579
14,274.257037
15,274.257427
16,272.297814
17,274.257276
18,274.3347
19,274.335737
20,274.335714
21,274.2571
22,272.298104
23,274.257553
24,274.257208
25,273.471339
26,273.083812
27,274.25722
28,274.257101
29,290.494348
30,292.531154
31,5786.094844
32,2977.906041
33,2562.494121
34,2268.300684
35,2056.504993
36,2965.677588
37,1931.562484
38,1891.046903
39,1825.172296
40,1710.49347
41,2386.635161
42,365.315199
43,365.3151
44,328.923465
45,326.88546
46,292.452981
47,274.257557
48,272.29803
49,274.257407
50,274.256926
51,272.512393
52,274.043148
53,292.453111
54,292.532719
55,5145.485828
56,2015.424227
57,1891.326174
58,1809.814496
59,1758.055328
60,4026.061059
61,1611.977274
62,1616.141198
63,1628.761221
64,1771.597218
65,4802.521005
66,365.314166
67,365.315319
68,328.92369
69,328.844354
70,292.452974
71,272.298566
72,274.257011
73,274.2574
74,272.297824
75,274.25725
76,274.257433
77,290.493883
78,292.531694
79,8685.939396
80,4054.650765
81,3602.865427
82,3308.688377
83,3105.186903
84,6126.281225
85,2718.173846
86,2609.905143
87,2599.586751
88,2575.841969
89,5849.06645
90,365.315657
91,365.315509
92,328.923866
93,326.885547
94,292.453378
95,274.25722
96,273.553752
97,273.001404
98,274.257145
99,274.257114
100,272.298543
101,292.452713
102,292.53238
103,10556.51041
104,4631.43351
105,4172.207511
106,3562.47544
107,3171.744433
108,6673.452764
109,2675.271111
110,2698.782259
111,2738.42684
112,2938.036684
113,7349.773329
114,365.314508
115,365.315705
116,328.924083
117,328.844604
118,292.453368
119,272.298029
120,274.257406
121,274.256926
122,272.50412
123,274.051429
124,274.257298
125,292.252913
126,292.56892
127,13336.363574
128,8675.082888
129,6797.927745
130,5804.039006
131,5086.035825
132,9128.974486
133,3706.44868
134,3796.083886
135,3691.315843
136,3762.333758
137,8480.310355
138,365.316275
139,365.316161
140,328.924522
141,328.844733
142,290.493942
143,274.257145
144,274.257534
145,272.298018
146,274.257384
147,274.256939
148,272.359252
149,274.196431
150,274.334981
151,276.714827
152,274.418185
153,274.25709
154,274.257479
155,272.297876
156,274.257329
157,274.257057
158,272.29811
159,274.257566
160,274.25722
161,273.553465
162,274.370358
163,274.411909
164,274.41115
165,272.817725
166,274.257
167,274.257142
168,272.298557
169,274.256991
170,274.257381
171,272.297849
172,274.25723
173,274.257565
174,274.336487
175,276.714775
176,274.418739
177,274.257088
178,272.29853
179,274.256819
180,274.257327
181,272.297998
182,274.257176
183,274.257564
184,272.298033
185,274.257414
186,274.334807
187,274.33587
188,274.335852
189,274.25696
190,272.809052
191,273.746277
192,274.257344
193,274.257
194,272.298486
195,274.25674
196,274.257239
197,290.494297
198,292.531292
199,12150.639808
200,6613.715708
201,5321.140995
202,4619.436604
203,4212.327768
204,7098.002239
205,3099.996203
206,3233.930009
207,3120.85801
208,3132.79334
209,7169.96626
210,365.315365
211,365.315236
212,328.923596
213,326.885264
214,292.453111
215,274.257172
216,272.298095
217,274.257536
218,274.25719
219,273.356323
220,273.198829
221,292.453148
222,292.532849
223,12820.29764
224,7010.23213
225,5751.03116
226,4983.299714
227,4420.777473
228,7446.504
229,3474.288743
230,3542.51361
231,3360.677332
232,3280.417746
233,6923.217736
234,365.314263
235,365.315442
236,328.923817
237,328.844185
238,292.453102
239,272.298164
240,274.257139
241,274.257527
242,272.298015
243,274.257377
244,274.256947
245,290.510875
246,292.564472
247,11486.003746
248,5461.395654
249,4898.534376
250,4565.089063
251,4082.802507
252,5721.540764
253,2986.627734
254,2839.934528
255,2690.112315
256,2691.818432
257,5781.254003
258,365.315766
259,365.315631
260,328.92399
261,327.395023
262,291.943556
263,274.257344
264,274.256999
265,272.298486
266,274.25674
267,274.257238
268,272.298486
269,292.452899
270,292.531029
271,9362.895492
272,4809.507062
273,4169.987337
274,3747.331009
275,3442.332715
276,6393.238731
277,2878.956117
278,2669.984613
279,2532.132184
280,2530.364189
281,5526.664849
282,365.314641
283,365.31583
284,328.924207
285,328.844729
286,292.453012
287,272.298092
288,274.25753
289,274.257184
290,273.315976
291,273.23918
292,274.257379
293,292.45289
294,292.531672
295,10676.671329
296,4408.686639
297,3848.224783
298,3525.387151
299,3100.578361
300,5982.168862
301,2656.46262
302,2581.099397
303,2458.443514
304,2458.185515
305,5831.763332
306,365.315244
307,365.315191
308,328.923423
309,328.84485
310,290.493628
311,274.257263
312,274.257352
313,272.298077
314,274.257501
315,274.257087
316,273.125892
317,273.429302
318,274.335073
319,276.71438
320,274.418259
321,274.257208
322,274.257596
323,272.29805
324,274.257446
