hours,kW
0,270.041393
1,270.041393
2,270.041393
3,270.041393
4,270.041393
5,270.041393
6,270.041393
7,270.041393
8,270.041393
9,270.041393
10,270.041393
11,270.041393
12,270.041393
13,270.041393
14,270.041393
15,270.041393
16,270.041393
17,270.041393
18,270.041393
19,270.041393
20,270.041393
21,270.041393
22,270.041393
23,270.041393
24,270.041393
25,270.041393
26,270.041393
27,270.041393
28,270.041393
29,288.237205
30,288.237205
31,415.67167
32,1101.733254
33,1100.629598
34,1100.32462
35,1100.114454
36,1024.014322
37,1104.994792
38,1104.938548
39,1104.867035
40,1102.731635
41,638.305647
42,361.020453
43,361.020453
44,324.628829
45,324.628829
46,288.237205
47,270.041393
48,270.041393
49,270.041393
50,270.041393
51,270.041393
52,270.041393
53,288.237205
54,288.237205
55,411.839913
56,1100.087944
57,1099.910691
58,1099.821801
59,1099.766638
60,1023.167137
61,1099.700057
62,1099.669194
63,1099.662041
64,1102.996972
65,647.087052
66,361.020453
67,361.020453
68,324.628829
69,324.628829
70,288.237205
71,270.041393
72,270.041393
73,270.041393
74,270.041393
75,270.041393
76,270.041393
77,288.237205
78,288.237205
79,426.932604
80,1110.881502
81,1109.186783
82,1108.650009
83,1108.179696
84,1034.10862
85,1108.519392
86,1107.51287
87,1107.431661
88,1107.400862
89,649.393054
90,361.020453
91,361.020453
92,324.628829
93,324.628829
94,288.237205
95,270.041393
96,270.041393
97,270.041393
98,270.041393
99,270.041393
100,270.041393
101,288.237205
102,288.237205
103,428.520255
104,1103.492794
105,1102.52869
106,1101.922922
107,1101.566706
108,1028.11339
109,1101.391643
110,1101.210317
111,1101.165948
112,1101.262951
113,645.168207
114,361.020453
115,361.020453
116,324.628829
117,324.628829
118,288.237205
119,270.041393
120,270.041393
121,270.041393
122,270.041393
123,270.041393
124,270.041393
125,288.237205
126,288.237205
127,447.176703
128,1114.857186
129,1105.497348
130,1103.787605
131,1102.990534
132,1035.083114
133,1102.100433
134,1101.881318
135,1101.783221
136,1101.836093
137,648.976177
138,361.020453
139,361.020453
140,324.628829
141,324.628829
142,288.237205
143,270.041393
144,270.041393
145,270.041393
146,270.041393
147,270.041393
148,270.041393
149,270.041393
150,270.041393
151,270.041393
152,270.041393
153,270.041393
154,270.041393
155,270.041393
156,270.041393
157,270.041393
158,270.041393
159,270.041393
160,270.041393
161,270.041393
162,270.041393
163,270.041393
164,270.041393
165,270.041393
166,270.041393
167,270.041393
168,270.041393
169,270.041393
170,270.041393
171,270.041393
