hours,kW
0,624.079675
1,1163.510058
2,1308.443908
3,1507.032612
4,1443.813117
5,1672.321887
6,1955.679514
7,1495.311181
8,1490.913702
9,1728.305891
10,1310.20555
11,1216.657407
12,1175.102785
13,808.25482
14,681.84395
15,664.911565
16,849.319268
17,782.52952
18,718.236028
19,909.724509
20,793.002226
21,735.004784
22,934.455421
23,812.514746
24,745.081847
25,989.416663
26,907.828015
27,845.737012
28,1235.391401
29,1103.030971
30,1287.37903
31,4173.588999
32,1340.769027
33,1252.480708
34,1228.736333
35,1193.273716
36,1895.813398
37,1203.303266
38,1203.965127
39,1202.134744
40,1196.235142
41,1626.449982
42,473.695466
43,336.88225
44,327.47069
45,278.055729
46,246.030026
47,309.32638
48,391.47065
49,510.27578
50,1011.070669
51,765.753413
52,919.861413
53,1676.679482
54,1397.252578
55,5322.430061
56,2240.93458
57,2201.028636
58,2386.038174
59,2492.958768
60,4919.016345
61,2494.736396
62,2496.97451
63,2692.977804
64,3007.920174
65,6182.394813
66,1948.060778
67,2194.35005
68,2432.799413
69,1668.836076
70,2092.814463
71,2675.105202
72,1770.993613
73,2352.342064
74,3033.810937
75,1861.717902
76,2396.843749
77,3129.538898
78,2299.110509
79,8479.184059
80,4982.309816
81,4764.253848
82,4489.494771
83,4537.05991
84,7978.654662
85,4653.995569
86,4601.798487
87,4598.376331
88,4617.046863
89,7813.797118
90,2486.617623
91,3052.843391
92,3463.021549
93,2163.977762
94,2727.627987
95,3572.030414
96,2176.881516
97,2780.638421
98,5639.864448
99,4387.865794
100,5285.490514
101,6648.328284
102,5597.487103
103,11926.627527
104,7053.388306
105,6768.039572
106,6599.930887
107,6464.221524
108,10687.21192
109,6446.484085
110,6441.452263
111,6848.55571
112,7364.585579
113,12252.770626
114,7164.054206
115,7976.005337
116,8663.808971
117,8317.530098
118,10139.743742
119,8758.756557
120,8360.074207
121,10251.432501
122,8974.683696
123,8595.944887
124,10355.68896
125,9104.06614
126,9481.605795
127,22800.178052
128,14785.509685
129,12644.699705
130,11461.939055
131,10431.651258
132,15351.346107
133,9059.763616
134,8839.929382
135,8880.152086
136,9358.041149
137,13785.549123
138,7449.914228
139,9152.224714
140,10863.828248
141,6598.921323
142,8743.30126
143,10882.617489
144,6550.097142
145,8691.362974
146,10967.713604
147,6607.095836
148,8696.106041
149,10995.358422
150,6682.537574
151,8814.323185
152,10849.006744
153,6319.947518
154,7975.995577
155,7729.058136
156,5489.867212
157,5684.791413
158,6698.803152
159,4948.951275
160,5949.459498
161,7794.575347
162,6241.41544
163,6892.999321
164,7861.153956
165,5787.562131
166,6267.894025
167,7399.438161
168,5604.183459
169,6280.73167
170,7422.984243
171,5627.174502
172,6314.197746
173,7447.633593
174,5666.1195
175,6262.986719
176,7314.518879
177,5513.31224
178,5748.862354
179,6270.398572
180,3421.974409
181,4132.939375
182,4319.22565
183,4042.195328
184,4850.852993
185,6165.664181
186,4752.805884
187,5399.145096
188,6401.934617
189,4811.25942
190,5438.503501
191,6457.151175
192,4856.660292
193,5614.588409
194,6847.373867
195,5332.07334
196,6199.548463
197,7334.545757
198,6160.653183
199,14166.24427
200,8136.356114
201,7260.494743
202,6673.054315
203,6472.84995
204,10358.321508
205,6080.589687
206,6236.945694
207,6592.199163
208,6942.768291
209,11160.194641
210,6693.535236
211,8481.126072
212,10381.777997
213,6272.048429
214,8104.646793
215,10611.18091
216,6352.53086
217,8312.272988
218,10787.894182
219,6512.167438
220,8451.995362
221,10861.186669
222,7181.313855
223,18096.03122
224,11000.585144
225,9407.548419
226,8276.741282
227,7418.820605
228,11217.478716
229,6871.798662
230,7040.194411
231,6769.490418
232,6916.916938
233,10599.624364
234,6049.438269
235,6727.445204
236,7450.130157
237,5782.444088
238,6476.049399
239,7607.907902
240,5840.997806
241,6534.598366
242,7834.400192
243,6117.597871
244,6824.778003
245,7969.857269
246,6589.942277
247,13813.217033
248,8052.580183
249,6242.29691
250,4919.890263
251,4330.798629
252,6012.803583
253,3285.478304
