hours,kW
0,2319.995603
1,2319.995603
2,2319.995603
3,2319.995603
4,2319.995603
5,2319.995603
6,2319.995603
7,2319.995603
8,2319.995603
9,2319.995603
10,2319.995603
11,2319.995603
12,2319.995603
13,2319.995603
14,2319.995603
15,2319.995603
16,2319.995603
17,2319.995603
18,2319.995603
19,2319.995603
20,2319.995603
21,2319.995603
22,2319.995603
23,2319.995603
24,2319.995603
25,2319.995603
26,2319.995603
27,2319.995603
28,2319.995603
29,2453.293716
30,2453.293716
31,3291.410245
32,9059.550781
33,9072.223584
34,9081.575654
35,9134.195064
36,8486.388037
37,9218.03758
38,9223.244754
39,9227.330088
40,9203.547836
41,5253.043526
42,2986.486168
43,2986.486168
44,2719.889942
45,2719.889942
46,2453.293716
47,2319.995603
48,2319.995603
49,2319.995603
50,2319.995603
51,2319.995603
52,2319.995603
53,2453.293716
54,2453.293716
55,3265.686957
56,9095.008922
57,9108.840449
58,9114.206665
59,9118.099647
60,8414.641797
61,9123.373203
62,9126.862415
63,9129.185035
64,9171.090665
65,5291.167979
66,2986.486168
67,2986.486168
68,2719.889942
69,2719.889942
70,2453.293716
71,2319.995603
72,2319.995603
73,2319.995603
74,2319.995603
75,2319.995603
76,2319.995603
77,2453.293716
78,2453.293716
79,3397.869841
80,9159.406439
81,9168.160901
82,9175.176834
83,9179.320587
84,8494.008229
85,9188.185818
86,9186.783938
87,9189.654668
88,9192.463758
89,5292.941073
90,2986.486168
91,2986.486168
92,2719.889942
93,2719.889942
94,2453.293716
95,2319.995603
96,2319.995603
97,2319.995603
98,2319.995603
99,2319.995603
100,2319.995603
101,2453.293716
102,2453.293716
103,3383.720746
104,9063.996093
105,9071.982684
106,9082.462207
107,9159.811001
108,8461.618326
109,9201.260889
110,9224.760592
111,9224.632115
112,9225.034273
113,5255.537075
114,2986.486168
115,2986.486168
116,2719.889942
117,2719.889942
118,2453.293716
119,2319.995603
120,2319.995603
121,2319.995603
122,2319.995603
123,2319.995603
124,2319.995603
125,2453.293716
126,2453.293716
127,3558.556775
128,9102.136017
129,9068.515291
130,9063.199914
131,9059.885132
132,8461.268271
133,9060.874492
134,9068.261668
135,9074.588682
136,9080.139368
137,5285.731458
138,2986.486168
139,2986.486168
140,2719.889942
141,2719.889942
142,2453.293716
143,2319.995603
144,2319.995603
145,2319.995603
146,2319.995603
147,2319.995603
148,2319.995603
149,2319.995603
150,2319.995603
151,2319.995603
152,2319.995603
153,2319.995603
154,2319.995603
155,2319.995603
156,2319.995603
157,2319.995603
158,2319.995603
159,2319.995603
160,2319.995603
161,2319.995603
162,2319.995603
163,2319.995603
164,2319.995603
165,2319.995603
166,2319.995603
167,2319.995603
168,2319.995603
169,2319.995603
170,2319.995603
171,2319.995603
172,2319.995603
173,2319.995603
174,2319.995603
175,2319.995603
176,2319.995603
177,2319.995603
178,2319.995603
179,2319.995603
180,2319.995603
181,2319.995603
182,2319.995603
183,2319.995603
184,2319.995603
185,2319.995603
186,2319.995603
187,2319.995603
188,2319.995603
189,2319.995603
190,2319.995603
191,2319.995603
192,2319.995603
193,2319.995603
194,2319.995603
195,2319.995603
196,2319.995603
197,2453.293716
198,2453.293716
199,3504.471182
200,9073.2728
201,9063.74307
202,9060.329426
203,9058.395541
204,8405.12338
205,9055.105106
206,9054.424571
207,9057.908134
208,9065.074476
209,5247.101457
210,2986.486168
211,2986.486168
212,2719.889942
213,2719.889942
214,2453.293716
215,2319.995603
216,2319.995603
217,2319.995603
218,2319.995603
219,2319.995603
220,2319.995603
221,2453.293716
222,2453.293716
223,3557.087186
224,9073.832543
225,9064.088921
226,9060.498053
227,9058.134631
228,8404.135044
229,9058.876619
230,9065.359984
231,9072.950097
232,9098.464514
233,5236.129564
234,2986.486168
235,2986.486168
236,2719.889942
237,2719.889942
238,2453.293716
239,2319.995603
240,2319.995603
241,2319.995603
242,2319.995603
243,2319.995603
244,2319.995603
245,2453.293716
246,2453.293716
247,3419.12668
248,9064.358692
249,9100.737496
250,9136.728157
251,9144.204515
252,8374.565258
253,9076.370851
254,9082.143886
255,9087.640491
256,9111.653356
257,5291.564452
258,2986.486168
259,2986.486168
260,2719.889942
261,2719.889942
262,2453.293716
263,2319.995603
264,2319.995603
265,2319.995603
266,2319.995603
267,2319.995603
268,2319.995603
269,2453.293716
270,2453.293716
271,3415.707022
272,9141.667333
273,9145.240418
274,9153.343097
275,9159.278646
276,8478.755405
277,9170.844968
278,9172.182957
279,9176.685148
280,9187.646136
281,5217.758972
282,2986.486168
283,2986.486168
284,2719.889942
285,2719.889942
286,2453.293716
287,2319.995603
288,2319.995603
289,2319.995603
290,2319.995603
291,2319.995603
292,2319.995603
293,2453.293716
294,2453.293716
295,3392.824926
296,9059.190824
297,9104.705658
298,9150.506888
299,9157.131873
300,8476.597278
301,9171.586266
302,9173.43036
303,9176.181592
304,9178.492869
305,5275.704347
306,2986.486168
307,2986.486168
308,2719.889942
309,2719.889942
310,2453.293716
311,2319.995603
312,2319.995603
313,2319.995603
314,2319.995603
315,2319.995603
316,2319.995603
317,2319.995603
318,2319.995603
319,2319.995603
320,2319.995603
321,2319.995603
322,2319.995603
323,2319.995603
324,2319.995603
325,2319.995603
326,2319.995603
327,2319.995603
328,2319.995603
329,2319.995603
330,2319.995603
331,2319.995603
332,2319.995603
333,2319.995603
334,2319.995603
335,2319.995603
336,2319.995603
337,2319.995603
338,2319.995603
339,2319.995603
340,2319.995603
341,2319.995603
342,2319.995603
343,2319.995603
344,2319.995603
345,2319.995603
346,2319.995603
347,2319.995603
348,2319.995603
349,2319.995603
350,2319.995603
351,2319.995603
352,2319.995603
353,2319.995603
354,2319.995603
355,2319.995603
356,2319.995603
357,2319.995603
358,2319.995603
359,2319.995603
360,2319.995603
361,2319.995603
362,2319.995603
363,2319.995603
364,2319.995603
365,2319.995603
366,2319.995603
367,2319.995603
368,2319.995603
369,2319.995603
370,2319.995603
371,2319.995603
372,2319.995603
373,2319.995603
374,2319.995603
375,2319.995603
376,2319.995603
377,2319.995603
378,2319.995603
379,2319.995603
380,2319.995603
381,2319.995603
382,2319.995603
383,2319.995603
384,2319.995603
385,2319.995603
386,2319.995603
387,2319.995603
388,2319.995603
389,2453.293716
390,2453.293716
391,3421.381326
392,9160.236398
393,9142.388656
394,9138.063408
395,9136.20874
396,8468.903523
397,9136.863453
398,9135.308747
399,9143.182694
400,9149.176127
401,5298.582848
402,2986.486168
403,2986.486168
404,2719.889942
405,2719.889942
406,2453.293716
407,2319.995603
408,2319.995603
409,2319.995603
410,2319.995603
411,2319.995603
412,2319.995603
413,2453.293716
414,2453.293716
415,3411.637271
416,9062.434157
417,9058.732502
418,9056.445999
419,9060.982921
420,8409.849871
421,9071.413326
422,9076.084738
423,9079.993179
424,9083.83566
425,5275.602744
426,2986.486168
427,2986.486168
428,2719.889942
429,2719.889942
430,2453.293716
431,2319.995603
432,2319.995603
433,2319.995603
434,2319.995603
435,2319.995603
436,2319.995603
437,2453.293716
438,2453.293716
439,3558.388857
440,9097.125696
441,9067.666678
442,9062.93551
443,9059.886943
444,8450.22486
445,9056.345683
446,9059.490132
447,9065.997881
448,9071.242628
449,5282.700983
450,2986.486168
451,2986.486168
452,2719.889942
453,2719.889942
454,2453.293716
455,2319.995603
456,2319.995603
457,2319.995603
458,2319.995603
459,2319.995603
460,2319.995603
461,2453.293716
462,2453.293716
463,3557.098575
464,9079.46524
465,9064.366384
466,9060.584735
467,9058.26723
468,8425.30457
469,9055.601481
470,9060.975313
471,9067.787958
472,9073.053679
473,5248.514894
474,2986.486168
475,2986.486168
476,2719.889942
477,2719.889942
478,2453.293716
479,2319.995603
480,2319.995603
481,2319.995603
482,2319.995603
483,2319.995603
484,2319.995603
485,2319.995603
486,2319.995603
487,2319.995603
488,2319.995603
489,2319.995603
490,2319.995603
491,2319.995603
492,2319.995603
493,2319.995603
494,2319.995603
495,2319.995603
496,2319.995603
497,2319.995603
498,2319.995603
499,2319.995603
500,2319.995603
501,2319.995603
502,2319.995603
503,2319.995603
504,2319.995603
505,2319.995603
506,2319.995603
507,2319.995603
508,2319.995603
509,2319.995603
510,2319.995603
511,2319.995603
512,2319.995603
513,2319.995603
514,2319.995603
515,2319.995603
516,2319.995603
517,2319.995603
518,2319.995603
519,2319.995603
520,2319.995603
521,2319.995603
522,2319.995603
523,2319.995603
524,2319.995603
525,2319.995603
526,2319.995603
527,2319.995603
528,2319.995603
529,2319.995603
530,2319.995603
531,2319.995603
532,2319.995603
533,2453.293716
534,2453.293716
535,3562.162651
536,9155.182528
537,9085.751053
538,9072.516324
539,9066.826805
540,8419.611991
541,9060.318118
542,9137.807529
543,9134.052854
544,9133.006151
545,5306.837493
546,2986.486168
547,2986.486168
548,2719.889942
549,2719.889942
550,2453.293716
551,2319.995603
552,2319.995603
553,2319.995603
554,2319.995603
555,2319.995603
556,2319.995603
557,2453.293716
558,2453.293716
559,3500.47176
560,9069.668027
561,9063.046221
562,9060.100067
563,9057.945603
564,8411.54517
565,9057.060506
566,9062.921788
567,9068.880646
568,9073.660464
569,5249.510467
570,2986.486168
571,2986.486168
572,2719.889942
573,2719.889942
574,2453.293716
575,2319.995603
576,2319.995603
577,2319.995603
578,2319.995603
579,2319.995603
580,2319.995603
581,2453.293716
582,2453.293716
583,3532.368448
584,9072.462512
585,9064.374749
586,9061.338347
587,9059.446329
588,8430.372739
589,9058.031202
590,9062.508404
591,9068.111532
592,9072.0213
593,5274.348561
594,2986.486168
595,2986.486168
596,2719.889942
597,2719.889942
598,2453.293716
599,2319.995603
600,2319.995603
601,2319.995603
602,2319.995603
603,2319.995603
604,2319.995603
605,2453.293716
606,2453.293716
607,3505.051051
608,9071.96266
609,9063.95983
610,9060.717728
611,9058.02448
612,8418.780523
613,9057.385259
614,9062.275206
615,9068.303122
616,9074.096326
617,5242.815109
618,2986.486168
619,2986.486168
620,2719.889942
621,2719.889942
622,2453.293716
623,2319.995603
624,2319.995603
625,2319.995603
626,2319.995603
627,2319.995603
628,2319.995603
629,2453.293716
630,2453.293716
631,3454.71439
632,9068.378557
633,9060.912467
634,9058.250047
635,9057.308044
636,8430.911643
637,9061.333488
638,9067.923055
639,9072.193339
640,9076.423572
641,5341.952829
642,2986.486168
643,2986.486168
644,2719.889942
645,2719.889942
646,2453.293716
647,2319.995603
648,2319.995603
649,2319.995603
650,2319.995603
651,2319.995603
652,2319.995603
653,2319.995603
654,2319.995603
655,2319.995603
656,2319.995603
657,2319.995603
658,2319.995603
659,2319.995603
660,2319.995603
661,2319.995603
662,2319.995603
663,2319.995603
664,2319.995603
665,2319.995603
666,2319.995603
667,2319.995603
668,2319.995603
669,2319.995603
670,2319.995603
671,2319.995603
672,2319.995603
673,2319.995603
674,2319.995603
675,2319.995603
676,2319.995603
677,2319.995603
678,2319.995603
679,2319.995603
680,2319.995603
681,2319.995603
682,2319.995603
683,2319.995603
684,2319.995603
685,2319.995603
686,2319.995603
687,2319.995603
688,2319.995603
689,2319.995603
690,2319.995603
691,2319.995603
692,2319.995603
693,2319.995603
694,2319.995603
695,2319.995603
696,2319.995603
697,2319.995603
698,2319.995603
699,2319.995603
700,2319.995603
701,2453.293716
702,2453.293716
703,3572.164799
704,9226.787092
705,9173.175759
706,9164.10578
707,9100.390358
708,8590.349894
709,9084.044483
710,9075.873529
711,9072.323546
712,9070.944341
713,5413.669163
714,2986.486168
715,2986.486168
716,2719.889942
717,2719.889942
718,2453.293716
719,2319.995603
720,2319.995603
721,2319.995603
722,2319.995603
723,2319.995603
724,2319.995603
725,2453.293716
726,2453.293716
727,3569.186413
728,9189.548792
729,9164.995655
730,9133.098328
731,9087.865959
732,8584.85748
733,9074.550889
734,9069.374819
735,9066.613137
736,9064.869844
737,5408.730208
738,2986.486168
739,2986.486168
740,2719.889942
741,2719.889942
742,2453.293716
743,2319.995603
744,2319.995603
745,2319.995603
746,2319.995603
747,2319.995603
748,2319.995603
749,2453.293716
750,2453.293716
751,3563.416966
752,9164.440152
753,9094.979146
754,9077.777177
755,9071.336412
756,8576.534597
757,9064.817247
758,9062.727874
759,9061.378922
760,9060.749839
761,5405.862793
762,2986.486168
763,2986.486168
764,2719.889942
765,2719.889942
766,2453.293716
767,2319.995603
768,2319.995603
769,2319.995603
770,2319.995603
771,2319.995603
772,2319.995603
773,2453.293716
774,2453.293716
775,3565.405505
776,9170.614608
777,9130.001118
778,9086.684316
779,9078.710422
780,8581.531755
781,9072.905765
782,9068.972756
783,9066.948866
784,9066.291863
785,5410.181141
