hours,kW
0,428.868898
1,431.953181
2,431.953912
3,428.869084
4,431.953674
5,431.954287
6,432.078371
7,435.419286
8,432.59388
9,431.609091
10,429.213117
11,431.953293
12,431.953859
13,428.869058
14,431.953621
15,431.954234
16,428.867853
17,431.953997
18,432.075939
19,432.077572
20,432.077537
21,431.95372
22,428.868309
23,431.954434
24,431.953889
25,430.716149
26,430.105795
27,431.953909
28,431.953722
29,457.527314
30,460.735273
31,9113.073786
32,4690.188843
33,4035.916906
34,3572.563544
35,3238.986268
36,4670.929083
37,3042.202368
38,2978.390508
39,2874.638294
40,2694.01965
41,3758.939822
42,575.369823
43,575.369667
44,518.053002
45,514.843154
46,460.612152
47,431.95444
48,428.868193
49,431.954203
50,431.953445
51,429.205814
52,431.616746
53,460.612356
54,460.737738
55,8104.117419
56,3174.284243
57,2978.830358
58,2850.449826
59,2768.929365
60,6341.02836
61,2538.857077
62,2545.415239
63,2565.291719
64,2790.257782
65,7563.94934
66,575.368196
67,575.370011
68,518.053356
69,517.928402
70,460.612141
71,428.869037
72,431.953579
73,431.954193
74,428.867869
75,431.953955
76,431.954245
77,457.52658
78,460.736125
79,13680.316128
80,6386.05702
81,5674.497111
82,5211.169559
83,4890.655638
84,9648.865832
85,4281.111785
86,4110.589056
87,4094.337634
88,4056.939707
89,9212.253787
90,575.370543
91,575.370311
92,518.053634
93,514.843291
94,460.612777
95,431.953909
96,430.845949
97,429.976004
98,431.95379
99,431.953742
100,428.869
101,460.611729
102,460.737205
103,16626.457202
104,7294.487292
105,6571.208375
106,5610.88306
107,4995.483453
108,10510.658585
109,4213.540167
110,4250.57012
111,4313.010161
112,4627.394782
113,11575.860483
114,575.368734
115,575.37062
116,518.053976
117,517.928797
118,460.612761
119,428.868192
120,431.954201
121,431.953445
122,429.192783
123,431.629788
124,431.954031
125,460.297045
126,460.794755
127,21004.713639
128,13663.217176
129,10706.70613
130,9141.335762
131,8010.483927
132,14378.094436
133,5837.640276
134,5978.81533
135,5813.806125
136,5925.659027
137,13356.451298
138,575.371517
139,575.371337
140,518.054666
141,517.929
142,457.526673
143,431.953791
144,431.954403
145,428.868174
146,431.954166
147,431.953467
148,428.964617
149,431.858165
150,432.076381
151,435.824629
152,432.207427
153,431.953704
154,431.954316
155,428.86795
156,431.95408
157,431.953651
158,428.868319
159,431.954453
160,431.953909
161,430.845498
162,432.1321
163,432.197544
164,432.196347
165,429.68671
166,431.953561
167,431.953786
168,428.869022
169,431.953548
170,431.954162
171,428.867908
172,431.953924
173,431.954452
174,432.078753
175,435.824547
176,432.2083
177,431.9537
178,428.86898
179,431.953276
180,431.954076
181,428.868142
182,431.953838
183,431.95445
184,428.868198
185,431.954213
186,432.076107
187,432.077781
188,432.077753
189,431.9535
190,429.673051
191,431.149176
192,431.954104
193,431.953561
194,428.868911
195,431.953152
196,431.953938
197,457.527232
198,460.735491
199,19137.203953
200,10416.572986
201,8380.77353
