hours,kW
0,280.133322
1,282.147948
2,282.148426
3,280.133444
4,282.14827
5,282.14867
6,282.229721
7,284.411977
8,282.566447
9,281.923192
10,280.358163
11,282.148021
12,282.148391
13,280.133427
14,282.148235
15,282.148636
16,280.13264
17,282.148481
18,282.228133
19,282.229199
20,282.229176
21,282.1483
22,280.132938
23,282.148766
24,282.148411
25,281.33993
26,280.941252
27,282.148423
28,282.148301
29,298.852743
30,300.948153
31,5952.578155
32,3063.589334
33,2636.224766
34,2333.566501
35,2115.676813
36,3051.009031
37,1987.139333
38,1945.457997
39,1877.68798
40,1759.7095
41,2455.305816
42,375.826414
43,375.826312
44,338.38758
45,336.290936
46,300.867731
47,282.14877
48,280.132861
49,282.148616
50,282.14812
51,280.353393
52,281.928192
53,300.867865
54,300.949763
55,5293.536895
56,2073.41403
57,1945.745303
58,1861.88829
59,1808.639855
60,4141.902917
61,1658.358698
62,1662.64243
63,1675.625569
64,1822.571386
65,4940.703945
66,375.825351
67,375.826537
68,338.387811
69,338.306192
70,300.867724
71,280.133413
72,282.148208
73,282.148609
74,280.13265
75,282.148454
76,282.148643
77,298.852263
78,300.948709
79,8935.859936
80,4171.315234
81,3706.530676
82,3403.88927
83,3194.532448
84,6302.552719
85,2796.383864
86,2684.999945
87,2674.384662
88,2649.956672
89,6017.361643
90,375.826884
91,375.826732
92,338.387993
93,336.291025
94,300.868139
95,282.148424
96,281.424714
97,280.856474
98,282.148346
99,282.148314
100,280.133389
101,300.867455
102,300.949415
103,10860.252891
104,4764.69375
105,4292.25444
106,3664.978548
107,3263.005038
108,6865.468025
109,2752.246689
110,2776.434322
111,2817.219598
112,3022.572815
113,7561.248362
114,375.825703
115,375.826934
116,338.388216
117,338.30645
118,300.868129
119,280.132861
120,282.148614
121,282.148121
122,280.344881
123,281.936711
124,282.148503
125,300.661906
126,300.987006
127,13720.090772
128,8924.691054
129,6993.524525
130,5971.038624
131,5232.376337
132,9391.642476
133,3813.09433
134,3905.308611
135,3797.526076
136,3870.58739
137,8724.31433
138,375.82752
139,375.827403
140,338.388667
141,338.306583
142,298.852324
143,282.148346
144,282.148746
145,280.132849
146,282.148592
147,282.148135
148,280.195845
149,282.085885
150,282.228421
151,284.676743
152,282.31402
153,282.14829
154,282.14869
155,280.132703
156,282.148535
157,282.148255
158,280.132944
159,282.148779
160,282.148423
161,281.424419
162,282.264816
163,282.307563
164,282.306782
165,280.667509
166,282.148197
167,282.148343
168,280.133403
169,282.148188
170,282.148589
171,280.132675
172,282.148434
173,282.148778
174,282.229971
175,284.67669
176,282.314589
177,282.148287
178,280.133375
179,282.14801
180,282.148533
181,280.132828
182,282.148377
183,282.148777
184,280.132865
185,282.148622
186,282.228242
187,282.229336
188,282.229318
189,282.148156
190,280.658588
191,281.622779
192,282.148551
193,282.148196
194,280.133331
195,282.147929
196,282.148442
197,298.852689
198,300.948295
199,12500.250176
200,6804.012155
201,5474.246188
202,4752.351656
203,4333.529078
204,7302.233062
205,3189.192396
206,3326.979879
207,3210.65446
208,3222.933205
209,7376.267704
210,375.826585
211,375.826451
212,338.387714
213,336.290734
214,300.867864
215,282.148374
216,280.132928
217,282.148748
218,282.148392
219,281.221605
220,281.059579
221,300.867903
222,300.949897
223,13189.176073
224,7211.937544
225,5916.505584
226,5126.6842
227,4547.976507
228,7660.762265
229,3574.254456
230,3644.442356
231,3457.374103
232,3374.805208
233,7122.419485
234,375.825451
235,375.826663
236,338.387942
237,338.306019
238,300.867855
239,280.132999
240,282.148339
241,282.148739
242,280.132846
243,282.148585
244,282.148143
245,298.869745
246,300.98243
247,11816.49054
248,5618.536395
249,5039.47991
250,4696.440374
251,4200.276987
252,5886.16666
253,3072.561976
254,2921.647966
255,2767.514918
256,2769.270126
257,5947.598029
258,375.826997
259,375.826858
260,338.38812
261,336.81516
262,300.343648
263,282.148551
264,282.148196
265,280.13333
266,282.14793
267,282.148442
268,280.133331
269,300.867647
270,300.948024
271,9632.294091
272,4947.891012
273,4289.970386
274,3855.152966
275,3541.378957
276,6577.191393
277,2961.792323
278,2746.808082
279,2604.989225
280,2603.170359
281,5685.68358
282,375.82584
283,375.827063
284,338.388344
285,338.306579
286,300.867763
287,280.132925
288,282.148742
289,282.148386
290,281.180097
291,281.101091
292,282.148587
293,300.867637
294,300.948686
295,10983.871201
296,4535.537783
297,3958.949757
298,3626.823118
299,3189.791304
300,6154.293811
301,2732.897021
302,2655.365372
303,2529.180311
304,2528.914888
305,5999.560662
306,375.82646
307,375.826405
308,338.387537
309,338.306703
310,298.852001
311,282.148468
312,282.148559
313,280.13291
314,282.148712
315,282.148286
316,280.984543
317,281.296683
318,282.228516
319,284.676283
320,282.314095
321,282.148411
322,282.14881
323,280.132882
324,282.148656
325,282.148146
326,280.615735
327,281.665657
328,282.148544
329,282.14819
330,282.229231
331,282.229198
332,282.229195
333,280.133346
334,282.147922
335,282.148474
336,280.133118
337,282.148318
338,282.148718
339,280.132782
340,282.148564
341,282.148179
342,282.230103
343,284.678153
344,282.314736
345,282.148414
346,280.133438
347,282.148259
348,282.148659
349,280.132653
350,282.148504
351,282.148372
352,280.132929
353,282.148749
354,282.228336
355,282.229458
356,282.229444
357,282.148432
358,281.476988
359,280.804207
360,282.148301
361,282.148322
362,280.133393
363,282.148125
364,282.148568
365,280.132719
366,282.229061
367,284.676062
368,282.987002
369,281.501933
370,282.14857
371,282.148215
372,280.13334
373,282.147921
374,282.148461
375,280.133201
376,282.148305
377,282.148705
378,282.22989
379,282.229738
380,282.229719
381,280.132848
382,282.148589
383,282.148138
384,280.176086
385,282.105663
386,282.148477
387,281.773757
388,280.507524
389,300.867455
390,300.949982
391,11395.663926
392,7297.933998
393,6027.996574
394,5328.83667
395,4794.111086
396,7327.470045
397,3862.934272
398,3709.478488
399,3504.865985
400,3353.851115
401,6523.615084
402,375.825522
403,375.826745
404,338.388026
405,338.306253
406,300.867939
407,280.132693
408,282.148424
409,282.148823
410,280.132888
411,282.148668
412,282.148167
413,299.418256
414,300.982659
415,11558.375093
416,5225.628853
417,4773.68915
418,4176.362512
419,3756.945172
420,7449.603674
421,3141.686711
422,3254.193255
423,3390.764706
424,3478.292397
425,8277.818196
426,375.82715
427,375.827023
428,338.388286
429,337.904006
430,299.254705
431,282.148111
432,282.148364
433,280.133413
434,282.148208
435,282.148609
436,280.13265
437,300.867814
438,300.947466
439,13487.243478
440,8623.379055
441,6796.619706
442,5819.648143
443,5090.608479
444,9050.231892
445,3676.00148
446,3720.100508
447,3604.462974
448,3655.473682
449,8512.616999
450,375.826028
451,375.827235
452,338.388514
453,338.306749
454,300.867526
455,280.695239
456,281.586107
457,282.148557
458,282.148202
459,280.133333
460,282.147925
461,300.867808
462,300.948889
463,13127.144505
464,7639.721624
465,5977.515672
466,5140.833085
467,4561.476255
468,8223.039804
469,3253.350473
470,3255.149656
471,3306.89615
472,3277.080854
473,7469.043416
474,375.825252
475,375.825684
476,338.3869
477,338.306834
478,298.852213
479,282.148599
480,282.148128
481,280.240716
482,282.04097
483,282.148487
484,281.838384
485,280.442926
486,282.22863
487,284.676378
488,282.314178
489,282.148541
490,282.148237
491,280.132947
492,282.148785
493,282.148429
494,281.463239
495,280.817954
496,282.148313
497,282.14832
498,282.229398
499,282.229335
500,282.229328
501,280.13341
502,282.148203
503,282.148604
504,280.132655
505,282.148449
506,282.148676
507,280.132901
508,282.148693
509,282.148225
510,282.230234
511,284.679802
512,282.314881
513,282.148541
514,280.132799
515,282.148385
516,282.148785
517,280.132869
518,282.14863
519,282.148123
520,280.448982
521,281.832525
522,282.228429
523,282.229579
524,282.229569
525,282.148557
526,282.148202
527,280.133333
528,282.147925
529,282.148448
530,280.13329
531,282.148292
532,282.148692
533,298.852069
534,300.948547
535,13571.256777
536,10292.694421
537,8680.316943
538,6962.17075
539,6060.14686
540,8705.524603
541,4439.016175
542,4778.357841
543,4485.00758
544,4221.251077
545,7450.304991
546,375.826784
547,375.826625
548,338.387885
549,336.290971
550,300.868032
551,282.148174
552,280.723334
553,281.557997
554,282.148561
555,282.148206
556,280.133335
557,300.867283
558,300.950066
559,13109.935988
560,6511.497917
561,5730.673005
562,5046.670141
563,4472.118453
564,7817.21095
565,3301.039713
566,3328.158371
567,3171.2891
568,3184.530913
569,7523.38203
570,375.825597
571,375.826827
572,338.388109
573,338.306342
574,300.868022
575,280.132656
576,282.148507
577,282.14836
578,280.13293
579,282.148751
580,282.148396
581,299.96169
582,300.983893
583,13060.742127
584,7203.859603
585,6129.876493
586,5507.33454
587,5065.38829
588,8840.798182
589,4153.65082
590,4320.088067
591,4199.167065
592,4153.788674
593,8676.761548
594,375.827308
595,375.827188
596,338.388452
597,338.306366
598,298.852735
599,282.148004
600,282.14853
601,280.132837
602,282.148375
603,282.148775
604,280.132864
605,300.86798
606,300.947619
607,12921.536526
608,7262.339732
609,6076.628885
610,5359.324256
611,4644.872448
612,8244.104076
613,3723.997557
614,3624.241513
615,3426.592638
616,3332.454395
617,7387.595078
618,375.826219
619,375.827405
620,338.441341
621,338.255181
622,300.867839
623,281.782311
624,280.498974
625,282.14809
626,282.148369
627,280.133416
628,282.148214
629,300.867975
630,300.949086
631,12629.968345
632,6360.562018
633,5269.689343
634,4642.572468
635,4470.402011
636,8402.072342
637,3501.784438
638,3927.313264
639,3877.441206
640,3963.194008
641,9341.341401
642,375.824884
643,375.825815
644,338.387127
645,338.306565
646,298.852277
647,282.148725
648,282.148337
649,281.072453
650,281.208752
651,282.148614
652,282.14826
653,280.133362
654,282.228751
655,284.676474
656,282.314259
657,282.148667
658,282.148165
659,280.690512
660,281.590836
661,282.148556
662,282.148201
663,280.133333
664,282.147926
665,282.148447
666,282.22956
667,282.229468
668,282.229457
669,280.133052
670,282.14833
671,282.14873
672,280.132822
673,282.148575
674,282.148157
675,280.132964
676,282.148819
677,282.148464
678,282.230362
679,284.681533
680,282.315023
681,282.148663
682,280.132658
683,282.148509
684,282.148354
685,280.132931
686,282.148753
687,282.148397
688,281.251463
689,281.02972
690,282.22852
691,282.229697
692,282.229691
693,282.148291
694,282.148324
695,280.133394
696,282.148133
697,282.14857
698,280.132714
699,282.148415
700,282.148814
701,298.852244
702,300.94867
703,14761.997121
704,13171.078195
705,11581.027395
706,10868.421677
707,10256.057008
708,12827.284688
709,8617.679856
710,7778.497981
711,7241.684955
712,7067.044402
713,11715.589067
714,375.826862
715,375.826707
716,338.387966
717,336.291012
718,300.868114
719,282.148397
720,281.254855
721,281.026327
722,282.148508
723,282.148288
724,280.133376
725,300.867373
726,300.949805
727,14748.657596
728,12563.407937
729,11023.796953
730,10345.215078
731,9467.916091
732,12434.322154
733,7590.477156
734,7056.910862
735,6596.836655
736,6266.159386
737,10926.377063
738,375.825676
739,375.826908
740,338.38819
741,338.306424
742,300.868103
743,280.132847
744,282.148588
745,282.148138
746,280.173391
747,282.108362
748,282.148477
749,300.490422
750,300.986084
751,13844.404447
752,10899.604311
753,9680.558868
754,8318.6451
755,7392.676692
756,11286.672338
757,5745.330311
758,5740.085875
759,5479.671377
760,5382.366631
761,10497.691343
762,375.827468
763,375.82735
764,338.388614
765,338.30653
766,298.852642
767,282.148293
768,282.148693
769,280.132711
770,282.148539
771,282.148244
772,280.132946
773,300.868143
774,300.947742
775,14247.518573
776,11592.452418
777,10365.96649
778,9398.805213
779,8444.933419
780,12194.209059
781,7265.851642
782,6899.378032
783,6491.303278
784,6366.447625
785,11322.683421
786,375.859995
787,375.901825
788,338.462382
789,337.182312
790,300.867866
791,282.148288
792,280.133376
793,282.148013
794,282.148534
795,280.132824
796,282.148379
797,300.868138
798,300.949273
799,14843.793468
800,12478.085713
801,10890.625961
802,10247.264308
803,8875.04871
804,12391.298572
805,7234.178846
806,6725.431569
807,6378.909648
808,6264.791417
809,11281.520285
810,375.825004
811,375.826086
812,338.387345
813,338.306203
814,299.032382
815,281.968598
816,282.148498
817,281.910687
818,280.37066
819,282.148027
820,282.148389
821,280.133426
822,282.228881
823,284.676578
824,282.314343
825,282.148794
826,282.148439
827,281.524284
828,280.756919
829,282.148263
830,282.14833
831,280.133396
832,282.148154
833,282.148575
834,282.229724
835,282.229602
836,282.229587
837,280.132646
838,282.148458
839,282.148616
840,280.132905
841,282.148702
842,282.148254
843,280.922035
844,281.35921
845,282.148591
846,282.23049
847,284.682259
848,282.314964
849,282.148789
850,280.132871
851,282.148634
852,282.148125
853,280.474365
854,281.807123
855,282.148523
856,282.072025
857,280.209422
858,282.228614
859,282.229818
860,282.229816
861,282.147924
862,282.14845
863,280.133277
864,282.148294
865,282.148694
866,280.132713
867,282.148539
868,282.148242
869,298.852307
870,300.948795
871,13890.547982
872,11699.098384
873,10055.404478
874,7951.493293
875,6637.717099
876,9982.451142
877,5764.575465
878,5343.080174
879,4891.599431
880,4542.102611
881,7357.682894
882,375.826951
883,375.826808
884,338.388069
885,336.481335
886,300.677717
887,282.1485
888,281.920919
889,280.360434
890,282.148022
891,282.148391
892,280.133426
893,300.867595
894,300.948482
895,10815.877528
896,6420.132564
897,5488.814253
898,4870.935288
899,4418.817081
900,6418.276773
901,3385.840316
902,3388.575076
903,3433.846572
904,3298.645883
905,6194.841294
906,375.825783
907,375.827011
908,338.388292
909,338.306527
910,300.868052
911,280.132899
912,282.148691
913,282.148219
914,280.844799
915,281.436476
916,282.14858
917,300.867585
918,300.948625
919,8315.487638
920,4340.759839
921,3795.245378
922,3368.804085
923,2964.8834
924,4329.088009
925,2243.463096
926,2213.460251
927,2174.573271
928,2190.381966
929,5019.852423
930,375.826989
931,375.826794
932,338.387902
933,338.306664
934,298.852045
935,282.148428
936,282.148818
937,280.13289
938,282.148673
939,282.148175
940,280.72627
941,300.27442
942,300.947844
943,10357.835712
944,4609.190933
945,4223.18643
946,3489.614522
947,2989.362231
948,4717.559699
949,2111.026618
950,1927.730169
951,1892.265062
952,1916.260867
953,4556.518673
954,375.864941
955,375.908766
956,338.45932
957,336.291404
958,300.867306
959,282.148428
960,280.13344
961,282.148272
962,282.148672
963,280.13267
964,282.148517
965,300.867679
966,300.949416
967,7661.801687
968,3518.766907
969,2941.90704
970,2539.25925
971,2314.928505
972,3119.006885
973,1859.542591
974,1834.303302
975,1792.313637
976,1791.373313
977,4001.436899
978,375.825104
979,375.826216
980,338.38748
981,338.306468
982,299.905418
983,281.09513
984,282.148581
985,282.148277
986,280.133371
987,282.147986
988,282.148523
989,280.132867
990,282.229016
991,284.676241
992,282.781699
993,281.699292
994,282.148539
995,282.148185
996,280.133325
997,282.147942
998,282.148431
999,280.133417
1000,282.148275
1001,282.148675
1002,282.229853
1003,282.229707
1004,282.229689
1005,280.132765
1006,282.148559
1007,282.14819
1008,280.132956
1009,282.148802
1010,282.148447
1011,281.577293
1012,280.703923
1013,282.148223
1014,282.230591
1015,284.68227
1016,282.314597
1017,282.14844
1018,280.132921
1019,282.148734
1020,282.148374
1021,281.129798
1022,281.151397
1023,282.148623
1024,282.148269
1025,280.133366
1026,282.228694
1027,282.229914
1028,282.229915
1029,282.148058
1030,282.148549
1031,280.132771
1032,282.148394
1033,282.148793
1034,280.132873
1035,282.148639
1036,282.148128
1037,299.223064
1038,300.982462
1039,13017.754889
1040,8237.061415
1041,6532.089275
1042,5583.566555
1043,4879.432588
1044,8285.005192
1045,4362.180105
1046,4167.306231
1047,3895.961265
1048,3686.854537
1049,6766.730057
1050,375.827095
1051,375.826964
1052,338.388227
1053,337.517102
1054,299.641522
1055,282.148405
1056,282.148304
1057,280.133384
1058,282.14806
1059,282.14855
1060,280.13277
1061,300.867755
1062,300.947501
1063,10623.065985
1064,5217.374261
1065,4795.057813
1066,4317.919305
1067,3938.498196
1068,6757.982047
1069,3302.744263
1070,3259.09221
1071,3156.262202
1072,3082.642342
1073,6439.768304
1074,375.825961
1075,375.827173
1076,338.388453
1077,338.306688
1078,300.867483
1079,280.298258
1080,281.983375
1081,282.148496
1082,281.895924
1083,280.385415
1084,282.148033
1085,300.867747
1086,300.948817
1087,11802.98353
1088,5372.093732
1089,4765.392643
1090,4274.720673
1091,3904.578198
1092,7172.801474
1093,3168.865481
1094,3245.873452
1095,3126.923788
1096,3061.858566
1097,6705.352258
1098,375.825585
1099,375.825841
1100,338.387026
1101,338.306788
1102,298.852106
1103,282.148552
1104,282.148206
1105,280.132953
1106,282.148796
1107,282.14844
1108,281.534802
1109,299.465764
1110,300.947948
1111,13196.46237
1112,6404.921435
1113,5261.968747
1114,4508.111064
1115,3993.832428
1116,7444.034826
1117,2970.434693
1118,3139.564844
1119,3124.187711
1120,3148.508891
1121,7098.885575
1122,375.82614
1123,375.826088
1124,338.387362
1125,336.291469
1126,300.867447
1127,282.148558
1128,280.132746
1129,282.148402
1130,282.148801
1131,280.132877
1132,282.148647
1133,300.867496
1134,300.949548
1135,12183.748937
1136,6115.868387
1137,5151.158192
1138,4492.262422
1139,4206.743362
1140,7402.808852
1141,3686.853447
1142,3534.289045
1143,3100.280288
1144,3051.983218
1145,6767.951525
1146,375.825198
1147,375.826337
1148,338.387605
1149,338.306593
1150,300.721522
1151,280.279239
1152,282.147991
1153,282.148403
1154,280.133433
1155,282.148247
1156,282.148648
1157,280.132644
1158,282.229142
1159,284.675801
1160,283.356046
1161,281.147356
1162,282.148624
1163,282.148269
1164,280.133367
1165,282.14797
1166,282.148515
1167,280.132902
1168,282.14836
1169,282.148759
1170,282.229951
1171,282.229794
1172,282.229774
1173,280.132875
1174,282.148642
1175,282.148131
1176,280.528638
1177,281.752811
1178,282.148531
1179,282.126296
1180,280.155189
1181,282.147953
1182,282.230676
1183,284.682289
1184,282.314429
1185,282.148159
1186,280.132964
1187,282.148818
1188,282.148462
1189,281.678239
1190,280.603006
1191,282.148153
1192,282.148353
1193,280.133408
1194,282.228768
1195,282.229996
1196,282.229998
1197,282.148232
1198,282.148632
1199,280.132639
1200,282.148478
1201,282.148503
1202,280.132915
1203,282.148722
1204,282.148323
1205,281.049317
1206,282.263978
1207,283.642567
1208,284.412305
1209,280.132718
1210,282.148413
1211,282.148812
1212,280.132882
1213,282.148657
1214,282.148148
1215,280.626109
1216,281.655276
1217,282.148546
1218,282.230449
1219,282.230327
1220,282.230312
1221,282.148225
1222,280.133345
1223,282.147921
1224,282.148471
1225,280.133135
1226,282.148316
1227,282.148715
1228,280.132773
1229,300.867921
1230,300.947574
1231,10805.524911
1232,6038.52966
1233,5106.64062
1234,4622.330821
1235,4221.042623
1236,6942.582877
1237,3506.728331
1238,3402.384327
1239,3246.54836
1240,3120.931318
1241,6218.301673
1242,375.826151
1243,375.827344
1244,338.388622
1245,338.306857
1246,300.867781
1247,281.403806
1248,280.87738
1249,282.148364
1250,282.148311
1251,280.133387
1252,282.148083
1253,300.867917
1254,300.949017
1255,9445.99221
1256,4929.673588
1257,4306.868774
1258,3850.2247
1259,3242.487336
1260,5294.05875
1261,2604.768459
1262,2501.937715
1263,2365.619482
1264,2292.688578
1265,4630.749057
1266,375.824923
1267,375.825676
1268,338.386954
1269,338.306838
1270,298.852255
1271,282.148681
1272,282.148194
1273,280.782221
1274,281.499081
1275,282.14857
1276,282.148215
1277,298.8527
1278,300.948068
1279,6649.146014
1280,3324.495645
1281,2865.761838
1282,2543.958167
1283,2444.867614
1284,3338.634436
1285,2423.01239
1286,2318.455758
1287,1868.864065
1288,1831.328449
1289,3677.871486
1290,375.826305
1291,375.826223
1292,338.387493
1293,336.291418
1294,300.867646
1295,282.148686
1296,280.132694
1297,282.148531
1298,282.148269
1299,280.132942
1300,282.148775
1301,300.86778
1302,300.949678
1303,9338.634767
1304,4131.467086
1305,3280.913244
1306,2556.398865
1307,2079.388133
1308,3025.259097
1309,1773.271113
1310,1767.764411
1311,1672.557692
1312,1650.374227
1313,3121.977266
1314,375.82529
1315,375.826458
1316,338.38773
1317,338.306633
1318,300.867642
1319,280.133373
1320,282.147996
1321,282.148527
1322,280.132851
1323,282.148372
1324,282.148771
1325,280.132862
1326,282.229267
1327,284.675515
1328,283.921874
1329,280.604169
1330,282.148154
1331,282.148353
1332,280.133408
1333,282.148197
1334,282.148598
1335,280.132661
1336,282.148443
1337,282.148711
1338,282.230035
1339,282.229877
1340,282.229857
1341,280.132917
1342,282.148725
1343,282.148336
1344,281.069804
1345,281.211401
1346,282.148614
1347,282.14826
1348,280.133362
1349,282.147953
1350,282.230759
1351,284.682316
1352,282.314383
1353,282.148147
1354,280.621009
1355,281.660379
1356,282.148545
1357,282.148191
1358,280.133328
1359,282.147935
1360,282.148437
1361,280.133371
1362,282.228846
1363,282.230078
1364,282.23008
1365,282.148314
1366,282.148714
1367,280.132769
1368,282.14856
1369,282.148187
1370,280.132957
1371,282.148804
1372,282.148448
1373,300.304836
1374,300.985204
1375,3717.588351
1376,1905.056592
1377,1887.785434
1378,2000.699126
1379,1763.187272
1380,2940.49433
1381,1611.676144
1382,1687.586845
1383,1714.091294
1384,1888.407538
1385,4757.507047
1386,375.827411
1387,375.827293
1388,338.388557
1389,338.306472
1390,298.852787
1391,282.148236
1392,282.148636
1393,280.13264
1394,282.148481
1395,282.148483
1396,280.132917
1397,300.868086
1398,300.947699
1399,12378.471968
1400,5157.095541
1401,4794.971677
1402,4348.960251
1403,3992.743619
1404,8007.207641
1405,3259.990384
1406,3423.354694
1407,3420.614476
1408,3397.086889
1409,7801.834605
1410,375.858743
1411,375.899376
1412,338.459972
1413,337.569485
1414,300.867944
1415,282.148229
1416,280.133347
1417,282.147922
1418,282.148475
1419,280.133114
1420,282.148319
1421,300.868079
1422,300.949207
1423,12841.374193
1424,6286.344483
1425,5202.150186
1426,4433.260088
1427,3865.874206
1428,7187.076296
1429,2847.978701
1430,2878.047847
1431,2941.3831
1432,2983.652481
1433,7318.942982
1434,375.824966
1435,375.826036
1436,338.387294
1437,338.306271
1438,298.852316
1439,282.148802
1440,282.148447
1441,281.577074
1442,280.704141
1443,282.148223
1444,282.148338
1445,298.852761
1446,300.94819
1447,12893.360298
1448,6597.17831
1449,5516.369016
1450,4650.520387
1451,3997.114577
1452,7067.765807
1453,2952.699177
1454,2959.698838
1455,2805.921022
1456,2782.033856
1457,6679.777957
1458,375.82646
1459,375.82635
1460,338.387616
1461,336.290814
1462,300.867767
1463,282.148806
1464,280.13288
1465,282.148652
1466,282.148141
1467,280.589264
1468,281.692145
1469,300.867901
1470,300.949799
1471,12865.883011
1472,6335.26466
1473,4989.288906
1474,4102.331322
1475,3506.846115
1476,6529.142427
1477,2947.664094
1478,2744.69785
1479,2577.866623
1480,2504.196263
1481,5991.273093
1482,375.825377
1483,375.826571
1484,338.387846
1485,338.306081
1486,300.867759
1487,280.133431
1488,282.148243
1489,282.148644
1490,280.132642
1491,282.148489
1492,282.148444
1493,280.132921
1494,282.229384
1495,284.67535
1496,284.412813
1497,280.133327
1498,282.147936
1499,282.148435
1500,280.133381
1501,282.14828
1502,282.14868
1503,280.132683
1504,282.148525
1505,282.148289
1506,282.230105
1507,282.229957
1508,282.229938
1509,280.132958
1510,282.148806
1511,282.14845
1512,281.59744
1513,280.68378
1514,282.148208
1515,282.148341
1516,280.133402
1517,282.148185
1518,282.229695
1519,284.682351
1520,282.314449
1521,282.148382
1522,281.156424
1523,281.124766
1524,282.148613
1525,282.148273
1526,280.133368
1527,282.147977
1528,282.148518
1529,280.132886
1530,282.228929
1531,282.230159
1532,282.230162
1533,282.148396
1534,282.148795
1535,280.132874
1536,282.148641
1537,282.14813
1538,280.519074
1539,281.762382
1540,282.14853
1541,300.836093
1542,300.980607
1543,11095.408109
1544,6131.550137
1545,5198.383911
1546,4589.095756
1547,4130.808912
1548,6753.127677
1549,3370.841297
1550,3279.581768
1551,3119.816125
1552,3003.203215
1553,6029.392981
1554,375.827542
1555,375.827259
1556,338.388346
1557,338.306625
1558,298.852148
1559,282.148389
1560,282.148788
1561,280.13287
1562,282.148634
1563,282.148124
1564,280.47053
1565,300.530321
1566,300.947814
1567,9315.247753
1568,4533.120232
1569,3983.536136
1570,3624.546219
1571,3096.941012
1572,6167.962123
1573,2511.008365
1574,2648.87902
1575,2615.257041
1576,2598.513831
1577,6213.61553
1578,375.863217
1579,375.906573
1580,338.467008
1581,336.542906
1582,300.867393
1583,282.148387
1584,280.133425
1585,282.148231
1586,282.148632
1587,280.132639
1588,282.148477
1589,300.867867
1590,300.949376
1591,12663.555451
1592,5799.874428
1593,5080.980305
1594,4467.379726
1595,4085.327619
1596,7537.626478
1597,3260.884266
1598,3358.537811
1599,3266.336964
1600,3221.113415
1601,7110.593783
1602,375.825075
1603,375.826178
1604,338.387441
1605,338.30634
1606,299.65127
1607,281.349333
1608,282.148593
1609,282.148238
1610,280.133351
1611,282.147928
1612,282.148484
1613,298.852419
1614,300.948337
1615,13016.803702
1616,6502.30314
1617,5077.257766
1618,4230.906974
1619,3575.451636
1620,6426.217257
1621,2589.9959
1622,2571.86105
1623,2512.217341
1624,2433.091168
1625,5852.957829
1626,375.826622
1627,375.826481
1628,338.387743
1629,336.290778
1630,300.867893
1631,282.148264
1632,280.132943
1633,282.148776
1634,282.148421
1635,281.406044
1636,280.875142
1637,300.867723
1638,300.949925
1639,10119.695137
1640,5200.233851
1641,4292.329923
1642,3582.806209
1643,3023.97751
1644,4618.431713
1645,2072.708438
1646,1881.851466
1647,1820.254033
1648,1806.553683
1649,3770.492675
1650,375.825474
1651,375.826691
1652,338.38797
1653,338.306067
1654,300.867883
1655,280.132867
1656,282.148368
1657,282.148767
1658,280.13286
1659,282.148613
1660,282.148121
1661,280.333575
1662,282.263034
1663,284.421428
1664,284.412684
1665,280.133405
1666,282.148192
1667,282.148593
1668,280.132669
1669,282.148438
1670,282.148748
1671,280.132895
1672,282.148682
1673,282.148197
1674,282.230246
1675,282.230112
1676,282.230095
1677,281.021261
1678,281.259955
1679,282.148607
1680,282.148252
1681,280.133358
1682,282.147942
1683,282.148498
1684,280.132985
1685,282.229028
1686,284.676357
1687,282.667674
1688,281.808937
1689,282.148523
1690,282.070212
1691,280.211233
1692,282.147968
1693,282.148414
1694,280.133438
1695,282.148258
1696,282.148658
1697,282.229832
1698,282.22969
1699,282.229672
1700,280.132719
1701,282.148542
1702,282.148235
1703,280.132948
1704,282.148786
1705,282.14843
1706,281.468078
1707,280.813116
1708,300.867669
1709,300.949935
1710,6221.178032
1711,2570.905403
1712,2099.227701
1713,2008.102075
1714,2292.827308
1715,2644.056929
1716,2606.912536
1717,2747.612027
1718,2702.415036
1719,2832.211173
1720,2296.523156
1721,375.825482
1722,375.8267
1723,338.387979
1724,338.30609
1725,300.867893
1726,280.132829
1727,282.148377
1728,282.148777
1729,280.132865
1730,282.148622
1731,282.14812
1732,299.114559
1733,300.982408
1734,4597.645972
1735,1715.793513
1736,1631.807251
1737,2169.893748
1738,2536.871651
1739,2550.230156
1740,2743.227455
1741,2739.449083
1742,2837.931796
1743,2908.119304
1744,2253.877916
