hours,kW
0,277.811294
1,277.811294
2,277.811294
3,277.811294
4,277.811294
5,277.811294
6,277.811294
7,277.811294
8,277.811294
9,277.811294
10,277.811294
11,277.811294
12,277.811294
13,277.811294
14,277.811294
15,277.811294
16,277.811294
17,277.811294
18,277.811294
19,277.811294
20,277.811294
21,277.811294
22,277.811294
23,277.811294
24,277.811294
25,277.811294
26,277.811294
27,277.811294
28,277.811294
29,296.530654
30,296.530654
31,427.631791
32,1133.433425
33,1132.298014
34,1131.984261
35,1131.768048
36,1053.478287
37,1136.788808
38,1136.730945
39,1136.657375
40,1134.460533
41,656.671616
42,371.408095
43,371.408095
44,333.969375
45,333.969375
46,296.530654
47,277.811294
48,277.811294
49,277.811294
50,277.811294
51,277.811294
52,277.811294
53,296.530654
54,296.530654
55,423.689783
56,1131.740775
57,1131.558422
58,1131.466975
59,1131.410225
60,1052.606726
61,1131.341728
62,1131.309977
63,1131.302617
64,1134.733505
65,665.705689
66,371.408095
67,371.408095
68,333.969375
69,333.969375
70,296.530654
71,277.811294
72,277.811294
73,277.811294
74,277.811294
75,277.811294
76,277.811294
77,296.530654
78,296.530654
79,439.216736
80,1142.844896
81,1141.101415
82,1140.549196
83,1140.065351
84,1063.863028
85,1140.414821
86,1139.379338
87,1139.295792
88,1139.264107
89,668.078041
90,371.408095
91,371.408095
92,333.969375
93,333.969375
94,296.530654
95,277.811294
96,277.811294
97,277.811294
98,277.811294
99,277.811294
100,277.811294
101,296.530654
102,296.530654
103,440.850069
104,1135.243593
105,1134.251749
106,1133.628551
107,1133.262086
108,1057.695298
109,1133.081985
110,1132.895443
111,1132.849797
112,1132.94959
113,663.731632
114,371.408095
115,371.408095
116,333.969375
117,333.969375
118,296.530654
119,277.811294
120,277.811294
121,277.811294
122,277.811294
123,277.811294
124,277.811294
125,296.530654
126,296.530654
127,460.043319
128,1146.934973
129,1137.305824
130,1135.546886
131,1134.726881
132,1064.865562
133,1133.811169
134,1133.58575
135,1133.48483
136,1133.539224
137,667.649169
138,371.408095
139,371.408095
140,333.969375
141,333.969375
142,296.530654
