hours,kW
0,578.617577
1,1078.752277
2,1213.128185
3,1397.250373
4,1338.636205
5,1550.498881
6,1813.214862
7,1386.382808
8,1382.305671
9,1602.404639
10,1214.761498
11,1128.028021
12,1089.500513
13,749.376184
14,632.173919
15,616.475001
16,787.449226
17,725.524885
18,665.914957
19,843.454148
20,735.23469
21,681.462166
22,866.383498
23,753.325789
24,690.805149
25,917.340999
26,841.695808
27,784.127925
28,1145.397307
29,1022.678887
30,1193.597812
31,3869.557126
32,1243.098528
33,1161.241716
34,1139.227038
35,1106.347753
36,1757.70979
37,1115.646684
38,1116.260331
39,1114.563285
40,1109.093449
41,1507.96859
42,439.18835
43,312.341515
44,303.615556
45,257.800308
46,228.107569
47,286.792997
48,362.953334
49,473.103912
50,937.417583
51,709.970862
52,852.852614
53,1554.53904
54,1295.467443
55,4934.708994
56,2077.690059
57,2040.691128
58,2212.223346
59,2311.355135
60,4560.682606
61,2313.003269
62,2315.078344
63,2496.80346
64,2788.803341
65,5732.028217
66,1806.151125
67,2034.499054
68,2255.578186
69,1547.267
70,1940.359993
71,2480.232816
72,1641.982706
73,2180.981884
74,2812.808049
75,1726.098036
76,2222.241771
77,2901.562551
78,2131.628068
79,7861.504117
80,4619.365361
81,4417.194035
82,4162.450229
83,4206.550408
84,7397.436598
85,4314.967699
86,4266.572999
87,4263.400135
88,4280.710581
89,7244.588369
90,2305.475921
91,2830.454054
92,3210.752116
93,2006.339285
94,2528.929494
95,3311.820054
96,2018.303044
97,2578.078297
98,5229.019357
99,4068.22458
100,4900.460368
101,6164.020006
102,5189.729059
103,11057.812964
104,6539.572773
105,6275.010731
106,6119.148196
107,5993.324802
108,9908.6846
109,5976.879476
110,5972.214206
111,6349.66154
112,6828.100375
113,11360.197639
114,6642.177036
115,7394.980267
116,8032.679727
117,7711.626102
118,9401.097632
119,8120.710702
120,7751.071016
121,9504.650242
122,8320.908278
123,7969.759313
124,9601.31197
125,8440.865647
126,8790.902813
127,21139.262031
128,13708.435205
129,11723.576007
130,10626.975478
131,9671.740671
132,14233.052354
133,8399.790413
134,8195.970361
135,8233.262976
136,8676.339435
137,12781.318396
138,6907.21312
139,8485.516032
140,10072.435026
141,6118.212175
142,8106.381272
143,10089.855533
144,6072.944672
145,8058.226514
146,10168.752684
147,6125.791203
148,8062.624065
149,10194.38367
150,6195.737265
151,8172.229489
152,10058.693218
153,5859.560671
154,7394.971218
155,7166.022336
156,5089.948913
157,5270.673545
158,6210.817951
159,4588.436877
160,5516.061453
161,7226.76684
162,5786.74939
163,6390.867585
164,7288.495421
165,5365.957762
166,5811.2991
167,6860.414064
168,5195.937608
169,5823.201566
170,6882.244893
171,5217.253831
172,5854.229751
173,6905.098621
174,5253.361817
175,5806.749274
176,6781.680865
177,5111.686051
178,5330.077134
179,5813.621199
180,3172.695122
181,3831.86869
182,4004.584639
183,3747.73504
184,4497.484724
185,5716.516354
186,4406.580016
187,5005.835598
188,5935.575286
189,4460.775409
190,5042.326876
191,5986.769505
192,4502.86898
193,5205.584593
194,6348.565791
195,4943.649792
196,5747.932281
197,6800.248852
198,5711.870391
199,13134.281185
200,7543.650031
201,6731.592205
202,6186.944829
203,6001.324677
204,9603.752745
205,5637.63925
206,5782.60525
207,6111.979702
208,6437.011053
209,10347.212127
210,6205.933784
211,7863.304661
212,9625.500508
213,5815.150869
214,7514.250627
215,9838.192193
216,5889.770426
217,7706.751954
218,10002.0325
219,6037.778019
220,7836.296025
221,10069.985877
222,6658.179377
223,16777.79642
224,10199.229643
225,8722.240267
226,7673.808614
227,6878.384562
228,10400.32325
229,6371.211322
230,6527.340008
231,6276.355888
232,6413.042884
233,9827.477503
234,5608.757108
235,6237.373526
236,6907.413319
237,5361.212552
238,6004.291057
239,7053.697487
240,5415.500829
241,6058.574929
242,7263.690579
243,5671.951513
244,6327.615959
245,7389.280065
246,6109.887223
247,12806.970791
248,7465.976894
249,5787.566648
250,4561.492862
251,4015.314565
252,5574.791135
253,3046.142298
254,2928.290949
255,2981.509912
256,3479.323363
257,6501.282978
258,2782.303279
259,4071.939814
260,4848.09288
261,3794.426116
262,4213.163153
263,5229.886169
264,3804.959241
265,4437.953675
266,5479.803438
267,4136.286976
268,4555.006755
269,5199.636472
270,4137.821202
271,8839.270118
272,4809.06628
273,4506.025884
274,4405.533308
275,4344.843606
276,7719.842111
277,4590.423988
278,4390.852533
279,4222.204089
280,4615.207344
281,8067.431295
282,4830.452232
283,5473.954975
284,5981.868848
285,4861.79294
286,5558.930468
287,6512.055866
288,4637.352126
289,5243.90463
290,6268.92688
291,5010.801676
292,5719.882842
293,6958.727183
294,6049.995701
295,12314.70105
296,6840.767542
297,5142.155366
298,4496.070287
299,4220.208615
300,7107.905629
301,4162.109688
302,4163.232124
303,4338.996769
304,4473.834914
305,7813.078519
306,4771.648281
307,5397.167828
308,5927.349618
309,4602.581052
310,5179.193106
311,6297.523646
312,5075.132611
313,6086.02941
314,7212.444793
315,5479.471709
316,6037.508989
317,7052.793065
318,5458.918565
319,5846.011622
320,6350.764257
321,4189.34839
322,3765.511461
323,2750.827154
324,1536.662644
325,1919.524066
326,3036.866637
327,2881.14878
328,3721.239191
329,4914.808952
330,3986.986144
331,4805.750905
332,6177.322095
333,5098.403614
334,6054.997071
335,9642.321219
336,5855.339107
337,7603.713515
338,9815.628857
339,5880.48031
340,7780.038834
341,10036.835585
342,6040.781722
343,7681.613703
344,9848.683346
345,5691.421663
346,6120.834641
347,6952.192712
348,4904.261819
349,5155.990541
350,5957.357371
351,4517.216107
352,5430.656581
353,6531.290041
354,5109.877345
355,5733.869999
356,6727.400316
357,5263.819129
358,6093.877109
359,7010.163907
360,5323.220693
361,6131.204594
362,7264.309079
363,6482.147538
364,8056.408679
365,7044.882565
366,6257.324529
367,8073.908733
368,6897.762575
369,4990.647969
370,5302.607703
371,5528.119599
372,3714.984447
373,4093.851005
374,4946.594392
375,3734.322553
376,4444.300905
377,5746.493202
378,4684.241573
379,5367.212688
380,5933.482357
381,4403.608106
382,5151.835622
383,6074.683334
384,4613.597471
385,5187.459857
386,6106.630537
387,4635.989464
388,5211.554849
389,6132.20393
390,5006.495183
391,10286.158114
392,5875.613519
393,5275.485413
394,5231.279914
395,4904.991053
396,7498.610934
397,4077.734952
398,4042.483098
399,4028.804822
400,4184.231569
401,7174.83551
402,4239.699304
403,4880.062255
404,5450.461523
405,4226.764655
406,4775.513586
407,5794.862369
408,4721.955873
409,5482.66691
410,6421.849221
411,4941.793776
412,5707.149386
413,7070.367224
414,6033.939674
415,13215.61371
416,8528.853422
417,8083.573265
418,8025.436417
419,7779.646239
420,11978.715652
421,7829.010123
422,7935.805272
423,8544.222939
424,9035.883166
425,13146.386412
426,6892.945472
427,8429.285413
428,10294.178497
429,6371.874016
430,8331.909966
431,10307.041556
432,6351.616118
433,8465.988697
434,10419.131187
435,6440.44404
436,8533.805251
437,10526.714641
438,7130.136692
439,19589.977764
440,14015.958426
441,12168.475074
442,11221.628911
443,10239.074364
444,14475.296634
445,8819.269032
446,8588.371515
447,8651.780891
448,9115.515283
449,13482.24256
450,7011.200781
451,8725.749923
452,10312.445119
453,6416.359598
454,8494.898221
455,10343.835376
456,6305.884191
457,8391.112886
458,10371.091322
459,6238.091262
460,7983.672633
461,10199.387843
462,6670.208518
463,17241.645967
464,11290.907477
465,9665.993306
466,8984.849979
467,8426.846966
468,12725.157931
469,7354.832582
470,6957.666431
471,7472.451122
472,7840.708693
473,11485.598419
474,6502.596519
475,7913.230877
476,9949.147309
