hours,kW
0,557.225197
1,1081.630931
2,1216.365422
3,1400.978939
4,1342.208359
5,1554.636392
6,1818.053431
7,1390.082375
8,1385.994358
9,1606.680661
10,1218.003093
11,1131.038167
12,1092.407848
13,751.375897
14,633.860877
15,618.120067
16,789.550536
17,721.2768
18,655.130856
19,839.59595
20,737.196666
21,670.369481
22,862.626889
23,755.336041
24,686.467893
25,919.788926
26,843.941876
27,786.220373
28,1148.453803
29,1025.407909
30,1196.782932
31,3874.854663
32,1233.56076
33,1149.619347
34,1130.185904
35,1091.305385
36,1733.592279
37,1018.406641
38,1014.520761
39,1010.72669
40,1021.59129
41,1479.073047
42,429.327275
43,313.175
44,304.425755
45,258.488249
46,228.716275
47,287.558305
48,334.468115
49,460.601676
50,927.714349
51,702.365047
52,855.128454
53,1558.687332
54,1298.924402
55,4947.87728
56,2083.234381
57,2046.136718
58,2218.126671
59,2317.522994
60,4572.852801
61,2319.175526
62,2321.256138
63,2503.466187
64,2796.245271
65,5747.324151
66,1810.970844
67,2039.928121
68,2261.597203
69,1551.395887
70,1945.537849
71,2486.851325
72,1646.364341
73,2186.801841
74,2820.314036
75,1730.704134
76,2228.17183
77,2909.30538
78,2137.316324
79,7882.482565
80,4631.692152
81,4428.981331
82,4173.55774
83,4217.7756
84,7417.17668
85,4326.482203
86,4277.958362
87,4274.777031
88,4292.133671
89,7263.920575
90,2311.628091
91,2838.007129
92,3219.320018
93,2011.693207
94,2535.67795
95,3320.657656
96,2023.688892
97,2584.957906
98,5242.973011
99,4079.08065
100,4913.537262
101,6180.468713
102,5203.577867
103,11087.320771
104,6557.023643
105,6291.755616
106,6135.477162
107,6009.318008
108,9935.125955
109,5992.828797
110,5988.151078
111,6366.605632
112,6846.321181
113,11390.512361
114,6659.901706
115,7414.713795
116,8054.114958
117,7732.2046
118,9426.184489
119,8142.380844
120,7771.754772
121,9530.01343
122,8343.112647
123,7991.02664
124,9626.9331
125,8463.390123
126,8814.361364
127,21195.672216
128,13745.016207
129,11754.860405
130,10655.333595
131,9697.54974
132,14271.033297
133,8422.205279
134,8217.841333
135,8255.233464
136,8699.492273
137,12815.425383
138,6925.645039
139,8508.159658
140,10099.313349
141,6134.538643
142,8128.013175
143,10116.780344
144,6089.150343
145,8079.729916
146,10195.888031
147,6142.137896
148,8084.139202
149,10221.587413
150,6212.270609
151,8194.037109
152,10085.534871
153,5875.196926
154,7414.704721
155,7185.144888
156,5103.531458
157,5284.738353
158,6227.391537
159,4600.681135
160,5530.78108
161,7246.051489
162,5802.191349
163,6407.921634
164,7307.944794
165,5380.276837
166,5826.806569
167,6878.7211
168,5209.802983
169,5838.740797
170,6900.610185
171,5231.176089
172,5869.851781
173,6923.524898
174,5267.380429
175,5822.244602
176,6799.777801
177,5125.326601
178,5344.300461
179,5829.134865
180,3181.161469
181,3842.094043
182,4015.270885
183,3757.735883
184,4509.486276
185,5731.770895
186,4418.338989
187,5019.193686
188,5951.414387
189,4472.679002
190,5055.78234
191,6002.745218
192,4514.8849
193,5219.475711
194,6365.506958
195,4956.841937
196,5763.270656
197,6818.395337
198,5727.112535
199,13169.330055
200,7563.780284
201,6749.555479
202,6203.454711
203,6017.33923
204,9629.380389
205,5652.683308
206,5798.03615
207,6128.289539
208,6454.188236
209,10374.823694
210,6222.494337
211,7884.287914
212,9651.186185
213,5830.668617
214,7534.302428
215,9864.445439
216,5905.487297
217,7727.317445
218,10028.722954
219,6053.889848
220,7857.207205
221,10096.857665
222,6675.946749
223,16822.568021
224,10226.446319
225,8745.515591
226,7694.286195
227,6896.739552
228,10428.076544
229,6388.212919
230,6544.758235
231,6293.104363
232,6430.156108
233,9853.702157
234,5623.724093
235,6254.017976
236,6925.845773
237,5375.518964
238,6020.313526
239,7072.520301
240,5429.95211
241,6074.742254
242,7283.073759
243,5687.087133
244,6344.501222
245,7408.998382
246,6126.191475
247,12841.146232
248,7485.899876
249,5803.010787
250,4573.66522
251,4026.029444
252,5589.667482
253,3054.270938
254,2936.105102
255,2989.46608
256,3488.607948
257,6518.631671
258,2789.727864
259,4082.805797
260,4861.030031
261,3804.551554
262,4224.405992
263,5243.842137
264,3815.112787
265,4449.796368
266,5494.42631
267,4147.32467
268,4567.161804
269,5213.511718
270,4148.862991
271,8862.857738
272,4821.899288
273,4518.050228
274,4417.289487
275,4356.437834
276,7740.442533
277,4602.673549
278,4402.569537
279,4233.471054
280,4627.523039
281,8088.95926
282,4843.342308
283,5488.562241
284,5997.831483
