hours,kW
0,218.273277
1,218.273277
2,218.273277
3,218.273277
4,218.273277
5,218.273277
6,218.273277
7,218.273277
8,218.273277
9,218.273277
10,218.273277
11,218.273277
12,218.273277
13,218.273277
14,218.273277
15,218.273277
16,218.273277
17,218.273277
18,218.273277
19,218.273277
20,218.273277
21,218.273277
22,218.273277
23,218.273277
24,218.273277
25,218.273277
26,218.273277
27,218.273277
28,218.273277
29,229.575231
30,229.575231
31,303.391943
32,839.736958
33,842.313128
34,843.648036
35,844.122453
36,776.493148
37,847.519233
38,848.310229
39,848.833414
40,848.49118
41,481.06567
42,274.783045
43,274.783045
44,252.179138
45,252.179138
46,229.575231
47,218.273277
48,218.273277
49,218.273277
50,218.273277
51,218.273277
52,218.273277
53,229.575231
54,229.575231
55,301.664974
56,846.657929
57,848.636894
58,849.634686
59,850.369701
60,781.845234
61,851.299445
62,851.897567
63,852.188148
64,854.189046
65,488.096538
66,274.783045
67,274.783045
68,252.179138
69,252.179138
70,229.575231
71,218.273277
72,218.273277
73,218.273277
74,218.273277
75,218.273277
76,218.273277
77,229.575231
78,229.575231
79,310.341685
80,846.740096
81,848.306989
82,849.554506
83,850.372319
84,783.566139
85,851.770557
86,851.83594
87,852.430128
88,852.924856
89,486.610536
90,274.783045
91,274.783045
92,252.179138
93,252.179138
94,229.575231
95,218.273277
96,218.273277
97,218.273277
98,218.273277
99,218.273277
100,218.273277
101,229.575231
102,229.575231
103,309.091246
104,839.325855
105,841.364407
106,842.65787
107,850.234553
108,781.45888
109,852.441498
110,852.409287
111,852.421058
112,852.459283
113,484.188357
114,274.783045
115,274.783045
116,252.179138
117,252.179138
118,229.575231
119,218.273277
120,218.273277
121,218.273277
122,218.273277
123,218.273277
124,218.273277
125,229.575231
126,229.575231
127,319.765637
128,840.334275
129,837.337282
130,836.92336
131,837.672136
132,776.627008
133,840.099062
134,841.362462
135,842.478441
136,843.423062
137,484.988959
138,274.783045
139,274.783045
140,252.179138
141,252.179138
142,229.575231
143,218.273277
144,218.273277
145,218.273277
146,218.273277
147,218.273277
148,218.273277
149,218.273277
150,218.273277
151,218.273277
152,218.273277
153,218.273277
154,218.273277
155,218.273277
156,218.273277
157,218.273277
158,218.273277
159,218.273277
160,218.273277
161,218.273277
162,218.273277
163,218.273277
164,218.273277
165,218.273277
166,218.273277
167,218.273277
168,218.273277
169,218.273277
170,218.273277
171,218.273277
172,218.273277
173,218.273277
174,218.273277
175,218.273277
176,218.273277
177,218.273277
178,218.273277
179,218.273277
180,218.273277
181,218.273277
182,218.273277
183,218.273277
184,218.273277
185,218.273277
186,218.273277
187,218.273277
188,218.273277
189,218.273277
190,218.273277
191,218.273277
192,218.273277
193,218.273277
194,218.273277
195,218.273277
196,218.273277
197,229.575231
198,229.575231
199,317.762686
200,837.569828
201,836.869865
202,836.612416
203,836.473243
204,773.363954
205,837.496495
206,839.044379
207,840.206836
208,841.194981
209,482.973958
210,274.783045
211,274.783045
212,252.179138
213,252.179138
214,229.575231
215,218.273277
216,218.273277
217,218.273277
218,218.273277
219,218.273277
220,218.273277
221,229.575231
222,229.575231
223,319.574916
224,837.725686
225,836.929949
226,836.663576
227,837.70645
228,773.75957
229,840.123123
230,841.157895
231,843.490235
232,852.568565
233,482.405267
234,274.783045
235,274.783045
236,252.179138
237,252.179138
238,229.575231
239,218.273277
240,218.273277
241,218.273277
242,218.273277
243,218.273277
244,218.273277
245,229.575231
246,229.575231
247,311.476539
248,836.911544
249,839.459014
250,843.368735
251,844.950488
252,774.737189
253,843.322759
254,844.41536
255,845.356228
256,846.970057
257,485.054705
258,274.783045
259,274.783045
260,252.179138
261,252.179138
262,229.575231
263,218.273277
264,218.273277
265,218.273277
266,218.273277
267,218.273277
268,218.273277
269,229.575231
270,229.575231
271,311.400008
272,843.179311
273,844.993144
274,846.312775
275,847.425745
276,781.356706
277,849.252048
278,849.805883
279,850.59519
280,851.301626
281,483.919379
282,274.783045
283,274.783045
284,252.179138
285,252.179138
286,229.575231
287,218.273277
288,218.273277
289,218.273277
290,218.273277
291,218.273277
292,218.273277
293,229.575231
294,229.575231
295,310.339064
296,837.982918
297,842.201057
298,845.789143
299,847.140454
300,781.17535
301,849.434615
302,849.802493
303,850.388253
304,850.985766
305,484.786387
306,274.783045
307,274.783045
308,252.179138
309,252.179138
310,229.575231
311,218.273277
312,218.273277
313,218.273277
314,218.273277
315,218.273277
316,218.273277
317,218.273277
318,218.273277
319,218.273277
320,218.273277
321,218.273277
322,218.273277
323,218.273277
324,218.273277
325,218.273277
326,218.273277
327,218.273277
328,218.273277
329,218.273277
330,218.273277
331,218.273277
332,218.273277
333,218.273277
334,218.273277
335,218.273277
336,218.273277
337,218.273277
338,218.273277
339,218.273277
340,218.273277
341,218.273277
342,218.273277
343,218.273277
344,218.273277
345,218.273277
346,218.273277
347,218.273277
348,218.273277
349,218.273277
350,218.273277
351,218.273277
352,218.273277
353,218.273277
354,218.273277
355,218.273277
356,218.273277
357,218.273277
358,218.273277
359,218.273277
360,218.273277
361,218.273277
362,218.273277
363,218.273277
364,218.273277
365,218.273277
366,218.273277
367,218.273277
368,218.273277
369,218.273277
370,218.273277
371,218.273277
372,218.273277
373,218.273277
374,218.273277
375,218.273277
376,218.273277
377,218.273277
378,218.273277
379,218.273277
380,218.273277
381,218.273277
382,218.273277
383,218.273277
384,218.273277
385,218.273277
386,218.273277
387,218.273277
388,218.273277
389,229.575231
390,229.575231
391,314.923412
392,842.242859
393,840.837343
394,840.507573
395,840.355146
396,776.768519
397,842.453555
398,843.699315
399,844.931104
400,845.845753
401,485.453262
402,274.783045
403,274.783045
404,252.179138
405,252.179138
406,229.575231
407,218.273277
408,218.273277
409,218.273277
410,218.273277
411,218.273277
412,218.273277
413,229.575231
414,229.575231
415,311.36871
416,836.780281
417,837.402307
418,838.89146
419,840.093977
420,775.562476
421,841.883229
422,842.679869
423,843.346625
424,843.942931
425,484.370142
426,274.783045
427,274.783045
428,252.179138
429,252.179138
430,229.575231
431,218.273277
432,218.273277
433,218.273277
434,218.273277
435,218.273277
436,218.273277
437,229.575231
438,229.575231
439,319.720293
440,839.317644
441,837.274585
442,836.904005
443,836.830504
444,775.616887
445,839.011113
446,840.272945
447,841.260321
448,842.127776
449,484.763522
450,274.783045
451,274.783045
452,252.179138
453,252.179138
454,229.575231
455,218.273277
456,218.273277
457,218.273277
458,218.273277
459,218.273277
460,218.273277
461,229.575231
462,229.575231
463,319.567238
464,838.26909
465,836.925359
466,836.641052
467,837.132506
468,774.193394
469,839.738551
470,840.989036
471,841.95799
472,842.816031
473,482.895081
474,274.783045
475,274.783045
476,252.179138
477,252.179138
478,229.575231
479,218.273277
480,218.273277
481,218.273277
482,218.273277
483,218.273277
484,218.273277
485,218.273277
486,218.273277
487,218.273277
488,218.273277
489,218.273277
490,218.273277
491,218.273277
492,218.273277
493,218.273277
494,218.273277
495,218.273277
496,218.273277
497,218.273277
498,218.273277
499,218.273277
500,218.273277
501,218.273277
502,218.273277
503,218.273277
504,218.273277
505,218.273277
506,218.273277
507,218.273277
508,218.273277
509,218.273277
510,218.273277
511,218.273277
512,218.273277
513,218.273277
514,218.273277
515,218.273277
516,218.273277
517,218.273277
518,218.273277
519,218.273277
520,218.273277
521,218.273277
522,218.273277
523,218.273277
524,218.273277
525,218.273277
526,218.273277
527,218.273277
528,218.273277
529,218.273277
530,218.273277
531,218.273277
532,218.273277
533,229.575231
534,229.575231
535,320.003644
536,843.24551
537,838.422912
538,837.440625
539,837.060765
540,774.779879
541,836.625404
542,840.300091
543,840.136569
544,841.259142
545,486.191314
546,274.783045
547,274.783045
548,252.179138
549,252.179138
550,229.575231
551,218.273277
552,218.273277
553,218.273277
554,218.273277
555,218.273277
556,218.273277
557,229.575231
558,229.575231
559,316.302575
560,837.256998
561,836.830498
562,836.614429
563,837.747741
564,773.977043
565,840.071042
566,841.188724
567,842.113498
568,843.60134
569,483.023613
570,274.783045
571,274.783045
572,252.179138
573,252.179138
574,229.575231
575,218.273277
576,218.273277
577,218.273277
578,218.273277
579,218.273277
580,218.273277
581,229.575231
582,229.575231
583,318.553978
584,837.476346
585,836.946126
586,836.726524
587,837.538184
588,774.558464
589,839.617731
590,840.571844
591,841.355626
592,841.970121
593,484.307844
594,274.783045
595,274.783045
596,252.179138
597,252.179138
598,229.575231
599,218.273277
600,218.273277
601,218.273277
602,218.273277
603,218.273277
604,218.273277
605,229.575231
606,229.575231
607,316.208072
608,837.362039
609,836.855887
610,836.676866
611,837.706481
612,774.143533
613,840.119147
614,841.096883
615,841.995041
616,843.623828
617,482.51825
618,274.783045
619,274.783045
620,252.179138
621,252.179138
622,229.575231
623,218.273277
624,218.273277
625,218.273277
626,218.273277
627,218.273277
628,218.273277
629,229.575231
630,229.575231
631,313.264283
632,837.155971
633,836.67411
634,837.65496
635,839.007015
636,775.526691
637,840.747742
638,841.619079
639,842.310368
640,842.929666
641,488.721688
642,274.783045
643,274.783045
644,252.179138
645,252.179138
646,229.575231
647,218.273277
648,218.273277
649,218.273277
650,218.273277
651,218.273277
652,218.273277
653,218.273277
654,218.273277
655,218.273277
656,218.273277
657,218.273277
658,218.273277
659,218.273277
660,218.273277
661,218.273277
662,218.273277
663,218.273277
664,218.273277
665,218.273277
666,218.273277
667,218.273277
668,218.273277
669,218.273277
670,218.273277
671,218.273277
672,218.273277
673,218.273277
674,218.273277
675,218.273277
676,218.273277
677,218.273277
678,218.273277
679,218.273277
680,218.273277
681,218.273277
682,218.273277
683,218.273277
684,218.273277
685,218.273277
686,218.273277
687,218.273277
688,218.273277
689,218.273277
690,218.273277
691,218.273277
692,218.273277
693,218.273277
694,218.273277
695,218.273277
696,218.273277
697,218.273277
698,218.273277
699,218.273277
700,218.273277
701,229.575231
702,229.575231
703,320.869191
704,847.610346
705,844.053813
706,843.521077
707,839.641367
708,784.998989
709,838.315558
710,837.745611
711,837.487546
712,837.392639
713,493.469713
714,274.783045
715,274.783045
716,252.179138
717,252.179138
718,229.575231
719,218.273277
720,218.273277
721,218.273277
722,218.273277
723,218.273277
724,218.273277
725,229.575231
726,229.575231
727,320.639714
728,845.228631
729,843.500551
730,841.915539
731,838.644204
732,784.551691
733,837.635842
734,837.297925
735,837.11874
736,836.999201
737,493.041955
738,274.783045
739,274.783045
740,252.179138
741,252.179138
742,229.575231
743,218.273277
744,218.273277
745,218.273277
746,218.273277
747,218.273277
748,218.273277
749,229.575231
750,229.575231
751,320.100816
752,843.394028
753,838.937765
754,837.819109
755,837.391872
756,783.933119
757,836.926445
758,836.807512
759,836.723281
760,836.702058
761,492.851883
762,274.783045
763,274.783045
764,252.179138
765,252.179138
766,229.575231
767,218.273277
768,218.273277
769,218.273277
770,218.273277
771,218.273277
772,218.273277
773,229.575231
774,229.575231
775,320.279477
776,843.855413
777,841.357466
778,838.500422
779,837.916292
780,784.350496
781,837.548214
782,837.284872
783,837.144012
784,837.086079
785,493.203428
786,274.783045
787,274.783045
788,252.179138
789,252.179138
790,229.575231
791,218.273277
792,218.273277
793,218.273277
794,218.273277
795,218.273277
796,218.273277
797,229.575231
798,229.575231
799,320.595662
800,845.136157
801,843.326066
802,840.338802
803,838.270485
804,784.48815
805,837.584306
806,837.255264
807,837.126521
808,837.078461
809,493.214611
810,274.783045
811,274.783045
812,252.179138
813,252.179138
814,229.575231
815,218.273277
816,218.273277
817,218.273277
818,218.273277
819,218.273277
820,218.273277
821,218.273277
822,218.273277
823,218.273277
824,218.273277
825,218.273277
826,218.273277
827,218.273277
828,218.273277
829,218.273277
830,218.273277
831,218.273277
832,218.273277
833,218.273277
834,218.273277
835,218.273277
836,218.273277
837,218.273277
838,218.273277
839,218.273277
840,218.273277
841,218.273277
842,218.273277
843,218.273277
844,218.273277
845,218.273277
846,218.273277
847,218.273277
848,218.273277
849,218.273277
850,218.273277
851,218.273277
852,218.273277
853,218.273277
854,218.273277
855,218.273277
856,218.273277
857,218.273277
858,218.273277
859,218.273277
860,218.273277
861,218.273277
862,218.273277
863,218.273277
864,218.273277
865,218.273277
866,218.273277
867,218.273277
868,218.273277
869,229.575231
870,229.575231
871,320.482135
872,844.743315
873,842.017566
874,838.390239
875,837.594886
876,780.848968
877,841.290947
878,840.530186
879,840.315201
880,839.225655
881,483.461029
882,274.783045
883,274.783045
884,252.179138
885,252.179138
886,229.575231
887,218.273277
888,218.273277
889,218.273277
890,218.273277
891,218.273277
892,218.273277
893,229.575231
894,229.575231
895,313.384702
896,841.854869
897,840.765959
898,840.526931
899,840.397181
900,772.101155
901,838.281946
902,840.542338
903,844.46038
904,845.372607
905,485.334358
906,274.783045
907,274.783045
908,252.179138
909,252.179138
910,229.575231
911,218.273277
912,218.273277
913,218.273277
914,218.273277
915,218.273277
916,218.273277
917,229.575231
918,229.575231
919,307.289583
920,837.027805
921,838.591373
922,840.284478
923,841.642495
924,774.521614
925,843.84406
926,844.617329
927,845.272122
928,845.737892
929,481.618556
930,274.783045
931,274.783045
932,252.179138
933,252.179138
934,229.575231
935,218.273277
936,218.273277
937,218.273277
938,218.273277
939,218.273277
940,218.273277
941,229.575231
942,229.575231
943,309.524703
944,839.12661
945,842.778646
946,842.71598
947,842.205213
948,775.285883
949,844.423472
950,845.547171
951,846.579445
952,847.263212
953,481.907794
954,274.783045
955,274.783045
956,252.179138
957,252.179138
958,229.575231
959,218.273277
960,218.273277
961,218.273277
962,218.273277
963,218.273277
964,218.273277
965,229.575231
966,229.575231
967,306.702364
968,839.91478
969,842.496135
970,843.342243
971,844.457736
972,776.964677
973,845.329872
974,846.905428
975,848.023581
976,848.831468
977,481.316976
978,274.783045
979,274.783045
980,252.179138
981,252.179138
982,229.575231
983,218.273277
984,218.273277
985,218.273277
986,218.273277
987,218.273277
988,218.273277
989,218.273277
990,218.273277
991,218.273277
992,218.273277
993,218.273277
994,218.273277
995,218.273277
996,218.273277
997,218.273277
998,218.273277
999,218.273277
1000,218.273277
1001,218.273277
1002,218.273277
1003,218.273277
1004,218.273277
1005,218.273277
1006,218.273277
1007,218.273277
1008,218.273277
1009,218.273277
1010,218.273277
1011,218.273277
1012,218.273277
1013,218.273277
1014,218.273277
1015,218.273277
1016,218.273277
1017,218.273277
1018,218.273277
1019,218.273277
1020,218.273277
1021,218.273277
1022,218.273277
1023,218.273277
1024,218.273277
1025,218.273277
1026,218.273277
1027,218.273277
1028,218.273277
1029,218.273277
1030,218.273277
1031,218.273277
1032,218.273277
1033,218.273277
1034,218.273277
1035,218.273277
1036,218.273277
1037,229.575231
1038,229.575231
1039,319.658505
1040,839.122567
1041,837.232041
1042,836.876968
1043,836.649884
1044,777.697167
1045,840.905898
1046,842.07717
1047,843.544412
1048,844.706417
1049,485.690552
1050,274.783045
1051,274.783045
1052,252.179138
1053,252.179138
1054,229.575231
1055,218.273277
1056,218.273277
1057,218.273277
1058,218.273277
1059,218.273277
1060,218.273277
1061,229.575231
1062,229.575231
1063,310.310699
1064,838.81545
1065,841.36351
1066,843.14692
1067,844.473057
1068,779.113617
1069,846.70707
1070,847.030346
1071,847.723162
1072,848.374128
1073,484.30711
1074,274.783045
1075,274.783045
1076,252.179138
1077,252.179138
1078,229.575231
1079,218.273277
1080,218.273277
1081,218.273277
1082,218.273277
1083,218.273277
1084,218.273277
1085,229.575231
1086,229.575231
1087,311.538423
1088,836.841293
1089,837.896063
1090,839.453131
1091,840.672788
1092,775.727175
1093,846.149325
1094,852.554602
1095,852.518479
1096,852.496239
1097,483.821567
1098,274.783045
1099,274.783045
1100,252.179138
1101,252.179138
1102,229.575231
1103,218.273277
1104,218.273277
1105,218.273277
1106,218.273277
1107,218.273277
1108,218.273277
1109,229.575231
1110,229.575231
1111,318.180784
1112,837.216375
1113,836.841241
1114,838.16106
1115,839.553381
1116,775.183326
1117,841.640471
1118,843.241583
1119,852.357108
1120,852.523932
1121,482.592883
1122,274.783045
1123,274.783045
1124,252.179138
1125,252.179138
1126,229.575231
1127,218.273277
1128,218.273277
1129,218.273277
1130,218.273277
1131,218.273277
1132,218.273277
1133,229.575231
1134,229.575231
1135,312.81249
1136,837.122797
1137,836.921194
1138,838.341452
1139,841.864235
1140,778.908994
1141,846.21778
1142,847.99302
1143,852.514633
1144,852.494401
1145,484.026021
1146,274.783045
1147,274.783045
1148,252.179138
1149,252.179138
1150,229.575231
1151,218.273277
1152,218.273277
1153,218.273277
1154,218.273277
1155,218.273277
1156,218.273277
1157,218.273277
1158,218.273277
1159,218.273277
1160,218.273277
1161,218.273277
1162,218.273277
1163,218.273277
1164,218.273277
1165,218.273277
1166,218.273277
1167,218.273277
1168,218.273277
1169,218.273277
1170,218.273277
1171,218.273277
1172,218.273277
1173,218.273277
1174,218.273277
1175,218.273277
1176,218.273277
1177,218.273277
1178,218.273277
1179,218.273277
1180,218.273277
1181,218.273277
1182,218.273277
1183,218.273277
1184,218.273277
1185,218.273277
1186,218.273277
1187,218.273277
1188,218.273277
1189,218.273277
1190,218.273277
1191,218.273277
1192,218.273277
1193,218.273277
1194,218.273277
1195,218.273277
1196,218.273277
1197,218.273277
1198,218.273277
1199,218.273277
1200,218.273277
1201,218.273277
1202,218.273277
1203,218.273277
1204,218.273277
1205,218.273277
1206,218.273277
1207,218.273277
1208,218.273277
1209,218.273277
1210,218.273277
1211,218.273277
1212,218.273277
1213,218.273277
1214,218.273277
1215,218.273277
1216,218.273277
1217,218.273277
1218,218.273277
1219,218.273277
1220,218.273277
1221,218.273277
1222,218.273277
1223,218.273277
1224,218.273277
1225,218.273277
1226,218.273277
1227,218.273277
1228,218.273277
1229,229.575231
1230,229.575231
1231,313.279623
1232,841.537759
1233,839.558131
1234,840.554488
1235,841.904472
1236,777.391234
1237,844.875024
1238,845.699099
1239,846.666547
1240,847.470673
1241,485.288568
1242,274.783045
1243,274.783045
1244,252.179138
1245,252.179138
1246,229.575231
1247,218.273277
1248,218.273277
1249,218.273277
1250,218.273277
1251,218.273277
1252,218.273277
1253,229.575231
1254,229.575231
1255,310.421298
1256,842.141533
1257,843.891012
1258,845.48832
1259,842.727705
1260,775.922351
1261,844.594478
1262,845.546497
1263,846.523411
1264,847.200642
1265,480.831324
1266,274.783045
1267,274.783045
1268,252.179138
1269,252.179138
1270,229.575231
1271,218.273277
1272,218.273277
1273,218.273277
1274,218.273277
1275,218.273277
1276,218.273277
1277,229.575231
1278,229.575231
1279,303.771859
1280,842.057435
1281,843.968198
1282,844.503838
1283,846.308031
1284,781.299622
1285,850.934158
1286,851.24361
1287,848.983163
1288,849.993703
1289,481.814144
1290,274.783045
1291,274.783045
1292,252.179138
1293,252.179138
1294,229.575231
1295,218.273277
1296,218.273277
1297,218.273277
1298,218.273277
1299,218.273277
1300,218.273277
1301,229.575231
1302,229.575231
1303,309.016894
1304,845.326781
1305,845.495888
1306,845.394672
1307,846.887701
1308,777.358693
1309,847.242135
1310,848.094373
1311,848.148395
1312,849.589341
1313,482.158952
1314,274.783045
1315,274.783045
