hours,kW
0,121.207093
1,121.207093
2,135.228094
3,140.286277
4,121.207093
5,135.228094
6,140.286277
7,86.903964
8,89.490588
9,94.548772
10,75.469587
11,89.490588
12,94.548772
13,75.469587
14,70.411404
15,56.390402
16,98.33834
17,116.148909
18,121.207093
19,121.207093
20,116.148909
21,140.286277
22,121.207093
23,135.228094
24,140.286277
25,121.207093
26,135.228094
27,140.286277
28,121.207093
29,135.228094
30,164.720599
31,202.01606
32,256.991687
33,296.076435
34,296.076435
35,296.076435
36,273.939768
37,296.076435
38,296.076435
39,296.076435
40,318.945188
41,127.452463
42,83.048723
43,83.048723
44,77.99054
45,83.048723
46,83.048723
47,77.99054
48,83.048723
49,83.048723
50,116.148909
51,121.207093
52,140.286277
53,135.228094
54,164.720599
55,202.01606
56,256.991687
57,296.076435
58,296.076435
59,296.076435
60,273.939768
61,296.076435
62,296.076435
63,296.076435
64,318.945188
65,165.610832
66,140.286277
67,140.286277
68,116.148909
69,140.286277
70,140.286277
71,116.148909
72,140.286277
73,140.286277
74,119.102678
75,143.240046
76,143.240046
77,119.102678
78,167.525891
79,204.821352
80,259.796979
81,298.217524
82,299.030204
83,299.030204
84,276.74506
85,298.955966
86,298.291762
87,296.814878
88,321.898957
89,168.564601
90,143.240046
91,143.240046
92,119.102678
93,143.240046
94,143.240046
95,119.102678
96,143.240046
97,143.240046
98,119.102678
99,143.240046
100,143.240046
101,119.102678
102,167.600129
103,204.969829
104,259.945456
105,298.881728
106,299.030204
107,298.881728
108,276.74506
109,299.030204
110,298.807489
111,298.955966
112,321.824719
113,168.564601
114,143.240046
115,143.240046
116,119.102678
117,143.240046
118,143.240046
119,119.102678
120,143.240046
121,143.240046
122,119.102678
123,143.240046
124,143.240046
125,119.102678
126,167.600129
127,204.969829
128,259.722741
129,298.955966
130,299.030204
131,298.955966
132,276.819298
133,298.955966
134,298.881728
135,299.030204
136,321.898957
137,168.564601
138,143.240046
139,143.240046
140,119.102678
141,143.240046
142,143.240046
143,119.102678
144,143.240046
145,143.240046
146,119.102678
147,143.240046
148,143.240046
149,119.102678
150,143.240046
151,133.148523
152,127.125449
153,161.155698
154,161.155698
155,161.229937
156,121.936862
157,121.862624
158,121.862624
159,121.788385
160,96.233926
161,143.240046
162,143.240046
163,119.102678
164,143.240046
165,143.240046
166,119.102678
167,143.240046
168,143.240046
169,119.102678
170,143.240046
171,143.240046
172,119.102678
173,143.240046
174,143.240046
175,84.799549
176,97.502541
177,97.502541
178,73.365173
179,97.502541
180,97.502541
181,73.365173
182,97.502541
183,97.502541
184,96.233926
185,143.240046
186,143.240046
187,119.102678
188,143.240046
189,143.240046
190,119.102678
191,143.240046
192,143.240046
193,119.102678
194,143.240046
195,143.240046
196,119.102678
197,143.240046
198,167.600129
199,204.969829
200,259.945456
201,298.807489
202,298.955966
203,298.733251
204,276.893537
205,298.881728
206,298.955966
207,298.881728
208,321.676242
209,168.564601
210,143.240046
211,143.240046
212,119.102678
213,143.240046
214,143.240046
215,119.102678
216,143.240046
217,143.240046
218,119.102678
219,143.240046
220,143.240046
221,119.102678
222,167.674368
223,204.747114
224,259.796979
225,299.030204
226,299.030204
227,298.881728
228,276.670822
229,299.030204
230,298.807489
231,298.955966
232,321.676242
233,168.564601
234,143.240046
235,143.240046
236,119.102678
237,143.240046
238,143.240046
239,119.102678
240,143.240046
241,143.240046
242,119.102678
243,143.240046
244,143.240046
245,119.102678
246,167.674368
247,204.969829
248,259.796979
249,299.030204
250,298.881728
251,298.881728
252,274.603972
253,296.076435
254,296.076435
255,296.076435
256,318.945188
257,167.826159
258,143.240046
259,143.240046
260,119.102678
261,143.240046
262,143.240046
263,119.102678
264,143.240046
265,143.240046
266,119.102678
