hours,kW
0,166.209054
1,192.260013
2,193.398114
3,169.990835
4,194.781201
5,193.398114
6,169.990835
7,194.781201
8,193.398114
9,169.990835
10,194.781201
11,193.398114
12,169.990835
13,194.781201
14,189.616332
15,166.209054
16,193.520607
17,192.13752
18,168.730242
19,194.781201
20,193.398114
21,168.730242
22,196.041795
23,193.398114
24,168.730242
25,196.041795
26,193.398114
27,168.730242
28,196.041795
29,207.327643
30,192.928344
31,473.776859
32,783.095944
33,783.095944
34,783.095944
35,792.025138
36,766.842818
37,783.095944
38,783.095944
39,783.095944
40,783.095944
41,578.52024
42,233.21302
43,253.049598
44,234.048602
45,214.212024
46,197.33148
47,192.260013
48,174.944623
49,185.923138
50,194.781201
51,174.944623
52,187.183732
53,209.971324
54,199.142726
55,473.776859
56,783.095944
57,783.095944
58,783.095944
59,792.025138
60,766.842818
61,783.095944
62,783.095944
63,783.095944
64,783.095944
65,578.52024
66,235.734208
67,265.689443
68,237.830384
69,207.875149
70,277.409187
71,263.479658
72,233.524423
73,263.479658
74,263.479658
75,233.524423
76,263.479658
77,277.409187
78,257.722526
79,473.776859
80,783.095944
81,783.095944
82,783.095944
83,792.025138
84,766.842818
85,783.095944
86,783.095944
87,783.095944
88,783.095944
89,578.52024
90,303.172071
91,333.127306
92,305.268247
93,275.313012
94,277.409187
95,263.479658
96,233.524423
97,263.479658
98,263.479658
99,233.524423
100,263.479658
101,277.409187
102,291.441457
103,473.776859
104,783.095944
105,783.095944
106,783.095944
107,792.025138
108,766.842818
109,783.095944
110,783.095944
111,783.095944
112,783.095944
113,578.52024
114,303.172071
115,366.846237
116,347.005722
117,299.368644
118,327.165207
119,321.254221
120,257.580055
121,313.235677
122,321.482648
123,258.036908
124,313.69253
125,335.869031
126,282.235011
127,473.776859
128,783.095944
129,783.095944
130,783.095944
131,792.025138
132,766.842818
133,783.095944
134,783.095944
135,783.095944
136,783.095944
137,578.52024
138,311.190615
139,390.901869
140,355.024266
141,299.368644
142,335.18375
143,313.235677
144,257.580055
145,321.254221
146,313.235677
147,257.580055
148,321.254221
149,313.235677
150,260.258813
151,324.389833
152,324.843629
153,269.188007
154,299.143242
155,291.124698
156,245.132376
157,275.08761
158,275.08761
159,245.132376
160,299.877347
161,313.235677
162,257.580055
163,321.254221
164,313.235677
165,249.561511
166,313.235677
167,313.235677
168,249.561511
169,313.235677
170,313.235677
171,249.561511
172,313.235677
173,313.235677
174,252.240269
175,315.914435
176,324.843629
177,261.169463
178,275.08761
179,275.08761
180,177.694513
181,203.867965
182,206.389153
183,178.955107
184,266.158416
185,295.937995
186,268.503949
187,263.479658
188,295.937995
189,268.503949
190,263.479658
191,295.937995
192,268.503949
193,263.479658
194,295.937995
