hours,kW
0,656.714322
1,1713.814498
2,2148.081696
3,1731.782338
4,2298.16209
5,2638.530745
6,1961.864231
7,2349.182731
8,2386.726114
9,1629.525517
10,1915.751718
11,1841.974957
12,1129.718869
13,951.608212
14,647.428662
15,531.909577
16,882.788942
17,1046.048274
18,837.881263
19,1116.254316
20,1167.379405
21,853.4454
22,1151.075368
23,1179.406289
24,859.868783
25,1189.558456
26,1287.264236
27,967.379571
28,1406.02737
29,1585.947748
30,1278.26147
31,3560.225723
32,1361.849895
33,1153.549061
34,1067.857445
35,927.862587
36,1453.472244
37,828.740331
38,822.050358
39,814.29722
40,836.718694
41,1305.076544
42,546.406753
43,615.188518
44,523.475484
45,486.524812
46,467.963469
47,509.030478
48,659.871768
49,807.392133
50,903.473358
51,1182.092836
52,1345.852437
53,1503.083522
54,1846.985424
55,4516.951949
56,2356.089512
57,2218.21066
58,2597.555404
59,2633.942334
60,4361.424783
61,2624.707058
62,2627.166269
63,2828.04244
64,3212.277575
65,5577.935184
66,1891.653801
67,2331.702639
68,2779.500052
69,1886.973141
70,3888.991403
71,4625.036432
72,3609.545243
73,4325.278042
74,5109.284389
75,3594.955462
76,4189.737597
77,4857.380361
78,3784.99177
79,8053.712059
80,5092.531401
81,4844.646595
82,4711.293807
83,4895.415145
84,7574.348705
85,5137.717111
86,4561.544187
87,4531.5089
88,4676.298401
89,6955.038537
90,4212.204012
91,4995.101018
92,5573.429262
93,4251.818317
94,4843.130002
95,5670.037089
96,4269.695564
97,4886.087799
98,5974.895105
99,4632.385981
100,5488.437213
101,6637.714169
102,6470.816256
103,12083.16158
104,8018.485317
105,7529.728291
106,6427.583644
107,5657.77578
108,8758.842236
109,6229.08457
110,6232.130373
111,6452.472218
112,7725.212283
113,11477.837475
114,6535.925781
115,8556.304895
116,10304.899363
117,6588.711092
118,8809.72722
119,10556.157654
120,6603.898814
121,8931.575094
122,10806.955317
123,6877.433091
124,9313.388072
125,11090.401103
126,7501.490874
127,19287.142787
128,14069.511409
129,12077.240167
130,10694.03496
131,9739.24622
132,13148.197149
133,8617.017361
134,8459.629145
135,8617.094676
136,9544.699488
137,13318.284557
138,6846.694115
139,8513.803985
140,10088.188663
141,6198.903775
142,8315.947023
143,10188.248176
144,6236.15589
145,8355.019349
146,10269.053884
147,6285.51842
148,8350.666187
149,10287.843112
150,6339.421718
151,8438.876034
152,9941.162557
153,5725.298191
154,6052.805552
155,6258.504669
156,4201.465983
157,4282.320063
158,4817.854644
159,3841.159436
160,6007.800901
161,9247.283957
162,5915.486995
163,7611.259017
164,9643.310172
165,5540.630921
166,6970.588881
167,8963.064656
168,5344.959317
169,6903.935562
170,8890.915614
171,5326.684127
172,6904.256356
173,8897.186972
174,5350.98542
175,6788.732215
176,8476.874657
177,4934.283096
178,4847.229955
179,4648.972658
180,1329.995527
181,1314.634011
182,2124.678625
183,1559.848511
184,4102.644152
185,6075.960523
186,5974.024912
187,5164.974732
188,6640.688536
189,6196.928728
190,5230.650463
191,6703.993577
192,6242.374329
193,5443.330139
194,7143.818447
195,7013.482616
196,6029.223935
197,7717.789172
198,7820.087686
199,12436.036986
200,7880.404469
201,6558.863965
202,5979.698093
203,6209.115509
204,8749.522932
205,5356.26517
206,5979.820455
207,6474.310459
208,7060.359436
209,10581.352433
210,6138.382022
211,7951.365246
212,9752.218329
213,5908.557361
214,7631.546571
215,9809.886193
216,5932.730787
217,7793.701099
218,10007.466623
219,6157.474256
220,8134.545409
221,10164.693737
222,6632.743897
223,16400.878952
224,11277.448281
225,9633.313796
226,8449.832304
227,7578.132026
228,10008.750239
229,6932.170215
230,7210.807909
231,7110.543477
232,7357.864486
233,10062.330971
234,5603.671108
235,7150.523342
236,8871.914759
237,5384.058094
238,6967.280094
239,9039.521249
240,5440.026605
241,7059.727867
242,9365.058211
243,5748.136202
244,7446.399922
245,9642.224671
246,6073.318672
247,12782.457577
248,8530.703451
249,6774.776678
250,5333.518007
251,4422.724513
252,5319.647518
253,2973.761225
254,2870.895845
255,2973.986246
256,3679.942503
257,6406.669647
258,3753.184483
259,4306.770547
260,5120.764538
261,4486.950359
262,5711.256948
263,5263.063588
264,4468.908544
265,5897.122286
266,5510.031399
267,4834.422832
268,5883.488584
269,5187.520513
270,4701.762749
271,8817.804303
272,5593.88072
273,5155.915976
274,4937.625345
275,4781.93763
276,7537.33382
277,4960.309281
278,4159.833568
279,3799.939885
280,4504.538128
281,7907.786963
282,4764.687504
283,6285.926249
284,7829.020423
285,4917.459344
286,6588.794974
287,8541.400522
288,4859.716027
289,6105.880265
290,8106.14656
291,5035.634027
292,6733.440918
293,8928.243488
294,5934.032649
295,12400.730543
296,6959.211136
297,4625.635423
298,3712.330558
299,3416.584543
300,5859.944055
301,3962.775402
302,4155.710086
303,4140.094991
304,4525.047008
305,7611.741365
306,4650.339845
307,6113.995208
308,7528.261918
309,4589.238973
310,6005.693191
311,8062.036404
312,5085.591167
313,6969.233794
314,9454.851605
315,5671.357865
316,7083.937483
317,9269.522168
318,5604.535449
319,6921.239791
320,7653.580283
321,3654.300591
322,2988.495642
323,1853.400754
324,1077.078536
325,1462.326778
326,2071.421707
327,2865.704871
328,3765.070601
329,5499.949794
330,5500.908674
331,5160.881647
332,7071.815238
333,7278.660421
334,6359.984511
335,8473.466816
336,8134.554106
337,6802.084733
338,8676.883286
339,8196.074618
340,6904.832311
341,8867.777462
342,8249.179646
343,6817.109624
344,8281.243101
345,7373.466219
346,4980.443124
347,5004.8362
348,3617.691265
349,3804.67239
350,3271.327269
351,3678.384499
352,6310.019291
353,6129.761824
354,5968.402117
355,7559.713908
356,6646.826627
357,6274.344973
358,8117.148704
359,6945.020423
360,6358.528236
361,8152.29057
362,7285.414938
363,6693.093478
364,8320.009365
365,7266.59498
366,6620.003767
367,8340.300002
368,6998.944359
369,5944.89005
370,6371.389189
371,4648.933428
372,2207.360124
373,2467.791818
374,3798.622308
375,3206.259256
376,4673.852361
377,6876.662119
378,4830.593946
379,6092.476249
380,7454.984977
381,4599.819252
382,5878.750115
383,7633.869857
384,4734.897052
385,5909.876297
386,7665.228392
387,4754.816332
388,5938.617647
389,7727.082628
390,5115.673511
391,10114.830115
392,6606.147734
393,5995.801251
394,6416.62998
395,6182.024838
396,7660.00654
397,4571.090843
398,4420.315618
399,4448.974448
400,4734.653233
401,7130.374531
402,4168.104293
403,5469.164905
404,6774.970233
405,4224.368174
406,5495.980167
407,7309.087262
408,4702.053059
409,6315.044191
410,8236.635
411,4929.513405
412,6553.897143
413,9316.634366
414,6070.211811
415,13413.653882
416,9332.504405
417,8696.991701
418,8204.994865
419,7627.24343
420,10714.247353
421,7932.351571
422,8014.179233
423,8724.846955
424,9655.33286
425,13357.884466
426,6860.97618
427,8560.798346
428,10340.49744
429,6372.258684
430,8426.337778
431,10441.146656
432,6361.729369
433,8584.441053
434,10565.811933
435,6465.015274
436,8659.707915
437,10654.468927
438,6958.80774
439,18332.103687
440,14326.933219
441,12287.449466
442,10799.616366
443,9639.296991
444,12525.088422
445,8009.025098
446,7700.186763
447,7917.562467
448,8909.911658
449,13201.186805
450,6930.005263
451,8696.853818
452,10383.467974
453,6412.835289
454,8594.514786
455,10453.265816
456,6366.054781
457,8476.840772
458,10470.144762
459,6293.458951
460,8049.421919
461,10271.307955
462,6553.059833
463,16285.910472
464,11221.102045
465,8922.033871
466,7840.015473
467,7389.132378
468,10604.851342
469,6347.030914
470,5937.778919
471,7060.80493
472,8009.092684
473,11167.152708
474,6246.497434
475,7863.608224
476,9842.119347
477,5930.562883
478,7805.727577
479,9962.114177
480,5903.2922
481,7660.545155
482,9918.420822
483,5856.432652
484,7503.073664
485,9833.047874
486,5793.396368
487,7302.185746
488,9654.388082
489,5592.658904
490,6645.956979
491,6972.934818
492,3350.983577
493,3286.623958
494,2912.52655
495,2970.572521
496,3905.281667
497,6694.016652
498,4424.439497
499,5807.305067
500,7466.877426
501,4506.142312
502,5742.854543
503,7113.595185
504,4314.439446
505,6067.510149
506,8997.862626
507,5912.48427
508,8013.971273
509,10268.304044
510,6443.330678
511,8762.960096
512,10393.080279
513,6239.148843
514,8003.86298
515,9784.858734
516,5919.808672
517,7699.074126
518,9763.029249
519,6064.846863
520,8429.714863
521,10452.531837
522,6533.006423
523,8823.817959
524,10579.24577
525,6581.009244
526,8926.61804
527,10763.852141
528,6711.384604
529,8768.105808
530,10435.379926
531,6390.883691
532,8493.248798
533,10359.870083
534,6631.08807
535,16862.046273
536,12622.702303
537,11035.092551
538,9214.051218
539,8192.480457
540,10477.484702
541,6780.225677
542,6157.277072
543,6012.717944
544,6148.457784
545,8347.091828
546,4734.532647
547,5789.127857
548,6978.587114
549,4318.991127
550,5735.867928
551,8169.453578
552,4868.836298
553,6320.611196
554,9430.845113
555,5868.232352
556,7728.056118
557,10032.115025
558,6391.18008
559,15686.160523
560,11644.584284
561,10438.212189
562,9446.910481
563,8246.625191
564,10659.380585
565,6649.121797
566,6461.455666
567,6528.2317
568,7170.507992
569,11259.635828
570,6306.287271
571,7856.368669
572,9815.787039
573,5921.067633
574,7801.341367
575,10023.010172
576,6004.232218
577,7906.491774
578,10173.410178
579,6125.822366
580,8046.755082
581,10275.544505
582,6573.790091
583,16349.541578
584,12374.131025
585,11642.231913
586,11149.021147
587,10768.663156
588,13819.996429
589,10289.832623
590,10493.503763
591,10557.062863
592,10900.018742
593,14001.014972
594,6879.715481
595,8405.563344
596,10168.237619
597,6183.255769
598,7984.459136
599,10164.851236
600,6144.766039
601,7974.892137
602,10116.002782
603,6048.674922
604,7795.233165
605,10083.20554
606,6377.127356
607,15223.832305
608,11321.012301
609,10284.85319
610,9697.940293
611,8463.606369
612,11106.632383
613,8024.540008
614,7575.04781
615,7019.497323
616,7108.671195
617,10636.348245
618,6139.893568
619,7731.683384
620,9635.796941
621,5770.369425
622,7420.257374
623,9782.843568
624,5826.739391
625,7587.623216
626,9869.567835
627,5845.376448
628,7604.467875
629,9990.988312
630,6330.709561
631,14783.835208
632,10950.123015
633,9290.389121
634,8428.947428
635,9136.466867
636,13003.391184
637,9197.153557
638,10259.527109
639,10880.253378
640,11422.439625
641,15740.645559
642,7460.366993
643,9196.925149
644,10592.368333
645,6609.130227
646,8932.797757
647,10705.386133
648,6698.854929
649,9328.130229
650,11007.836679
651,6976.452739
652,9746.098993
653,11270.475138
654,7213.38542
655,9964.915257
656,11006.439283
657,6708.154183
658,8504.996522
659,9980.535485
660,5891.113304
661,7620.191877
662,9760.750643
663,6026.920331
664,8003.137297
665,10185.108126
666,6332.403246
667,8550.552375
668,10420.908523
669,6472.535256
670,8913.142828
671,10650.220831
672,6646.469164
673,9096.139107
674,10761.808908
675,6728.812672
676,9211.253072
677,10816.194197
678,6751.169793
679,9117.71455
680,10569.320302
681,6527.143406
682,8856.18938
683,10437.293264
684,6416.754477
685,8709.258271
686,10518.823544
687,6544.950495
688,8916.557285
689,10718.845461
690,6848.227501
691,9825.390457
692,11215.061515
693,7105.350207
694,9809.619543
695,11305.687125
696,7370.170085
697,10797.955879
698,11833.045542
699,7754.924552
700,11168.848867
701,11998.489023
702,8397.888796
703,21461.705356
704,15841.424897
705,14780.8855
706,14527.77851
707,14469.009477
708,19394.722697
709,14259.477645
710,13938.109832
711,13726.132025
712,13840.103864
713,19687.977381
714,10896.062301
715,11683.210642
716,9713.170202
717,10060.448054
718,11870.853249
719,10064.56254
720,10316.382573
721,12008.597675
722,10038.841181
723,10353.706328
724,12044.034228
725,10139.504114
726,10982.096447
727,22173.103891
728,16687.375347
729,15218.661961
730,14664.346185
731,14309.597248
732,18495.822272
733,13939.250297
734,13780.361533
735,13649.250826
736,13617.963329
737,17060.259876
738,7862.411537
739,9695.055895
740,10605.748311
741,6837.757368
742,9264.457723
743,10732.174516
744,6968.874573
745,9607.37975
746,10942.32047
747,7162.786563
748,9873.315576
749,11041.300643
750,7593.090609
751,19420.307152
752,15042.313857
753,14214.002469
754,13939.52699
755,13576.448739
756,17022.951508
757,12262.432486
758,11946.181808
759,12223.853466
760,12945.485367
761,16838.207838
762,7840.655989
763,9783.589817
764,10800.985298
765,7096.654583
766,9934.45225
767,11179.786927
768,7416.546664
769,10368.006224
770,11378.789033
771,7577.920515
772,10702.215358
773,11643.366075
774,8320.862285
775,21336.761375
776,16225.144687
777,15096.302823
778,14662.348498
779,14480.444933
780,19418.375107
781,14429.188807
782,14268.220007
783,13952.843634
784,13997.883963
785,19310.471474
786,10639.914257
787,11306.113666
788,9408.293742
789,9838.449392
790,11656.359067
791,9893.751263
792,10203.847214
793,11943.261525
794,10088.472313
795,10433.634265
796,12224.321054
797,10356.976269
798,11336.330136
799,22385.952707
800,16613.225649
801,14701.231308
802,14097.843214
803,13906.57083
804,18937.105431
805,13608.750739
806,13479.084398
807,13591.710386
808,13921.115503
809,19274.015626
810,10641.100171
811,11319.494453
812,9415.677924
813,9775.946279
814,11601.703343
815,9882.838256
816,10192.092612
817,11915.377331
818,10041.471416
819,10333.299458
820,12094.399708
821,10227.269697
822,10610.552755
823,12108.882999
824,9696.110661
825,9473.609844
826,10410.214
827,8698.729097
828,8543.511288
829,9692.695116
830,8322.555762
831,8317.773944
832,9974.981625
833,8872.471339
834,9301.830581
835,11174.43557
836,9395.627517
837,9211.826498
838,10955.903344
839,9228.317798
840,8929.391096
841,10590.074477
842,8896.576367
843,8488.693032
844,10210.862398
845,8645.217594
846,8169.488656
847,9878.680851
848,8320.923628
849,7550.559823
850,9166.287282
851,7630.505477
852,6640.35009
853,8375.784145
854,6547.162723
855,5927.344102
856,8222.792812
857,7715.931288
858,7587.490329
859,9554.267316
860,8175.092859
861,7921.666077
862,9786.837767
863,8381.624181
864,7932.215266
865,9632.484571
866,8331.075459
867,7966.135429
868,9711.774886
869,8453.0966
870,8446.31101
871,18659.162288
872,12738.999817
873,9723.528114
874,7652.243182
875,6330.102064
876,8637.597602
877,5865.05142
878,5703.614364
879,5643.425674
880,6339.456227
881,9488.048652
882,5435.169789
883,6940.751949
884,9244.745821
885,5590.576053
886,7148.790508
887,9400.736582
888,5340.79986
889,6439.658304
890,8251.839053
891,4620.290552
892,5663.410571
893,7344.96626
894,4467.720026
895,9019.22283
896,6039.519377
897,5569.193171
898,5211.502389
899,4784.79317
900,6566.046184
901,4220.162792
902,4303.530178
903,4626.425707
904,4704.745144
905,6798.676933
906,3957.426107
907,4999.354026
908,6248.287432
909,3681.598864
910,4634.588575
911,6042.137414
912,3497.34181
913,4353.921264
914,5534.729724
915,3227.691142
916,4104.040986
917,5358.523015
918,3398.179877
919,6549.58726
920,3840.694797
921,3460.032071
922,3123.88882
923,2399.001629
924,2835.27522
925,1323.758863
926,1545.714033
927,1988.215313
928,2831.360754
929,5775.680117
930,3974.079374
931,5719.821984
932,7217.922817
933,4414.952631
934,5773.064561
935,7764.598433
936,4746.895661
937,6163.218983
938,8203.991062
939,5006.330725
940,6571.557432
941,8928.453757
942,5768.781003
943,11539.468185
944,6500.103637
945,4438.301252
946,3073.372587
947,2397.505789
948,3429.82597
949,1267.78096
950,994.182951
951,1058.738661
952,1522.598628
953,4738.64544
954,3372.561783
955,4769.625907
956,6102.146558
957,3700.963335
958,4876.653788
959,6364.648642
960,3775.704161
961,4780.023119
962,6043.110677
963,3619.346844
964,4678.592102
965,6083.598613
966,3843.141255
967,6526.291775
968,2527.752129
969,1501.846707
970,1210.991577
971,987.075118
972,1531.525511
973,903.582657
974,992.790849
975,1172.503951
976,1565.620485
977,4282.532665
978,3161.79492
979,4598.507436
980,6610.062095
981,4213.280553
982,5129.086012
983,6667.663105
984,3992.583082
985,5030.532256
986,6618.513829
987,4080.027901
988,5246.700041
989,7125.130303
990,4502.718624
991,5819.692784
992,7652.015113
993,4654.767781
994,5838.511761
995,7496.357981
996,4574.210082
997,5822.788425
998,7530.58601
999,4658.619374
1000,6137.398787
1001,8294.071685
1002,5155.014466
1003,6641.316446
1004,8765.967861
1005,5283.36819
1006,6685.567634
1007,8859.814257
1008,5276.960003
1009,6627.478155
1010,8815.966315
1011,5322.940452
1012,6781.149803
1013,9212.825774
1014,5639.90056
1015,7157.914218
1016,9354.954513
1017,5606.170113
1018,7135.46357
1019,9219.096052
1020,5429.551074
1021,6750.516425
1022,8807.653393
1023,5584.01174
1024,7198.686249
1025,9524.136922
1026,5766.979338
1027,7275.678615
1028,9556.24068
1029,5702.592877
1030,7248.097104
