hours,kW
0,209.488635
1,213.452213
2,206.144593
3,206.023968
4,209.903338
5,217.438674
6,254.657196
7,667.573983
8,785.841669
9,309.287036
10,286.491234
11,222.703185
12,211.908971
13,205.020651
14,197.451526
15,194.148283
16,193.51263
17,192.53663
18,676.451032
19,227.644631
20,268.812691
21,715.22498
22,324.19393
23,296.405248
24,174.314167
25,175.43316
26,178.331802
27,182.709923
28,190.713324
29,640.681376
30,197.663014
31,912.620567
32,652.341465
33,272.844373
34,194.169404
35,130.236519
36,121.537307
37,123.722988
38,122.774204
39,123.098442
40,120.763127
41,209.235815
42,213.385034
43,705.891607
44,336.470344
45,477.897001
46,681.456388
47,280.542472
48,148.456561
49,167.078112
50,186.05104
51,202.722133
52,219.876422
53,228.476155
54,681.166782
55,1039.209254
56,343.425657
57,691.606422
58,240.342191
59,188.533623
60,183.114381
61,181.697386
62,180.691138
63,185.593824
64,192.193779
65,507.754223
66,320.674754
67,375.990044
68,893.167368
69,469.56979
70,444.876272
71,820.445722
72,255.597295
73,246.722228
74,242.895881
75,242.38802
76,241.385449
77,251.783401
78,729.863158
79,747.863193
80,844.209755
81,287.107064
82,273.851406
83,237.125125
84,241.194507
85,243.897044
86,242.752594
87,246.041572
88,250.703261
89,610.05031
90,775.139355
91,402.332404
92,921.255869
93,483.891496
94,433.368449
95,352.63062
96,257.382218
97,250.970924
98,252.814881
99,252.491642
100,256.955834
101,714.553867
102,309.428335
103,1351.559939
104,889.845979
105,367.936085
106,359.008699
107,330.875923
108,334.155636
109,321.923975
110,327.172265
111,340.370355
112,355.476494
113,898.750892
114,441.270645
115,946.428894
116,586.324529
117,1072.303543
118,517.291116
119,468.284723
120,410.543376
121,421.283998
122,435.622283
123,448.201244
124,456.735411
125,460.386527
126,979.155501
127,1756.468391
128,579.037145
129,986.887811
130,531.667437
131,469.456091
132,454.895034
133,447.699318
134,436.683684
135,423.529268
136,434.363943
137,1022.699222
138,489.696577
139,553.786565
140,1010.307667
141,591.619584
142,959.193256
143,450.242492
144,385.699959
145,390.752635
146,395.53979
147,400.778377
148,404.682009
149,399.385602
150,900.626264
151,1097.117324
152,944.885748
153,473.354548
154,881.598736
155,400.443102
156,396.796109
157,384.124651
158,373.079065
159,357.306619
160,348.71578
161,854.982521
162,441.229219
163,453.555274
164,922.421794
165,471.114675
166,447.392514
167,434.54712
168,311.239224
169,301.24732
170,298.477263
171,296.448658
172,294.669843
173,740.374806
174,323.655453
175,1223.084014
176,851.42102
177,403.050471
178,395.338299
179,363.321601
180,351.29668
181,346.972828
182,341.252716
183,330.466048
184,340.373107
185,748.305136
186,369.816831
187,793.988599
188,384.694619
189,830.638978
190,386.07743
191,356.080836
192,279.018807
193,281.663749
194,280.540464
195,285.200232
196,287.823468
197,736.559695
198,332.477116
199,1351.564143
200,437.515615
201,842.364505
202,385.290204
203,339.425071
204,345.667923
205,351.423076
206,339.507334
207,342.162208
208,335.1452
209,821.666431
210,438.332868
211,906.27976
212,511.941888
213,531.49596
214,916.154902
215,422.831941
216,338.130506
217,335.337883
218,337.406211
219,342.820023
220,346.956292
221,355.352146
222,859.366679
223,1544.683897
224,502.89593
225,887.188064
226,431.48079
227,379.916354
228,361.057094
229,358.621521
230,356.306314
231,348.591509
232,355.786461
233,805.902449
234,392.642425
235,408.083296
236,911.902914
237,488.61375
238,422.687396
239,794.298886
240,279.5222
241,276.550749
242,281.170177
243,283.629494
244,286.821613
245,286.742134
246,418.610387
247,1212.764308
248,856.648538
249,353.040432
250,344.94654
251,280.935078
252,247.177839
253,236.13782
254,224.103702
255,221.90017
256,235.250949
257,558.661865
258,734.708589
259,340.051147
260,443.659654
261,896.678018
262,428.544468
263,356.125877
264,221.537296
265,221.939432
266,224.159528
267,225.852764
268,223.753617
269,672.965703
270,257.653296
271,1155.966353
272,828.535641
273,296.564574
274,296.818162
275,254.876671
276,259.455185
277,259.250457
278,250.906857
279,249.609045
280,259.804062
281,648.654505
282,345.016648
283,841.308878
284,474.495682
285,722.755374
286,652.606724
287,361.129004
288,260.895039
289,259.363022
290,258.629199
291,261.963076
292,264.090832
293,274.684733
294,761.469891
295,1358.964498
296,434.549141
297,801.882624
298,350.612065
299,295.674845
300,277.823227
301,264.356737
302,258.860447
303,265.962636
304,265.247001
305,644.026869
306,363.381748
307,407.271163
308,922.685165
309,484.444899
310,431.817313
311,813.401152
312,285.174151
313,285.201627
314,286.973117
315,285.118713
316,287.719986
317,292.758508
318,762.661808
319,787.509377
320,849.898243
321,376.286382
