hours,kW
0,286.90578
1,292.334111
2,282.325938
3,282.160736
4,287.473738
5,297.79378
6,348.766517
7,914.277925
8,1076.251784
9,423.584976
10,392.364917
11,305.003806
12,290.220559
13,280.78664
14,270.420322
15,265.896355
16,265.025795
17,263.689111
18,926.435513
19,311.771378
20,368.153217
21,979.538489
22,444.000756
23,405.942684
24,238.732484
25,240.265003
26,244.234847
27,250.230915
28,261.191998
29,877.447075
30,270.709967
31,1249.882199
32,893.416184
33,373.674819
34,265.925282
35,178.36581
36,166.451778
37,169.445184
38,168.145775
39,168.589835
40,165.391498
41,286.559529
42,292.242105
43,966.75594
44,460.813956
45,654.505253
46,933.290613
47,384.217773
48,203.319123
49,228.822323
50,254.806752
51,277.638697
52,301.132405
53,312.910194
54,932.893982
55,1423.252111
56,470.339625
57,947.191622
58,329.161359
59,258.206781
60,250.784843
61,248.844193
62,247.466083
63,254.18057
64,263.219559
65,695.3963
66,439.181059
67,514.938278
68,1223.240013
69,643.100697
70,609.281616
71,1123.643867
72,350.054032
73,337.899158
74,332.658773
75,331.96323
76,330.590156
77,344.830702
78,999.586248
79,1024.238249
80,1156.189969
81,393.208329
82,375.054003
83,324.755417
84,330.328651
85,334.029918
86,332.462534
87,336.966963
88,343.351393
89,835.496208
90,1061.594398
91,551.015535
92,1261.708703
93,662.715031
94,593.521042
95,482.94631
96,352.498579
97,343.717972
98,346.243369
99,345.800676
100,351.914623
101,978.619364
102,423.778493
103,1851.032915
104,1218.691195
105,503.907955
106,491.681427
107,453.1521
108,457.64384
109,440.891933
110,448.079744
111,466.155228
112,486.843885
113,1230.886944
114,604.343518
115,1296.184493
116,803.002494
117,1468.576491
118,708.45758
119,641.340728
120,562.260896
121,576.970747
122,596.607788
123,613.83534
124,625.523335
125,630.52373
126,1341.005315
127,2405.576484
128,793.022036
129,1351.595122
130,728.146712
131,642.944979
132,623.002841
133,613.147926
134,598.061432
135,580.045763
136,594.884423
137,1400.640747
138,670.665397
139,758.440029
140,1383.669856
141,810.254352
142,1313.665963
143,616.630938
144,528.23652
145,535.156428
146,541.71269
147,548.887212
148,554.233443
149,546.979734
150,1233.455366
151,1502.560278
152,1294.071073
153,648.284122
154,1207.396158
155,548.428036
156,543.433285
157,526.079053
158,510.951538
159,489.350338
160,477.584729
161,1170.943843
162,604.286783
163,621.167968
164,1263.305498
165,645.216498
166,612.727742
167,595.135294
168,426.2586
169,412.574159
170,408.780419
171,406.002137
172,403.565955
173,1013.982507
174,443.263284
175,1675.078332
176,1166.066178
177,551.998966
178,541.436737
179,497.588174
180,481.119408
181,475.197663
182,467.363668
183,452.590754
184,466.158996
185,1024.843513
186,506.483735
187,1087.409436
188,526.859654
189,1137.604071
190,528.753487
191,487.671563
192,382.131033
193,385.753421
194,384.215023
195,390.596822
196,394.189482
197,1008.75751
198,455.345018
199,1851.038673
200,599.200806
201,1153.662802
202,527.675339
203,464.86061
204,473.410527
205,481.292514
206,464.973275
207,468.609265
208,458.999101
209,1125.315692
210,600.320077
211,1241.198128
212,701.131528
213,727.911865
214,1254.722658
215,579.090737
216,463.087636
217,459.262991
218,462.095675
219,469.510178
220,475.175017
221,486.673583
222,1176.948179
223,2115.526404
224,688.742609
225,1215.051039
226,590.935793
227,520.315568
228,494.486812
229,491.151165
230,487.980367
231,477.414533
232,487.268401
233,1103.726085
234,537.744595
235,558.891686
236,1248.899335
237,669.182407
238,578.892774
239,1087.834391
240,382.820457
241,378.750897
242,385.077449
243,388.445613
244,392.817389
245,392.708538
246,573.309095
247,1660.944948
248,1173.225542
249,483.507569
250,472.422554
251,384.755468
252,338.523142
253,323.40325
254,306.921889
255,303.904035
256,322.188633
257,765.117011
258,1006.222323
259,465.718055
260,607.615392
261,1228.048034
262,586.914344
263,487.733249
264,303.40706
265,303.957805
266,306.998345
267,309.317322
268,306.442428
269,921.66217
270,352.869834
271,1583.157141
272,1134.72344
273,406.16089
274,406.508192
275,349.0671
276,355.337617
277,355.057231
278,343.630228
279,341.852806
280,355.815423
281,888.366697
282,472.518571
283,1152.217064
284,649.846965
285,989.851762
286,893.77947
287,494.585296
288,357.309573
289,355.211395
290,354.206385
291,358.772306
292,361.686381
293,376.195289
294,1042.873343
295,1861.173851
296,595.138063
297,1098.220721
298,480.181791
299,404.942359
300,380.493622
301,362.050552
302,354.523091
303,364.249915
304,363.269815
305,882.028905
306,497.670548
307,557.779427
308,1263.666199
309,663.472946
310,591.396679
311,1113.995956
312,390.561103
313,390.598733
314,393.024882
315,390.485178
316,394.047759
317,400.948281
318,1044.505737
319,1078.535798
320,1163.980654
321,515.344129
322,462.686903
323,354.590126
324,331.235925
325,323.157623
326,315.711847
327,316.503594
328,331.413488
329,823.646216
330,1071.990675
331,515.791769
332,1198.205094
333,612.681741
334,600.77525
335,616.372188
336,430.506434
337,419.583006
338,425.185554
339,432.762507
340,440.330151
341,1060.5198
342,511.648982
343,1900.828015
344,1294.083
345,638.897762
346,624.941629
347,543.447588
348,511.958
349,499.608147
350,482.190794
351,485.174739
352,492.862758
353,1085.725467
354,532.86396
355,1127.15881
356,572.551137
357,1196.203867
358,577.060174
359,531.259608
360,435.001825
361,427.692329
362,428.627248
363,421.032602
364,419.397029
365,423.94913
366,1048.600111
367,1087.440875
368,582.139561
369,1154.933751
370,526.237427
371,455.360956
372,442.410956
373,436.429825
374,425.426214
375,417.024938
376,417.771056
377,418.806486
378,480.295594
379,599.868406
380,1027.435654
381,545.552699
382,1149.090291
383,504.605655
384,394.516448
385,388.885621
386,385.017406
387,383.382179
388,381.963899
389,390.065802
390,1026.813012
391,1058.274264
392,1177.052061
393,444.851517
394,1029.916921
395,364.485365
396,347.748362
397,341.667901
398,337.309931
399,334.042464
400,340.892028
401,811.101959
402,457.989529
403,535.314814
404,1252.980771
405,662.006265
406,625.134588
407,522.634376
408,355.875813
409,351.22555
410,352.850817
411,355.376138
412,363.836988
413,983.184196
414,428.699421
415,1879.866976
416,1249.6018
417,512.702432
418,520.122272
419,498.616678
420,505.162075
421,492.126774
422,500.661271
423,501.074967
424,517.398505
425,1309.594044
426,638.599157
427,1321.665404
428,817.904903
429,1458.426944
430,726.656696
431,616.510036
432,514.898604
433,522.782861
434,531.897381
435,547.169445
436,553.29712
437,1162.89647
438,643.184173
439,2273.889554
440,757.619131
441,1305.269704
442,689.996339
443,632.616725
444,638.83211
445,631.730342
446,616.883625
447,590.355237
448,560.42378
449,1335.059321
450,690.865967
451,1359.385807
452,828.211159
453,836.165465
454,1358.681512
455,649.274605
456,535.723871
457,538.186052
458,540.111255
459,532.439272
460,526.912238
461,522.684852
462,1193.03225
463,2095.866408
464,720.648384
465,1227.592228
466,611.288059
467,552.023107
468,559.766563
469,541.909471
470,527.069594
471,499.515599
472,485.442379
473,1165.654173
474,616.419187
475,649.920195
476,1328.955685
477,722.876084
478,680.53038
479,1197.052864
480,478.699447
481,470.602333
482,468.452111
483,462.408247
484,460.884955
485,464.989881
486,714.826787
487,1582.664108
488,1204.546757
489,547.88425
490,508.281309
491,443.575289
492,438.743315
493,416.548496
494,401.03299
495,400.331435
496,388.849137
497,869.743921
498,1088.323644
499,479.775041
500,535.152018
501,1147.366552
502,571.124299
503,565.826789
504,354.64906
505,356.691234
506,377.610969
507,399.887862
508,411.305508
509,1038.908413
510,518.763258
511,2067.997693
512,1357.174969
513,768.503007
514,770.232651
515,724.239671
516,712.062113
