hours,kW
0,203.751532
1,207.606563
2,200.499071
3,200.381749
4,204.154878
5,211.483849
6,247.683097
7,649.291651
8,764.320431
9,300.816831
10,278.64532
11,216.604185
12,206.105584
13,199.405909
14,192.044074
15,188.831294
16,188.213049
17,187.263778
18,657.92559
19,221.410303
20,261.450926
21,695.637667
22,315.315482
23,288.287826
24,169.54036
25,170.628708
26,173.447967
27,177.706187
28,185.490406
29,623.135531
30,192.24977
31,887.627334
32,634.476294
33,265.372196
34,188.851837
35,126.669832
36,118.208859
37,120.334682
38,119.411882
39,119.72724
40,117.455881
41,203.505635
42,207.541223
43,686.5599
44,327.255691
45,464.809206
46,662.793869
47,272.859473
48,144.390896
49,162.502473
50,180.955804
51,197.170339
52,213.854837
53,222.219055
54,662.512194
55,1010.749235
56,334.020524
57,672.665932
58,233.760125
59,183.370398
60,178.099569
61,176.721381
62,175.742689
63,180.511109
64,186.930317
65,493.848751
66,311.892683
67,365.693095
68,868.706884
69,456.710046
70,432.69279
71,797.97681
72,248.59745
73,239.965437
74,236.243879
75,235.749927
76,234.774812
77,244.888004
78,709.87496
79,727.382042
80,821.090036
81,279.244284
82,266.351649
83,230.631163
84,234.5891
85,237.217624
86,236.104516
87,239.303422
88,243.837445
89,593.343334
90,753.911213
91,391.314038
92,896.026148
93,470.639534
94,421.500122
95,342.973398
96,250.333491
97,244.097777
98,245.891235
99,245.576849
100,249.918784
101,694.984933
102,300.954261
103,1314.545812
104,865.476456
105,357.859704
106,349.176806
107,321.81448
108,325.004374
109,313.107692
110,318.212252
111,331.048896
112,345.741334
113,874.137496
114,429.185908
115,920.509778
116,570.267312
117,1042.937195
118,503.124465
119,455.460171
120,399.300142
121,409.746619
122,423.692233
123,435.926703
124,444.227152
125,447.778277
126,952.340127
127,1708.36535
128,563.179503
129,959.860678
130,517.107072
131,456.59946
132,442.437176
133,435.438523
134,424.724566
135,411.9304
136,422.468353
137,994.691349
138,476.285636
139,538.620441
140,982.639153
141,575.417356
142,932.924572
143,437.912049
144,375.137092
145,380.051395
146,384.707447
147,389.802569
148,393.599296
149,388.447938
150,875.96151
151,1067.07142
152,919.008893
153,460.391153
154,857.455073
