hours,kW
0,196.923995
1,207.606563
2,200.499071
3,200.381749
4,204.154878
5,211.483849
6,247.683097
7,644.740606
8,743.046665
9,285.918708
10,263.300674
11,208.876511
12,198.491256
13,191.623067
14,184.169499
15,180.973543
16,180.429067
17,179.54124
18,645.8787
19,206.974686
20,239.368957
21,670.573196
22,256.300562
23,230.641806
24,156.680792
25,159.471003
26,162.713875
27,167.311701
28,175.681494
29,611.346351
30,186.039772
31,867.084498
32,609.58468
33,252.188906
34,168.615329
35,124.475459
36,114.020856
37,113.189139
38,112.312925
39,111.888213
40,112.416852
41,200.351793
42,183.603469
43,636.574943
44,252.649431
45,363.930965
46,548.200827
47,187.884345
48,117.662605
49,139.755625
50,159.489127
51,177.776335
52,196.78441
53,202.748075
54,649.320133
55,981.621024
56,301.114043
57,659.005517
58,218.962711
59,181.268371
60,176.715768
61,175.445372
62,174.644632
63,179.513803
64,185.975276
65,493.000043
66,307.2631
67,349.326306
68,838.913058
69,419.673742
70,380.659036
71,748.717085
72,241.029959
73,233.278434
74,229.185958
75,228.700598
76,227.603095
77,237.62046
78,708.501744
79,716.286474
80,809.18624
81,269.590869
82,256.221258
83,230.062768
84,234.364337
85,236.994251
86,235.880958
87,239.0985
88,243.698584
89,593.262054
90,753.911213
91,391.314038
92,896.026148
93,470.639534
94,421.500122
95,342.973398
96,250.333491
97,244.097777
98,245.891235
99,245.576849
100,249.918784
101,694.984933
102,300.954261
103,1314.545812
104,865.476456
105,357.859704
106,349.176806
107,321.81448
108,325.004374
109,313.107692
110,318.212252
111,331.048896
112,345.741334
113,874.137496
114,429.185908
115,920.509778
116,570.267312
117,1042.937195
118,503.124465
119,455.460171
120,399.300142
121,409.746619
122,423.692233
123,435.926703
124,444.227152
125,447.778277
126,952.340127
127,1708.36535
128,563.179503
129,959.860678
130,517.107072
131,456.59946
132,442.437176
133,435.438523
134,424.724566
135,411.9304
136,422.468353
137,994.691349
138,476.285636
139,538.620441
140,982.639153
141,575.417356
142,932.924572
143,437.912049
144,375.137092
145,380.051395
146,384.707447
147,389.802569
148,393.599296
149,388.447938
150,875.96151
151,1067.07142
152,919.008893
153,460.391153
154,857.455073
155,389.476476
156,385.929361
157,373.604927
158,362.861837
159,347.521339
160,339.165771
161,831.567777
162,429.145616
163,441.134107
164,897.160142
165,458.212622
166,435.140121
167,422.646514
168,302.715556
169,292.997293
170,290.303097
171,288.330048
172,286.599948
173,720.098734
174,314.791752
175,1189.588358
176,828.103811
177,392.01244
178,384.511474
179,353.371593
180,329.346402
181,316.95192
182,320.29452
183,321.41583
184,331.051572
185,727.811882
186,359.688943
187,772.244247
188,374.159285
189,807.890911
190,375.504226
191,346.329126
192,271.377535
193,273.950042
194,272.85752
195,277.389674
196,279.941069
197,716.388104
198,323.371822
199,1314.549901
200,425.533714
201,819.29532
202,374.738559
203,330.129499
204,336.201383
205,341.798924
206,330.20951
207,332.791677
208,325.966838
209,799.164088
210,426.328585
211,881.460177
212,497.921731
213,516.940291
214,891.064877
215,411.25217
216,328.870388
217,326.154244
218,328.165928
219,333.431477
220,337.454469
221,345.620392
222,835.831869
223,1502.380834
224,489.123508
225,862.891331
226,419.664159
227,369.511879
228,351.169103
229,348.800231
230,346.548429
231,339.044903
232,346.042813
233,783.831823
234,381.88943
235,396.907434
236,886.929334
237,475.232463
238,411.111583
239,772.546037
240,271.867142
241,268.977068
242,273.469987
243,275.861952
244,278.966651
245,278.889349
246,407.146229
247,1179.55127
248,833.188168
249,332.477944
250,317.153715
251,267.334673
252,236.143689
253,226.078873
254,214.920438
255,213.267641
256,226.766655
257,542.11291
258,713.466137
259,327.959542
260,417.770652
261,850.579299
262,375.123023
263,297.054493
264,206.599087
265,208.595038
266,211.479302
267,213.318232
268,210.919478
269,647.518467
270,249.165171
271,1120.070727
272,796.515559
273,278.290666
274,277.572252
275,246.536846
276,251.927273
277,251.754015
278,242.950773
279,241.357698
280,252.165708
281,630.890306
282,335.567944
283,818.268603
284,461.501035
285,702.961832
286,634.734288
287,351.239043
288,253.750109
289,252.260048
290,251.546321
291,254.788896
292,256.858381
293,267.162154
294,740.616104
295,1321.747589
296,422.64848
297,769.163784
298,320.851598
299,280.408374
300,265.776492
301,253.592925
302,248.762577
303,255.936599
304,255.739503
305,625.303018
306,353.430093
307,396.117543
308,897.4163
309,471.177781
310,419.991466
311,791.125164
312,277.364308
313,277.391031
314,279.114006
315,277.310388
316,279.840421
317,284.740957
318,741.775379
319,765.942467
320,826.622737
321,354.190865
322,307.133631
323,240.155992
324,225.832021
325,223.006885
326,221.099908
327,222.386328
328,233.520375
329,583.611417
330,758.793429
331,364.780048
332,850.927867
333,435.107453
334,426.651835
335,437.728294
336,305.732235
337,297.974757
338,301.953512
339,307.334427
340,312.708732
341,753.148067
342,363.35714
343,1349.908739
344,919.017363
345,453.725253
346,443.814043
347,385.939518
348,363.576595
349,354.806115
350,342.436854
351,344.555959
352,350.01575
353,771.048345
354,378.423356
355,800.473013
356,406.60795
357,849.506657
358,409.810128
359,377.283995
360,308.924721
361,303.733746
362,304.397696
363,299.004215
364,297.842682
365,301.075442
366,744.683076
367,772.266574
368,413.41735
369,820.197909
370,356.29893
371,303.254333
372,290.44733
373,285.305772
374,281.168371
375,278.464038
376,284.391156
377,290.133635
378,341.090943
379,426.007822
380,704.458842
381,369.190461
382,816.048066
383,358.355189
384,280.17327
385,276.174432
386,273.427347
387,272.26606
388,271.258841
389,277.01256
390,729.210558
391,751.553358
392,816.473031
393,301.832656
394,717.202021
395,255.593429
396,244.592276
397,240.580981
398,237.813265
399,235.79192
400,241.155007
401,575.7227
402,323.962981
403,373.915834
404,870.071332
405,441.555488
406,398.122999
407,334.911942
408,252.731897
409,249.429425
410,250.583639
411,252.377043
412,258.385675
413,698.226734
414,304.448951
415,1335.022862
416,887.428203
417,364.105268
418,369.374607
419,354.102005
420,358.750342
421,349.493078
422,355.554011
423,355.847805
424,367.440272
425,930.032823
426,453.513193
427,938.605526
428,580.850539
429,1035.729304
430,516.048909
431,437.826189
432,365.664921
433,371.264074
434,377.736921
435,388.582664
436,392.934348
437,825.852783
438,456.769328
439,1614.845402
440,538.037464
441,926.961811
442,490.013868
443,449.264657
444,453.678629
445,448.635175
446,438.0915
447,419.251867
448,397.99548
449,948.117467
450,490.63145
451,965.393379
452,588.16972
453,593.81862
454,964.893211
455,461.094563
456,380.454375
457,382.202939
458,383.570158
459,378.121756
460,374.196628
461,371.194471
462,847.254274
463,1488.418919
464,511.781993
465,871.797692
466,434.117703
467,392.029584
468,397.528745
469,384.847195
470,374.308378
471,354.740391
472,344.746029
473,827.811218
474,437.76167
475,461.553041
476,943.782856
477,513.364036
478,483.291439
479,850.109588
480,339.957409
481,334.207091
482,332.68007
483,328.387907
484,327.306112
485,330.221303
486,507.647677
487,1123.95866
488,855.431517
489,389.090297
490,360.965524
491,308.427548
492,301.073501
493,285.874922
494,275.812111
495,278.013167
496,271.694083
497,614.268692
498,768.258098
499,332.230151
500,363.521904
501,797.115954
502,362.618864
503,347.048178
504,242.66725
505,251.347053
506,268.167526
507,283.98788
508,292.096336
509,737.800335
510,368.409477
511,1468.627427
512,963.823311
513,545.766853
514,546.995193
515,514.332414
516,505.684292
517,497.597791
518,499.64736
519,514.720677
520,514.211625
521,1117.287185
522,546.382146
523,968.322432
524,561.44612
525,896.311266
526,602.476904
527,484.941229
528,410.458315
529,404.886492
530,400.656903
531,397.358784
532,395.35296
533,388.611436
534,862.747213
535,1492.264088
536,505.041914
537,878.098251
538,422.493001
539,370.798327
540,346.208833
541,327.564174
542,310.314721
543,303.492114
544,300.823174
545,646.319471
546,345.278896
547,347.984247
548,821.015062
549,409.362456
550,365.558375
551,751.992852
552,241.021378
553,248.815872
554,265.433827
555,275.328202
556,287.25231
557,294.524616
558,779.095125
559,961.629651
560,893.940724
561,416.389201
562,416.316723
563,362.568857
564,345.957338
565,329.881558
566,323.219845
567,320.078906
568,327.329535
569,827.355123
570,832.525186
571,446.588726
572,933.258571
573,516.439056
574,460.718747
575,395.076796
576,318.42021
577,320.588879
578,325.174115
579,329.800145
580,335.420439
581,769.543345
582,384.285209
583,1428.591883
584,903.101713
585,440.51405
586,450.898696
587,415.54566
588,407.06733
589,411.51883
590,413.865816
591,416.216746
592,425.590399
593,957.092555
594,460.980428
595,880.051779
596,493.754769
597,931.694695
598,441.132951
599,407.100157
600,341.624891
601,341.510319
602,338.80746
603,337.429337
604,337.429858
605,331.739663
606,800.732484
607,1353.08537
608,438.718
609,848.410248
610,426.011498
611,375.564125
612,360.954029
613,359.004566
614,348.097656
615,343.638609
616,340.509197
617,808.212403
618,398.105867
619,588.169024
620,751.687684
621,484.64532
622,860.053242
623,375.322248
624,300.422114
625,299.68715
626,302.022674
627,304.516006
628,307.084055
629,310.736752
630,783.552286
631,910.51428
632,875.707775
633,394.977366
634,819.230616
635,374.088077
636,370.132176
637,375.597636
638,390.867035
639,404.733937
640,426.922203
641,1057.104464
642,491.816883
643,519.564719
644,1020.953873
645,606.524342
646,513.321508
647,477.211312
648,422.143642
649,434.570381
650,446.151996
651,459.766188
652,470.162298
653,904.996642
654,548.094404
655,1736.681155
656,1021.3727
657,580.476799
658,545.236887
659,482.183014
660,454.555579
661,436.533246
662,429.989837
663,427.175687
664,432.790681
665,994.698104
666,482.544617
667,919.482586
668,519.609623
669,956.126131
670,506.090303
671,496.21503
672,415.245231
673,423.403718
674,430.307749
675,436.442757
676,444.68473
677,870.086266
678,486.648447
679,1595.386456
680,536.561265
681,971.299028
682,560.053164
683,517.535304
684,514.23753
685,516.873866
686,515.592677
687,520.730712
688,530.394691
689,1197.411038
690,571.388226
691,997.855832
692,600.231958
693,601.126269
694,1000.099875
695,555.692534
696,498.323561
697,520.510651
698,535.726177
699,549.826656
700,562.136221
701,558.470613
702,1079.126626
703,1939.824087
704,680.320055
705,1111.57691
706,686.536228
707,659.464516
708,659.986317
709,651.558485
710,636.447383
711,631.511764
712,647.015836
713,1493.526087
714,698.087926
715,698.254024
716,1181.82046
717,744.510415
718,688.553919
719,1111.59032
720,627.62019
721,639.203634
722,641.028371
723,653.630541
724,649.752816
725,637.55469
726,939.066358
727,1829.089634
728,1179.247184
729,755.620861
730,751.942507
731,699.013575
732,673.060401
733,647.609978
734,622.513302
735,607.852814
736,601.726399
737,1234.420439
738,1015.001024
739,573.173269
740,610.971674
741,1028.576011
742,554.712558
743,536.825889
744,473.581317
745,480.759768
746,489.905731
747,499.127998
748,501.76176
749,921.854131
750,550.559614
751,1710.464904
752,1038.732425
753,601.451032
754,618.521986
755,573.265713
756,551.394841
757,530.675628
758,520.11401
759,520.119596
760,536.753953
761,1174.539723
762,554.22066
763,985.529919
764,610.069648
765,1041.350826
766,572.398907
767,563.475088
768,506.299085
769,518.003967
770,530.660143
771,542.055459
772,550.822248
773,542.798503
774,1059.67038
775,1917.384011
776,697.273704
777,1161.74045
778,751.517871
779,717.413162
780,707.947625
781,697.40823
782,683.508133
783,671.8053
784,680.549295
785,1454.765111
786,679.611116
787,665.773
788,1152.147131
789,723.330834
790,668.940683
791,1102.925296
792,629.32327
793,645.827867
794,659.216503
795,665.307135
796,670.354492
797,663.829727
798,1200.783021
799,1699.392422
800,1218.83279
801,786.214139
802,769.071745
803,710.067672
804,683.246049
805,657.080819
806,640.313496
807,637.975175
808,649.771462
809,1435.368097
810,1102.055876
811,663.159253
812,1146.415487
813,714.195361
814,663.494617
815,670.5951
816,622.587757
