hours,kW
0,336.329236
1,342.692672
2,330.960454
3,330.766793
4,336.995033
5,349.092844
6,408.846334
7,1071.77484
8,1261.650918
9,496.553299
10,459.955157
11,357.544895
12,340.215031
13,329.15599
14,317.003932
15,311.70065
16,310.680123
17,309.113178
18,1086.026739
19,365.478274
20,431.572659
21,1148.277431
22,520.485978
23,475.87188
24,279.857429
25,281.653946
26,286.30765
27,293.336623
28,306.185903
29,1028.59937
30,317.343472
31,1465.191554
32,1047.319378
33,438.045433
34,311.73456
35,209.091767
36,195.12538
37,198.634442
38,197.111191
39,197.631747
40,193.882453
41,335.923339
42,342.584817
43,1133.292913
44,540.195481
45,767.252761
46,1094.062725
47,450.404555
48,238.343631
49,268.240107
50,298.700711
51,325.465772
52,353.006592
53,366.813267
54,1093.597768
55,1668.426811
56,551.362078
57,1110.358373
58,385.863918
59,302.686442
60,293.985972
61,291.711019
62,290.09551
63,297.966661
64,308.562739
65,815.187852
66,514.836021
67,603.64346
68,1433.959885
69,753.883614
70,714.238732
71,1317.206937
72,410.355641
73,396.106923
74,389.96381
75,389.14845
76,387.538845
77,404.232521
78,1171.778692
79,1200.677339
80,1355.359552
81,460.943857
82,439.6622
83,380.698992
84,387.232293
85,391.571154
86,389.733766
87,395.014145
88,402.498381
89,979.421892
90,1244.468596
91,645.935519
92,1479.055335
93,776.876786
94,695.763183
95,566.140437
96,413.221295
97,402.928107
98,405.888539
99,405.369586
100,412.536745
101,1147.199974
102,496.780151
103,2169.898727
104,1428.627472
105,590.713013
106,576.380298
107,531.213766
108,536.47927
109,516.841617
110,525.267627
111,546.456861
112,570.709422
113,1442.924106
114,708.44998
115,1519.470053
116,941.330689
117,1721.558938
118,830.499117
119,751.820467
120,659.118048
121,676.361873
122,699.381663
123,719.576899
124,733.27831
125,739.140092
126,1572.011876
127,2819.970034
128,929.630961
129,1584.425924
130,853.579972
131,753.701072
132,730.323627
133,718.771068
134,701.085718
135,679.966603
136,697.361426
137,1641.920329
138,786.196712
139,889.091729
140,1622.02597
141,949.83178
142,1539.962946
143,722.854076
144,619.232507
145,627.344464
146,635.030132
147,643.440564
148,649.707757
149,641.204496
150,1445.934974
151,1761.396899
152,1516.992568
153,759.959956
154,1415.38671
155,642.902288
156,637.047123
157,616.703387
158,598.969949
159,573.647646
160,559.855251
161,1372.654983
162,708.383471
163,728.172672
164,1480.9272
165,756.363891
166,718.278501
167,697.655513
168,499.687491
169,483.645717
170,479.198453
171,475.941575
172,473.085727
173,1188.654903
174,519.621465
175,1963.633553
176,1366.937073
177,647.088361
178,634.706643
179,583.304562
180,563.998826
181,557.05698
182,547.873471
183,530.55572
184,546.461278
185,1201.386868
186,593.732506
187,1274.730628
188,617.618458
189,1333.571978
190,619.838529
191,571.67968
192,447.958346
193,452.20474
194,450.401332
195,457.882483
196,462.094028
197,1182.529829
198,533.784444
