hours,kW
0,114.626071
1,114.284974
2,114.225786
3,114.189949
4,114.115291
5,114.254397
6,118.832723
7,133.871818
8,208.039236
9,185.567885
10,184.781962
11,151.385063
12,151.50473
13,151.87284
14,151.997237
15,151.975495
16,152.730656
17,152.66648
18,189.816605
19,172.860354
20,204.609559
21,204.64727
22,222.319366
23,194.970965
24,115.626637
25,115.544619
26,115.521675
27,115.496759
28,115.609552
29,115.799367
30,127.443298
31,190.502448
32,210.434051
33,147.017479
34,146.379477
35,112.919497
36,112.711885
37,113.226308
38,113.226345
39,113.423085
40,114.053189
41,113.133897
42,191.213888
43,215.004715
44,266.988791
45,267.365299
46,244.489153
47,196.553032
48,117.439077
49,117.259633
50,117.035614
51,116.695186
52,116.446604
53,116.416319
54,127.94
55,191.543622
56,211.011787
57,147.331911
58,146.508994
59,112.873286
60,112.380202
61,112.563186
62,112.510323
63,112.447731
64,113.166311
65,112.626849
66,189.884726
67,213.377603
68,265.249201
69,265.379511
70,242.465996
71,194.383032
72,115.234577
73,115.020921
74,114.955441
75,114.917907
76,115.056815
77,115.406018
78,127.22231
79,190.662924
80,210.211151
81,146.011474
82,145.619931
83,112.164461
84,111.725586
85,111.942903
86,111.949386
87,111.937519
88,112.782879
89,112.421152
90,188.655506
91,212.994934
92,264.94173
93,265.011792
94,241.885186
95,193.103717
96,114.369463
97,114.229256
98,114.106315
99,114.023484
100,114.11885
101,114.361107
102,126.035559
103,190.408608
104,209.202455
105,145.83841
106,145.641594
107,112.613951
108,112.282269
109,112.137221
110,112.328926
111,112.229693
112,113.008294
113,112.916463
114,188.444727
115,211.966071
116,263.680988
117,264.059442
118,240.123588
119,192.304428
120,114.009142
121,114.016427
122,114.0465
123,114.072374
124,114.261297
125,114.275914
126,126.031518
127,189.598712
128,208.22614
129,146.110543
130,145.942394
131,112.566318
132,112.273001
133,112.609727
134,112.531793
135,112.318382
136,113.144914
137,113.167658
138,188.427428
139,212.004816
140,263.811239
141,263.879979
142,240.377319
143,192.268497
144,114.129903
145,114.119741
146,114.128906
147,114.137892
148,114.144618
149,114.137952
150,118.632884
151,144.457377
152,186.783734
153,164.803968
154,144.557022
155,111.594498
156,111.98005
157,112.119726
158,112.070921
159,111.739171
160,112.026959
161,112.602308
162,188.931545
163,192.168844
164,223.645687
165,223.695959
166,241.017769
167,233.902856
168,114.432139
169,114.316756
170,114.269957
171,114.228509
172,114.191875
173,114.382674
174,118.90669
175,134.527633
176,207.720234
177,185.488054
178,185.129887
179,152.236755
180,152.304331
181,152.360717
182,152.295067
183,152.195892
184,153.051983
185,153.506523
186,189.285414
187,172.019759
188,203.549092
189,203.572873
190,221.080869
191,193.597021
192,114.644413
193,114.525399
194,114.429899
195,114.355631
196,114.490067
197,114.682621
198,126.350222
199,189.877063
200,209.141716
201,146.717904
202,146.285428
203,112.76137
204,112.879181
205,113.076933
206,112.715634
207,112.616117
208,113.117731
209,112.823123
210,189.017708
211,212.23924
212,263.859958
213,264.344447
214,240.930792
215,192.794281
216,114.226518
217,114.067928
218,113.956034
219,113.882479
220,114.046383
221,114.155625
222,125.869587
223,189.697579
224,208.57004
225,145.952273
226,145.759131
227,112.396999
228,111.977534
229,112.196524
230,112.188129
231,112.178323
232,113.0362
233,112.815816
234,188.222524
235,211.692606
236,263.663602
237,264.299758
238,240.469127
239,192.268547
240,113.862478
241,113.791414
242,113.772797
243,113.770508
244,113.967559
245,114.058138
246,125.758857
247,189.342142
248,208.486684
249,145.938857
250,145.794232
251,112.306076
252,111.851332
253,112.056933
254,112.033392
255,112.019718
256,112.877729
257,112.492076
258,188.358809
259,212.585206
260,264.78459
261,265.149662
262,241.74699
263,193.170931
264,114.121604
265,114.03006
266,113.997129
267,113.988492
268,114.183676
269,114.564353
270,126.447947
271,190.522085
272,209.869665
273,145.823888
274,145.64256
275,112.221767
276,111.828426
277,112.050951
278,112.145164
279,112.224456
280,112.908878
281,112.555603
282,188.704574
283,212.771128
284,264.846276
285,265.00512
286,241.576491
287,192.864219
288,114.27785
289,114.188797
290,114.118176
291,114.058307
292,114.211832
293,114.425751
294,126.087675
295,190.448561
296,209.701747
297,146.802305
298,146.751342
299,113.463278
300,112.68763
301,112.629531
302,112.559944
303,112.571364
304,113.183391
305,112.69456
306,189.320549
307,212.998647
308,264.961746
309,265.00447
310,241.748031
311,193.432751
312,114.684527
313,114.462343
314,114.364604
315,114.340276
316,114.345981
317,114.540905
318,118.886706
319,144.980713
320,187.999986
321,165.80714
322,145.579482
323,112.103192
324,112.065553
325,112.042832
326,111.723022
327,111.46355
328,112.126921
329,112.471492
330,189.438002
331,192.781568
332,224.315701
333,224.282872
334,241.496721
335,234.341679
336,114.354323
337,114.192236
338,114.133212
339,114.053847
340,114.023854
341,114.177787
342,118.691479
343,134.548279
344,208.466971
345,185.869648
346,185.643238
347,152.288422
348,152.245085
349,152.233119
350,152.218554
351,152.220262
352,153.072376
353,153.7242
354,189.386648
355,172.348883
356,203.921865
357,203.903235
358,221.248804
359,193.861261
360,115.059355
361,114.870785
362,114.732691
363,114.660615
364,114.630964
365,114.815367
366,119.428396
367,134.475006
368,209.025955
369,186.184075
370,185.541088
371,152.476264
372,152.530517
373,152.531904
374,152.483294
375,152.414461
376,153.186732
377,152.982878
378,189.813262
379,172.849325
380,204.570638
381,204.555332
