hours,kW
0,541.27881
1,551.519944
2,532.638442
3,532.326771
4,542.350324
5,561.820201
6,657.985787
7,1724.884272
8,2030.46549
9,799.138908
10,740.238888
11,575.422695
12,547.532499
13,529.734389
14,510.177209
15,501.642256
16,499.999849
17,497.478051
18,1747.820877
19,588.190452
20,694.560894
21,1848.00539
22,837.655488
23,765.854815
24,450.394672
25,453.285936
26,460.775476
27,472.087708
28,492.766977
29,1655.398886
30,510.723655
31,2358.038064
32,1685.52634
33,704.977995
34,501.69683
35,336.506407
36,314.029297
37,319.676682
38,317.225205
39,318.062974
40,312.028964
41,540.625571
42,551.346365
43,1823.889728
44,869.375409
45,1234.795007
46,1760.753767
47,724.868419
48,383.583533
49,431.698081
50,480.720519
51,523.795456
52,568.118877
53,590.338952
54,1760.005479
55,2685.119167
56,887.346615
57,1786.979525
58,620.998534
59,487.135043
60,473.132752
61,469.471507
62,466.871552
63,479.53916
64,496.592191
65,1311.940393
66,828.562607
67,971.486801
68,2307.774694
69,1213.279077
70,1149.47572
71,2119.875785
72,660.414823
73,637.483338
74,627.596784
75,626.284567
76,623.694114
77,650.560445
78,1885.827658
79,1932.336327
80,2181.277529
81,741.830075
82,707.579975
83,612.686247
84,623.200758
85,630.183598
86,627.226557
87,635.724651
88,647.769569
89,1576.254036
90,2002.812744
91,1039.550451
92,2380.350042
93,1250.283642
94,1119.741692
95,911.130491
96,665.026726
97,648.46116
98,653.225594
99,652.390406
100,663.92503
101,1846.271361
102,799.503998
103,3492.17396
104,2299.192858
105,950.676902
106,927.610234
107,854.920489
108,863.394642
109,831.790356
110,845.35094
111,879.452296
112,918.483687
113,2322.201459
114,1140.159465
115,2445.392352
116,1514.951126
117,2770.628517
118,1336.581912
119,1209.958706
120,1060.766042
121,1088.517769
122,1125.565171
123,1158.066815
124,1180.117481
125,1189.551269
126,2529.951684
127,4538.380431
128,1496.121913
129,2549.930503
130,1373.727591
131,1212.9853
132,1175.362297
133,1156.769934
134,1128.30763
135,1094.31912
136,1122.313858
137,2642.460381
138,1265.282868
139,1430.879213
140,2610.442959
141,1528.632542
142,2478.373037
143,1163.341011
144,996.575374
145,1009.63053
146,1021.999627
147,1035.53514
148,1045.621384
149,1031.936476
150,2327.047064
151,2834.74261
152,2441.405157
153,1223.058171
154,2277.883548
155,1034.668854
156,1025.245717
157,992.50508
158,963.965384
159,923.212382
160,901.015289
161,2209.11231
162,1140.052428
163,1171.900611
164,2383.36257
165,1217.270765
166,1155.97721
167,1122.787153
168,804.182989
169,778.36581
170,771.208508
171,765.96698
172,761.370859
173,1912.987758
174,836.264166
175,3160.216592
176,2199.910066
177,1041.405801
178,1021.479013
179,938.753951
180,907.683842
181,896.51183
182,881.732149
183,853.861448
184,879.459406
185,1933.478223
186,955.536391
187,2051.515608
188,993.977768
189,2146.213221
190,997.550689
191,920.045192
192,720.931559
193,727.765585
194,724.863231
195,736.903185
196,743.681128
197,1903.130236
198,859.057666
199,3492.184823
200,1130.457181
201,2176.509754
202,995.516646
203,877.009861
204,893.140204
205,908.010425
206,877.222414
207,884.082104
208,865.951489
209,2123.029864
210,1132.568807
211,2341.654622
212,1322.760521
213,1373.284527
214,2367.170113
215,1092.517359
216,873.664953
217,866.449345
218,871.79351
219,885.781773
220,896.469105
221,918.162395
222,2220.44014
223,3991.169557
224,1299.387485
225,2292.325309
226,1114.864339
227,981.63164
228,932.902897
229,926.609838
230,920.627785
231,900.694194
232,919.284584
233,2082.298733
234,1014.513387
235,1054.409663
236,2356.183783
237,1262.485047
238,1092.143881
239,2052.317332
240,722.23223
241,714.554565
242,726.49029
243,732.844696
244,741.092525
245,740.887166
246,1081.609666
247,3133.552435
248,2213.416981
249,912.189366
250,891.276286
251,725.882838
252,638.660551
253,610.135238
254,579.041366
255,573.347859
256,607.843732
257,1443.476062
258,1898.347332
259,878.627523
260,1146.332209
261,2316.845547
262,1107.277441
263,920.161569
264,572.410261
265,573.449302
266,579.185609
267,583.560609
268,578.136812
269,1738.81545
270,665.727139
271,2986.797317
272,2140.778598
273,766.266484
274,766.921706
275,658.552868
276,670.382878
277,669.8539
278,648.295622
279,644.942323
280,671.28431
281,1675.999936
282,891.457433
283,2173.782214
284,1226.006643
285,1867.462497
286,1686.211718
287,933.088698
288,674.103187
289,670.144747
290,668.248687
291,676.862791
292,682.360509
293,709.733134
294,1967.493449
295,3511.305934
296,1122.792377
297,2071.912268
298,905.914926
299,763.967593
300,717.842406
301,683.047557
302,668.846187
303,687.196893
304,685.347829
305,1664.043005
306,938.90936
307,1052.311266
308,2384.043071
309,1251.71353
310,1115.733851
311,2101.673956
312,736.835798
313,736.906791
314,741.483982
315,736.692556
316,743.413751
317,756.432332
318,1970.573136
319,2034.774529
320,2195.9755
321,972.252483
322,872.908926
323,668.972656
324,624.912428
325,609.671837
326,595.624574
327,597.118289
328,625.247419
329,1553.897743
330,2022.426446
331,973.097004
332,2260.543611
333,1155.890424
334,1133.427541
335,1162.852853
336,812.196988
337,791.588758
338,802.158572
339,816.453313
340,830.730494
341,2000.785399
342,965.281188
343,3586.117807
344,2441.427659
345,1205.349787
346,1179.02003
347,1025.2727
348,965.864185
349,942.564851
350,909.705127
351,915.334663
352,929.838943
353,2048.338618
354,1005.305542
355,2126.507105
356,1080.179696
357,2256.768078
358,1088.686483
359,1002.278758
360,820.678029
361,806.887875
362,808.651701
363,794.323579
364,791.237894
365,799.825923
366,1978.297615
367,2051.574921
368,1098.269296
369,2178.907538
370,992.803869
371,859.087734
372,834.656157
373,823.372107
374,802.612603
375,786.762686
376,788.17032
377,790.123771
378,906.129629
379,1131.716681
380,1938.368577
381,1029.244221
382,2167.883218
383,951.993189
384,744.297983
385,733.674819
386,726.377013
387,723.29198
388,720.616241
389,735.901358
390,1937.193896
391,1996.548953
392,2220.636123
393,839.260541
394,1943.049756
395,687.641095
396,656.064928
397,644.59348
398,636.371696
399,630.207266
400,643.129712
401,1530.231644
402,864.046821
403,1009.929341
404,2363.883855
405,1248.946478
406,1179.384067
407,986.006323
408,671.398244
409,662.625019
410,665.691261
411,670.455552
412,686.417862
413,1854.88341
414,808.787862
415,3546.572537
416,2357.509059
417,967.268636
418,981.266968
419,940.694336
420,953.042936
421,928.45043
422,944.551682
423,945.332164
424,976.128285
425,2470.690922
426,1204.786435
427,2493.464849
428,1543.066135
429,2751.480299
430,1370.916514
431,1163.112917
432,971.411952
433,986.286457
434,1003.481984
435,1032.294386
436,1043.854909
437,2193.930069
438,1213.436564
439,4289.938782
440,1429.330499
441,2462.532586
442,1301.752782
443,1193.49993
444,1205.225927
445,1191.827672
446,1163.817734
447,1113.769059
448,1057.300124
449,2518.733923
450,1303.39343
451,2564.628473
452,1562.510001
453,1577.516661
454,2563.299744
455,1224.926823
456,1010.701072
457,1015.346243
458,1018.978347
459,1004.504322
460,994.076973
461,986.101552
462,2250.78448
463,3954.078847
464,1359.581183
465,2315.985619
466,1153.261092
467,1041.451345
468,1056.060213
469,1022.370876
470,994.373843
471,942.390248
472,915.839595
473,2199.132774
474,1162.94152
475,1226.144799
476,2507.218754
477,1363.78398
478,1283.894226
479,2258.369804
480,903.118324
481,887.842241
482,883.785615
483,872.383211
484,869.509356
485,877.253744
486,1348.598111
487,2985.867155
488,2272.507843
489,1033.642944
490,958.927708
491,836.852797
492,827.736757
493,785.863827
494,756.592145
495,755.268586
496,733.605989
497,1640.866053
498,2053.240361
499,905.147548
500,1009.62221
501,2164.631198
502,1077.487812
503,1067.493485
504,669.083841
505,672.936623
506,712.403967
507,754.431737
508,775.972362
509,1960.013179
510,978.70304
511,3901.5015
512,2560.457488
513,1449.864109
514,1453.127271
515,1366.356535
516,1343.382254
517,1321.899953
518,1327.344763
519,1367.387982
520,1366.035653
521,2968.143959
522,1451.498673
523,2572.409688
524,1491.517071
525,2381.107478
526,1600.51794
527,1288.276997
528,1090.408432
529,1075.606532
530,1064.370362
531,1055.608703
532,1050.280104
533,1032.370821
534,2291.942451
535,3964.293782
536,1341.675737
537,2332.723453
538,1122.379337
539,985.049171
540,919.725626
541,870.194914
542,837.591698
543,814.53895
544,805.272664
545,1720.741214
546,920.703338
547,934.83753
548,2222.117923
549,1141.623178
550,1076.700908
551,2029.141883
552,655.913991
553,667.591346
554,705.141724
555,731.426756
556,763.103901
557,782.42324
