hours,kW
0,281.933377
1,281.094419
2,280.94884
3,280.860696
4,280.677068
5,281.01921
6,292.280026
7,329.270064
8,511.691659
9,456.421301
10,454.488253
11,372.345503
12,372.639836
13,373.545237
14,373.851201
15,373.797725
16,375.655113
17,375.497265
18,466.871421
19,425.165958
20,503.256053
21,503.348807
22,546.814952
23,479.549042
24,284.394363
25,284.19263
26,284.136197
27,284.074914
28,284.352339
29,284.819207
30,313.458527
31,468.558314
32,517.581927
33,361.603029
34,360.033804
35,277.7359
36,277.225262
37,278.490531
38,278.490623
39,278.974521
40,280.52432
41,278.263239
42,470.308166
43,528.823895
44,656.683517
45,657.609575
46,601.343586
47,483.440282
48,288.852223
49,288.410865
50,287.859869
51,287.022556
52,286.411145
53,286.336658
54,314.680212
55,471.119178
56,519.002922
57,362.376402
58,360.352361
59,277.622242
60,276.409455
61,276.859521
62,276.729501
63,276.575549
64,278.342963
65,277.016106
66,467.038969
67,524.821864
68,652.404836
69,652.725346
70,596.367445
71,478.102966
72,283.430053
73,282.904547
74,282.743493
75,282.651176
76,282.992832
77,283.851729
78,312.914988
79,468.953018
80,517.033685
81,359.128667
82,358.165631
83,275.878821
84,274.799367
85,275.333879
86,275.349823
87,275.320636
88,277.399877
89,276.510177
90,464.015589
91,523.880654
92,651.648583
93,651.820906
94,594.938889
95,474.956373
96,281.302225
97,280.957375
98,280.654991
99,280.451259
100,280.68582
101,281.281674
102,309.996063
103,468.327505
104,514.552704
105,358.702999
106,358.218911
107,276.984382
108,276.16858
109,275.811821
110,276.283336
111,276.039266
112,277.954306
113,277.728439
114,463.49716
115,521.350072
116,648.547671
117,649.478515
118,590.606077
119,472.990449
120,280.415984
121,280.433901
122,280.50787
123,280.571508
124,281.036183
125,281.072134
126,309.986124
127,466.335492
128,512.151367
129,359.372334
130,358.958757
131,276.867226
132,276.145785
133,276.973993
134,276.782308
135,276.257405
136,278.290335
137,278.346277
138,463.454611
139,521.445369
140,648.868035
141,649.03711
142,591.230151
143,472.902073
144,280.713007
145,280.688012
146,280.710554
147,280.732655
148,280.7492
149,280.732803
150,291.788503
151,355.306222
152,459.411794
153,405.350536
154,355.551306
155,274.476945
156,275.425245
157,275.768792
158,275.648751
159,274.832781
160,275.540622
161,276.955746
162,464.694533
163,472.656968
164,550.077163
165,550.20081
166,592.805397
167,575.305613
168,281.456383
169,281.172587
170,281.057482
171,280.955536
172,280.865432
173,281.334719
174,292.461954
175,330.883102
176,510.907045
177,456.22495
178,455.344004
179,374.440318
180,374.606527
181,374.745213
182,374.583741
183,374.339812
184,376.445445
185,377.56343
186,465.564907
187,423.098439
188,500.647737
189,500.706228
190,543.768757
191,476.169702
192,281.978491
193,281.685765
194,281.450874
195,281.268205
196,281.598863
197,282.072466
198,310.770007
199,467.020122
200,514.403309
201,360.866196
202,359.802482
203,277.346973
204,277.63674
205,278.12313
206,277.234482
207,276.989709
208,278.223477
209,277.49886
210,464.906459
211,522.021955
212,648.987866
213,650.179511
214,592.59147
215,474.195289
216,280.950639
217,280.560574
218,280.285359
219,280.104443
220,280.507581
221,280.776272
222,309.58784
223,466.578665
224,512.99722
225,358.983055
226,358.508006
227,276.450769
228,275.419057
229,275.957683
230,275.937035
231,275.912917
232,278.022943
233,277.480887
234,462.950631
235,520.67746
236,648.504908
237,650.069593
238,591.455963
239,472.902196
240,280.055249
241,279.880462
242,279.834671
243,279.829042
244,280.313706
245,280.536493
246,309.315489
247,465.704434
248,512.792197
249,358.950057
250,358.594339
251,276.227137
252,275.10865
253,275.614345
254,275.556443
255,275.522811
256,277.63317
257,276.684619
258,463.285837
259,522.872891
260,651.262082
261,652.16001
262,594.598985
263,475.121693
264,280.692593
265,280.467433
266,280.386436
267,280.365193
268,280.845267
269,281.781575
270,311.01037
271,468.606612
272,516.193767
273,358.667282
274,358.221288
275,276.01977
276,275.052312
277,275.599632
278,275.831357
279,276.026383
280,277.709782
281,276.84087
282,464.136277
283,523.330182
284,651.413805
285,651.804496
286,594.179626
287,474.367308
288,281.076895
289,280.85786
290,280.684163
291,280.53691
292,280.914519
293,281.440672
294,310.124248
295,468.425773
296,515.780758
297,361.073787
298,360.94844
299,279.073382
300,277.165603
301,277.022702
302,276.851547
