hours,kW
0,461.783784
1,503.102892
2,510.322801
3,533.689341
4,583.031531
5,612.506365
6,708.178831
7,1807.269486
8,2000.841129
9,732.790484
10,768.50174
11,647.227672
12,597.504889
13,534.494171
14,496.734584
15,478.742223
16,473.647804
17,468.856235
18,1785.577272
19,543.618693
20,611.531858
21,1820.176647
22,629.766696
23,558.832234
24,370.036068
25,375.860609
26,381.830138
27,389.173588
28,402.265802
29,1620.607608
30,457.433917
31,2543.410318
32,1642.607695
33,660.421526
34,444.783629
35,350.979104
36,338.233636
37,331.344188
38,327.691302
39,325.042534
40,326.273377
41,657.123399
42,535.089324
43,1797.263716
44,696.195536
45,1008.353793
46,1514.278135
47,508.980435
48,320.509974
49,325.562946
50,349.897539
51,386.642846
52,426.235051
53,444.225405
54,1751.645523
55,2923.697045
56,757.76974
57,1772.767828
58,561.988273
59,483.551599
60,476.555306
61,475.799775
62,476.456091
63,489.694591
64,514.379943
65,1728.569108
66,829.084847
67,918.029162
68,2275.6295
69,1102.543673
70,925.803492
71,1954.15518
72,536.486545
73,521.818787
74,521.099513
75,535.80428
76,551.615072
77,558.326035
78,1917.160714
79,2315.446581
80,2200.799249
81,873.958087
82,898.356374
83,837.684093
84,855.598422
85,865.898891
86,857.597729
87,875.659762
88,890.817534
89,2286.92245
90,2236.972587
91,998.837438
92,2333.199568
93,1162.090284
94,977.768076
95,887.208842
96,731.165664
97,742.045498
98,758.592456
99,772.707172
100,795.333822
101,2022.306312
102,983.717295
103,4123.104305
104,2421.504667
105,1178.345387
106,1195.123734
107,1099.924202
108,1095.065557
109,1122.958813
110,1107.869325
111,1149.599929
112,1221.855938
113,3329.678569
114,1391.694277
115,2629.473686
116,1584.94853
117,2834.508455
118,1434.734634
119,1409.797052
120,1292.687415
121,1337.547064
122,1372.092118
123,1398.259969
124,1429.876014
125,1444.196478
126,3003.854916
127,5986.61236
128,1881.952587
129,3079.054307
130,1859.846805
131,1720.251635
132,1650.627478
133,1594.655707
134,1564.807669
135,1563.282528
136,1606.193127
137,3880.163354
138,1613.66258
139,1612.747226
140,2783.183761
141,1614.917562
142,2648.915314
143,1403.501923
144,1287.776161
145,1321.859095
146,1340.66697
147,1345.963468
148,1359.133924
149,1333.6723
150,2815.743126
151,4059.354895
152,2873.118545
153,1626.296725
154,2786.954792
155,1436.449584
156,1349.079056
157,1279.086904
158,1242.781488
159,1234.64321
160,1287.836196
161,3289.359247
162,1361.362497
163,1273.619242
164,2543.520283
165,1305.915045
166,1192.664052
167,1130.328755
168,928.541557
169,933.279658
170,937.276038
171,943.605405
172,945.548607
173,2132.375302
174,1040.562632
175,3967.300822
176,2373.621283
177,1164.313743
178,1191.335164
179,1063.086886
180,987.133725
181,940.386879
182,939.880392
183,943.859413
184,974.494752
185,2555.561433
186,1096.252689
187,2257.085024
188,1123.365347
189,2344.518844
190,1037.77155
191,952.108896
192,767.792797
193,776.947445
194,788.337767
195,810.109379
196,831.200102
197,2037.833943
198,996.894955
199,4289.180005
200,1269.061722
201,2377.267056
202,1180.122149
203,1111.624407
204,1054.08346
205,1054.814763
206,1085.434009
207,1113.096383
208,1159.946074
209,3081.009923
210,1280.079434
211,2544.587755
212,1470.715648
213,1479.297725
214,2449.775657
215,1128.3758
216,972.93447
217,1000.99322
218,1042.576406
219,1089.975328
220,1111.276557
221,1109.442004
222,2588.816659
223,4987.719486
224,1482.269411
225,2660.173408
226,1447.63403
227,1328.892584
228,1280.822848
229,1277.913644
230,1283.309704
231,1260.731111
232,1273.031134
233,3022.831409
234,1299.852309
235,1234.893941
236,2518.352442
237,1273.346289
238,1135.650616
239,2271.452676
240,921.099705
241,926.933905
242,946.547375
243,962.48781
244,966.517481
245,948.425383
246,1380.632272
247,3960.401333
248,2481.644748
249,1159.933449
250,1124.521424
251,989.550065
252,893.90385
253,852.460653
254,821.488351
255,811.683454
256,849.857473
257,2099.805487
258,2184.040926
259,920.116968
260,1022.362045
261,2196.272973
262,900.341142
263,840.820409
264,679.351314
265,694.615564
266,707.121871
267,715.322173
268,710.674235
269,1900.622834
270,796.992114
271,3426.855977
272,2201.945886
273,929.940846
274,975.789087
275,900.616875
276,911.212845
277,913.45795
278,878.35092
279,863.717794
280,915.655674
281,2437.445505
282,1067.491775
283,2237.535708
284,1111.19363
285,1756.049792
286,1577.342287
287,933.689151
288,764.028446
289,769.94951
290,781.402955
291,797.470453
292,808.683461
293,807.725853
294,2205.961827
295,4136.934906
296,1132.66519
297,2218.414379
298,980.511296
299,861.684237
300,853.194779
301,845.703997
302,834.168134
303,843.227488
304,869.450945
305,2358.695337
306,1029.394789
307,1039.219646
308,2386.822304
309,1186.362072
310,1020.955434
311,2110.586811
312,761.310464
313,795.020977
314,824.441048
315,834.84505
316,845.05283
317,833.834387
318,2189.537933
319,2658.743551
320,2331.711821
321,1018.969197
322,920.781574
323,755.792768
324,706.988363
325,687.924035
326,700.374142
327,723.18074
328,765.788912
329,2169.925832
330,2182.459803
331,994.40338
332,2332.086794
333,1171.359542
334,1086.858351
335,1076.363023
336,875.243993
337,908.797851
338,940.641022
339,982.268021
340,1012.545623
341,2221.50325
342,1193.669438
343,4538.144412
344,2566.02645
345,1289.288046
346,1278.270609
347,1158.072016
348,1113.328594
349,1083.600635
350,1046.245706
351,1035.20423
352,1041.798093
353,2693.209207
354,1179.295969
