hours,kW
0,636.189761
1,664.838418
2,674.379355
3,705.257677
4,770.462199
5,809.412486
6,935.841357
7,2406.966835
8,2692.39729
9,1016.163684
10,1062.723306
11,886.595148
12,820.859737
13,738.932607
14,689.030583
15,665.246432
16,658.509874
17,652.175334
18,2393.741193
19,753.396238
20,856.858383
21,2462.581909
22,1001.043794
23,905.715195
24,525.458834
25,531.546174
26,539.44625
27,549.017804
28,566.086891
29,2176.405727
30,609.048042
31,3385.211436
32,2201.138164
33,903.203259
34,637.091516
35,475.047641
36,469.50872
37,465.644906
38,460.193735
39,460.375771
40,451.908437
41,884.266637
42,771.3723
43,2527.783547
44,1137.19833
45,1637.736663
46,2372.318005
47,965.095423
48,511.851544
49,481.349132
50,506.313632
51,548.959339
52,599.484603
53,623.928723
54,2322.425516
55,3918.780893
56,1055.921257
57,2376.515832
58,779.348294
59,643.136323
60,633.152825
61,631.970294
62,632.660472
63,649.744172
64,681.242463
65,2284.316784
66,1100.090882
67,1229.13738
68,3048.170608
69,1514.858385
70,1354.891223
71,2731.026749
72,736.883313
73,716.623079
74,716.778658
75,736.822463
76,757.709085
77,766.84286
78,2536.582727
79,3065.056224
80,2926.806557
81,1173.452786
82,1208.478317
83,1107.401586
84,1130.652816
85,1144.264638
86,1133.294851
87,1157.163396
88,1177.194028
89,3022.113224
90,2956.105677
91,1319.939743
92,3083.267327
93,1535.674468
94,1292.097086
95,1172.425228
96,966.217906
97,980.595347
98,1002.461755
99,1021.114014
100,1051.01459
101,2672.429338
102,1299.958836
103,5448.583552
104,3199.9604
105,1557.155197
106,1579.32738
107,1453.52348
108,1447.102897
109,1483.963166
110,1464.022769
111,1519.168762
112,1614.653347
113,4400.090452
114,1839.090643
115,3474.786476
116,2094.471507
117,3745.73501
118,1895.967443
119,1863.013027
120,1708.255447
121,1767.536398
122,1813.186859
123,1847.767047
124,1889.546893
125,1908.471043
126,3969.522301
127,7911.164798
128,2486.955254
129,4068.896494
130,2457.742992
131,2273.27132
132,2181.264664
133,2107.299309
134,2067.855842
135,2065.840405
136,2122.545734
137,5127.542905
138,2132.416437
139,2131.206818
140,3677.910656
141,2134.074865
142,3500.478121
143,1854.694165
144,1701.765343
145,1746.805123
146,1771.65928
147,1778.658475
148,1796.062916
149,1762.415991
150,3720.937077
151,5364.340234
152,3796.757319
153,2149.112157
154,3682.893984
155,1898.233709
156,1782.775649
157,1690.282698
158,1642.305961
159,1631.551421
160,1701.844677
161,4346.809434
162,1799.007923
163,1683.057313
164,3361.201113
165,1725.735443
166,1576.076969
167,1493.702368
168,1227.04542
169,1233.306708
170,1238.587827
171,1246.951935
172,1249.519829
173,2817.882871
174,1375.078587
175,5242.692983
176,3136.683655
177,1538.612716
178,1574.320876
179,1404.84385
180,1310.246553
181,1249.35869
182,1244.538049
183,1247.287601
184,1287.771467
185,3377.113204
186,1448.671663
187,2982.683781
188,1484.500391
189,3098.225479
190,1371.390239
191,1258.189095
192,1014.619786
193,1026.717433
194,1041.769471
195,1070.540135
196,1098.41102
197,2692.94873
198,1317.372799
199,5668.048611
200,1677.034659
201,3141.501457
202,1559.503145
203,1468.98502
204,1392.946037
205,1393.912437
206,1434.375036
207,1470.930201
208,1532.840945
209,4071.480794
210,1691.594301
211,3362.611752
212,1943.515491
213,1954.8565
214,3237.319836
215,1491.121585
216,1285.709591
217,1322.788556
218,1377.739741
219,1440.376281
220,1468.525345
221,1466.101027
222,3421.059188
223,6591.151797
224,1958.783513
225,3515.355422
226,1913.013686
227,1756.09971
228,1692.576705
229,1688.732263
230,1695.863026
231,1666.025956
232,1682.280142
233,3994.599282
234,1717.723682
235,1631.882755
236,3327.942414
237,1682.696612
238,1500.735079
239,3001.670289
240,1217.211191
241,1224.920947
242,1250.839677
243,1271.90458
244,1277.229693
245,1253.321421
246,1824.472469
247,5233.575473
248,3279.434076
249,1550.889952
250,1514.976197
251,1309.752946
252,1182.005006
253,1127.230389
254,1086.295881
255,1073.335219
256,1123.604751
257,2774.84264
258,2886.157755
259,1215.912528
260,1367.319312
261,2923.194485
262,1308.948809
263,1253.72262
264,923.059884
265,940.806247
266,956.897067
267,968.105908
268,962.470919
269,2535.458824
270,1053.205984
271,4528.508068
272,2924.726945
273,1248.538029
274,1312.15078
275,1190.855505
276,1204.148778
277,1207.112795
278,1161.294492
279,1141.95806
280,1210.017034
281,3221.025836
282,1410.664804
283,2956.849828
284,1468.415759
285,2320.577726
286,2084.42004
287,1233.847843
288,1009.645286
289,1017.46983
290,1032.605283
291,1053.838097
292,1068.655817
293,1067.390363
294,2915.125701
295,5466.860359
296,1496.789911
297,2952.810503
298,1333.631075
299,1145.262191
300,1128.805539
301,1118.313029
302,1103.062557
303,1115.030172
304,1149.677865
305,3117.492477
306,1360.32055
307,1373.303863
308,3154.128488
309,1567.749054
310,1349.168145
311,2789.089903
312,1006.053537
313,1050.601172
314,1089.479091
315,1103.227731
316,1116.717067
317,1101.892164
318,2893.421919
319,3513.465901
320,3081.301305
321,1369.053802
322,1256.466993
323,1009.331228
324,940.70367
325,913.038625
326,926.254307
327,956.38647
328,1012.688642
329,2868.21876
330,2886.552002
331,1314.892871
332,3081.796822
333,1547.92357
334,1436.257271
335,1422.387945
336,1156.613966
337,1200.954586
338,1243.034574
339,1298.043655
340,1338.05478
341,2935.663319
342,1577.405562
343,5997.049109
344,3390.942474
345,1703.763262
346,1689.203984
347,1530.364422
348,1471.237062
349,1431.952277
350,1382.588633
351,1367.997587
352,1376.711219
353,3559.01144
354,1558.411368
355,3093.671521
356,1586.235081
357,3219.341216
358,1477.651678
359,1352.402911
360,1114.798638
361,1113.068215
362,1127.722959
363,1131.508165
364,1139.276453
365,1131.446575
366,2759.92383
367,2842.334362
368,1385.362002
369,2918.916046
370,1343.968677
371,1182.906645
372,1141.029431
373,1111.757662
374,1084.437734
375,1068.343019
376,1078.708362
377,1089.619828
378,1229.910613
379,1522.372153
380,2590.583493
381,1323.517034
382,2924.915516
383,1241.509399
384,998.328659
385,993.846757
386,994.170472
387,994.737978
388,995.989787
389,985.994678
390,2712.803255
391,3266.387169
392,3026.265984
393,1286.400891
394,2922.462842
395,1211.977045
396,1152.233494
397,1130.5893
398,1122.263962
399,1117.470553
400,1137.195938
401,2899.567331
402,1314.077526
403,1280.661254
404,3051.985455
405,1458.991529
406,1381.990579
407,1239.648674
408,937.902322
409,958.390495
410,971.57666
411,990.23359
412,1019.639904
413,2656.989242
414,1293.108036
415,5519.382876
416,3228.730911
417,1591.52543
418,1650.177939
419,1537.423598
420,1517.282815
421,1570.583066
422,1579.751389
423,1672.765696
424,1753.785074
425,4710.144628
426,1910.534614
427,3497.1727
428,2088.920398
429,3724.906925
430,1816.581479
431,1749.933696
432,1580.85614
433,1623.834036
434,1655.684612
435,1681.280551
436,1694.932582
437,3291.727782
438,2085.640893
439,7366.403184
440,2307.174665
441,3912.340695
442,2322.190544
443,2131.217147
444,2031.783447
445,1952.050974
446,1912.155216
447,1914.754291
448,1965.206705
449,4926.342184
450,2048.525784
451,3594.739061
452,2177.359372
453,2219.897246
454,3505.342759
455,1847.099334
456,1660.30482
457,1708.098905
458,1732.475727
459,1700.214283
460,1669.788527
461,1609.868874
462,3487.734365
463,6544.361378
464,2025.401046
465,3606.886277
466,2035.508579
467,1888.701084
468,1820.777464
469,1730.071527
470,1673.582301
471,1721.436455
472,1752.182659
473,4308.358985
474,1784.770365
475,1741.419806
476,3538.77954
477,1976.153148
478,1688.895532
479,3168.212286
480,1396.798633
481,1405.26906
482,1425.703743
483,1426.431161
484,1428.800454
485,1387.968254
486,2152.661386
487,5075.849119
488,3351.969796
489,1733.170703
490,1707.347283
491,1473.305924
492,1353.857866
493,1259.867203
494,1209.974816
495,1223.93728
496,1256.706945
497,3100.357208
498,2968.885973
499,1329.99525
500,1449.278153
501,3060.097294
502,1446.524476
503,1400.243827
504,955.927319
505,967.404064
506,1033.57207
507,1136.574468
508,1236.683031
509,2910.056379
510,1693.515996
511,6755.261232
512,3605.904448
513,2043.418482
