hours,kW
0,385.338
1,385.012681
2,385.127593
3,385.312261
4,385.491298
5,385.539675
6,406.483
7,478.082132
8,692.960312
9,584.758745
10,583.168773
11,486.03732
12,485.882724
13,486.003154
14,485.892042
15,485.731132
16,488.081556
17,488.039502
18,664.905551
19,616.909768
20,709.378964
21,709.665787
22,731.903925
23,638.44235
24,385.715969
25,385.508717
26,385.466549
27,385.423481
28,386.326392
29,386.844061
30,443.03337
31,670.104348
32,698.990854
33,472.018816
34,469.997473
35,373.716538
36,373.085551
37,374.152589
38,374.089051
39,374.374049
40,376.098789
41,373.652818
42,669.018604
43,739.282004
44,891.430382
45,892.607845
46,796.709845
47,642.011912
48,390.68015
49,389.282831
50,388.539693
51,388.022064
52,388.574887
53,389.120355
54,445.488659
55,671.643243
56,700.197659
57,473.036576
58,470.634114
59,373.523349
60,371.658774
61,372.233981
62,372.13002
63,372.015689
64,374.371568
65,373.920768
66,665.956212
67,735.940945
68,886.840918
69,887.298577
70,789.876689
71,635.072239
72,384.841234
73,384.530614
74,384.507618
75,384.466685
76,385.41895
77,385.633863
78,441.882268
79,670.35181
80,696.674151
81,472.072996
82,470.559808
83,373.623398
84,371.951349
85,372.620528
86,372.602547
87,372.638323
88,375.11812
89,375.037906
90,663.596673
91,730.90925
92,882.203871
93,883.865527
94,785.071394
95,632.617031
96,384.708862
97,384.660617
98,384.574568
99,384.511144
100,385.548094
101,385.633135
102,441.879028
103,668.223271
104,694.893936
105,472.520764
106,471.033515
107,374.434751
108,372.749895
109,373.372943
110,373.324242
111,373.365968
112,375.906503
113,377.860225
114,664.416908
115,731.759398
116,882.015509
117,882.108349
118,786.109077
119,633.926648
120,386.140364
121,386.242881
122,386.230368
123,386.288551
124,387.436487
125,387.488946
126,444.030865
127,674.837307
128,696.61243
129,474.442091
130,472.816294
131,376.199778
132,374.314348
133,374.780515
134,374.613086
135,374.525856
136,377.011804
137,379.592989
138,665.048601
139,732.066135
140,882.102241
141,882.05479
142,786.096768
143,633.926905
144,387.216862
145,387.289845
146,387.24972
147,387.12411
148,387.144797
149,387.071299
150,408.415224
151,514.741666
152,634.129642
153,527.876902
154,468.146036
155,371.502009
156,371.272454
157,371.094287
158,370.98117
159,370.865992
160,373.329221
161,377.479006
162,664.435057
163,673.395507
164,765.328631
165,765.263939
166,787.498693
167,752.313298
168,386.176732
169,386.190359
170,386.215731
171,386.233898
172,386.176003
173,385.990182
174,406.970019
175,481.471983
176,690.965909
177,584.676438
178,583.249916
179,486.637598
180,486.635125
181,486.641413
182,486.451114
183,486.432587
184,488.814189
185,491.757642
186,664.623997
187,616.249594
188,708.226579
189,708.347318
190,729.836856
191,636.263115
192,384.917458
193,384.787095
194,384.784254
195,384.838887
196,385.910389
197,385.874528
198,442.088108
199,669.923953
200,696.469012
201,472.649305
202,471.121579
203,374.594209
204,372.799197
205,373.457119
206,373.522728
207,373.587943
208,376.14203
209,377.457396
210,664.445458
211,733.170699
212,883.776004
213,884.272356
214,786.602785
215,633.183036
216,385.269648
217,385.305958
218,385.422123
219,385.565129
220,386.648667
221,386.550389
222,442.861348
223,670.864044
224,695.545428
225,473.236333
226,471.657746
227,375.113706
228,373.311396
229,373.94464
230,373.898191
231,373.761665
232,376.179945
233,376.964141
234,664.185058
235,731.317593
236,881.381419
237,881.455891
238,785.327943
239,633.017626
240,385.083832
241,385.062146
242,385.115423
243,385.129317
244,386.04105
245,385.915306
246,442.124746
247,668.416889
248,694.997254
249,472.615651
250,471.130735
251,374.254209
252,372.242293
253,372.731169
254,372.62555
255,372.574905
256,375.11014
257,374.717665
258,663.459527
259,730.656877
260,880.998442
261,881.099009
262,785.779401
263,633.693911
264,384.583961
265,384.42445
266,384.432749
267,384.4491
268,385.453164
269,385.398021
270,441.430411
271,666.365615
272,694.521656
273,472.192366
274,470.710694
275,373.76471
276,372.045816
277,372.710476
278,372.645394
279,372.616189
280,375.194116
281,375.459862
282,663.673134
283,730.908264
284,881.101637
285,881.935744
286,785.064827
287,632.737897
288,384.777322
289,384.723613
290,384.748874
291,384.692088
292,385.63593
293,385.593331
294,441.883879
295,668.256235
296,694.837087
297,472.406589
298,470.861076
299,373.958263
300,372.2198
301,372.790444
302,372.746986
303,372.772177
304,375.225777
305,375.284499
306,663.644065
307,732.400921
308,883.357699
309,883.987265
310,786.419037
311,632.880321
312,385.824953
313,385.844357
314,385.912067
315,385.928382
316,385.919932
317,385.837335
318,406.87493
319,510.440556
320,633.448788
321,526.809108
322,466.970301
323,370.22385
324,370.037351
325,369.833852
326,369.601136
327,369.593663
328,372.09814
329,374.589716
330,664.586193
331,674.825759
332,766.811426
333,766.835571
334,788.207456
335,753.105776
336,386.101892
337,386.125565
338,386.195637
339,386.290853
340,386.294092
341,386.182569
342,407.310447
343,483.193309
344,692.998619
345,585.546986
346,583.718229
347,487.605897
348,487.972487
349,488.109588
350,487.921415
351,487.304593
352,489.459259
353,492.494151
354,666.072949
355,617.451624
356,709.220874
357,709.154248
358,730.563885
359,637.033092
360,386.500579
361,386.275679
362,386.112419
363,386.053465
364,386.025518
365,386.137688
366,407.285781
367,479.06945
368,693.628802
369,585.281955
370,583.519382
371,487.53127
372,488.100919
373,488.051849
374,487.544721
375,487.312574
376,489.236723
377,488.881062
378,665.689096
379,617.225733
380,709.499747
381,709.462327
382,730.829164
383,637.233954
384,385.822869
385,385.634714
386,385.524628
387,385.421667
388,386.353927
389,386.491325
390,442.510519
391,669.660735
392,696.460865
393,472.379561
394,470.850096
395,374.01304
396,372.154867
397,372.726981
398,372.669857
399,372.624026
400,375.074304
401,374.835524
402,663.517976
403,731.796952
404,882.937107
405,883.662139
406,786.870993
407,633.460089
408,384.644406
409,384.49087
410,384.395377
411,384.410146
412,385.485604
413,385.592121
414,441.865344
415,668.526305
416,695.082662
417,472.576577
418,471.157305
419,374.633445
420,372.959333
421,373.665239
422,373.655217
423,373.721809
424,376.265759
425,378.656228
426,664.5711
427,731.839463
428,882.311534
429,882.777803
430,785.922906
431,633.683692
432,385.857592
433,385.955769
434,385.996993
435,385.935489
436,386.96891
437,386.936747
438,443.420768
439,673.012522
440,696.219253
441,474.071325
442,472.491619
443,375.878934
444,373.994481
445,374.478228
446,374.392874
447,374.380156
448,376.830666
449,379.138901
450,664.910968
451,732.024027
452,882.469717
453,882.774243
454,786.116646
455,633.955893
456,386.137491
457,386.208908
458,386.250711
459,386.125401
460,386.964366
461,386.766125
462,443.024281
463,670.606964
464,695.66034
465,473.44348
466,471.925361
467,375.366597
468,373.567988
469,374.046211
470,373.940388
471,374.022707
472,376.495593
473,377.785946
474,664.434456
475,731.874424
476,882.54875
477,883.204554
478,785.789485
479,633.366032
480,386.556043
481,386.582616
482,386.625861
483,386.617813
484,386.610259
485,386.427497
486,407.471114
487,511.384846
488,633.173414
489,527.048454
490,467.400199
491,370.731943
492,370.548622
493,370.375073
494,370.273949
495,370.279988
496,372.698385
497,375.13686
498,664.007944
499,674.235563
500,766.496858
501,766.714619
502,789.029853
503,754.483966
504,385.790278
505,385.573457
506,385.579645
507,385.746126
508,385.97555
509,386.124177
510,407.542786
511,485.196916
512,692.241373
513,585.588458
514,584.243951
515,487.773975
516,487.730459
517,487.742563
518,487.594008
519,487.547474
520,490.121142
521,496.310867
522,665.1477
523,616.3382
524,708.345148
525,708.335856
526,730.577243
527,637.497879
528,386.503512
529,386.472606
530,386.394273
531,386.196865
532,387.122182
533,386.976062
534,443.206008
535,670.651258
536,695.830402
537,473.688012
538,471.954267
539,375.391881
540,373.504501
541,373.886955
542,373.648017
543,373.504268
544,375.889944
545,375.741503
546,663.858416
547,730.930285
548,881.460714
549,881.932645
550,785.984728
551,633.036469
552,384.876488
553,384.783106
554,384.73354
555,384.862561
556,386.030177
557,386.046383
558,442.420702
559,669.807049
560,695.419031
561,473.220152
562,471.701817
563,375.158013
564,373.283679
565,373.742367
566,373.613166
567,373.56229
568,376.050133
569,377.565699
570,664.306611
571,731.471438
572,881.582651
573,881.615041
574,785.593455
575,633.326105
576,385.455095
577,385.532048
578,385.601803
579,385.491697
580,386.479198
581,386.461182
582,442.810473
583,670.13978
584,695.589231
585,473.534155
586,472.09179
587,375.735992
588,373.893006
589,374.47219
590,374.523157
591,374.57639
592,377.159828
593,379.247604
594,665.004233
595,731.981969
596,881.993709
597,881.911793
598,785.907699
599,633.709789
600,385.891986
601,385.901519
602,385.694238
603,385.579949
604,386.605093
605,386.516229
606,442.779403
607,669.623341
608,695.537273
609,473.489021
610,472.069609
611,375.457215
612,373.672658
613,374.2019
614,374.041871
615,373.984249
616,376.397587
617,377.57775
618,664.420443
619,731.487665
620,881.555866
621,881.480172
622,785.499721
623,633.240194
624,385.383676
625,385.408868
626,385.461371
627,385.377427
628,386.306624
629,386.219958
630,442.518276
631,669.248532
632,695.331616
633,473.082993
634,471.692003
635,375.352933
636,373.659697
637,374.367005
638,374.472231
639,374.530203
640,377.132938
641,380.628205
642,665.278345
643,732.299211
644,882.383247
645,882.350347
646,786.376736
647,634.38125
648,387.700909
649,387.922899
650,387.971112
651,388.013285
652,388.178758
653,388.198834
654,409.738793
655,518.642086
656,635.331019
657,529.501367
658,469.678004
659,372.930995
660,372.573333
661,372.243757
662,372.11989
663,372.061541
664,374.609832
665,379.72647
666,665.308631
667,674.322436
668,766.327478
669,766.400144
670,788.745261
671,753.635943
672,387.756864
673,387.928467
674,387.851299
675,387.821945
676,387.946737
677,387.820405
678,408.995974
679,487.189092
680,692.410628
681,586.701424
682,585.591238
683,488.968239
684,488.770494
685,488.823925
686,488.772238
687,488.838431
688,491.396136
689,498.268138
690,666.294673
691,617.401056
692,709.362408
693,709.453601
694,731.729199
695,638.766578
696,388.06067
697,388.218357
698,388.413576
699,388.642844
700,389.892478
701,389.813791
702,446.423985
703,679.937863
704,698.500635
705,477.401661
706,475.989443
707,379.515008
708,377.737257
709,378.155318
710,377.904566
711,377.817844
712,380.605989
713,389.116922
714,668.390707
715,735.179581
716,884.97462
717,884.923412
718,789.256893
719,637.777875
720,390.236067
721,390.280289
722,390.317238
723,390.609399
724,391.688822
725,391.525322
726,448.078652
727,682.861205
728,699.608052
729,478.725211
730,477.14687
731,380.14275
732,378.058563
733,378.341333
734,377.984224
735,377.77473
736,380.136733
737,383.890355
738,667.171826
739,733.827772
740,883.43163
741,883.381944
742,787.5849
743,635.824827
744,387.978272
745,387.972351
746,388.086093
747,388.205311
748,389.286368
749,389.10597
750,445.427214
751,675.202655
752,697.619183
753,476.347734
754,475.001679
755,378.13469
756,376.154421
757,376.518556
758,376.406522
759,376.40085
760,379.041817
761,382.7622
762,666.561516
763,733.43471
764,883.278745
765,883.368006
766,787.638365
767,636.010059
768,388.25802
769,388.307424
770,388.480121
771,388.644955
772,389.845239
773,389.821419
774,446.415665
775,679.704986
776,698.814754
777,477.958737
778,476.731403
779,380.073733
780,378.304505
781,378.769383
782,378.535253
783,378.341728
784,381.061993
785,387.872498
786,668.231971
787,734.904944
788,884.586634
789,884.711663
790,789.079868
791,637.638884
792,390.077409
793,390.271616
794,390.523186
795,390.760875
796,392.027935
797,392.015286
798,448.720236
799,685.783026
800,700.168316
801,479.140141
802,477.397736
803,380.288918
804,378.113284
805,378.330424
806,378.072077
807,378.056709
808,380.668514
809,387.379896
810,668.017062
811,734.754895
812,884.547018
813,884.576151
814,788.877531
815,637.483517
816,391.024763
817,391.12591
818,391.33063
819,391.523974
820,391.719177
821,391.679512
822,413.418059
823,527.407349
824,638.10967
825,532.507941
826,472.90431
827,375.803121
828,375.280919
829,374.88891
830,374.628524
831,374.61854
832,377.263544
833,386.683353
834,667.832936
835,676.626759
836,768.324629
837,768.40224
838,790.525773
839,755.314346
840,389.439634
841,389.224107
842,389.138381
843,389.033839
844,388.919484
845,388.639839
846,409.659806
847,486.810797
848,692.49966
849,586.792422
850,585.444044
851,488.45613
852,488.002914
853,487.668959
854,487.434172
855,487.343674
856,489.937187
857,494.810953
858,665.12567
859,616.146685
860,708.134801
861,708.389301
862,730.78804
863,637.699473
864,386.748806
865,386.562189
866,386.616936
867,386.683357
868,387.767325
869,387.70522
870,444.025346
871,672.0296
872,696.165945
873,473.953293
874,472.061832
875,375.268555
876,373.199057
877,373.636846
878,373.51268
879,373.45418
880,376.017953
881,376.353182
882,664.026037
883,731.114973
884,881.245564
885,881.206898
886,785.250422
887,632.926231
888,384.95311
889,385.047066
890,384.882594
891,384.703182
892,385.604373
893,385.486071
894,441.478503
895,666.202603
896,694.543379
897,472.268389
898,470.796013
899,373.908615
900,372.048487
901,372.639709
902,372.640906
903,372.69096
904,375.148901
905,374.58677
906,663.379726
907,730.574436
908,880.792531
909,880.821329
910,785.703185
911,633.491027
912,384.321993
913,384.121906
914,384.067613
915,384.058674
916,385.070743
917,385.039356
918,441.033236
919,665.219951
920,694.075098
921,471.759956
922,470.211281
923,373.243062
924,371.372858
925,371.877218
926,371.88861
927,371.931915
928,374.472338
929,373.83852
930,663.186579
931,730.594724
932,881.375469
933,882.390833
934,785.902538
935,633.539374
936,384.469325
937,384.321467
938,384.301918
939,384.242122
940,385.312966
941,385.334944
942,441.633113
943,667.531411
944,694.846795
945,472.138892
946,470.454247
947,373.456348
948,371.542917
949,372.084143
950,372.003447
951,371.886533
952,374.344182
953,373.559798
954,664.058105
955,733.039387
956,883.936902
957,884.789798
958,788.047282
959,634.627689
960,385.049749
961,384.83149
962,384.70608
963,384.622972
964,385.585525
965,385.771449
966,442.064591
967,668.681633
968,697.311322
969,472.232326
970,470.499901
971,374.576361
972,373.266716
973,373.497152
974,372.643512
975,372.272027
976,374.580543
977,373.265065
978,665.130948
979,734.242076
980,885.628623
981,886.502528
982,789.228586
983,635.24063
984,386.28417
985,386.049221
986,385.884396
987,385.761488
988,385.663307
989,385.807116
990,406.721903
991,510.426285
992,633.657363
993,526.294865
994,466.732309
995,369.787354
996,369.747627
997,369.77482
998,369.780213
999,369.809405
1000,372.325861
1001,375.183823
1002,663.660052
1003,672.875038
1004,765.112478
1005,765.208225
1006,787.124348
1007,751.962787
1008,385.760864
1009,385.723918
1010,385.705841
1011,385.584455
1012,385.523729
1013,385.51338
1014,406.640383
1015,481.384293
1016,691.001879
1017,584.569686
1018,583.213698
1019,486.716926
1020,486.553994
1021,486.402778
1022,486.401504
1023,486.451588
1024,488.942903
1025,492.55625
1026,664.053667
1027,615.060915
1028,707.043277
1029,707.046062
1030,729.334388
1031,636.092872
1032,385.062
1033,385.031519
1034,385.019638
1035,384.878437
1036,385.816684
1037,385.800253
1038,442.073449
1039,668.529455
1040,694.977
1041,472.53282
1042,471.004159
1043,374.403506
1044,372.61585
1045,373.041027
1046,372.8641
1047,372.759343
1048,375.155155
1049,374.830405
1050,663.588966
1051,730.762935
1052,881.004812
1053,881.061843
1054,785.802883
1055,633.734596
1056,384.66579
1057,384.489814
1058,384.493555
1059,384.485995
1060,385.425672
1061,385.430139
1062,441.702087
1063,667.212301
1064,694.659665
1065,472.284839
1066,470.798273
1067,373.835305
1068,372.007556
1069,372.658419
1070,372.691081
1071,372.712232
1072,375.193333
1073,375.294463
1074,663.648701
1075,730.848972
1076,880.942137
1077,881.08026
1078,784.956364
1079,632.654821
1080,384.770855
1081,384.75649
1082,384.790273
1083,384.705227
1084,385.703305
1085,385.751954
1086,442.099049
1087,668.654579
1088,694.929614
1089,472.503956
1090,471.055832
1091,374.504549
1092,372.79508
1093,373.322195
1094,373.223031
1095,373.17041
1096,375.648899
1097,376.344882
1098,663.968527
1099,731.169264
1100,881.286785
1101,881.235784
1102,785.263066
1103,632.976245
1104,385.081624
1105,385.119266
1106,385.205367
1107,385.155315
1108,386.162817
1109,386.224928
1110,442.688522
1111,670.747811
1112,695.491039
1113,472.987957
1114,471.484098
1115,374.910913
1116,373.117301
1117,373.678351
1118,373.687631
1119,373.687587
1120,376.134601
1121,377.12243
1122,664.155567
1123,731.363163
1124,881.54748
1125,881.598545
1126,785.589896
1127,633.318226
1128,385.384784
1129,385.348756
1130,385.349345
1131,385.340572
1132,386.260657
1133,386.095818
1134,442.279891
1135,668.667714
1136,695.117024
1137,472.65591
1138,471.197642
1139,374.656558
1140,372.866443
1141,373.433154
1142,373.356211
1143,373.344461
1144,375.830669
1145,376.535416
1146,664.077706
1147,731.33218
1148,881.514183
1149,881.538494
1150,785.651468
1151,633.498166
1152,386.733489
1153,386.823588
1154,386.914294
1155,386.838825
1156,386.829006
1157,386.820572
1158,408.166051
1159,513.599177
1160,633.663524
1161,527.389043
1162,467.693692
1163,371.145802
1164,370.918916
1165,370.654357
1166,370.544773
1167,370.525535
1168,372.992818
1169,375.983934
1170,663.946713
1171,672.988571
1172,764.964226
1173,764.958003
1174,787.254261
1175,752.065099
1176,386.39706
1177,385.959944
1178,385.799537
1179,385.700267
1180,385.64346
1181,385.589613
1182,406.746675
1183,481.06184
1184,690.721724
1185,584.444435
1186,582.825176
1187,485.8601
1188,485.707571
1189,485.531771
1190,485.849276
1191,485.813191
1192,487.834552
1193,489.515983
1194,664.411154
1195,615.958213
1196,708.234906
1197,708.372905
1198,730.803002
1199,637.569596
1200,385.980901
1201,385.799274
1202,385.646071
1203,385.530162
1204,385.432517
1205,385.589267
1206,406.751049
1207,478.641926
1208,693.336748
1209,585.360226
1210,582.849985
1211,486.170166
1212,486.265251
1213,486.368754
1214,486.66621
1215,487.230641
1216,489.019304
1217,488.651661
1218,665.498646
1219,616.764695
1220,709.022603
1221,708.988077
1222,731.300999
1223,637.876757
1224,385.292322
1225,385.080302
1226,384.954388
1227,384.881747
1228,385.857558
1229,386.056516
1230,442.251895
1231,669.557775
1232,696.505998
1233,472.098698
1234,470.631169
1235,373.715268
1236,371.864447
1237,372.463825
1238,372.423756
1239,372.409263
1240,374.869247
1241,374.534259
1242,663.40706
1243,732.116221
1244,883.564218
1245,885.154523
1246,787.181668
1247,633.810264
1248,384.405626
1249,384.214102
1250,384.190131
1251,384.197964
1252,385.225055
1253,385.221353
1254,441.362952
1255,668.398211
1256,695.715023
1257,471.994669
1258,470.42612
1259,373.454526
1260,371.571272
1261,372.132489
1262,372.060936
1263,372.018395
1264,374.500699
1265,373.472933
1266,663.13875
1267,732.375397
1268,884.542336
1269,886.03324
1270,788.022516
1271,633.808827
1272,384.279948
1273,384.136099
1274,384.098612
1275,384.119214
1276,385.165504
1277,385.600935
1278,442.263437
1279,669.983173
1280,698.414354
1281,471.403675
1282,469.945969
1283,374.392411
1284,373.419416
1285,374.134474
1286,373.654877
1287,372.092584
1288,374.092323
1289,372.833908
1290,665.692208
1291,735.872353
1292,886.870077
1293,887.330981
1294,790.435753
1295,635.651677
1296,385.4496
1297,385.016264
1298,384.73992
1299,384.619315
1300,385.386588
1301,385.548991
1302,442.036411
1303,671.292644
1304,698.72288
1305,472.817996
1306,471.063657
1307,374.86552
1308,374.065963
1309,375.380279
1310,375.202706
1311,374.470116
1312,376.158613
1313,374.001538
1314,667.15068
1315,736.319047
1316,887.131169
1317,887.494121
1318,791.179681
1319,637.701007
1320,388.504571
1321,388.283222
1322,388.123735
1323,387.991947
1324,387.878053
1325,388.409284
1326,409.16377
1327,512.636264
1328,637.076765
1329,528.690862
1330,468.008534
1331,371.538755
1332,371.928823
1333,372.537712
1334,372.909979
1335,372.733989
1336,374.554366
1337,374.173564
1338,668.885421
1339,679.435547
1340,771.808735
1341,771.836131
1342,794.424732
1343,759.993305
1344,390.658094
1345,390.34549
1346,390.143243
1347,389.981067
1348,389.836167
1349,390.241026
1350,411.363754
1351,484.440769
1352,699.350126
1353,591.40999
1354,590.491547
1355,495.567643
1356,496.405403
1357,497.18636
1358,497.772265
1359,497.708958
1360,500.403868
1361,500.071905
1362,676.227398
1363,627.758883
1364,718.882281
1365,717.998834
1366,741.011063
1367,647.620114
1368,394.939078
1369,394.795825
1370,394.646968
1371,394.469371
1372,395.301521
1373,395.503187
1374,451.134186
1375,676.151999
1376,705.902579
1377,480.010091
1378,477.990296
1379,379.840979
1380,376.075509
1381,375.595378
1382,374.704337
1383,374.196109
1384,376.214469
1385,375.206101
1386,668.955303
1387,737.37207
1388,887.544497
1389,887.207413
1390,790.624878
1391,636.745364
1392,387.344719
1393,386.596858
1394,386.11782
1395,385.648214
1396,386.308844
1397,386.415036
1398,442.526007
1399,673.688922
1400,697.100608
1401,472.642556
1402,471.191412
1403,374.641014
1404,372.952204
1405,373.631751
1406,373.58519
1407,373.531949
1408,375.962597
1409,377.678594
1410,664.295687
1411,731.735003
1412,882.478388
1413,883.387946
1414,785.651663
1415,633.217296
1416,385.308377
1417,385.306115
1418,385.342906
1419,385.298436
1420,386.222398
1421,386.187631
1422,442.53144
1423,669.908721
1424,695.337465
1425,472.858628
1426,471.266587
1427,374.632118
1428,372.857147
1429,373.423382
1430,373.403249
1431,373.484448
1432,376.004789
1433,377.418435
1434,664.264256
1435,732.001945
1436,882.731698
1437,883.390176
1438,785.907469
1439,633.281178
1440,385.392688
1441,385.412771
1442,385.471244
1443,385.52479
1444,386.52153
1445,386.386349
