hours,kW
0,610.236206
1,664.838418
2,674.379355
3,705.257677
4,770.462199
5,809.412486
6,935.841357
7,2388.263324
8,2644.063613
9,968.365067
10,1015.556637
11,855.295862
12,789.588394
13,706.321241
14,656.422851
15,632.646377
16,625.914225
17,619.58228
18,2359.597584
19,718.379077
20,808.124698
21,2405.319829
22,832.2216
23,738.483408
24,488.993798
25,496.69079
26,504.57938
27,514.283572
28,531.58462
29,2141.594125
30,604.487961
31,3361.055796
32,2170.666713
33,872.731223
34,587.77091
35,463.810476
36,446.967646
37,437.863405
38,433.036205
39,429.53592
40,431.162451
41,868.372827
42,707.107722
43,2375.040939
44,920.00572
45,1332.515377
46,2001.082274
47,672.605451
48,423.546252
49,430.223633
50,462.381215
51,510.939258
52,563.259407
53,587.03323
54,2314.757591
55,3863.595595
56,1001.374555
57,2342.670211
58,742.654037
59,639.001853
60,629.756419
61,628.758003
62,629.625308
63,647.119669
64,679.740771
65,2284.262661
66,1095.615761
67,1213.153542
68,3007.189862
69,1456.985048
70,1223.427133
71,2582.36925
72,708.954115
73,689.571025
74,688.620521
75,708.052519
76,728.946101
77,737.814478
78,2533.481949
79,3059.80718
80,2908.303478
81,1154.914672
82,1187.156424
83,1106.979458
84,1130.652816
85,1144.264638
86,1133.294851
87,1157.163396
88,1177.194028
89,3022.113224
90,2956.105677
91,1319.939743
92,3083.267327
93,1535.674468
94,1292.097086
95,1172.425228
96,966.217906
97,980.595347
98,1002.461755
99,1021.114014
100,1051.01459
101,2672.429338
102,1299.958836
103,5448.583552
104,3199.9604
105,1557.155197
106,1579.32738
107,1453.52348
108,1447.102897
109,1483.963166
110,1464.022769
111,1519.168762
112,1614.653347
113,4400.090452
114,1839.090643
115,3474.786476
116,2094.471507
117,3745.73501
118,1895.967443
119,1863.013027
120,1708.255447
121,1767.536398
122,1813.186859
123,1847.767047
124,1889.546893
125,1908.471043
126,3969.522301
127,7911.164798
128,2486.955254
129,4068.896494
130,2457.742992
131,2273.27132
132,2181.264664
133,2107.299309
134,2067.855842
135,2065.840405
136,2122.545734
137,5127.542905
138,2132.416437
139,2131.206818
140,3677.910656
141,2134.074865
142,3500.478121
143,1854.694165
144,1701.765343
145,1746.805123
146,1771.65928
147,1778.658475
148,1796.062916
149,1762.415991
150,3720.937077
151,5364.340234
152,3796.757319
153,2149.112157
154,3682.893984
155,1898.233709
156,1782.775649
157,1690.282698
158,1642.305961
159,1631.551421
160,1701.844677
161,4346.809434
162,1799.007923
163,1683.057313
164,3361.201113
165,1725.735443
166,1576.076969
167,1493.702368
168,1227.04542
169,1233.306708
170,1238.587827
171,1246.951935
172,1249.519829
173,2817.882871
174,1375.078587
175,5242.692983
176,3136.683655
177,1538.612716
178,1574.320876
179,1404.84385
180,1304.473566
181,1242.69873
182,1242.029419
183,1247.287601
184,1287.771467
185,3377.113204
186,1448.671663
187,2982.683781
188,1484.500391
189,3098.225479
190,1371.390239
191,1258.189095
192,1014.619786
193,1026.717433
194,1041.769471
195,1070.540135
196,1098.41102
197,2692.94873
198,1317.372799
199,5668.048611
200,1677.034659
201,3141.501457
202,1559.503145
203,1468.98502
204,1392.946037
205,1393.912437
206,1434.375036
207,1470.930201
208,1532.840945
209,4071.480794
210,1691.594301
211,3362.611752
212,1943.515491
213,1954.8565
214,3237.319836
215,1491.121585
216,1285.709591
217,1322.788556
218,1377.739741
219,1440.376281
220,1468.525345
221,1466.101027
222,3421.059188
223,6591.151797
224,1958.783513
225,3515.355422
226,1913.013686
227,1756.09971
228,1692.576705
229,1688.732263
230,1695.863026
231,1666.025956
232,1682.280142
233,3994.599282
234,1717.723682
235,1631.882755
236,3327.942414
237,1682.696612
238,1500.735079
239,3001.670289
240,1217.211191
241,1224.920947
242,1250.839677
243,1271.90458
244,1277.229693
245,1253.321421
246,1824.472469
247,5233.575473
248,3279.434076
249,1532.824261
250,1486.028119
251,1307.666702
252,1181.27252
253,1126.506328
254,1085.577174
255,1072.620237
