hours,kW
0,647.438419
1,646.891823
2,647.084897
3,647.395173
4,647.695988
5,647.77727
6,682.965892
7,803.265548
8,1164.300247
9,982.501796
10,979.830352
11,816.63172
12,816.371972
13,816.574316
14,816.387626
15,816.117269
16,820.066411
17,819.995753
18,1117.16311
19,1036.521404
20,1191.88659
21,1192.368505
22,1229.73265
23,1072.700086
24,648.073477
25,647.725254
26,647.654405
27,647.582042
28,649.099098
29,649.968878
30,744.377207
31,1125.898042
32,1174.432662
33,793.078067
34,789.68184
35,627.912235
36,626.852061
37,628.64488
38,628.538125
39,629.016973
40,631.914853
41,627.805173
42,1124.073793
43,1242.129174
44,1497.766318
45,1499.744671
46,1338.618465
47,1078.697603
48,656.414209
49,654.066458
50,652.817849
51,651.948137
52,652.876982
53,653.793468
54,748.502543
55,1128.483667
56,1176.460316
57,794.788089
58,790.751513
59,627.587641
60,624.454813
61,625.421267
62,625.246593
63,625.054496
64,629.012805
65,628.255379
66,1118.928414
67,1236.515583
68,1490.055177
69,1490.824128
70,1327.137512
71,1067.037681
72,646.60376
73,646.081862
74,646.043226
75,645.97445
76,647.57443
77,647.935524
78,742.443145
79,1126.313823
80,1170.540177
81,793.169099
82,790.626666
83,627.755741
84,624.946393
85,626.070737
86,626.040526
87,626.100635
88,630.267149
89,630.132375
90,1114.963956
91,1228.061414
92,1482.264089
93,1485.055976
94,1319.063736
95,1062.912483
96,646.381351
97,646.300292
98,646.155713
99,646.049149
100,647.791415
101,647.9343
102,742.437702
103,1122.737487
104,1167.549091
105,793.921431
106,791.42258
107,629.118964
108,626.288097
109,627.334931
110,627.253106
111,627.323213
112,631.591776
113,634.874387
114,1116.342101
115,1229.489818
116,1481.947607
117,1482.103594
118,1320.807233
119,1065.112879
120,648.786537
121,648.958784
122,648.937761
123,649.035518
124,650.964261
125,651.052401
126,746.053182
127,1133.85028
128,1170.436475
129,797.149612
130,794.417975
131,632.084532
132,628.916665
133,629.699911
134,629.418599
135,629.272037
136,633.448884
137,637.785748
138,1117.403461
139,1230.005193
140,1482.093331
141,1482.013604
142,1320.786553
143,1065.113311
144,650.595251
145,650.717875
146,650.650459
147,650.43941
148,650.474169
149,650.350679
150,686.212383
151,864.860279
152,1065.453946
153,886.929883
154,786.571086
155,624.19142
156,623.805726
157,623.506372
158,623.316314
159,623.122795
160,627.261471
161,634.233869
162,1116.372594
163,1131.427792
164,1285.892278
165,1285.783583
166,1323.142044
167,1264.024135
168,648.847642
169,648.870538
170,648.913167
171,648.943692
172,648.846417
173,648.534203
174,683.784172
175,808.961119
176,1160.949285
177,982.363506
178,979.966687
179,817.640298
180,817.636142
181,817.646707
182,817.326971
183,817.295841
184,821.297369
185,826.242909
186,1116.690048
187,1035.412191
188,1189.950372
189,1190.153236
190,1226.259596
191,1069.038571
192,646.731832
193,646.512798
194,646.508025
195,646.599817
196,648.400137
197,648.339883
198,742.788994
199,1125.594945
200,1170.195506
201,794.137404
202,791.570544
203,629.386882
204,626.370932
205,627.476363
206,627.586598
207,627.696171
208,631.987504
209,634.197561
210,1116.39007
211,1231.861062
212,1484.905561
213,1485.739522
214,1321.636754
215,1063.863474
216,647.323575
217,647.384582
218,647.579761
219,647.820037
220,649.640579
221,649.475455
222,744.08818
223,1127.17447
224,1168.643715
225,795.123718
226,792.471403
227,630.259732
228,627.231521
229,628.295488
230,628.217444
231,627.988055
232,632.051209
233,633.368802
234,1115.952551
235,1228.747505
236,1480.882218
237,1481.007345
238,1319.494786
239,1063.585555
240,647.011371
241,646.974934
242,647.064449
243,647.087793
244,648.619672
