hours,kW
0,1025.308598
1,1117.050314
2,1133.080836
3,1184.962073
4,1294.517613
5,1359.961229
6,1572.38489
7,4012.719821
8,4442.511159
9,1627.030679
10,1706.32116
11,1437.053704
12,1326.653124
13,1186.749055
14,1102.910621
15,1062.961789
16,1051.650541
17,1041.011714
18,3964.556127
19,1207.008429
20,1357.79751
21,4041.377872
22,1398.284718
23,1240.787387
24,821.599145
25,834.531501
26,847.785777
27,864.090598
28,893.159527
29,3598.270386
30,1015.650493
31,5647.189351
32,3647.117659
33,1466.348305
34,987.562785
35,779.286552
36,750.987512
37,735.69072
38,727.580139
39,721.69902
40,724.431889
41,1459.025402
42,1188.070487
43,3990.503792
44,1545.778118
45,2238.869899
46,3362.18474
47,1130.100352
48,711.63528
49,722.854504
50,776.885131
51,858.471537
52,946.378971
53,986.323348
54,3889.216725
55,6491.54826
56,1682.492666
57,3936.115039
58,1247.794808
59,1073.640153
60,1058.10613
61,1056.428609
62,1057.885841
63,1087.279571
64,1142.088996
65,3837.979658
66,1840.835153
67,2038.320153
68,5052.629767
69,2448.001743
70,2055.581667
71,4338.853328
72,1191.172766
73,1158.605625
74,1157.008604
75,1189.657919
76,1224.762965
77,1239.663461
78,4256.71371
79,5141.036499
80,4886.48253
81,1940.468184
82,1994.640233
83,1859.928245
84,1899.703821
85,1922.574176
86,1904.142925
87,1944.246452
88,1977.901583
89,5077.70375
90,4966.798981
91,2217.740529
92,5180.453844
93,2580.214381
94,2170.959765
95,1969.889125
96,1623.423055
97,1647.579789
98,1684.31936
99,1715.658572
100,1765.897016
101,4490.170772
102,2184.168947
103,9154.618335
104,5376.519579
105,2616.305941
106,2653.559269
107,2442.185675
108,2431.397919
109,2493.329923
110,2459.826403
111,2552.481773
112,2712.913364
113,7392.957883
114,3090.009129
115,5838.277724
116,3519.095758
117,6293.520888
118,3185.572571
119,3130.203116
120,2870.182037
121,2969.784892
122,3046.486029
123,3104.587077
124,3174.784872
125,3206.580909
126,6669.524527
127,13292.205875
128,4178.540339
129,6836.491373
130,4129.458389
131,3819.512191
132,3664.924158
133,3540.648814
134,3474.376566
135,3470.990262
136,3566.2656
137,8615.211246
138,3582.85019
139,3580.817808
140,6179.563552
141,3585.636653
142,5881.444394
143,3116.225904
144,2859.277473
145,2934.952553
146,2976.712088
147,2988.472018
148,3017.714668
149,2961.18167
150,6251.855819
151,9013.07413
152,6379.247713
153,3610.902058
154,6187.936455
155,3189.380313
156,2995.389625
157,2839.984526
158,2759.37482
159,2741.305223
160,2859.410768
161,7303.436015
162,3022.662818
163,2827.844557
164,5647.43351
165,2899.551631
166,2648.097984
167,2509.693567
168,2061.661052
169,2072.181162
170,2081.054411
171,2095.107643
172,2099.422177
173,4734.559349
174,2310.383887
175,8808.684467
176,5270.203057
177,2585.151176
178,2645.147426
179,2360.39498
180,2191.75452
181,2087.96148
182,2086.836916
183,2095.671623
184,2163.691933
185,5674.168738
186,2434.033734
187,5011.455063
188,2494.23256
189,5205.586279
190,2304.186787
191,2113.98813
192,1704.747078
193,1725.073343
194,1750.363523
195,1798.703507
196,1845.531699
197,4524.647109
198,2213.427593
199,9523.359831
200,2817.725395
201,5278.297847
202,2620.250924
203,2468.163895
204,2340.404475
205,2342.028204
206,2410.012782
207,2471.432154
208,2575.453545
209,6840.83347
210,2842.18826
211,5649.803641
212,3265.462
213,3284.516973
214,5439.290275
215,2505.357378
216,2160.227605
217,2222.527058
218,2314.855114
219,2420.095972
220,2467.391556
221,2463.318257
222,5748.00604
223,11074.34226
224,3291.115074
225,5906.440985
226,3214.213382
227,2950.569162
228,2843.838879
229,2837.379511
230,2849.3605
231,2799.228757
