hours,kW
0,1067.753441
1,1115.83611
2,1131.849207
3,1183.674051
4,1293.110506
5,1358.482987
6,1570.675749
7,4039.749267
8,4518.803424
9,1705.485276
10,1783.628936
11,1488.023036
12,1377.695559
13,1240.1926
14,1156.439196
15,1116.520904
16,1105.214555
17,1094.582937
18,4017.551919
19,1264.467733
20,1438.114132
21,4133.091206
22,1680.108706
23,1520.113299
24,881.907431
25,892.124161
26,905.383307
27,921.44779
28,950.095808
29,3652.785451
30,1022.199951
31,5681.592788
32,3694.295306
33,1515.897373
34,1069.266907
35,797.299461
36,788.003175
37,781.518316
38,772.369305
39,772.674827
40,758.463619
41,1484.114963
42,1294.637981
43,4242.522821
44,1908.624602
45,2748.70654
46,3981.596164
47,1619.774511
48,859.069543
49,807.875611
50,849.77495
51,921.349665
52,1006.149087
53,1047.175044
54,3897.858764
55,6577.112739
56,1772.212671
57,3988.641616
58,1308.024545
59,1079.41225
60,1062.656378
61,1060.67167
62,1061.830034
63,1090.50258
64,1143.367952
65,3833.898713
66,1846.345063
67,2062.931136
68,5115.918007
69,2542.472941
70,2273.99096
71,4583.63744
72,1236.753153
73,1202.749251
74,1203.010367
75,1236.651025
76,1271.70623
77,1287.035964
78,4257.290985
79,5144.258098
80,4912.225823
81,1969.472517
82,2028.257857
83,1858.615033
84,1897.638893
85,1920.484389
86,1902.073172
87,1942.133107
88,1975.751657
89,5072.18442
90,4961.400201
91,2215.329904
92,5174.822827
93,2577.409756
94,2168.599989
95,1967.747907
96,1621.658437
97,1645.788913
98,1682.48855
99,1713.793697
100,1763.977533
101,4485.290074
102,2181.794813
103,9144.667506
104,5370.675444
105,2613.462085
106,2650.67492
107,2439.531083
108,2428.755053
109,2490.619739
110,2457.152637
111,2549.707292
112,2709.964499
113,7384.921933
114,3086.65037
115,5831.93167
116,3515.270593
117,6286.679997
118,3182.109938
119,3126.800668
120,2867.062225
121,2966.556814
122,3043.174579
123,3101.212473
124,3171.333965
125,3203.095441
126,6662.27493
127,13277.757598
128,4173.998376
129,6829.060287
130,4124.969777
131,3815.360482
132,3660.940482
133,3536.800223
134,3470.60001
135,3467.217387
136,3562.389164
137,8605.846739
138,3578.955726
139,3576.925554
140,6172.846529
141,3581.73916
142,5875.051419
143,3112.838649
144,2856.169514
145,2931.762337
146,2973.476481
147,2985.223628
148,3014.434491
149,2957.962944
150,6245.060217
151,9003.277156
152,6372.313639
153,3606.977102
154,6181.210332
155,3185.913541
156,2992.133716
157,2836.897538
158,2756.375452
159,2738.325497
160,2856.302664
161,7295.497372
162,3019.377264
163,2824.770764
164,5641.294899
165,2896.399894
166,2645.219571
167,2506.965596
168,2059.420081
169,2069.928756
170,2078.792359
171,2092.830316
172,2097.14016
173,4729.413008
174,2307.872561
175,8799.109659
176,5264.474486
177,2582.341185
178,2642.27222
179,2357.829292
180,2199.061272
181,2096.869711
182,2088.778955
183,2093.393683
184,2161.340057
185,5668.001066
186,2431.388003
187,5006.007743
188,2491.521395
189,5199.927944
190,2301.682197
191,2111.69028
192,1702.894063
193,1723.198233
194,1748.460924
195,1796.748364
196,1843.525655
197,4519.728937
198,2211.021655
199,9513.00819
200,2814.662602
201,5272.560477
202,2617.40278
203,2465.481066
204,2337.860517
205,2339.482481
206,2407.393162
207,2468.745772
208,2572.654095
209,6833.397665
210,2839.098876
211,5643.662454
212,3261.912529
213,3280.94679
214,5433.377909
215,2502.63412
216,2157.879494
217,2220.111229
218,2312.338927
219,2417.465392
220,2464.709566
221,2460.640695
222,5741.758109
223,11062.304742
224,3287.537719
225,5900.020839
226,3210.719617
227,2947.361971
228,2840.747701
229,2834.295354
230,2846.26332
231,2796.186069
232,2823.466393
233,6704.363052
234,2882.953301
235,2738.881594
236,5585.474934
237,2824.165379
238,2518.768995
239,5037.873879
240,2042.914735
241,2055.854457
242,2099.355335
243,2134.709759
244,2143.6472
245,2103.520586
246,3062.115859
247,8783.807225
248,5504.060633
249,2602.946769
250,2542.670671
251,2198.232823
252,1983.826194
253,1891.894841
254,1823.192128
255,1801.439513
256,1885.809726
257,4657.176142
258,4844.002628
259,2040.735115
260,2294.849728
261,4906.163476
262,2196.883194
263,2104.193942
264,1549.223875
265,1579.008606
266,1606.014743
267,1624.827178
268,1615.369656
269,4255.404675
270,1767.655473
271,7600.452518
272,4908.735491
273,2095.492348
274,2202.257244
275,1998.680489
276,2020.991344
277,2025.966024
278,1949.066561
279,1916.613127
280,2030.840373
281,5406.030762
282,2367.598931
283,4962.649152
284,2464.525641
285,3894.757514
286,3498.400645
287,2070.836974
288,1694.545078
289,1707.677454
290,1733.080146
291,1768.716385
292,1793.585807
293,1791.461922
294,4892.621178
295,9175.34251
296,2512.147594
297,4955.869723
298,2238.308845
299,1922.158639
300,1894.538504
301,1876.928329
302,1851.332594
303,1871.418523
304,1929.569716
305,5232.264841
306,2283.103308
307,2304.89394
308,5293.75314
309,2631.242357
310,2264.385592
311,4681.088132
312,1688.516842
313,1763.28367
314,1828.534692
315,1851.609815
316,1874.249735
317,1849.368257
318,4856.194486
319,5896.849548
320,5171.52314
321,2297.760821
322,2108.799979
323,1694.017977
324,1578.836444
325,1532.404627
326,1554.585257
327,1605.157779
328,1699.652914
329,4813.894591
330,4844.664315
331,2206.859452
332,5172.354795
333,2597.968121
334,2410.552223
335,2387.274546
336,1941.210968
337,2015.630351
338,2086.255587
339,2178.580455
340,2245.733401
341,4927.090629
342,2647.449425
343,10065.188428
344,5691.211515
345,2859.522735
346,2835.08707
347,2568.497605
348,2469.260796
349,2403.326908
350,2320.477098
351,2295.988116
352,2310.6127
353,5973.291215
354,2615.570388
355,5192.284777
356,2662.268507
357,5403.20337
358,2480.026811
359,2269.814684
360,1871.029926
361,1868.125659
362,1892.721549
363,1899.074475
364,1912.112434
365,1898.971105
366,4632.137054
367,4770.451334
368,2325.1318
369,4898.982728
370,2255.65903
371,1985.339466
372,1915.054556
373,1865.926084
374,1820.073495
375,1793.060819
376,1810.457564
377,1828.770898
378,2064.228897
379,2555.083725
380,4347.92354
381,2221.333875
382,4909.05198
383,2083.695799
384,1675.551739
385,1668.029508
386,1668.572817
387,1669.525295
388,1671.626278
389,1654.850919
390,4553.051916
391,5482.163266
392,5079.154232
393,2159.039743
394,4904.935518
395,2034.129971
396,1933.858973
397,1897.532292
398,1883.559403
399,1875.514353
400,1908.620588
401,4866.50868
402,2205.491012
403,2149.406583
404,5122.320683
405,2448.70842
406,2319.473349
407,2080.572839
408,1574.134783
409,1608.521248
410,1630.652339
411,1661.965326
412,1711.319613
413,4459.376084
414,2170.296726
415,9263.494036
416,5418.962628
417,2671.147602
418,2769.587441
419,2580.34542
420,2546.541999
421,2635.99884
422,2651.386559
423,2807.497757
424,2943.477185
425,7905.303482
426,3206.558849
427,5869.503742
428,3505.953851
429,6251.723038
430,3048.871962
431,2937.013199
432,2653.240725
433,2725.372971
434,2778.829603
435,2821.788723
436,2844.701703
437,5524.693858
438,3500.449671
439,12363.453215
440,3872.262394
441,6566.303789
442,3897.464397
443,3576.942888
444,3410.057658
445,3276.238116
446,3209.278798
447,3213.640972
448,3298.318127
449,8268.16013
450,3438.157274
451,6033.254913
452,3654.386008
453,3725.779741
454,5883.216017
455,3100.091812
456,2786.583961
457,2866.79949
458,2907.712498
459,2853.566282
460,2802.501005
461,2701.934445
462,5853.662849
463,10983.773721
464,3399.345712
465,6053.642276
466,3416.309758
467,3169.914395
468,3055.914322
469,2903.677391
470,2808.868313
471,2889.18466
472,2940.787761
473,7230.963798
474,2995.481561
475,2922.723853
476,5939.334868
477,3316.690164
478,2834.569378
479,5317.39078
480,2344.326549
481,2358.542948
482,2392.839637
483,2394.060504
484,2398.037024
485,2329.506022
486,3612.933974
487,8519.086118
488,5625.801455
489,2908.878915
490,2865.538002
491,2472.733084
492,2272.256618
493,2114.506746
494,2030.769515
495,2054.203514
496,2109.202704
497,5203.505745
498,4982.850098
499,2232.206633
500,2432.405911
501,5135.935244
502,2427.784258
503,2350.108813
504,1604.387159
505,1623.649234
506,1734.70276
507,1907.57754
508,2075.595432
509,4884.113047
510,2842.324167
511,11337.738936
512,6051.994416
513,3429.585399
514,3584.76633
515,3370.0914
516,3308.260311
517,3280.374034
518,3280.782992
519,3360.293265
520,3514.563686
521,9134.532329
522,3612.43548
523,6219.843897
524,3755.029031
525,5907.498562
526,4032.852987
527,3426.396692
528,3067.236884
529,3060.014558
530,3032.470772
531,2992.119343
532,2978.576405
533,2878.574279
534,6006.248256
535,11033.499975
536,3519.896718
537,6249.178062
538,3461.313282
539,3180.307067
540,3017.663572
541,2854.109195
542,2710.267179
543,2643.627991
544,2612.298202
545,5662.052995
546,2573.410724
547,2358.064806
548,5207.597115
549,2489.240245
550,2393.014489
551,4836.229286
552,1787.682499
553,1827.10154
