hours,kW
0,646.73467
1,646.188668
2,646.381533
3,646.691471
4,646.991959
5,647.073153
6,682.223526
7,802.39242
8,1163.034683
9,981.433842
10,978.765303
11,815.744063
12,815.484597
13,815.686721
14,815.500235
15,815.230171
16,819.175021
17,819.104439
18,1115.948783
19,1035.394732
20,1190.591041
21,1191.072432
22,1228.395963
23,1071.53409
24,647.369038
25,647.021194
26,646.950422
27,646.878138
28,648.393545
29,649.262379
30,743.568089
31,1124.67422
32,1173.156085
33,792.216012
34,788.823477
35,627.229711
36,626.170689
37,627.96156
38,627.85492
39,628.333248
40,631.227978
41,627.122765
42,1122.851955
43,1240.779013
44,1496.138285
45,1498.114488
46,1337.163422
47,1077.525087
48,655.700704
49,653.355505
50,652.108253
51,651.239487
52,652.167322
53,653.082812
54,747.688941
55,1127.257035
56,1175.181535
57,793.924175
58,789.891987
59,626.905469
60,623.776047
61,624.741451
62,624.566966
63,624.375079
64,628.329084
65,627.572482
66,1117.712168
67,1235.171523
68,1488.435527
69,1489.203641
70,1325.694949
71,1065.877839
72,645.900919
73,645.379588
74,645.340994
75,645.272293
76,646.870533
77,647.231235
78,741.636129
79,1125.08955
80,1169.267831
81,792.306945
82,789.767275
83,627.073387
84,624.267093
85,625.390215
86,625.360036
87,625.42008
88,629.582065
89,629.447438
90,1113.75202
91,1226.726544
92,1480.652907
93,1483.441759
94,1317.629949
95,1061.757125
96,645.678752
97,645.597781
98,645.453359
99,645.34691
100,647.087283
101,647.230012
102,741.630692
103,1121.517101
104,1166.279996
105,793.05846
106,790.562325
107,628.435128
108,625.607338
109,626.653034
110,626.571298
111,626.641329
112,630.905253
113,634.184295
114,1115.128667
115,1228.153395
116,1480.336769
117,1480.492586
118,1319.371551
119,1063.95513
120,648.081324
121,648.253383
122,648.232383
123,648.330034
124,650.25668
125,650.344725
126,745.242242
127,1132.617815
128,1169.164241
129,796.283132
130,793.554464
131,631.397473
132,628.233049
133,629.015443
134,628.734438
135,628.588035
136,632.760342
137,637.092492
138,1116.188873
139,1228.668209
140,1480.482335
141,1480.402695
142,1319.350893
143,1063.955561
144,649.888071
145,650.010562
146,649.943219
147,649.7324
148,649.767121
149,649.643765
150,685.466488
151,863.920199
152,1064.295826
153,885.965813
154,785.716104
155,623.51294
156,623.127665
157,622.828637
158,622.638786
159,622.445477
160,626.579654
161,633.544474
162,1115.159127
163,1130.19796
164,1284.494547
165,1284.38597
166,1321.703823
167,1262.650174
168,648.142362
169,648.165233
170,648.207815
171,648.238307
172,648.141138
173,647.829264
174,683.040917
175,808.0818
176,1159.687363
177,981.295703
178,978.901489
179,816.751545
180,816.747393
181,816.757947
182,816.438558
183,816.407462
184,820.40464
185,825.344805
186,1115.476235
187,1034.286725
188,1188.656927
189,1188.85957
190,1224.926684
191,1067.876555
192,646.028851
193,645.810055
194,645.805287
195,645.89698
196,647.695343
197,647.635155
198,741.981602
199,1124.371453
200,1168.923535
201,793.274197
202,790.710128
203,628.702755
204,625.690084
205,626.794313
206,626.904428
207,627.013881
208,631.300551
209,633.508205
210,1115.176583
211,1230.522062
212,1483.291507
213,1484.124562
214,1320.200169
215,1062.707083
216,646.619951
217,646.680892
218,646.875858
219,647.115873
220,648.934436
221,648.769492
222,743.279376
223,1125.949261
224,1167.37343
225,794.25944
226,791.610007
227,629.574657
228,626.549737
229,627.612547
230,627.534588
231,627.305449
232,631.364186
233,632.680347
234,1114.73954
235,1227.411889
236,1479.272538
237,1479.397529
238,1318.06053
239,1062.429466
240,646.308086
241,646.271689
242,646.361107
243,646.384426
244,647.914639
245,647.703595
246,742.043094
247,1121.842061
248,1166.453399
249,793.217713
250,790.725495
251,628.132114
252,624.7554
253,625.575909
254,625.398643
255,625.313642
256,629.568672
257,628.909959
258,1113.521839
259,1226.302972
260,1478.629766
261,1478.798553
262,1318.818237
263,1063.564513
264,645.469124
265,645.201407
266,645.215335
267,645.242779
268,646.927956
269,646.835406
270,740.877752
271,1118.399292
272,1165.655177
273,792.507289
274,790.020517
275,627.31056
276,624.425642
277,625.54118
278,625.431948
279,625.382932
280,629.709614
281,630.15563
282,1113.880349
283,1226.724889
284,1478.802965
285,1480.202894
286,1317.618927
287,1061.959981
288,645.793652
289,645.703509
290,645.745907
291,645.6506
292,647.234703
293,647.163207
294,741.638834
295,1121.572426
296,1166.184582
297,792.866833
298,790.272911
299,627.63541
300,624.717649
301,625.675394
302,625.602457
303,625.644735
304,629.762751
305,629.861307
306,1113.83156
307,1229.230099
308,1482.589442
309,1483.646078
310,1319.891774
311,1062.199019
312,647.551952
313,647.584518
314,647.69816
315,647.725542
316,647.71136
317,647.572733
318,682.881323
319,856.701402
320,1063.15311
321,884.173672
322,783.742801
323,621.367733
324,621.054721
325,620.713178
326,620.322597
327,620.310055
328,624.513461
329,628.695215
330,1115.412787
331,1132.598432
332,1286.983206
333,1287.02373
334,1322.89338
335,1263.980236
336,648.016754
337,648.056486
338,648.174091
339,648.333897
340,648.339333
341,648.152158
342,683.612277
343,810.970798
344,1163.098976
345,982.756792
346,979.687486
347,818.376695
348,818.991965
349,819.222069
350,818.906248
351,817.871
352,821.487298
353,826.58093
354,1117.908095
355,1036.30416
356,1190.325708
357,1190.213887
358,1226.146898
359,1069.168851
360,648.685893
361,648.308431
362,648.034422
363,647.935476
364,647.888571
365,648.076833
366,683.570879
367,804.049491
368,1164.156648
369,982.311976
370,979.35375
371,818.251445
372,819.207519
373,819.125161
374,818.274021
375,817.884394
376,821.113804
377,820.516878
378,1117.263852
379,1035.925035
380,1190.793758
381,1190.730953
382,1226.592131
