hours,kW
0,1024.194114
1,1115.83611
2,1131.849207
3,1183.674051
4,1293.110506
5,1358.482987
6,1570.675749
7,4008.3581
8,4437.682266
9,1625.26214
10,1704.466434
11,1435.491665
12,1325.211087
13,1185.45909
14,1101.711786
15,1061.806378
16,1050.507424
17,1039.880162
18,3960.246759
19,1205.696443
20,1356.32162
21,4036.985001
22,1396.764819
23,1239.438683
24,820.706088
25,833.624387
26,846.864256
27,863.151354
28,892.188686
29,3594.359161
30,1014.546508
31,5641.051005
32,3643.153338
33,1464.754423
34,986.48933
35,778.439488
36,750.171208
37,734.891044
38,726.789279
39,720.914552
40,723.644451
41,1457.43948
42,1186.779086
43,3986.166219
44,1544.097898
45,2236.436306
46,3358.530134
47,1128.871963
48,710.861751
49,722.06878
50,776.040677
51,857.538401
52,945.350282
53,985.25124
54,3884.989249
55,6484.492118
56,1680.663841
57,3931.836586
58,1246.438488
59,1072.473135
60,1056.955996
61,1055.280299
62,1056.735947
63,1086.097727
64,1140.847576
65,3833.807875
66,1838.834213
67,2036.104553
68,5047.137692
69,2445.34083
70,2053.347304
71,4334.137109
72,1189.877993
73,1157.346251
74,1155.750967
75,1188.364792
76,1223.43168
77,1238.31598
78,4252.086774
79,5135.448327
80,4881.171053
81,1938.358947
82,1992.472111
83,1857.906552
84,1897.638893
85,1920.484389
86,1902.073172
87,1942.133107
88,1975.751657
89,5072.18442
90,4961.400201
91,2215.329904
92,5174.822827
93,2577.409756
94,2168.599989
95,1967.747907
96,1621.658437
97,1645.788913
98,1682.48855
99,1713.793697
100,1763.977533
101,4485.290074
102,2181.794813
103,9144.667506
104,5370.675444
105,2613.462085
106,2650.67492
107,2439.531083
108,2428.755053
109,2490.619739
110,2457.152637
111,2549.707292
112,2709.964499
113,7384.921933
114,3086.65037
115,5831.93167
116,3515.270593
117,6286.679997
118,3182.109938
119,3126.800668
120,2867.062225
121,2966.556814
122,3043.174579
123,3101.212473
124,3171.333965
125,3203.095441
126,6662.27493
127,13277.757598
128,4173.998376
129,6829.060287
130,4124.969777
131,3815.360482
132,3660.940482
133,3536.800223
134,3470.60001
135,3467.217387
136,3562.389164
137,8605.846739
138,3578.955726
139,3576.925554
140,6172.846529
141,3581.73916
142,5875.051419
143,3112.838649
144,2856.169514
145,2931.762337
146,2973.476481
147,2985.223628
148,3014.434491
149,2957.962944
150,6245.060217
151,9003.277156
152,6372.313639
153,3606.977102
