hours,kW
0,1084.723941
1,1142.143217
2,1142.608178
3,1157.67413
4,1187.285976
5,1223.314406
6,1450.598283
7,3978.049985
8,4611.984713
9,1666.189159
10,1603.343516
11,1278.090795
12,1192.671191
13,1124.799298
14,1069.511838
15,1050.265231
16,1047.784467
17,1041.970856
18,4004.846739
19,1273.974449
20,1463.019235
21,4153.275522
22,1685.789113
23,1523.07249
24,873.447995
25,887.604289
26,908.257669
27,933.626998
28,977.948054
29,3687.38238
30,1066.512662
31,5836.059579
32,3727.798283
33,1472.535091
34,1021.223734
35,751.740595
36,768.634076
37,777.460208
38,770.636628
39,775.245633
40,751.384841
41,1500.0038
42,1361.578731
43,4344.738075
44,2023.493575
45,2862.532417
46,4080.22678
47,1697.934633
48,907.805903
49,832.521468
50,875.546008
51,968.179635
52,1072.431932
53,1130.502305
54,3985.890489
55,6763.344083
56,1863.86147
57,4025.595792
58,1340.662563
59,1103.60134
60,1079.735794
61,1071.651346
62,1066.144715
63,1093.299815
64,1136.269684
65,3833.454839
66,1920.79828
67,2161.495117
68,5213.919467
69,2638.884403
70,2360.754103
71,4704.355634
72,1392.264479
73,1358.247682
74,1333.312256
75,1323.05224
76,1316.519742
77,1343.705609
78,4347.811345
79,5380.406934
80,4969.463905
81,1738.893486
82,1668.327539
83,1467.402226
84,1502.219424
85,1527.947992
86,1531.426932
87,1572.319166
88,1609.42763
89,4683.899841
90,4799.37189
91,2408.301553
92,5452.118706
93,2804.277329
94,2357.161371
95,2001.305935
96,1489.484771
97,1453.811912
98,1471.699539
99,1484.272542
100,1512.279857
101,4251.19156
102,1984.54094
103,9389.288776
104,5386.473374
105,2303.999566
106,2271.033375
107,2091.609407
108,2099.431893
109,2146.599668
110,2121.030509
111,2212.650691
112,2373.650914
113,7024.322356
114,2819.708043
115,5806.823206
116,3703.576312
117,6654.088369
118,3076.068057
119,2712.949667
120,2395.869391
121,2469.877222
122,2567.624112
123,2645.357112
124,2688.480903
125,2704.339879
126,6107.812473
127,12790.449114
128,3729.097196
129,6214.062072
130,3459.964062
131,3152.664758
132,3011.805941
133,2906.111097
134,2860.373443
135,2865.179265
136,2950.081968
137,7972.570917
138,3188.982745
139,3463.850298
140,6157.388542
141,3630.344215
142,5715.363161
143,2701.120551
144,2328.240285
145,2363.294231
146,2402.33473
147,2434.780871
148,2459.320406
149,2430.391569
150,5672.146547
151,8498.994457
152,5943.213053
153,3041.929817
154,5541.243649
155,2587.433921
156,2461.806031
157,2362.506718
158,2294.301857
159,2248.804977
160,2319.929125
161,6731.205871
162,2830.615379
163,2837.248866
164,5638.767578
165,2884.707454
166,2575.073329
167,2447.599111
168,1849.576033
169,1809.772359
170,1800.681597
171,1795.137563
172,1792.786016
173,4473.304085
174,2081.346682
175,8656.820213
176,5182.903293
177,2440.008762
178,2415.256188
179,2220.589761
180,2155.872478
181,2075.43997
182,2050.827598
183,2034.408475
184,2059.152287
185,5550.656109
186,2357.652269
187,4907.640637
188,2370.870686
189,5067.165058
190,2194.422746
191,2007.775182
192,1592.959897
193,1603.903611
194,1618.20459
195,1647.793307
196,1673.573253
197,4373.055373
198,2085.851157
199,9454.08169
200,2653.782264
201,5123.64526
202,2378.653915
203,2147.266557
204,2126.676859
205,2141.512443
206,2123.601282
207,2156.001026
208,2183.583285
209,6394.771991
210,2766.970312
211,5534.865258
212,3083.478024
213,3158.954112
214,5345.515082
215,2443.674733
216,2002.042224
217,2004.24265
218,2040.96118
219,2085.26625
220,2108.763906
221,2159.728932
222,5451.60688
223,11079.323977
224,3132.05046
225,5471.830971
226,2733.197142
227,2457.89276
228,2356.684921
229,2345.473274
230,2355.523182
231,2315.638887
232,2336.755237
233,6210.274166
234,2573.019565
235,2606.128958
236,5551.081555
237,2911.371223
238,2447.637852
239,4777.719436
240,1698.526536
241,1686.395556
242,1710.054267
243,1729.343513
244,1748.657516
245,1746.616325
246,2707.159433
247,8686.345576
248,5274.975598
249,2233.494713
250,2153.084322
251,1820.199456
252,1629.584755
253,1546.721081
254,1485.997818
255,1468.477996
256,1546.444064
257,4290.106749
258,4580.825566
259,1999.033481
260,2484.817159
261,5234.475009
262,2297.466577
263,1998.87541
264,1304.522598
265,1301.12148
266,1314.783367
267,1325.738013
268,1318.110154
269,3994.384769
270,1555.496783
271,7759.504259
272,4898.648547
273,1844.265865
274,1865.661149
275,1663.17527
276,1691.293504
277,1700.574231
278,1639.291919
279,1617.238155
280,1717.035158
281,5068.181298
282,2172.642664
283,5053.387777
284,2733.843928
285,4242.932155
286,3693.426434
287,2034.610955
288,1503.997317
289,1479.451541
290,1483.885198
291,1507.097379
292,1531.103473
293,1570.531341
294,4689.228718
295,9414.761264
296,2587.274863
297,4825.935762
298,2051.903685
299,1758.246999
300,1690.769344
301,1650.207852
302,1628.563486
303,1659.262083
304,1689.652448
305,4949.004661
306,2238.043319
307,2400.559318
308,5434.623907
309,2800.255191
310,2356.946084
311,4726.007236
312,1609.647777
313,1614.592309
314,1647.432014
315,1651.346177
316,1664.040697
317,1677.209746
318,4677.700469
319,5926.536249
320,5127.715429
321,2219.079938
322,1983.735695
323,1550.186928
324,1431.634752
325,1389.596397
326,1391.974566
327,1424.603348
328,1504.553467
329,4575.503857
330,4771.923628
331,2232.024328
332,5227.557487
333,2661.800034
334,2447.064433
335,2453.469101
336,1825.494029
337,1804.259498
338,1838.257033
339,1888.258054
340,1932.72371
341,4665.194068
342,2416.589902
343,9968.793396
344,5692.245254
345,2841.567653
346,2794.993135
347,2514.607168
348,2381.671433
349,2299.964074
350,2228.636666
351,2234.875527
352,2232.357284
353,5879.980875
354,2456.776416
355,5059.06913
356,2549.130869
357,5299.090121
358,2388.035353
359,2177.07784
360,1758.672825
361,1745.416565
362,1766.567876
363,1760.332098
364,1755.633428
365,1755.661552
366,4503.054322
367,4688.273583
368,2296.186201
369,4851.006983
370,2130.035756
371,1856.280069
372,1792.992362
373,1754.876145
374,1717.348279
375,1684.537271
376,1688.386129
377,1699.894753
378,1991.661294
379,2515.225176
380,4351.184658
381,2219.541026
382,4863.869654
383,2015.803375
384,1574.748795
385,1551.075645
386,1545.001681
387,1543.038582
388,1541.316605
389,1545.02463
390,4476.364949
391,5565.525447
392,5061.76278
393,1969.022563
394,4580.362797
395,1686.758221
396,1617.915545
397,1590.410496
