hours,kW
0,643.566389
1,642.412942
2,642.49602
3,642.58947
4,642.48108
5,642.979597
6,678.635156
7,799.574334
8,1160.294363
9,978.199852
10,973.658597
11,811.358775
12,811.495428
13,812.438994
14,812.330274
15,811.991849
16,815.853127
17,815.775367
18,1114.660178
19,1033.931377
20,1188.786803
21,1188.951887
22,1226.749
23,1070.139164
24,646.476576
25,646.083364
26,645.9286
27,645.793138
28,647.214881
29,648.22177
30,742.171961
31,1120.269087
32,1169.03418
33,789.820183
34,785.754119
35,624.358735
36,623.549814
37,625.674727
38,625.460697
39,626.073612
40,628.754971
41,624.395701
42,1121.218658
43,1238.715795
44,1491.446132
45,1493.206186
46,1332.847832
47,1075.49715
48,654.539446
49,652.489787
50,651.330584
51,650.263517
52,650.587578
53,650.931051
54,744.926995
55,1125.419939
56,1172.329686
57,791.763142
58,786.920219
59,623.857039
60,620.669729
61,621.570734
62,621.268018
63,620.986641
64,624.536901
65,623.310726
66,1115.457726
67,1230.402347
68,1482.95693
69,1483.446955
70,1322.475084
71,1065.366991
72,645.910359
73,645.067661
74,644.700494
75,644.443214
76,645.899752
77,646.865719
78,741.629552
79,1122.749431
80,1168.615577
81,787.439201
82,783.69385
83,621.219486
84,618.269241
85,619.367469
86,619.38529
87,619.401097
88,623.537042
89,623.38673
90,1110.940059
91,1229.142564
92,1481.500444
93,1481.725517
94,1319.252276
95,1059.757261
96,642.440527
97,641.988698
98,641.62557
99,641.279133
100,642.727294
101,643.28582
102,737.97389
103,1123.360495
104,1165.21021
105,786.880412
106,784.228351
107,622.641254
108,619.772425
109,620.769922
110,620.727008
111,620.894011
112,625.260628
113,628.371815
114,1109.612926
115,1225.106146
116,1478.398515
117,1480.00116
118,1314.147341
119,1057.06943
120,641.749693
121,641.872894
122,642.087001
123,642.254111
124,643.993424
125,643.990591
126,738.474119
127,1126.080031
128,1162.690916
129,789.220133
130,786.422696
131,624.50887
132,621.399761
133,622.250708
134,622.137844
135,622.130035
136,626.391692
137,630.645043
138,1110.032782
139,1225.340604
140,1477.563167
141,1477.927508
142,1314.565055
143,1057.287915
144,643.244197
145,643.287375
146,643.368841
147,643.43003
148,643.478484
149,643.412799
150,678.974941
151,857.432552
152,1058.157204
153,879.104728
154,778.816084
155,617.103762
156,617.406807
157,617.594835
158,617.312658
159,616.61536
160,620.357056
161,627.326292
162,1111.206631
163,1128.450427
164,1282.244424
165,1282.321334
166,1318.533223
167,1259.915721
168,643.793959
169,643.478605
170,643.336013
171,643.209087
172,643.102945
173,643.652988
174,679.289317
175,805.39581
176,1157.692594
177,977.797415
178,974.433349
179,813.936997
180,814.985275
181,814.998599
182,813.966966
183,813.604527
184,816.833437
185,821.42988
186,1112.67669
187,1030.639389
188,1184.392301
189,1184.589962
190,1221.3309
191,1064.407766
192,643.154105
193,642.672448
194,642.486995
195,642.286263
196,643.931777
197,644.554728
198,738.897546
199,1121.199017
200,1164.656867
201,789.723822
202,785.763029
203,623.13391
204,621.822823
205,622.603103
206,621.555083
207,621.5729
208,625.065012
209,627.126423
210,1112.094414
211,1226.117741
212,1477.701321
213,1479.504374
214,1316.259059
215,1059.274613
216,642.587719
217,642.147137
218,641.848947
219,641.600407
220,643.301245
221,643.848703
222,738.380044
223,1123.621432
224,1163.512365
225,787.678984
226,785.080764
227,623.055288
228,620.059782
229,621.121937
230,621.131268
231,621.054593
232,625.197427
233,626.620501
234,1109.089176
235,1224.514249
236,1476.95678
237,1479.019111
238,1314.456467
239,1056.893909
240,640.635835
241,640.451836
242,640.402284
243,640.378781
244,642.161268
245,642.539898
246,736.857373
247,1119.632014
248,1162.293063
249,787.162796
250,784.510696
251,621.987445
252,618.813488
253,619.751047
254,619.641618
255,619.602357
256,623.818343
257,622.937989
258,1108.32549
259,1225.697522
260,1479.851235
261,1481.674605
262,1318.060686
263,1059.483947
264,640.857711
265,640.569868
266,640.35756
267,640.280119
268,642.000676
269,642.877531
270,737.746558
271,1120.833203
272,1165.908524
273,786.428308
274,783.844195
275,621.615367
276,618.686261
277,619.786313
278,619.786472
279,619.72812
280,623.871801
281,624.075809
282,1109.487882
283,1227.511099
284,1480.690963
285,1481.758587
286,1317.86023
287,1058.502644
288,641.755154
289,641.447377
290,641.195092
291,641.038617
292,642.748874
293,643.436191
294,737.934554
295,1123.303995
296,1166.772329
297,789.151064
298,786.298779
299,624.004683
300,619.759442
301,620.40566
302,620.584333
303,620.828915
304,624.38346
305,624.164042
306,1111.923952
307,1228.203169
308,1481.027304
309,1481.74593
310,1318.679126
311,1060.522254
312,644.462859
313,643.808292
314,643.613821
315,643.598984
316,643.668861
317,644.310641
318,679.410954
319,856.14215
320,1061.897575
321,881.873223
322,781.24237
323,619.143144
324,618.515469
325,617.896531
326,616.610639
327,616.242241
328,620.134827
329,623.701639
330,1112.872503
331,1130.348385
332,1284.587253
333,1284.773607
334,1320.580814
335,1261.950605
336,643.983287
337,643.549749
338,643.428566
339,643.244631
340,643.17045
341,643.771975
342,679.457495
343,808.177765
344,1161.361989
345,980.316318
346,977.09453
347,815.533606
348,815.38845
349,815.277278
350,815.178954
351,814.756783
352,818.075584
353,822.941517
354,1113.280486
355,1032.196297
356,1186.19546
357,1186.365205
358,1222.387966
359,1065.658144
360,645.520938
361,644.966522
362,644.664818
363,644.49931
364,644.44902
365,644.997908
366,680.682351
367,801.827996
368,1162.095993
369,980.096156
370,975.876553
371,815.275851
372,815.722548
373,815.578502
374,815.157335
375,814.624595
376,817.819752
377,817.154516
378,1114.338656
379,1033.463928
380,1188.290105
381,1188.345537
382,1223.873585
383,1066.743971
384,644.883751
385,644.387872
386,644.184985
387,644.011702
388,645.57575
389,646.554403
390,741.093693
391,1123.128774
392,1168.181667
393,787.940816
394,784.229576
395,621.819332
396,618.967325
397,619.984902
398,619.904377
399,619.788035
400,623.869329
401,623.332715
402,1111.410784
403,1229.075813
404,1482.184251
405,1483.006492
406,1320.994964
407,1061.486157
408,642.503146
409,642.119394
410,641.916434
411,641.69855
412,643.188122
413,643.711136
414,738.281009
415,1123.655163
416,1165.999913
417,786.940145
418,784.68178
419,623.63676
420,620.754094
421,620.995087
422,621.219017
423,621.266145
424,625.572519
425,629.282354
426,1110.338016
427,1226.050939
428,1479.202077
429,1480.497197
430,1315.571169
431,1057.862093
432,641.523156
433,641.448791
434,641.489818
435,641.627685
436,643.438401
437,643.533016
438,737.821328
439,1124.755281
440,1163.061563
441,788.646603
442,786.007193
443,624.382948
444,621.690549
445,622.91907
446,622.675829
447,622.070985
448,625.942206
449,629.977812
450,1111.483969
451,1226.584585
452,1478.031408
453,1478.126542
454,1315.967129
455,1058.541212
456,642.144548
457,641.905791
458,641.884041
459,641.872418
460,643.536398
461,643.852984
462,738.400619
463,1123.062884
464,1164.271241
465,788.33865
466,785.666002
467,623.654122
468,621.170242
469,622.440243
470,622.182372
471,621.264817
472,625.381596
473,627.725768
474,1111.698706
475,1226.265221
476,1477.374346
477,1477.553114
478,1316.217318
479,1058.947005
480,644.06533
481,643.754294
482,643.598749
483,643.54111
484,643.454453
485,643.971977
486,679.300622
487,855.224419
488,1058.862453
489,878.365206
490,777.927146
491,617.311629
492,618.401854
493,618.617441
494,618.251726
495,617.424997
496,620.54375
497,624.05793
498,1112.41487
499,1128.013669
500,1282.033734
501,1282.63745
502,1320.798538
503,1262.673619
504,644.839462
505,644.202847
506,643.66779
507,643.054698
508,642.637632
509,642.814016
510,678.644271
511,809.761129
512,1158.886366
513,979.616649
514,976.158364
515,814.949818
516,815.613113
517,815.852205
518,815.516398
519,814.689659
520,817.598472
521,826.842822
522,1112.759472
523,1031.108851
524,1184.993587
525,1184.787792
526,1220.54774
527,1063.555952
528,642.347553
529,642.254941
530,642.196297
531,642.103447
532,643.719689
533,643.913431
534,738.501242
535,1122.795523
536,1163.483053
537,787.9518
538,785.160899
539,623.20723
540,620.135688
541,620.974235
542,620.82911
543,620.700649
544,624.74769
545,624.420629
546,1109.706119
547,1224.833061
548,1477.020137
549,1478.780151
550,1316.661023
551,1058.033966
552,641.47453
553,641.07728
554,640.646538
555,640.451889
556,642.037231
557,642.207988
558,736.750718
559,1120.7839
560,1162.578427
561,787.551905
562,785.066377
563,623.078394
564,620.102079
565,621.036346
566,620.960192
567,620.927269
568,625.129055
569,627.384996
570,1109.395076
571,1224.898315
572,1477.123961
573,1478.426365
574,1314.761834
575,1057.326138
576,641.107847
577,640.975026
578,640.956676
579,640.958743
580,642.691044
581,643.01321
582,737.366387
583,1121.091995
584,1162.261401
585,787.82999
586,785.391716
587,623.656874
588,620.789638
589,621.920348
590,621.971355
591,621.985369
592,626.092002
593,629.288167
594,1108.875504
595,1221.961909
596,1474.401616
597,1475.688632
598,1312.375379
599,1056.565246
600,641.104978
601,641.07666
602,641.059901
603,641.042206
604,642.76711
605,642.783
606,736.796374
607,1117.976803
608,1160.782331
609,787.662624
610,785.209438
611,623.279719
612,620.408159
613,621.505697
614,621.358194
615,621.329869
616,625.422047
617,627.314202
618,1108.724696
619,1223.385192
620,1476.071987
621,1477.136137
622,1313.753212
623,1056.501754
624,640.637346
625,640.561788
626,640.594535
627,640.63235
628,642.405328
629,642.577341
630,736.927004
631,1119.609443
632,1161.993098
633,787.422728
634,784.892324
635,623.251827
636,620.410285
637,621.566387
638,621.82328
639,621.964683
640,626.325005
641,632.046477
642,1109.813043
643,1224.307841
644,1476.60997
645,1477.446099
646,1313.69176
647,1057.395467
648,643.853946
649,644.028663
650,644.221703
651,644.427651
652,644.604938
653,644.63967
654,680.436631
655,863.195178
656,1058.621469
657,880.701868
658,780.381458
659,618.484259
660,618.191087
661,617.963306
662,617.864514
663,617.826898
664,621.98533
665,630.364991
666,1109.558395
667,1125.636351
668,1279.703092
669,1279.751798
670,1316.343201
671,1257.648615
672,643.840824
673,643.945027
674,644.057623
675,644.141046
676,644.278194
677,644.12942
678,679.587711
679,810.753607
680,1156.283906
681,977.258114
682,974.906068
683,813.194274
684,813.200439
685,813.262404
686,813.097817
687,812.990369
688,817.140908
689,828.542125
690,1110.450874
691,1028.561545
692,1182.782397
693,1182.774777
694,1219.883121
695,1063.889331
696,643.581274
697,644.146784
698,644.461702
699,644.562515
700,646.338551
701,646.20431
702,741.070566
703,1133.018317
704,1164.001759
705,792.455222
706,790.027563
707,628.664449
708,625.752841
709,626.439268
710,626.082275
711,625.983326
712,630.434307
713,644.55254
714,1113.170673
715,1225.387266
716,1476.765733
717,1476.600796
718,1315.818741
719,1061.643197
720,646.692535
721,646.983103
722,646.774827
723,646.941252
724,648.737102
725,648.565349
726,743.356334
727,1137.543634
728,1165.610303
729,794.565577
730,792.00416
731,629.894336
732,626.227948
733,626.732958
734,626.22696
735,625.908049
736,629.871945
737,636.118843
738,1111.483419
739,1223.435791
740,1474.658737
741,1474.527384
742,1313.587749
743,1058.808741
744,643.688247
745,643.890661
746,643.781817
747,643.816464
748,645.613146
749,645.373363
750,739.794202
751,1125.288641
752,1162.842345
753,791.276605
754,789.028566
755,627.222987
756,623.799555
757,624.399456
758,624.181499
759,624.136748
760,628.479234
761,634.634861
762,1110.722193
763,1222.991621
764,1474.573118
765,1474.598049
766,1313.728125
767,1059.124118
768,644.173501
769,644.469431
770,644.412663
771,644.48349
772,646.424298
773,646.388976
774,741.206919
775,1132.507023
776,1164.525006
777,793.634187
778,791.587225
779,630.036376
780,626.723866
781,627.46971
782,627.162972
783,626.918136
