hours,kW
0,1038.633737
1,1142.143217
2,1142.608178
3,1157.67413
4,1187.285976
5,1223.314406
6,1450.598283
7,3944.570878
8,4485.367434
9,1574.283081
10,1509.664917
11,1220.403213
12,1135.469846
13,1066.836257
14,1011.56705
15,992.345064
16,990.02285
17,984.539044
18,3932.697911
19,1188.098523
20,1342.560951
21,4019.944303
22,1381.787903
23,1224.952921
24,805.90665
25,826.441996
26,847.636301
27,873.063616
28,917.47789
29,3623.3456
30,1046.766153
31,5727.244956
32,3608.746126
33,1410.619667
34,926.29288
35,718.907614
36,699.517734
37,691.636277
38,687.478277
39,685.162718
40,688.791134
41,1453.04615
42,1167.334778
43,3963.892085
44,1524.625871
45,2217.847762
46,3339.547351
47,1115.429213
48,697.817872
49,708.044228
50,770.499834
51,870.290522
52,981.559641
53,1030.518759
54,3926.089445
55,6603.390526
56,1701.511155
57,3960.367643
58,1269.838945
59,1093.21654
60,1072.399443
61,1064.472224
62,1058.988973
63,1086.530949
64,1130.353297
65,3828.401327
66,1894.954331
67,2066.092367
68,5049.252002
69,2434.57603
70,2073.625249
71,4436.40641
72,1338.588426
73,1308.167658
74,1282.024187
75,1270.522124
76,1262.588018
77,1288.296132
78,4339.758528
79,5320.099747
80,4914.636756
81,1692.623676
82,1618.477441
83,1464.74634
84,1501.198583
85,1527.185987
86,1529.944079
87,1571.687179
88,1608.798282
89,4683.899841
90,4798.319887
91,2408.301553
92,5452.118706
93,2804.277329
94,2357.161371
95,2001.305935
96,1489.484771
97,1453.811912
98,1471.699539
99,1484.272542
100,1512.279857
101,4251.19156
102,1984.54094
103,9389.288776
104,5386.473374
105,2303.999566
106,2271.033375
107,2091.609407
108,2099.431893
109,2146.599668
110,2121.030509
111,2212.650691
112,2373.650914
113,7024.322356
114,2819.708043
115,5806.823206
116,3703.576312
117,6654.088369
118,3076.068057
119,2712.949667
120,2395.869391
121,2469.877222
122,2567.624112
123,2645.357112
124,2688.480903
125,2704.339879
126,6107.812473
127,12790.449114
128,3729.097196
129,6214.062072
130,3459.964062
131,3152.664758
132,3011.805941
133,2906.111097
134,2860.373443
135,2865.179265
136,2950.081968
137,7972.570917
138,3188.982745
139,3463.850298
140,6157.388542
141,3630.344215
142,5715.363161
143,2701.120551
144,2328.240285
145,2363.294231
146,2402.33473
147,2434.780871
148,2459.320406
149,2430.391569
