hours,kW
0,284.229418
1,284.229426
2,272.62211
3,284.229424
4,284.229425
5,272.623411
6,284.229429
7,201.752499
8,162.652869
9,174.26019
10,174.260192
11,162.653738
12,174.261044
13,174.262347
14,162.653726
15,174.260189
16,229.24481
17,272.622109
18,284.229424
19,284.229427
20,272.62211
21,284.23073
22,284.229424
23,272.622107
24,324.066449
25,324.066444
26,312.459124
27,324.06644
28,324.066441
29,332.387189
30,377.274963
31,457.909821
32,949.744962
33,887.792391
34,873.495729
35,887.79634
36,883.706678
37,899.713367
38,873.493575
39,873.493161
40,949.928039
41,923.486833
42,644.962327
43,625.897029
44,506.354266
45,496.819028
46,332.385885
47,324.066441
48,324.066443
49,312.459126
50,324.066441
51,324.066439
52,312.459123
53,343.994507
54,377.274962
55,457.909822
56,950.066204
57,887.792391
58,873.495729
59,887.796337
60,884.361051
61,901.271571
62,873.802938
63,874.2848
64,952.745809
65,928.148151
66,644.962326
67,625.897029
68,506.354267
69,496.819028
70,332.385885
71,324.066441
72,324.066443
73,312.459126
74,324.066441
75,324.066439
76,312.459123
77,343.994507
78,377.274962
79,457.909823
80,952.625989
81,887.972809
82,873.51161
83,889.27961
84,886.608966
85,903.16302
86,875.483232
87,875.768229
88,954.011332
89,929.339578
90,644.962326
91,625.897029
92,506.354267
93,496.819028
94,332.385885
95,324.066442
96,324.066443
97,312.459126
98,324.066441
99,324.066439
100,312.459124
101,343.994507
102,377.274963
103,457.909823
104,972.620812
105,910.66824
106,896.371578
107,910.672184
108,906.582528
109,922.589219
110,896.369427
111,896.369015
112,972.803886
113,946.362683
114,655.340315
115,625.930449
116,506.354267
117,496.819028
118,332.385885
119,324.066442
120,324.066444
121,312.459126
122,324.066441
123,324.066439
124,312.459124
125,343.994507
126,377.274963
127,457.909823
128,972.620812
129,904.024568
130,887.907327
131,909.434725
132,906.582528
133,922.589219
134,896.369427
135,896.369015
136,972.803886
137,946.362683
138,655.003233
139,626.018686
140,506.354267
141,496.819028
142,332.385885
143,324.066442
144,284.229855
145,272.622538
146,284.229853
147,284.229851
148,272.622535
149,284.231156
150,377.274963
151,332.925259
152,499.919665
153,516.602152
154,509.452706
155,526.134354
156,516.601661
157,497.538501
158,286.380344
159,276.848134
160,334.216019
161,331.808665
162,272.623391
163,284.230709
164,284.230709
165,272.624257
166,284.229855
167,284.229852
168,272.622107
169,284.229428
170,284.229428
171,272.622106
172,284.229426
173,284.230729
174,272.622111
175,201.752498
176,174.260187
177,162.652873
178,174.260191
179,174.261056
180,162.653726
181,174.262348
182,174.261043
183,162.652871
184,229.24481
185,284.229427
186,272.622106
187,284.229427
188,284.229428
189,272.623412
190,284.229424
191,284.229425
192,312.459132
193,324.066444
194,324.066441
195,312.459122
196,324.066441
197,343.994507
198,377.274962
199,457.909822
200,950.056272
201,887.792391
202,873.495729
203,888.461486
204,894.576274
205,913.265305
206,880.567117
207,882.511668
208,968.207685
209,946.362683
210,646.545452
211,625.897029
212,506.354267
213,496.819028
214,332.385885
215,324.066441
216,324.066443
217,312.459126
218,324.066441
219,324.066439
220,312.459123
221,343.994507
222,377.274962
223,457.909823
224,969.138795
225,898.460637
226,884.147149
227,907.464726
228,906.582528
229,922.589218
230,896.369426
231,896.369014
232,972.803886
233,946.362683
234,652.230797
235,625.897029
236,506.354267
237,496.819028
238,332.385885
239,324.066442
240,324.066443
241,312.459126
242,324.066441
243,324.066439
244,312.459124
245,343.994507
246,377.274963
247,457.909823
248,972.620812
249,900.742125
250,875.717773
251,891.249589
252,888.427426
253,904.905111
254,877.032054
255,877.247259
256,955.578077
257,930.930705
258,644.962326
259,625.897029
260,506.354267
261,496.819028
262,332.385885
263,324.066442
264,324.066444
265,312.459126
266,324.066441
267,324.066439
268,312.459124
269,343.994507
270,377.274963
271,457.909823
272,954.547508
273,889.88738
274,875.125221
275,890.814224
276,887.991387
277,904.529505
278,876.790942
279,877.219206
280,955.741301
281,930.995761
282,649.077503
283,625.897029
284,506.354267
285,496.819028
286,332.385885
287,324.066442
288,324.066444
289,312.459126
290,324.066441
291,324.066439
292,312.459124
293,343.994507
294,377.274963
295,458.48488
296,972.620812
297,896.84052
298,876.850802
299,892.538926
300,889.768144
301,906.179814
302,878.219475
303,878.499866
304,956.9994
305,932.272552
306,653.541169
307,627.530871
308,506.354267
309,496.819028
310,332.385885
311,324.066442
312,284.229855
313,272.622538
314,284.229853
315,284.229851
316,272.622535
317,284.231156
318,377.274963
319,332.925259
320,499.919665
321,516.602152
322,509.452706
323,526.134354
324,516.601661
325,497.538501
326,286.380344
327,276.848134
328,306.72371
329,331.808665
330,272.623391
331,284.230709
332,284.230709
333,272.624257
334,284.229855
335,284.229852
336,272.622107
337,284.229428
338,284.229428
339,272.622106
340,284.229426
341,284.230729
342,272.622111
343,201.752498
344,174.260187
345,162.652873
346,174.260191
347,174.261056
348,162.653726
349,174.262348
350,174.261043
351,162.652871
352,201.752501
353,284.229426
354,272.622106
355,284.229427
356,284.229428
357,272.623412
358,284.229424
359,284.229425
360,272.622111
361,284.229427
362,284.229424
363,272.622109
364,284.229428
365,284.23073
366,272.622106
367,201.752497
368,174.260191
369,162.652873
370,174.260187
371,174.261055
372,162.653727
373,174.262348
374,174.261045
375,162.652873
376,201.752498
377,284.229424
378,272.622109
379,284.229428
380,284.229424
381,272.623408
382,284.229427
383,284.229429
384,312.459131
385,324.066441
386,324.06644
387,312.459125
388,324.066444
389,343.994507
390,377.274963
391,457.909816
392,949.744984
