hours,kW
0,1086.180222
1,1143.676585
2,1144.142171
3,1159.228349
4,1188.87995
5,1224.95675
6,1452.545764
7,3983.390662
8,4618.17647
9,1668.426079
10,1605.496063
11,1279.806678
12,1194.272395
13,1126.309382
14,1070.947697
15,1051.675251
16,1049.191156
17,1043.369739
18,4010.223391
19,1275.684806
20,1464.983391
21,4158.851445
22,1688.052346
23,1525.117271
24,874.62063
25,888.79593
26,909.477038
27,934.880426
28,979.260984
29,3692.332824
30,1067.944494
31,5843.894701
32,3732.802987
33,1474.512022
34,1022.594764
35,752.749834
36,769.665995
37,778.503976
38,771.671236
39,776.286428
40,752.393603
41,1502.01761
42,1363.4067
43,4350.571044
44,2026.210188
45,2866.375471
46,4085.704632
47,1700.214172
48,909.024665
49,833.639159
50,876.72146
51,969.479451
52,1073.871711
53,1132.020045
54,3991.241692
55,6772.424118
56,1866.363772
57,4031.000301
58,1342.462451
59,1105.082965
60,1081.185379
61,1073.090077
62,1067.576052
63,1094.767609
64,1137.795167
65,3838.601391
66,1923.377022
67,2164.397002
68,5220.919343
69,2642.427201
70,2363.923501
71,4710.671403
72,1394.133644
73,1360.071179
74,1335.102277
75,1324.828486
76,1318.287218
77,1345.509583
78,4353.648439
79,5387.630325
80,4976.135591
81,1741.228014
82,1670.56733
83,1469.372267
84,1504.236208
85,1529.999318
86,1533.482928
87,1574.430061
88,1611.588345
89,4690.188147
90,4805.815221
91,2411.534785
92,5459.438373
93,2808.042173
94,2360.325945
95,2003.992761
96,1491.484459
97,1455.763707
98,1473.675349
99,1486.265232
100,1514.310148
101,4256.898939
102,1987.205258
103,9401.894237
104,5393.70491
105,2307.092769
106,2274.08232
107,2094.417469
108,2102.250456
109,2149.481556
110,2123.878069
111,2215.621254
112,2376.837626
113,7033.752764
114,2823.493604
115,5814.619077
116,3708.548498
117,6663.021724
118,3080.19779
119,2716.5919
120,2399.085932
121,2473.193122
122,2571.07124
123,2648.9086
124,2692.090286
125,2707.970554
126,6116.012433
127,12807.620756
128,3734.103645
129,6222.404676
130,3464.60919
131,3156.897325
132,3015.8494
133,2910.012657
134,2864.213598
135,2869.025872
136,2954.04256
137,7983.274382
138,3193.26407
139,3468.500642
140,6165.655059
141,3635.218084
142,5723.036243
143,2704.746904
144,2331.366032
145,2366.467039
146,2405.559952
147,2438.049653
148,2462.622132
149,2433.654458
150,5679.76161
151,8510.404665
152,5951.192032
153,3046.013718
154,5548.68297
155,2590.907645
156,2465.111095
157,2365.678469
158,2297.382041
159,2251.824079
160,2323.043714
161,6740.242759
162,2834.415583
163,2841.057975
164,5646.337828
165,2888.580278
166,2578.530458
167,2450.885102
168,1852.059156
169,1812.202044
170,1803.099077
171,1797.5476
172,1795.192896
173,4479.309658
174,2084.140965
175,8668.442308
176,5189.861529
177,2443.284562
178,2418.498757
179,2223.570983
180,2158.766815
181,2078.226323
182,2053.580908
183,2037.139743
184,2061.916773
185,5558.108066
186,2360.817503
187,4914.229323
188,2374.053666
189,5073.967911
190,2197.368838
191,2010.470693
192,1595.098503
193,1606.05691
194,1620.377089
195,1650.00553
196,1675.820086
197,4378.926358
198,2088.651488
199,9466.774137
200,2657.345063
201,5130.523939
202,2381.847344
203,2150.149341
204,2129.532
205,2144.387502
206,2126.452293
207,2158.895536
208,2186.514825
209,6403.357204
210,2770.68507
211,5542.296016
212,3087.617706
213,3163.195123
214,5352.69163
215,2446.955455
216,2004.730038
217,2006.933418
218,2043.701244
219,2088.065796
220,2111.594998
221,2162.628446
222,5458.92586
223,11094.198372
224,3136.255351
225,5479.177103
226,2736.866558
227,2461.19257
228,2359.848856
229,2348.622157
230,2358.685558
231,2318.747716
232,2339.892416
233,6218.611685
234,2576.473937
235,2609.627781
236,5558.534084
237,2915.279845
238,2450.923894
239,4784.133697
240,1700.80687
241,1688.659603
242,1712.350077
243,1731.665219
244,1751.005153
245,1748.96122
246,2710.793893
247,8698.00731
248,5282.057444
249,2236.493261
250,2155.974916
251,1822.64314
252,1631.772532
253,1548.79761
254,1487.992824
255,1470.449481
256,1548.520221
257,4295.866373
258,4586.975491
259,2001.717256
260,2488.153116
261,5241.502481
262,2300.551009
263,2001.558973
264,1306.273967
265,1302.868283
266,1316.548511
267,1327.517864
268,1319.879765
269,3999.747375
270,1557.585094
271,7769.921675
272,4905.225161
273,1846.741859
274,1868.165867
275,1665.408143
276,1693.564127
277,1702.857314
278,1641.492728
279,1619.409356
280,1719.34034
281,5074.985515
282,2175.559516
283,5060.172133
284,2737.514213
285,4248.628445
286,3698.384993
287,2037.342494
288,1506.016488
289,1481.437758
290,1485.877367
291,1509.120712
292,1533.159035
293,1572.639836
294,4695.524177
295,9427.400922
296,2590.748374
297,4832.414756
298,2054.658441
299,1760.60751
300,1693.039263
301,1652.423316
302,1630.749891
303,1661.489703
304,1691.920868
305,4955.648879
306,2241.047973
307,2403.782156
308,5441.920087
309,2804.014635
310,2360.11037
311,4732.352072
312,1611.808787
313,1616.759958
314,1649.643751
315,1653.563169
316,1666.274732
317,1679.461461
318,4683.980452
319,5934.492839
320,5134.599573
321,2222.059133
322,1986.398933
323,1552.26811
324,1433.556773
325,1391.461981
326,1393.843342
327,1426.51593
328,1506.573385
329,4581.646637
330,4778.330108
331,2235.020901
332,5234.575672
333,2665.373598
334,2450.349706
335,2456.762973
336,1827.944821
337,1806.681781
338,1840.72496
339,1890.793109
340,1935.318462
341,4671.457261
342,2419.834261
343,9982.176863
344,5699.8873
345,2845.38256
346,2798.745515
347,2517.98312
348,2384.868913
349,2303.051859
350,2231.628692
351,2237.875928
352,2235.354305
353,5887.874962
354,2460.074728
355,5065.861114
356,2552.55317
357,5306.204342
358,2391.241378
359,2180.000646
360,1761.033907
361,1747.75985
362,1768.939557
363,1762.695408
364,1757.990429
365,1758.018591
366,4509.099836
367,4694.56776
368,2299.268915
369,4857.519636
370,2132.895407
371,1858.772192
372,1795.399519
373,1757.23213
374,1719.653881
375,1686.798823
376,1690.652848
377,1702.176923
378,1994.335172
379,2518.601957
380,4357.026282
381,2222.520841
382,4870.399576
383,2018.509664
384,1576.862953
385,1553.158021
386,1547.075901
387,1545.110167
388,1543.385878
389,1547.098882
390,4482.374632
391,5572.997367
392,5068.55838
393,1971.666047
394,4586.5121
395,1689.022755
396,1620.087656
397,1592.54568
398,1581.804704
399,1575.531234
400,1605.417531
401,4540.724282
402,2087.608783
403,2263.18106
404,5351.340266
405,2745.427345
406,2455.171251
407,2114.001673
408,1462.885919
409,1449.72612
410,1459.043276
411,1469.170806
412,1502.754088
413,4243.990155
414,1979.205901
415,9527.043996
416,5485.516279
417,2367.873409
418,2392.474553
419,2266.804921
420,2260.48529
421,2272.242415
422,2296.909645
423,2421.639485
424,2537.843952
425,7456.637711
426,2967.249918
427,5905.222154
428,3691.992976
429,6504.32784
430,3077.630345
431,2677.006132
432,2242.307498
433,2266.489483
434,2309.690858
435,2378.887502
436,2409.915533
437,5107.512934
438,3029.81105
439,12115.920605
440,3553.732767
441,5985.987456
442,3255.460034
443,2976.251169
444,2868.561558
445,2790.510162
446,2732.708117
447,2686.732952
448,2726.754032
449,7691.497579
450,3233.862618
451,6113.235773
452,3712.68638
453,3751.965947
454,5882.857613
455,2851.477225
456,2378.852149
457,2385.131314
458,2398.503317
459,2366.749031
460,2343.903948
461,2321.920347
462,5512.234032
463,10967.734334
464,3282.616672
465,5600.94546
466,2887.761597
467,2640.19921
468,2583.643833
469,2487.877075
470,2408.24714
471,2406.659115
472,2431.998953
473,6718.092564
474,2883.658933
475,2972.539923
476,5908.945923
477,3202.674639
478,2845.867605
479,5215.982759
480,2109.456648
481,2085.347464
482,2082.996755
483,2067.342578
484,2060.567581
485,2055.936604
486,3341.626304
487,8386.641599
488,5435.409618
489,2537.439484
490,2397.421366
491,2083.949907
492,1982.572065
493,1870.703994
494,1796.272766
495,1789.166766
496,1785.397993
497,4834.387031
498,4897.117812
499,2163.514528
500,2347.892474
501,5049.814744
502,2329.658053
503,2266.324353
504,1479.215796
505,1484.677342
506,1577.529287
507,1692.614909
508,1789.912039
509,4579.893457
510,2512.533381
511,11108.045381
512,6042.646769
513,3397.234947
514,3380.186222
515,3178.610284
516,3186.800846
517,3187.770562
518,3183.390457
519,3187.159841
520,3186.302078
521,8669.971999
522,3510.668383
523,6199.433325
524,3710.451337
525,5835.187601
526,3766.930185
527,3006.81472
528,2545.129829
529,2514.072742
530,2496.453289
531,2481.494278
532,2472.070417
533,2427.300747
534,5595.263502
535,10968.419686
536,3289.330052
537,5647.681623
538,2819.588089
539,2539.222403
540,2398.593283
541,2270.851749
542,2170.065246
543,2114.792577
544,2090.053131
545,5136.289899
546,2315.079998
547,2239.083587
548,5151.290279
549,2535.635569
550,2327.200557
551,4654.664855
552,1534.501466
553,1540.562703
554,1629.463137
555,1708.813383
556,1781.479518
557,1810.544157
558,5023.854476
559,7563.965512
560,5677.83654
561,2745.778129
562,2757.036169
563,2482.983964
564,2385.090408
