hours,kW
0,1040.02814
1,1143.676585
2,1144.142171
3,1159.228349
4,1188.87995
5,1224.95675
6,1452.545764
7,3949.866607
8,4491.389202
9,1576.396613
10,1511.691697
11,1222.041649
12,1136.994255
13,1068.268523
14,1012.925116
15,993.677323
16,991.351992
17,985.860823
18,3937.977701
19,1189.693589
20,1344.363388
21,4025.341224
22,1383.643003
23,1226.597465
24,806.988609
25,827.551524
26,848.774283
27,874.235735
28,918.709638
29,3628.210073
30,1048.171475
31,5734.93399
32,3613.590999
33,1412.513475
34,927.536462
35,719.872773
36,700.456862
37,692.564823
38,688.401242
39,686.082574
40,689.715861
41,1454.996917
42,1168.901967
43,3969.213754
44,1526.672737
45,2220.825303
46,3344.030814
47,1116.926717
48,698.754718
49,708.994803
50,771.534258
51,871.458919
52,982.87742
53,1031.902268
54,3931.360362
55,6612.255818
56,1703.795496
57,3965.68458
58,1271.54375
59,1094.684223
60,1073.839178
61,1065.901317
62,1060.410704
63,1087.989656
64,1131.870837
65,3833.541095
66,1897.498376
67,2068.866171
68,5056.030806
69,2437.844537
70,2076.409167
71,4442.362447
72,1340.38553
73,1309.92392
74,1283.745351
75,1272.227846
76,1264.283088
77,1290.025716
78,4345.584811
79,5327.242174
80,4921.234835
81,1694.896085
82,1620.650305
83,1466.712816
84,1503.213996
85,1529.236289
86,1531.998085
87,1573.797226
88,1610.958152
89,4690.188147
90,4804.761805
91,2411.534785
92,5459.438373
93,2808.042173
94,2360.325945
95,2003.992761
96,1491.484459
97,1455.763707
98,1473.675349
99,1486.265232
100,1514.310148
101,4256.898939
102,1987.205258
103,9401.894237
104,5393.70491
105,2307.092769
106,2274.08232
107,2094.417469
108,2102.250456
109,2149.481556
110,2123.878069
111,2215.621254
112,2376.837626
113,7033.752764
114,2823.493604
115,5814.619077
116,3708.548498
117,6663.021724
118,3080.19779
119,2716.5919
120,2399.085932
121,2473.193122
122,2571.07124
123,2648.9086
124,2692.090286
125,2707.970554
126,6116.012433
127,12807.620756
128,3734.103645
129,6222.404676
130,3464.60919
131,3156.897325
132,3015.8494
133,2910.012657
134,2864.213598
135,2869.025872
136,2954.04256
137,7983.274382
138,3193.26407
139,3468.500642
140,6165.655059
141,3635.218084
142,5723.036243
143,2704.746904
144,2331.366032
145,2366.467039
146,2405.559952
147,2438.049653
148,2462.622132
149,2433.654458
150,5679.76161
151,8510.404665
152,5951.192032
153,3046.013718
154,5548.68297
155,2590.907645
156,2465.111095
157,2365.678469
158,2297.382041
159,2251.824079
160,2323.043714
161,6740.242759
162,2834.415583
163,2841.057975
164,5646.337828
165,2888.580278
166,2578.530458
167,2450.885102
168,1852.059156
169,1812.202044
170,1803.099077
171,1797.5476
172,1795.192896
173,4479.309658
174,2084.140965
175,8668.442308
176,5189.861529
177,2443.284562
178,2418.498757
179,2223.570983
180,2138.684115
181,2050.826212
182,2039.49388
183,2037.139743
184,2061.916773
185,5558.108066
186,2360.817503
187,4914.229323
188,2374.053666
189,5073.967911
190,2197.368838
191,2010.470693
192,1595.098503
193,1606.05691
194,1620.377089
195,1650.00553
196,1675.820086
197,4378.926358
198,2088.651488
199,9466.774137
200,2657.345063
201,5130.523939
202,2381.847344
203,2150.149341
204,2129.532
205,2144.387502
206,2126.452293
207,2158.895536
208,2186.514825
209,6403.357204
210,2770.68507
211,5542.296016
212,3087.617706
213,3163.195123
214,5352.69163
215,2446.955455
216,2004.730038
217,2006.933418
218,2043.701244
219,2088.065796
220,2111.594998
221,2162.628446
222,5458.92586
223,11094.198372
224,3136.255351
225,5479.177103
226,2736.866558
227,2461.19257
228,2359.848856
229,2348.622157
230,2358.685558
231,2318.747716
232,2339.892416
233,6218.611685
234,2576.473937
235,2609.627781
236,5558.534084
237,2915.279845
238,2450.923894
239,4784.133697
240,1700.80687
241,1688.659603
242,1712.350077
243,1731.665219
244,1751.005153
245,1748.96122
246,2710.793893
247,8698.00731
248,5282.057444
249,2194.43215
250,2086.323641
251,1806.444067
252,1622.388402
253,1541.997574
254,1483.354018
255,1467.725492
256,1547.260983
257,4294.673925
258,4582.987672
259,1993.025028
260,2435.526485
261,5156.632857
262,2087.208257
263,1740.959806
264,1253.794083
265,1256.70113
266,1268.473151
267,1277.612632
268,1269.81269
269,3947.599406
270,1549.23005
271,7757.191471
272,4861.935634
273,1802.983624
274,1818.879604
275,1662.687464
276,1692.347363
277,1701.646601
278,1639.897022
279,1617.441182
