hours,kW
0,194.409015
1,194.409015
2,194.409015
3,194.409015
4,194.409015
5,194.409015
6,195.784554
7,201.28671
8,212.291022
9,204.037788
10,204.037788
11,204.037788
12,204.037788
13,204.037788
14,204.037788
15,204.037788
16,204.037788
17,204.037788
18,217.793178
19,212.291022
20,212.291022
21,212.291022
22,206.788866
23,198.535632
24,177.736272
25,177.736272
26,177.736272
27,177.736272
28,177.736272
29,312.652467
30,335.525717
31,579.755217
32,819.637134
33,800.48819
34,800.600468
35,801.343364
36,781.947736
37,801.171596
38,801.138527
39,801.391461
40,801.153643
41,555.695974
42,292.155424
43,297.65758
44,266.745741
45,266.745741
46,213.825277
47,181.862889
48,177.736272
49,177.736272
50,177.736272
51,177.736272
52,177.736272
53,312.652467
54,335.525717
55,579.840841
56,819.686182
57,800.444931
58,800.460549
59,800.452137
60,779.429997
61,800.459827
62,800.447004
63,800.433841
64,800.287362
65,554.894799
66,292.155424
67,297.65758
68,266.745741
69,266.745741
70,213.825277
71,181.862889
72,177.736272
73,177.736272
74,177.736272
75,177.736272
76,177.736272
77,312.652467
78,335.525717
79,579.340287
80,818.876734
81,799.740359
82,799.849826
83,799.897533
84,778.885058
85,799.963411
86,800.24657
87,800.062837
88,799.923424
89,554.592238
90,292.155424
91,297.65758
92,266.745741
93,266.745741
94,213.825277
95,181.862889
96,177.736272
97,177.736272
98,177.736272
99,177.736272
100,177.736272
101,312.652467
102,335.525717
103,579.077498
104,818.401115
105,799.411386
106,800.40592
107,801.563955
108,780.649365
109,800.346892
110,800.619027
111,800.457329
112,799.861668
113,554.226518
114,292.155424
115,297.65758
116,266.745741
117,266.745741
118,213.825277
119,181.862889
120,177.736272
121,177.736272
122,177.736272
123,177.736272
124,177.736272
125,312.652467
126,335.525717
127,578.036521
128,817.654238
129,799.285762
130,800.051853
131,800.565687
132,779.811434
133,800.889209
134,800.688173
135,800.248426
136,799.614587
137,553.965276
138,292.155424
139,297.65758
140,266.745741
141,266.745741
142,213.825277
143,181.862889
144,194.409015
145,194.409015
146,194.409015
147,194.409015
148,194.409015
149,194.409015
150,243.671452
151,251.924686
152,254.675764
153,217.282264
154,211.780108
155,240.920373
156,240.920373
157,211.780108
158,211.780108
159,211.780108
