hours,kW
0,2569.502849
1,4082.044095
2,2927.045239
3,3676.046399
4,4408.510669
5,3104.325498
6,2580.939785
7,3163.315372
8,2740.17482
9,3194.905287
10,3408.876275
11,1595.427856
12,1213.753984
13,1478.065141
14,1321.346018
15,1440.40165
16,1216.86409
17,1059.154352
18,1235.478817
19,1520.061527
20,1503.270366
21,1872.31444
22,1867.03013
23,1677.799973
24,1964.221972
25,1992.036829
26,1705.590654
27,2198.617755
28,2366.845718
29,1655.489786
30,1447.773539
31,5926.588822
32,6039.630733
33,5865.094725
34,5337.84049
35,4784.836933
36,5271.227354
37,5361.196735
38,4957.224312
39,4755.321864
40,4812.124132
41,5284.034515
42,1672.939468
43,1889.116886
44,1735.662765
45,1035.958282
46,1156.807325
47,1118.352536
48,719.037396
49,1087.221933
50,1159.382042
51,1100.838168
52,1636.235595
53,1939.649008
54,1437.266405
55,6416.121115
56,6941.82645
57,6833.613291
58,6243.925032
59,6472.1701
60,7921.630883
61,8049.982583
62,6987.906207
63,6454.373091
64,6811.316737
65,8040.623857
66,3753.7774
67,4684.705557
68,5769.580507
69,3676.744711
70,4553.886601
71,4976.354113
72,2717.157485
73,3480.412916
74,3747.06538
75,2840.667024
76,3565.154637
77,3338.223346
78,2307.999281
79,8386.785365
80,8561.405583
81,8369.341278
82,7308.794449
83,7838.003024
84,9622.457282
85,9656.732319
86,8344.857635
87,7361.642934
88,7590.650835
89,8735.288136
90,4207.973692
91,5896.790898
92,7606.046327
93,4750.985179
94,5370.93345
95,6078.807104
96,3375.658657
97,3690.650915
98,4548.718501
99,3498.014675
100,3963.247207
101,4275.229169
102,3174.205734
103,9889.721666
104,9987.364891
105,9779.70544
106,8301.437932
107,9157.475598
108,11165.624004
109,11159.321256
110,9547.639653
111,8461.77724
112,9066.601065
113,10850.377725
114,5909.773474
115,8749.785401
116,12802.26998
117,7951.453839
118,8434.748384
119,10180.502604
120,5550.626065
121,5579.429645
122,7631.757796
123,5668.998444
124,5798.859966
125,7555.880017
126,5846.016213
127,14554.908085
128,14044.200144
129,12949.809801
130,10374.553738
131,11235.200297
132,13277.436333
133,12788.862954
134,10722.805824
135,9184.76788
136,9775.007823
137,11607.183899
138,6202.39614
139,8837.380054
140,11779.283324
141,6846.236293
142,8020.538324
143,9289.875064
144,4739.803043
145,5494.576136
146,6874.350922
147,4695.884261
148,5522.846151
149,6520.966025
150,4604.892484
151,7495.071345
152,10793.621992
153,6510.877119
154,6772.426262
155,6948.548819
156,5220.28179
157,6370.606333
158,7876.634783
159,4976.465882
160,5511.295109
161,7763.553104
162,6988.876153
163,8425.996755
164,10512.924674
165,6455.405326
166,6973.905363
167,8328.228561
168,4371.212433
169,4393.210592
170,5757.45388
171,4133.719099
172,4323.865292
173,5300.47661
174,3725.962345
175,5302.656017
176,8319.34427
177,5605.526135
178,5482.639822
179,5900.270821
180,4232.579436
181,5516.204329
182,6677.988642
183,4511.336287
184,5027.486662
185,6287.655803
186,5841.916273
187,7263.608884
188,8834.424372
189,5817.566771
190,6583.493728
191,7343.01756
192,4023.786191
193,4300.950555
194,5172.653593
195,4028.900354
196,4444.908043
197,4874.679738
198,3777.28897
199,10023.565634
200,10131.213755
201,9745.319449
202,8217.390172
203,9007.37192
204,10695.796916
205,10714.946927
206,9338.770842
207,8212.347492
208,8553.927541
209,10262.258352
210,5438.281869
211,7712.059033
212,10171.24339
213,6443.525877
214,6994.127092
215,7669.518112
216,4668.317898
217,5000.010327
218,5762.741098
219,4883.151429
220,5378.250292
221,5758.291673
222,4933.809921
223,11988.319466
224,11459.403673
225,10722.510181
226,8792.223882
227,9247.180686
228,10946.278643
229,10988.764404
230,9565.542789
231,8202.564644
232,8506.243848
233,9954.63052
234,4922.52395
235,6737.486686
236,8960.481024
237,5322.082831
238,6266.924303
239,7038.891289
240,3672.772716
241,4375.947087
242,5268.782395
243,3734.4518
244,4542.583747
245,5040.397148
246,3102.524996
247,10161.29883
248,9867.395612
249,8988.018342
250,7409.385933
251,7435.695993
252,8256.11843
253,8227.896491
254,7230.096831
255,6573.631475
256,6969.309109
257,8196.531164
258,3700.540134
