hours,kW
0,558.059336
1,576.046257
2,592.805996
3,670.96601
4,910.395453
5,909.966472
6,1011.745784
7,949.103747
8,905.358343
9,865.578239
10,979.552622
11,840.57486
12,830.042219
13,861.696858
14,737.841465
15,893.036545
16,906.365787
17,827.541112
18,807.69071
19,675.726728
20,573.69414
21,628.618277
22,584.127357
23,570.523291
24,606.265175
25,571.481175
26,615.26803
27,712.252402
28,899.751898
29,864.460023
30,1017.889963
31,2469.618116
32,2510.191163
33,2429.844795
34,2520.862297
35,2530.846013
36,2574.745004
37,2544.608619
38,2425.335793
39,2537.94466
40,2668.384994
41,2593.084817
42,898.93244
43,789.342348
44,617.307654
45,518.942518
46,531.404722
47,497.781738
48,447.07696
49,476.483029
50,543.725974
51,523.514198
52,815.983215
53,913.532708
54,1008.883329
55,2515.697893
56,2522.904582
57,2434.276526
58,2500.911343
59,2510.178828
60,2530.215223
61,2496.635809
62,2377.224877
63,2488.535739
64,2621.419321
65,2546.958677
66,834.650881
67,621.439005
68,466.228818
69,446.957574
70,535.069542
71,624.403461
72,500.388929
73,568.675039
74,663.597757
75,612.95788
76,903.231783
77,951.529021
78,997.024124
79,2452.15637
80,2487.074524
81,2403.473703
82,2491.991306
83,2505.711875
84,2521.009809
85,2487.197824
86,2367.855191
87,2480.409584
88,2615.082829
89,2542.44268
90,804.673423
91,648.541641
92,516.282827
93,529.828591
94,555.029031
95,617.181885
96,526.373688
97,543.514541
98,656.312814
99,639.663216
100,878.08638
101,944.208669
102,1024.394495
103,2450.109806
104,2485.064735
105,2401.441465
106,2488.804657
107,2504.626563
108,2518.922889
109,2485.0485
110,2365.748751
111,2478.333758
112,2612.924177
113,2540.151775
114,804.54644
115,635.152446
116,617.625631
117,565.324896
118,536.992294
119,622.490625
120,538.427313
121,525.4645
122,661.278248
123,651.666015
124,903.502457
125,1025.341846
126,1118.889971
127,2501.2973
128,2509.811978
129,2418.500252
130,2488.694868
131,2504.626563
132,2518.940379
133,2484.958456
134,2365.664904
135,2478.2549
136,2612.85392
137,2540.085994
138,804.42672
139,629.429545
140,592.824021
141,525.421673
142,557.876975
143,622.495122
144,517.714692
145,546.354275
146,661.334848
147,630.867545
148,880.953058
149,978.610793
150,1045.726478
151,961.7674
152,996.830567
153,848.374701
154,971.443118
155,984.608066
156,967.243937
157,952.520825
158,877.716657
159,940.925516
160,1080.383049
161,1098.490245
162,882.635512
163,690.134455
164,612.863508
165,555.158546
166,540.868098
167,622.510716
168,533.282328
169,531.007672
170,661.478908
171,646.45484
172,865.631199
173,978.769808
174,1061.319223
175,946.604229
176,997.150061
177,864.129842
178,956.306615
179,1000.130854
180,952.726241
181,969.237328
182,863.114749
183,941.812364
