hours,kW
0,736.540324
1,809.943394
2,810.273119
3,820.95704
4,841.956087
5,867.505413
6,1028.682288
7,2797.266648
8,3180.768989
9,1116.392554
10,1070.569005
11,865.440959
12,805.211017
13,756.539956
14,717.34616
15,703.715014
16,702.068231
17,698.179426
18,2788.847011
19,842.5323
20,952.068321
21,2850.717219
22,979.885857
23,868.667355
24,571.503432
25,586.065938
26,601.095741
27,619.127355
28,650.623447
29,2569.471842
30,742.307373
31,4061.438315
32,2559.118721
33,1000.331714
34,656.87454
35,509.808634
36,496.058428
37,490.469343
38,487.520726
39,485.878662
40,488.451729
41,1030.418177
42,827.807826
43,2810.968156
44,1081.178468
45,1572.77224
46,2368.218169
47,790.999334
48,494.852982
49,502.104935
50,546.39492
51,617.160834
52,696.066602
53,730.78564
54,2784.16066
55,4682.751218
56,1206.615511
57,2808.46882
58,900.497985
59,775.247362
60,760.485053
61,754.863518
62,750.975106
63,770.506319
64,801.58265
65,2714.885771
66,1343.794474
67,1465.155893
68,3580.644044
69,1726.463674
70,1470.497788
71,3146.0486
72,949.251231
73,927.678542
74,909.13907
75,900.982458
76,895.356038
77,913.586779
78,3077.511386
79,3772.713952
80,3485.182523
81,1200.313013
82,1147.732695
83,1038.715291
84,1064.56516
85,1082.993958
86,1084.949841
87,1114.551687
88,1140.868783
89,3321.556948
90,3402.697176
91,1707.8313
92,3866.334334
93,1988.634933
94,1671.565574
95,1419.213019
96,1056.258387
97,1030.961212
98,1043.646106
99,1052.562169
100,1072.423373
101,3014.7047
102,1407.324232
103,6658.352747
104,3819.782376
105,1633.866228
106,1610.48847
107,1483.251136
108,1488.7984
109,1522.24712
110,1504.114918
111,1569.086771
112,1683.259026
113,4981.252273
114,1999.577523
115,4117.870711
116,2626.366927
117,4718.703261
118,2181.373551
119,1923.870518
120,1699.015114
121,1751.497284
122,1820.813851
123,1875.9377
124,1906.518655
125,1917.764944
126,4331.315282
127,9070.263364
128,2644.464895
129,4406.66149
130,2453.610893
131,2235.6916
132,2135.802492
133,2060.849684
134,2028.415126
135,2031.823143
136,2092.03134
137,5653.69654
138,2261.446263
139,2456.366791
140,4366.471826
141,2574.434864
142,4053.012418
143,1915.481979
144,1651.056376
145,1675.914652
146,1703.599967
147,1726.608936
148,1744.010986
149,1723.496291
150,4022.365639
151,6027.006351
152,4214.590679
153,2157.164641
154,3929.536704
155,1834.861848
156,1745.773651
157,1675.356192
158,1626.989162
159,1594.725346
160,1645.162571
161,4773.390634
162,2007.312389
163,2012.016483
164,3998.695161
165,2045.67143
166,1826.096415
167,1735.698907
168,1311.614751
169,1283.388235
170,1276.941581
171,1273.010066
172,1271.342482
173,3172.214344
174,1475.973391
175,6138.927454
176,3675.421984
177,1730.31626
178,1712.763135
179,1574.71671
180,1514.600451
181,1452.380126
182,1444.354652
183,1442.687469
184,1460.234381
185,3936.211488
186,1671.913692
187,3480.221271
188,1681.287446
189,3593.346971
190,1556.160543
191,1423.800643
192,1129.637096
193,1137.397759
194,1147.539205
195,1168.52185
196,1186.803531
197,3101.123626
198,1479.16771
199,6704.300218
200,1881.912342
201,3633.399537
202,1686.806872
203,1522.72004
204,1508.11899
205,1518.639548
206,1505.937964
207,1528.914031
208,1548.47381
209,4534.810747
210,1962.178906
211,3925.01351
212,2186.628281
213,2240.151655
214,3790.737071
215,1732.91596
216,1419.735154
217,1421.295571
218,1447.334277
219,1478.752927
220,1495.416136
221,1531.557651
222,3865.971375
223,7856.83016
224,2221.073106
225,3880.313158
226,1938.228883
227,1742.998581
228,1671.227704
229,1663.277037
230,1670.403864
231,1642.120177
232,1657.094698
233,4403.975321
234,1824.640002
235,1848.119311
236,3936.513191
237,2064.579868
238,1735.72638
239,3388.0885
240,1204.498988
241,1195.896383
242,1212.673803
243,1226.352645
244,1240.049045
245,1238.601547
246,1919.764412
247,6159.865173
248,3740.714457
249,1554.080802
250,1477.519147
251,1279.310478
252,1148.963602
253,1092.031406
254,1050.500468
255,1039.432461
256,1095.758914
257,3041.456669
258,3245.638356
259,1411.445751
260,1724.822047
261,3651.889681
262,1478.145625
263,1232.935004
264,887.927801
265,889.986551
266,898.32341
267,904.795923
268,899.272062
269,2795.661032
270,1097.153392
271,5493.586275
272,3443.187263
273,1276.859818
274,1288.117235
275,1177.503103
276,1198.508027
277,1205.09368
278,1161.363079
279,1145.460018
280,1216.988999
281,3594.067631
282,1540.71534
283,3583.576902
284,1938.687547
285,3008.847597
286,2619.169207
287,1442.831056
288,1066.549864
289,1049.143387
290,1052.287486
291,1068.748253
292,1085.772017
293,1113.732032
294,3325.335886
295,6676.416395
