hours,kW
0,2429.619522
1,3767.337562
2,3161.155783
3,3373.223366
4,4069.417333
5,3055.21397
6,2219.446679
7,2751.99822
8,2786.936265
9,2884.705368
10,3143.583103
11,1484.459723
12,1182.534189
13,1258.176976
14,1324.760085
15,1130.64523
16,1280.534051
17,1048.895812
18,1094.530207
19,1385.625281
20,1440.545823
21,1530.070095
22,1805.317757
23,1709.693353
24,1599.429844
25,1942.738494
26,1767.112
27,1809.728535
28,2301.325447
29,1769.615074
30,1100.816034
31,4931.41102
32,4891.268098
33,4653.048872
34,4038.949458
35,3286.720602
36,3727.06333
37,3858.69986
38,3475.487629
39,3213.625223
40,3174.431564
41,3666.65547
42,1420.880871
43,1749.149209
44,1618.257898
45,994.63024
46,1159.076726
47,1080.428489
48,649.690452
49,985.37341
50,1048.917888
51,1088.714945
52,1517.873816
53,1737.852299
54,1458.198177
55,5483.335676
56,5762.766041
57,5647.220527
58,5008.251753
59,5097.954615
60,6582.213909
61,6790.69071
62,5711.057109
63,5148.927129
64,5467.341261
65,6717.279791
66,3572.497625
67,4498.854203
68,5598.952176
69,3512.891237
70,4315.096864
71,4558.693877
72,2774.494623
73,3249.001886
74,3301.402138
75,2871.95811
76,3350.207501
77,2934.451269
78,2170.686316
79,7413.641803
80,7544.408716
81,7292.766437
82,6140.590835
83,6550.328721
84,8405.114841
85,8486.13974
86,7135.116329
87,6111.817076
88,6311.988539
89,7474.135343
90,4056.125259
91,5727.208909
92,7226.54672
93,4640.638457
94,5226.006224
95,5718.097967
96,3280.957851
97,3546.159073
98,4091.619681
99,3424.661527
100,3799.035808
101,4007.357437
102,2957.91503
103,9206.665224
104,9066.208244
105,8839.747211
106,7310.779418
107,8048.069683
108,10095.21334
109,10122.097354
110,8473.782
111,7373.136349
112,7975.357592
113,9780.721599
114,5765.065869
115,8674.181963
116,11933.073058
117,7949.425118
118,8856.058627
119,9063.851994
120,5490.062844
121,6035.168427
122,6317.400656
123,5552.649744
124,6227.096542
125,6266.044719
126,5740.581179
127,13805.620963
128,13145.921632
129,12033.438904
130,9415.605605
131,10289.597994
132,12342.896509
133,11826.623395
134,9730.058734
135,8142.425452
136,8710.062406
137,10546.168066
138,6114.621533
139,8434.582567
140,11382.037688
141,7076.083201
142,7607.045564
143,8712.0093
144,4978.118387
145,5022.185133
146,6187.517889
147,4930.234116
148,5058.053349
149,5912.012478
150,4756.502954
151,7143.905891
152,10298.230469
153,6767.385508
154,6438.193842
155,6795.970179
156,5263.036554
157,6345.33934
158,7524.010935
159,5011.251663
160,5430.045166
161,7332.948399
162,7007.373566
163,8356.959632
164,10034.197093
165,6518.453896
166,6922.583407
167,7835.06655
168,4366.147283
169,4278.834324
170,5168.060168
171,4087.914125
172,4184.694744
173,4780.43846
174,3348.374894
175,5202.841708
176,7920.388687
177,5630.154383
178,5397.757301
179,5592.723284
180,4114.691302
181,5364.736939
182,6605.175713
