hours,kW
0,703.53804
1,740.779446
2,741.081014
3,750.852597
4,770.05846
5,793.426039
6,940.839447
7,2580.112214
8,2991.27415
9,1080.668925
10,1039.908046
11,828.953302
12,773.551242
13,729.530403
14,693.671665
15,681.188563
16,679.579571
17,675.808937
18,2597.492245
19,826.283493
20,948.895517
21,2693.76125
22,1093.381203
23,987.845288
24,566.50717
25,575.688761
26,589.084279
27,605.5385
28,634.284568
29,2391.588932
30,691.726438
31,3785.193413
32,2417.802168
33,955.067379
34,662.35262
35,487.569311
36,498.526206
37,504.250722
38,499.825036
39,502.814377
40,487.338574
41,972.883232
42,883.102507
43,2817.941407
44,1312.411987
45,1856.601822
46,2646.382773
47,1101.258632
48,588.791269
49,539.96275
50,567.867915
51,627.948897
52,695.5656
53,733.2293
54,2585.197464
55,4386.618252
56,1208.876651
57,2610.949815
58,869.536548
59,715.781679
60,700.302792
61,695.059323
62,691.487792
63,709.100241
64,736.969948
65,2486.329656
66,1245.805136
67,1401.918018
68,3381.681313
69,1711.546588
70,1531.154842
71,3051.184745
72,903.004889
73,880.942031
74,864.769234
75,858.114719
76,853.877824
77,871.510229
78,2819.934691
79,3489.66295
80,3223.130571
81,1127.824019
82,1082.055851
83,951.738269
84,974.320257
85,991.007476
86,993.263872
87,1019.786051
88,1043.854125
89,3037.91738
90,3112.81107
91,1561.993508
92,3536.174286
93,1818.818319
94,1528.824641
95,1298.021369
96,966.060725
97,942.923765
98,954.525451
99,962.680139
100,980.845325
101,2757.268337
102,1287.147808
103,6089.772311
104,3493.597565
105,1494.344577
106,1472.963128
107,1356.591043
108,1361.664607
109,1392.257021
110,1375.673192
111,1435.096867
112,1539.519548
113,4555.885414
114,1828.826483
115,3766.231076
116,2402.092109
117,4315.756397
118,1995.098301
119,1759.584368
120,1553.930167
121,1601.930698
122,1665.328077
123,1715.744704
124,1743.714242
125,1754.000171
126,3961.448856
127,8295.721296
128,2418.644627
129,4030.360983
130,2244.088327
131,2044.777938
132,1953.418716
133,1884.866395
134,1855.20154
135,1858.318534
136,1913.385339
137,5170.907272
138,2068.333319
139,2246.60889
140,3993.603258
141,2354.59471
142,3706.911264
143,1751.912156
144,1510.066796
145,1532.802336
146,1558.123503
147,1579.167654
148,1595.083682
149,1576.320809
150,3678.881522
151,5512.33883
152,3854.691782
153,1972.956676
154,3593.979581
155,1678.176465
156,1596.695826
157,1532.291565
158,1488.054767
159,1458.546074
160,1504.676284
161,4365.77382
162,1835.900841
163,1840.203235
164,3657.232351
165,1870.984267
166,1670.159543
167,1587.481401
168,1199.6113
169,1173.795147
170,1167.898995
171,1164.303206
172,1162.778023
173,2901.327672
174,1349.934771
175,5614.702592
176,3361.564621
177,1582.558397
178,1566.504195
179,1440.246046
180,1398.271247
181,1346.103753
182,1330.140484
183,1319.491252
184,1335.539771
185,3600.084382
186,1529.143032
187,3183.032792
188,1537.716328
189,3286.498285
190,1423.274456
191,1302.217239
192,1033.173364
193,1040.271317
194,1049.546749
195,1068.737611
196,1085.458154
197,2836.307643
198,1352.856316
199,6131.796164
200,1721.209149
201,3323.13062
202,1542.76443
203,1392.689557
204,1379.335342
205,1388.957512
206,1377.340562
207,1398.354621
208,1416.244121
209,4147.567119
210,1794.621466
211,3589.842638
212,1999.90431
213,2048.857133
214,3467.032542
215,1584.936099
216,1298.498916
217,1299.926084
218,1323.741252
219,1352.476952
220,1367.717231
221,1400.772493
222,3535.842322
223,7185.907472
224,2031.407769
225,3548.959408
226,1772.716621
227,1594.157729
228,1528.515623
229,1521.243892
230,1527.762134
231,1501.893691
232,1515.589485
233,4027.904196
