hours,kW
0,417.408908
1,416.660797
2,416.71468
3,416.775291
4,416.704991
5,417.028322
6,440.154061
7,518.593661
8,752.552047
9,634.447882
10,631.502482
11,526.236899
12,526.32553
13,526.937514
14,526.867
15,526.647502
16,529.151877
17,529.101443
18,722.954299
19,670.594634
20,771.031878
21,771.138949
22,795.653672
23,694.07854
24,419.296418
25,419.041386
26,418.941008
27,418.853149
28,419.775273
29,420.428328
30,481.363218
31,726.592165
32,758.22058
33,512.267243
34,509.630046
35,404.95107
36,404.426414
37,405.804606
38,405.665789
39,406.063317
40,407.802412
41,404.975046
42,727.208045
43,803.415182
44,967.332838
45,968.474386
46,864.468014
47,697.553662
48,424.525892
49,423.196509
50,422.444665
51,421.752579
52,421.962761
53,422.185534
54,483.150098
55,729.932942
56,760.358003
57,513.527422
58,510.386364
59,404.625676
60,402.558428
61,403.142809
62,402.946471
63,402.763973
64,405.066626
65,404.271345
66,723.471578
67,798.023186
68,961.82685
69,962.144674
70,857.740383
71,690.98337
72,418.929177
73,418.382614
74,418.144474
75,417.977605
76,418.922297
77,419.548812
78,481.011418
79,728.200885
80,757.949079
81,510.722969
82,508.293783
83,402.914993
84,401.001502
85,401.713799
86,401.725357
87,401.735609
88,404.418131
89,404.32064
90,720.541478
91,797.206107
92,960.882192
93,961.028172
94,855.650111
95,687.344971
96,416.678688
97,416.385638
98,416.150118
99,415.925423
100,416.864682
101,417.226935
102,478.640402
103,728.597213
104,755.740402
105,510.360546
106,508.640453
107,403.837134
108,401.976448
109,402.623412
110,402.595578
111,402.703895
112,405.536026
113,407.553902
114,719.680716
115,794.588138
116,958.870321
117,959.909776
118,852.339115
119,685.601678
120,416.230622
121,416.310529
122,416.449396
123,416.557781
124,417.685877
125,417.68404
126,478.964845
127,730.361069
128,754.10642
129,511.878059
130,510.063677
131,405.048445
132,403.031917
133,403.583831
134,403.510629
135,403.505564
136,406.26962
137,409.028289
138,719.953029
139,794.740204
140,958.328525
141,958.564832
142,852.610039
143,685.743385
144,417.199939
145,417.227943
146,417.280781
147,417.320467
148,417.351894
149,417.309292
150,440.374441
151,556.119759
152,686.307195
153,570.176055
154,505.130126
155,400.245588
156,400.442138
157,400.564091
158,400.381075
159,399.928816
160,402.355632
161,406.875789
162,720.714373
163,731.898478
164,831.647292
165,831.697175
166,855.183742
167,817.165182
168,417.556507
169,417.351973
170,417.259489
171,417.177167
172,417.108324
173,417.465075
174,440.578341
175,522.369396
176,750.864572
177,634.186866
178,632.004976
179,527.9091
180,528.589
181,528.597641
182,527.928538
183,527.693464
184,529.787694
185,532.768888
186,721.667834
187,668.459493
188,768.18166
189,768.309861
190,792.139562
191,690.361229
192,417.141506
193,416.829109
194,416.708827
195,416.578635
196,417.645894
197,418.049932
198,479.239474
199,727.195306
200,755.38151
201,512.204745
202,509.635825
203,404.156664
204,403.30631
205,403.81239
206,403.132657
207,403.144213
208,405.409152
209,406.746157
210,721.290178
211,795.244245
212,958.41813
213,959.587567
214,853.708748
215,687.031932
216,416.774156
217,416.488399
218,416.294997
219,416.133797
220,417.236939
221,417.592013
222,478.903829
223,728.766453
224,754.639201
225,510.87849
226,509.193317
227,404.105671
228,402.162824
229,402.851724
230,402.857776
231,402.808046
232,405.495035
233,406.418022
234,719.341019
235,794.204241
236,957.93523
237,959.272831
238,852.53961
239,685.487838
240,415.508188
241,415.388849
242,415.35671
243,415.341467
244,416.497565
245,416.743139
246,477.916244
247,726.178968
248,753.848377
249,510.543696
250,508.823578
251,403.413082
252,401.354494
253,401.962582
254,401.891608
255,401.866144
256,404.600579
257,404.029593
258,718.845702
259,794.971697
260,959.812536
261,960.995151
262,854.877261
263,687.167704
264,415.652094
265,415.465403
266,415.327703
267,415.277475
268,416.393407
269,416.962124
270,478.492958
271,726.958044
272,756.193319
273,510.067317
274,508.391294
275,403.171757
276,401.271976
277,401.985456
278,401.985559
279,401.947713
280,404.635251
281,404.767568
282,719.599614
283,796.147959
284,960.357173
285,961.049621
286,854.747248
287,686.531243
288,416.234164
289,416.034544
290,415.870915
291,415.769428
292,416.878678
293,417.324463
294,478.61489
295,728.560568
296,756.753572
297,511.833262
298,509.983306
299,404.721436
300,401.968028
301,402.387156
302,402.503041
303,402.661674
304,404.967106
305,404.824794
306,721.179618
307,796.596827
308,960.57532
309,961.041412
310,855.278373
311,687.841136
312,417.990347
313,417.565803
314,417.439672
315,417.430048
316,417.47537
317,417.891621
318,440.657233
319,555.282821
320,688.733151
321,571.971665
322,506.703784
323,401.568305
324,401.161203
325,400.759767
326,399.925754
327,399.686816
328,402.211498
329,404.524886
330,721.794836
331,733.129469
332,833.166822
333,833.287688
334,856.511784
335,818.484982
336,417.679303
337,417.398116
338,417.319518
339,417.20022
340,417.152107
341,417.542248
342,440.687419
343,524.173736
344,753.244495
345,635.820595
346,633.730984
347,528.94464
348,528.850494
349,528.778389
350,528.714618
351,528.440803
352,530.593334
353,533.749316
354,722.059449
355,669.469284
356,769.351166
357,769.46126
358,792.825161
359,691.172208
360,418.676604
361,418.317017
362,418.121335
363,418.013989
364,417.981371
365,418.337373
366,441.481845
367,520.055357
368,753.72056
369,635.6778
370,632.94102
371,528.777463
372,529.067186
373,528.973759
374,528.700596
375,528.355067
376,530.427405
377,529.995942
378,722.745764
379,670.291453
380,770.709726
381,770.745678
382,793.788715
383,691.876462
384,418.263332
385,417.941711
386,417.810122
387,417.697732
388,418.712154
389,419.346895
390,480.663867
391,728.446922
392,757.667651
393,511.04831
394,508.641247
395,403.304046
396,401.45427
397,402.114258
398,402.062031
399,401.986572
400,404.633648
401,404.285606
402,720.846784
403,797.162813
404,961.325701
405,961.858995
406,856.780396
407,688.466311
408,416.719303
409,416.470406
410,416.338769
411,416.197452
412,417.163569
413,417.502789
414,478.839596
415,728.788331
416,756.252593
417,510.399288
418,508.934542
419,404.482806
420,402.613146
421,402.769451
422,402.914689
423,402.945256
424,405.738315
425,408.144466
426,720.151001
427,795.200919
428,959.391501
429,960.231499
430,853.262592
431,686.11579
432,416.083693
433,416.035461
434,416.062071
435,416.15149
436,417.325897
437,417.387263
438,478.541453
439,729.501854
440,754.346817
441,511.506074
442,509.794187
443,404.966774
444,403.220519
445,404.017322
446,403.859559
447,403.467265
448,405.978089
449,408.595531
450,720.894251
451,795.547034
452,958.63222
453,958.693923
454,853.519407
455,686.556257
456,416.48672
457,416.331866
458,416.317759
459,416.31022
460,417.389457
461,417.59479
462,478.917174
463,728.404187
464,755.131399
465,511.30634
466,509.572895
467,404.494067
468,402.883054
469,403.706761
470,403.539509
471,402.944394
472,405.614484
473,407.134884
474,721.033526
475,795.339899
476,958.206058
477,958.322004
478,853.681676
479,686.819449
480,417.732515
481,417.530781
482,417.429896
483,417.392512
484,417.336308
485,417.671967
486,440.585674
487,554.687593
488,686.76461
489,569.69641
490,504.553573
491,400.380407
492,401.087514
493,401.22734
494,400.990142
495,400.453937
496,402.476719
497,404.755971
498,721.498021
499,731.615202
500,831.510641
501,831.902204
502,856.652996
503,818.953919
504,418.234607
505,417.821707
506,417.474675
507,417.077032
508,416.806528
509,416.920928
510,440.159973
511,525.200686
512,751.638838
513,635.366798
514,633.123799
515,528.566003
516,528.996207
517,529.151279
518,528.933479
519,528.397267
520,530.283886
521,536.279653
522,721.721526
523,668.76398
524,768.571647
525,768.43817
526,791.631614
527,689.808753
528,416.618387
529,416.55832
530,416.520284
531,416.460062
532,417.508336
533,417.633995
534,478.982437
535,728.23078
536,754.62019
537,511.055434
538,509.245292
539,404.204218
540,402.212056
541,402.755927
542,402.6618
543,402.578482
544,405.203341
545,404.991214
546,719.74116
547,794.411019
548,957.976322
549,959.117845
550,853.969457
551,686.227265
552,416.052155
553,415.794504
554,415.51513
555,415.388883
556,416.417116
557,416.527867
558,477.847069
559,726.926067
560,754.033461
561,510.796067
562,509.183986
563,404.120658
564,402.190257
565,402.796211
566,402.746819
567,402.725465
568,405.450689
569,406.913864
570,719.539422
571,794.453342
572,958.043661
573,958.888384
574,852.737668
575,685.768176
576,415.814329
577,415.728183
578,415.716282
579,415.717622
580,416.841171
581,417.050123
582,478.246384
583,727.125894
584,753.827842
585,510.97643
586,509.394996
587,404.495852
588,402.636199
589,403.369564
590,403.402646
591,403.411735
592,406.075245
593,408.148236
594,719.202434
595,792.548826
596,956.277983
597,957.112725
598,851.189844
599,685.274671
600,415.812469
601,415.794102
602,415.783232
603,415.771755
604,416.890506
605,416.900812
606,477.876681
607,725.105419
608,752.868536
609,510.867878
610,509.276774
611,404.251234
612,402.388777
613,403.100626
614,403.004958
615,402.986586
616,405.64072
617,406.867948
618,719.104622
619,793.471949
620,957.361365
621,958.051558
622,852.083488
623,685.233491
624,415.509169
625,415.460163
626,415.481402
627,415.505928
628,416.655859
629,416.767424
630,477.961406
631,726.164329
632,753.653824
633,510.712285
634,509.071097
635,404.233143
636,402.390156
637,403.139989
638,403.306606
639,403.398318
640,406.226367
641,409.937241
642,719.810509
643,794.070368
644,957.710293
645,958.252596
646,852.043632
647,685.813142
648,417.595414
649,417.708733
650,417.833937
651,417.967512
652,418.082498
653,418.105024
654,441.322474
655,559.857325
656,686.608311
657,571.211939
658,506.145408
659,401.14096
660,400.950813
661,400.803077
662,400.739002
663,400.714604
664,403.41171
665,408.84665
666,719.645349
667,730.073304
668,829.999017
669,830.030607
670,853.763322
671,815.694766
672,417.586903
673,417.654488
674,417.727516
675,417.781623
676,417.870576
677,417.774083
678,440.771876
679,525.844394
680,749.950915
681,633.837083
682,632.311576
683,527.427379
684,527.431378
685,527.471568
686,527.364818
687,527.295129
688,529.987115
689,537.381799
690,720.224199
691,667.11183
692,767.137497
693,767.132555
694,791.200551
695,690.024979
696,417.418562
697,417.785345
698,417.989596
699,418.054983
700,419.206897
701,419.11983
702,480.648867
703,734.861153
704,754.956616
705,513.976296
706,512.401748
707,407.743701
708,405.855269
709,406.300477
710,406.068936
711,406.004759
712,408.891608
713,418.048513
714,721.988226
715,794.770469
716,957.811319
717,957.704343
718,853.423164
719,688.568165
720,419.436486
721,419.624945
722,419.48986
723,419.597801
724,420.762566
725,420.651169
726,482.131387
727,737.796215
728,755.999897
729,515.345046
730,513.683743
731,408.54139
732,406.163418
733,406.490961
734,406.162777
735,405.955935
736,408.526867
737,412.578525
738,720.893894
739,793.504767
740,956.444749
741,956.359555
742,851.976171
743,686.729773
744,417.487944
