hours,kW
0,348.099943
1,348.099943
2,348.099943
3,348.099943
4,348.099943
5,348.099943
6,350.560551
7,360.402982
8,380.087844
9,365.324197
10,365.324197
11,365.324197
12,365.324197
13,365.324197
14,365.324197
15,365.324197
16,365.324197
17,365.324197
18,389.930275
19,380.087844
20,380.087844
21,380.087844
22,370.245413
23,355.481766
24,318.275213
25,318.275213
26,318.275213
27,318.275213
28,318.275213
29,559.617575
30,600.533967
31,8205.579991
32,5962.923851
33,5067.915486
34,5195.390089
35,5033.015056
36,5618.073726
37,5985.822076
38,5585.852544
39,6573.308761
40,5884.250199
41,6122.828745
42,522.951815
43,532.794246
44,477.498169
45,477.498169
46,382.832368
47,325.657037
48,318.275213
49,318.275213
50,318.275213
51,318.275213
52,318.275213
53,559.617575
54,600.533967
55,9792.385694
56,6493.962709
57,6303.954815
58,6086.187514
59,6536.944383
60,6165.440533
61,6789.908436
62,6635.131438
63,7384.324774
64,7870.585829
65,9948.774934
66,522.951815
67,532.794246
68,477.498169
69,477.498169
70,382.832368
71,325.657037
72,318.275213
73,318.275213
74,318.275213
75,318.275213
76,318.275213
77,559.617575
78,600.533967
79,17426.832471
80,11382.420354
81,10298.053264
82,9452.144125
83,9306.866217
84,9807.248335
85,10491.351603
86,10525.221316
87,10349.719934
88,10871.708478
89,12061.148229
90,522.951815
91,532.794246
92,477.498169
93,477.498169
94,382.832368
95,325.657037
96,318.275213
97,318.275213
98,318.275213
99,318.275213
100,318.275213
101,559.617575
102,600.533967
103,22528.671857
104,16143.035601
105,13557.402436
106,12688.952799
107,11743.399359
108,11888.68375
109,12686.998238
110,12787.396857
111,13647.384907
112,14994.897081
113,17165.918611
114,522.951815
115,532.794246
116,477.498169
117,795.281688
118,382.832368
119,325.657037
120,318.275213
121,318.275213
122,318.275213
123,318.275213
124,318.275213
125,559.617575
126,600.533967
127,35483.868214
128,25765.144655
129,20808.767256
130,18304.104278
131,16886.383182
132,15457.757163
133,15986.396776
134,15503.796148
135,16275.594542
136,17051.011621
137,19266.684489
138,522.951815
139,532.794246
140,477.498169
141,477.498169
142,382.832368
143,325.657037
144,348.099943
145,348.099943
146,348.099943
147,348.099943
148,348.099943
149,348.099943
150,436.22215
151,450.985796
152,455.907012
153,389.016335
154,379.173904
155,431.300934
156,431.300934
157,379.173904
158,697.00759
159,379.173904
160,379.173904
161,431.300934
162,395.722168
163,389.930275
164,389.930275
165,389.930275
166,380.087844
167,375.166629
168,348.099943
169,348.099943
170,348.099943
171,348.099943
172,348.099943
173,348.099943
174,436.22215
175,446.064581
176,465.749443
177,398.858767
178,398.858767
179,450.985796
180,450.985796
181,398.858767
182,398.858767
183,450.985796
184,371.11609
185,365.324197
186,389.930275
187,380.087844
188,380.087844
189,380.087844
190,370.245413
191,355.481766
192,318.275213
193,318.275213
194,318.275213
195,318.275213
196,318.275213
197,559.617575
198,600.533967
199,25603.170962
200,17327.78826
201,14244.812326
202,13206.457511
203,12308.486409
204,11938.998355
205,12526.063521
206,13526.693021
207,13715.208399
208,14827.292618
209,16822.91565
210,522.951815
211,532.794246
212,477.498169
213,477.498169
214,382.832368
215,325.657037
216,318.275213
217,318.275213
218,318.275213
219,318.275213
220,318.275213
221,559.617575
222,600.533967
223,30664.472653
224,21648.337965
225,17604.805824
226,15462.486654
227,13466.37627
228,12643.764627
229,14228.012717
230,14332.39912
231,14417.55535
232,14357.849607
233,16212.576562
234,522.951815
235,532.794246
236,477.498169
237,477.498169
238,382.832368
239,325.657037
240,318.275213
241,318.275213
242,318.275213
243,318.275213
244,636.109317
245,559.617575
246,600.533967
247,25044.673756
248,17100.724614
249,13264.563978
250,10306.736937
251,9332.322399
252,7603.46622
253,8574.655919
254,8173.401708
255,8700.157445
256,9408.90807
257,11842.716767
258,522.951815
259,532.794246
260,477.498169
261,477.498169
262,382.832368
263,325.657037
264,318.275213
265,318.275213
266,318.275213
267,318.275213
268,318.275213
269,559.617575
270,600.533967
271,18685.904353
272,12547.892648
273,10798.928435
274,9740.78011
275,9795.725947
276,9652.871065
277,10890.705795
278,10495.24739
279,9789.688708
280,11312.381151
281,13388.54234
282,522.951815
283,532.794246
284,477.498169
285,477.498169
286,382.832368
287,325.657037
288,318.275213
289,318.275213
290,318.275213
291,318.275213
292,318.275213
293,559.617575
294,600.533967
295,23969.445293
296,15556.140147
297,11197.585487
298,9823.713103
299,8749.424059
300,8965.215627
301,9525.581219
302,10123.316885
303,10128.159763
304,11015.454466
305,13027.731571
306,522.951815
307,532.794246
308,477.498169
309,477.498169
310,382.832368
311,325.657037
312,348.099943
313,348.099943
314,348.099943
315,348.099943
316,348.099943
317,348.099943
318,436.22215
319,450.985796
320,455.907012
321,389.016335
322,379.173904
323,431.300934
324,431.300934
325,379.173904
326,379.173904
327,379.173904
328,379.173904
329,431.300934
330,395.722168
331,389.930275
332,389.930275
333,389.930275
334,380.087844
335,375.166629
336,348.099943
337,348.099943
338,348.099943
339,348.099943
340,348.099943
341,348.099943
342,436.22215
343,446.064581
344,465.749443
345,398.858767
346,398.858767
347,450.985796
348,450.985796
349,398.858767
350,398.858767
351,450.985796
352,371.11609
353,365.324197
354,389.930275
355,380.087844
356,380.087844
357,380.087844
358,370.245413
359,355.481766
360,348.099943
361,348.099943
362,348.099943
363,348.099943
364,348.099943
365,348.099943
366,350.560551
367,360.402982
368,380.087844
369,365.324197
370,365.324197
371,365.324197
372,365.324197
373,365.324197
374,365.324197
375,365.324197
376,683.158333
377,365.324197
378,389.930275
379,380.087844
380,380.087844
381,380.087844
382,370.245413
383,355.481766
384,318.275213
385,318.275213
386,318.275213
387,318.275213
388,318.275213
389,559.617575
390,600.533967
391,21768.747896
392,15353.824119
393,12421.545599
394,11960.28884
395,10823.849915
396,9769.939871
397,11235.266298
398,10822.877585
399,11172.298618
400,11193.005793
401,13138.422335
402,522.951815
403,532.794246
404,477.498169
405,477.498169
406,382.832368
407,325.657037
408,318.275213
409,318.275213
410,318.275213
411,318.275213
412,318.275213
413,559.617575
414,600.533967
415,25420.336149
416,17961.073723
417,15922.399105
418,14330.567144
419,14021.920719
420,13137.796997
421,15155.324092
422,15063.619802
423,16434.698056
424,17327.886427
425,19572.674127
426,522.951815
427,532.794246
428,477.498169
429,477.498169
430,382.832368
431,325.657037
432,318.275213
433,318.275213
434,318.275213
435,318.275213
436,318.275213
437,559.617575
438,600.533967
439,34814.397902
440,25198.589044
441,20973.555895
442,18484.355522
443,16552.044592
444,15659.12236
445,15441.873482
446,15565.964468
447,15621.261196
448,17076.073502
449,19556.789426
450,522.951815
451,532.794246
452,477.498169
453,477.498169
454,382.832368
455,325.657037
456,318.275213
457,318.275213
458,318.275213
459,318.275213
460,318.275213
461,559.617575
462,600.533967
463,30589.488133
464,21685.464607
465,17322.311489
466,15784.692523
467,14340.426764
468,14023.050529
469,13751.186387
470,13450.781582
471,14711.957877
472,15241.944966
473,17379.00047
474,522.951815
475,532.794246
476,477.498169
477,477.498169
478,686.251151
479,340.060506
480,348.099943
481,348.099943
482,348.099943
483,348.099943
484,348.099943
485,348.099943
486,436.22215
487,450.985796
488,455.907012
489,389.016335
490,379.173904
491,431.300934
492,431.300934
493,379.173904
494,379.173904
495,379.173904
496,379.173904
497,431.300934
498,395.722168
499,389.930275
500,389.930275
501,389.930275
502,380.087844
503,375.166629
504,348.099943
505,348.099943
506,348.099943
507,348.099943
508,348.099943
509,348.099943
510,436.22215
511,446.064581
512,465.749443
513,398.858767
514,398.858767
515,450.985796
516,450.985796
517,398.858767
518,398.858767
519,450.985796
520,371.11609
521,365.324197
522,389.930275
523,380.087844
524,380.087844
525,380.087844
526,370.245413
527,355.481766
528,318.275213
529,318.275213
530,318.275213
531,318.275213
532,318.275213
533,559.617575
534,600.533967
535,32825.231089
536,23526.794931
537,19896.410552
538,16336.270636
539,14859.507734
540,13290.669544
541,13888.665349
542,13500.025596
543,13011.58714
544,13453.566868
545,14722.463312
546,522.951815
547,532.794246
548,477.498169
549,477.498169
550,382.832368
551,325.657037
552,318.275213
553,318.275213
554,318.275213
555,318.275213
556,318.275213
557,559.617575
558,600.533967
559,29382.031467
560,21716.176622
561,18405.963872
562,16594.547651
563,14403.889773
564,13668.292801
565,13989.741317
566,14068.134174
567,13812.239301
568,14885.141575
569,17872.891973
570,522.951815
571,532.794246
572,477.498169
573,477.498169
574,382.832368
575,325.657037
576,318.275213
577,318.275213
578,318.275213
579,318.275213
580,318.275213
581,559.617575
582,600.533967
583,30246.225915
584,22210.946459
585,19211.700513
586,17879.008918
587,16693.649783
588,15982.595632
589,18003.751247
590,17904.961958
591,18293.727178
592,18407.877758
593,20271.736593
594,522.951815
595,532.794246
596,477.498169
597,477.498169
598,382.832368
599,325.657037
600,318.275213
601,318.275213
602,318.275213
603,318.275213
604,318.275213
605,559.617575
606,600.533967
607,29279.336515
608,20810.252643
609,18237.584963
610,16150.538953
611,15030.027637
612,13907.772843
613,15671.742168
614,14901.244818
615,14971.399272
616,15001.159293
617,17112.804105
618,522.951815
619,532.794246
620,477.498169
621,477.498169
622,382.832368
623,325.657037
624,318.275213
625,318.275213
626,318.275213
627,318.275213
628,318.275213
629,559.617575
630,600.533967
631,28408.355811
632,19896.917087
633,16636.124573
634,15108.459481
635,15082.562082
636,15379.818567
637,16463.730449
638,17937.83085
639,18241.312106
640,19606.186385
641,21911.891268
642,522.951815
643,532.794246
644,477.498169
645,477.498169
646,382.832368
647,325.657037
648,348.099943
649,348.099943
650,348.099943
651,348.099943
652,348.099943
653,348.099943
654,436.22215
655,450.985796
656,455.907012
657,389.016335
658,379.173904
659,431.300934
660,431.300934
661,379.173904
662,379.173904
663,379.173904
664,379.173904
665,431.300934
666,395.722168
667,389.930275
668,389.930275
669,389.930275
670,380.087844
671,375.166629
672,348.099943
673,348.099943
674,348.099943
675,348.099943
676,348.099943
677,348.099943
678,436.22215
679,446.064581
680,465.749443
681,398.858767
682,398.858767
683,450.985796
684,450.985796
685,398.858767
686,398.858767
687,450.985796
688,371.11609
689,365.324197
690,389.930275
691,380.087844
692,380.087844
693,380.087844
694,370.245413
695,355.481766
696,318.275213
697,318.275213
698,318.275213
699,318.275213
700,318.275213
701,559.617575
702,918.320736
703,44075.014195
704,34483.738726
705,29868.890584
706,27033.725301
707,26470.379095
708,25575.376477
709,26879.610882
710,25601.378211
711,25667.565396
712,26337.771552
713,29856.790116
714,522.951815
715,532.794246
716,477.498169
717,477.498169
718,382.832368
719,325.657037
720,318.275213
721,318.275213
722,318.275213
723,318.275213
724,318.275213
725,559.617575
726,600.533967
727,46032.793781
728,36429.093793
729,30917.831389
730,27236.599435
731,25337.058641
732,23657.217163
733,24222.113801
734,23788.004377
735,23084.772512
736,23385.935897
737,25000.006355
738,522.951815
739,532.794246
740,477.498169
741,477.498169
742,382.832368
743,325.657037
744,318.275213
745,318.275213
746,318.275213
747,318.275213
748,318.275213
749,559.617575
750,600.533967
751,39001.417283
752,30252.693054
753,25408.245197
754,23793.905931
755,21610.351508
756,20588.042018
757,21059.017997
