hours,kW
0,277.203394
1,277.203394
2,277.203394
3,277.203394
4,277.203394
5,277.203394
6,279.162857
7,287.000708
8,302.676409
9,290.919633
10,290.919633
11,290.919633
12,290.919633
13,290.919633
14,290.919633
15,290.919633
16,290.919633
17,290.919633
18,310.514259
19,302.676409
20,302.676409
21,302.676409
22,294.838558
23,283.081782
24,253.452985
25,253.452985
26,253.452985
27,253.452985
28,253.452985
29,445.641818
30,478.224882
31,6362.944262
32,4623.343242
33,3948.353687
34,4052.96502
35,3581.267534
36,3115.414722
37,3102.197694
38,2775.527623
39,3531.374091
40,3302.049939
41,3625.694094
42,416.443671
43,424.281522
44,380.247444
45,380.247444
46,304.861963
47,259.331372
48,253.452985
49,253.452985
50,253.452985
51,253.452985
52,253.452985
53,445.641818
54,478.224882
55,7578.21375
56,5054.89398
57,4932.613491
58,4763.300109
59,5118.140202
60,4818.234653
61,5232.146456
62,5068.545459
63,5633.676247
64,6012.93529
65,7668.609182
66,416.443671
67,424.281522
68,380.247444
69,380.247444
70,304.861963
71,259.331372
72,253.452985
73,253.452985
74,253.452985
75,253.452985
76,253.452985
77,445.641818
78,478.224882
79,13493.344848
80,8758.228034
81,8026.432888
82,7318.969618
83,7198.652803
84,7589.414167
85,7950.263923
86,8068.472729
87,7931.20983
88,8352.833539
89,9284.600542
90,416.443671
91,424.281522
92,380.247444
93,380.247444
94,304.861963
95,259.331372
96,253.452985
97,253.452985
98,253.452985
99,253.452985
100,253.452985
101,445.641818
102,478.224882
103,17503.821134
104,12455.695043
105,10463.221269
106,9891.610863
107,9170.542384
108,9270.46686
109,9725.075187
110,9868.266823
111,10504.928311
112,11535.824567
113,13253.488836
114,416.443671
115,424.281522
116,380.247444
117,633.308875
118,304.861963
119,259.331372
120,253.452985
121,253.452985
122,253.452985
123,253.452985
124,253.452985
125,445.641818
126,478.224882
127,27680.456808
128,19984.589156
129,16099.983795
130,14217.61317
131,13094.102908
132,11975.196792
133,12370.152132
134,11929.3587
135,12502.775955
136,13123.425461
137,14871.619271
138,416.443671
139,424.281522
140,380.247444
141,380.247444
142,304.861963
143,259.331372
144,277.203394
145,277.203394
146,277.203394
147,277.203394
148,277.203394
149,277.203394
150,347.377996
151,359.134772
152,363.053697
153,309.786459
154,301.948608
155,343.459071
156,343.459071
157,301.948608
158,555.04999
159,301.948608
160,301.948608
161,343.459071
162,315.126533
163,310.514259
164,310.514259
165,310.514259
166,302.676409
167,298.757483
168,277.203394
169,277.203394
170,277.203394
171,277.203394
172,277.203394
173,277.203394
174,347.377996
175,355.215847
176,370.891548
177,317.624309
178,317.624309
179,359.134772
180,359.134772
181,317.624309
182,317.624309
183,359.134772
184,295.531906
185,290.919633
186,310.514259
187,302.676409
188,302.676409
189,302.676409
190,294.838558
191,283.081782
192,253.452985
193,253.452985
194,253.452985
195,253.452985
196,253.452985
197,445.641818
198,478.224882
199,19979.287992
200,13446.468027
201,11073.302458
202,10261.771156
203,9541.32498
204,9272.622683
205,9667.850721
206,10427.429585
207,10581.86703
208,11442.847745
209,13011.747329
210,416.443671
211,424.281522
212,380.247444
213,380.247444
214,304.861963
215,259.331372
216,253.452985
217,253.452985
218,253.452985
219,253.452985
220,253.452985
221,445.641818
222,478.224882
223,23954.924195
224,16829.295118
225,13641.674133
226,11957.394872
227,10388.118875
228,9774.629113
229,10996.458054
230,11075.17874
231,11142.594093
232,11088.660978
233,12556.921464
234,416.443671
235,424.281522
236,380.247444
237,380.247444
238,304.861963
239,259.331372
240,253.452985
241,253.452985
242,253.452985
243,253.452985
244,506.554699
245,445.641818
246,478.224882
247,19495.938512
248,13215.997594
249,10205.561662
250,7934.076606
251,7255.783374
252,5887.091685
253,6542.17238
254,6242.476029
255,6664.020194
256,7218.101831
257,9137.030938
258,416.443671
259,424.281522
260,380.247444
261,380.247444
262,304.861963
263,259.331372
264,253.452985
265,253.452985
266,253.452985
267,253.452985
268,253.452985
269,445.641818
270,478.224882
271,14553.090682
272,9673.956569
273,8339.794431
274,7587.924036
275,7631.657202
276,7515.363301
277,8372.855605
278,8091.817444
279,7538.472959
280,8715.523409
281,10336.558763
282,416.443671
283,424.281522
284,380.247444
285,380.247444
286,304.861963
287,259.331372
288,253.452985
289,253.452985
290,253.452985
291,253.452985
292,253.452985
293,445.641818
294,478.224882
295,18671.674827
296,12068.366936
297,8695.914864
298,7684.562999
299,6809.507985
300,7009.446693
301,7298.815054
302,7784.74399
303,7794.511649
304,8488.972983
