hours,kW
0,1977.332624
1,4219.275649
2,2842.528149
3,2819.853041
4,4534.066989
5,3101.488408
6,2959.088671
7,2949.998247
8,1944.499474
9,1881.407909
10,2218.093835
11,1642.717084
12,1440.133362
13,1494.432471
14,1190.550707
15,1155.784694
16,1429.448544
17,1329.252929
18,1324.830262
19,1466.887307
20,1296.613861
21,1645.726551
22,2030.825222
23,1695.118731
24,1726.894464
25,2105.062781
26,1792.425078
27,1876.862778
28,2423.083884
29,2014.846526
30,18002.821885
31,16831.706449
32,11983.487831
33,10750.354945
34,9831.833234
35,8834.529803
36,8191.411146
37,7684.71274
38,7425.922536
39,7485.351743
40,7681.148736
41,7404.355114
42,7354.37392
43,5911.682379
44,6110.414251
45,792.459706
46,841.569411
47,952.135721
48,1054.666435
49,1179.721617
50,1569.796142
51,1753.890065
52,1827.451748
53,2338.383115
54,15633.085521
55,16066.077109
56,12094.245466
57,11913.987337
58,12300.765078
59,12028.043816
60,11929.132833
61,12067.17147
62,11905.613056
63,11788.071912
64,13106.869353
65,14783.76869
66,15225.342372
67,10620.010484
68,11912.008994
69,2339.38765
70,2431.397587
71,3732.577433
72,2527.824488
73,2580.598636
74,3989.409522
75,2677.945426
76,2620.458029
77,4040.23049
78,23698.97651
79,21316.816418
80,18130.650599
81,17591.22932
82,17009.56741
83,16408.176746
84,16404.642309
85,16507.496344
86,15991.524544
87,15291.034795
88,15867.564997
89,16939.515846
90,17797.441987
91,13226.212118
92,14846.645202
93,2819.936656
94,2870.589966
95,4414.978227
96,2691.882235
97,2982.609947
98,4576.815531
99,2899.069196
100,3194.833905
101,5081.655719
102,26685.354816
103,26126.608834
104,22270.776854
105,21252.14987
106,20091.736554
107,18771.693611
108,18418.610793
109,18942.371323
110,18508.413551
111,18477.577845
112,20518.442297
113,21992.449203
114,23065.920975
115,18690.477757
116,21956.97617
117,4275.341483
118,4445.078696
119,7177.299802
120,4157.096401
121,4609.016797
122,7443.467274
123,4293.150384
124,4731.218815
125,7574.059369
126,35107.460355
127,35641.578688
128,33762.562294
129,30740.377893
130,28505.856208
131,25879.708478
132,24142.282132
133,23258.055553
134,22520.755474
135,21935.117464
136,23526.013422
137,24936.593883
138,24986.645179
139,19283.116026
140,21076.099704
141,3913.792739
142,4110.69916
143,6712.067541
144,3894.054897
145,4342.526956
146,6905.045734
147,3996.846738
148,4437.44978
149,6979.129831
150,4074.262213
151,3428.226411
152,4237.954128
153,2399.280393
154,2588.009618
155,3352.047686
156,2000.458716
157,2331.099318
158,2756.93967
159,2105.518446
160,2440.814498
161,3363.100292
162,2555.658871
163,2754.75081
164,3413.420581
165,3600.561021
166,3382.848847
167,5275.509361
168,3134.844199
169,3446.179661
170,5309.251889
171,3208.297923
172,3469.073003
173,5342.492147
174,3176.989907
175,2644.321413
176,3314.761536
177,2278.744703
178,2476.810302
179,2736.639796
180,1925.962846
181,2031.347696
182,2501.663614
183,1872.567618
184,2209.700125
185,2956.993666
186,2180.697027
187,2434.402242
188,3023.743217
189,3214.841377
190,3779.214299
191,4203.001405
192,2974.147841
193,3933.100458
194,4397.763468
195,3131.359276
196,4202.921563
197,4610.223216
198,27175.727801
199,29257.975665
200,27251.999867
201,25155.697691
202,23813.077877
203,22521.477877
204,20792.813958
205,20512.574987
206,20443.670868
207,19762.07405
208,21126.898115
209,22464.064117
210,23186.741404
211,18233.786686
212,19845.682413
213,3490.601931
214,3619.496942
215,5754.98501
216,3525.871524
217,3865.040547
218,6310.026742
219,3821.37406
220,4277.859579
221,6662.844326
222,30501.392762
223,31916.815377
224,28517.116616
225,25928.895703
226,23735.796576
227,21660.36989
228,20405.29416
229,20354.550293
230,20219.575487
231,18949.560543
232,20013.530584
233,21122.91725
234,21192.335995
235,16157.519008
236,17739.220613
237,3145.882447
238,3276.858238
239,4992.611426
240,3064.92477
241,3320.614576
242,5185.51178
243,3157.707494
244,3531.30322
245,5361.638334
