hours,kW
0,850.335633
1,857.449367
2,798.30063
3,849.399658
4,859.490522
5,800.273867
6,851.605833
7,763.515368
8,699.121394
9,731.061283
10,738.907055
11,704.954424
12,731.520307
13,718.889642
14,681.360669
15,711.481613
16,789.671984
17,800.654226
18,832.328403
19,842.562811
20,802.960455
21,833.322178
22,839.308569
23,804.813794
24,831.548146
25,839.249747
26,799.712614
27,831.297403
28,841.332986
29,801.668346
30,1084.339899
31,1987.722336
32,2470.560797
33,2469.406166
34,2502.18336
35,2519.543103
36,2523.272884
37,2491.053452
38,2490.772766
39,2445.93702
40,2462.92106
41,2061.605969
42,2062.636879
43,2065.203247
44,2063.673064
45,698.535446
46,739.105402
47,783.124257
48,777.70454
49,798.822155
50,832.169841
51,810.489124
52,825.448698
53,849.240194
54,1069.278141
55,1999.353869
56,2481.433797
57,2482.408222
58,2519.441135
59,2527.115114
60,2522.038209
61,2488.646736
62,2488.410977
63,2450.060054
64,2475.830718
65,2083.366833
66,2083.494972
67,2046.245106
68,2046.729023
69,790.497658
70,849.624217
71,863.367202
72,798.529629
73,849.734561
74,857.519877
75,798.532705
76,852.146538
77,859.746168
78,1105.392539
79,2012.152198
80,2503.861486
81,2504.914209
82,2538.761199
83,2544.722217
84,2539.025049
85,2505.597732
86,2505.314419
87,2459.239846
88,2479.672825
89,2082.742686
90,2083.059139
91,2047.507026
92,2048.661754
93,791.767799
94,856.952765
95,863.068434
96,790.393261
97,857.1973
98,857.223375
99,790.462996
100,859.612915
101,859.422378
102,1108.714353
103,2021.24156
104,2502.070585
105,2503.578319
106,2536.877962
107,2542.595735
108,2536.910266
109,2503.644315
110,2503.3311
111,2452.365855
112,2472.158936
113,2075.109584
114,2075.505375
115,2039.65697
116,2049.231714
117,791.771239
118,856.4525
119,862.328567
120,790.190317
121,856.654906
122,856.338558
123,790.174267
124,868.635929
125,866.206074
126,1111.200498
127,2057.809101
128,2536.590108
129,2513.553842
130,2543.925506
131,2543.980391
132,2533.194419
133,2499.120485
134,2498.016309
135,2452.367646
136,2474.43196
137,2077.422446
138,2077.418296
139,2040.273369
140,2047.912508
141,790.00804
142,856.437667
143,862.338876
144,790.185726
145,856.651981
146,856.347927
147,790.200129
148,859.0356
149,858.539837
150,792.534733
151,782.612693
152,757.294843
153,691.451548
154,757.895786
155,763.077123
156,691.194462
157,738.525085
158,738.362634
159,691.630929
160,787.834115
161,837.935096
162,791.318582
163,840.62164
164,840.139765
165,792.361108
166,856.748892
167,861.982334
168,790.117107
169,856.503835
170,856.149334
171,789.977815
172,858.806168
173,858.313892
174,792.320817
175,762.844542
176,737.450132
177,691.087959
178,738.023764
179,743.159709
180,690.950205
181,738.376439
182,738.145593
183,691.377064
184,787.596797
185,837.724689
186,791.138085
187,840.459434
188,839.995649
189,811.784586
190,856.656045
191,842.325395
192,809.597099
193,856.458688
194,836.572168
195,809.481612
196,858.755245
197,838.716089
198,1106.816458
199,2057.498275
200,2529.416667
201,2519.624574
202,2548.943711
203,2549.012921
204,2538.497801
205,2504.715806
206,2504.445105
207,2455.488568
208,2474.679506
209,2080.64192
210,2077.805802
211,2046.888625
212,2051.299021
213,791.669514
214,856.354261
215,862.241169
216,790.124837
217,856.619325
218,856.324417
219,790.18007
220,868.651771
221,866.258869
222,1110.180934
223,2056.339734
224,2516.535577
225,2506.314933
226,2537.262774
227,2544.256462
228,2538.70496
229,2505.555505
230,2505.229517
231,2458.633423
232,2480.289908
233,2083.23152
234,2083.738795
235,2046.070535
236,2048.297012
237,790.067444
238,856.576929
239,862.464466
240,790.353734
241,856.852291
242,856.56689
243,790.432826
244,859.283424
245,858.802298
246,1108.084499
247,2038.881508
248,2506.189404
249,2505.601592
250,2539.771749
251,2545.730428
252,2524.627863
253,2488.810131
254,2486.984574
255,2450.88644
256,2474.405314
257,2085.014476
258,2084.690329
259,2049.443004
260,2049.716089
261,792.029262
262,837.589631
263,843.610308
264,790.613002
265,837.80447
266,837.784399
267,790.578262
268,840.283148
269,840.176599
270,1107.134844
271,2015.76768
272,2505.145912
273,2506.000888
274,2539.700988
275,2545.07575
276,2538.824529
277,2505.108777
278,2504.760322
279,2458.873824
280,2479.697561
281,2082.366094
282,2082.818679
283,2047.493452
284,2048.794007
285,792.03682
286,856.874534
287,862.686427
288,790.617892
289,857.127879
290,856.844769
291,790.716451
292,869.163183
293,866.823261
294,1113.03747
295,2023.772199
296,2502.659466
297,2504.928845
298,2538.956605
299,2544.239919
300,2538.644309
301,2505.269727
302,2505.073364
303,2458.844683
304,2479.379009
305,2082.428377
306,2082.636768
307,2044.883078
308,2046.364221
309,789.96774
310,856.880267
311,863.030158
312,790.308069
313,857.087721
314,857.083464
315,790.316351
316,859.477777
317,859.305022
318,792.691938
319,763.553934
320,738.527266
321,691.63873
322,739.159284
323,744.646957
324,692.100311
325,739.727919
326,739.808194
327,692.336198
328,763.463538
329,838.925034
330,791.627818
331,841.129632
332,840.923459
333,812.018684
334,857.147821
335,843.084569
336,809.647604
337,856.754889
338,837.126949
339,809.373837
340,858.932363
341,839.181342
342,811.619303
343,762.913497
344,737.908151
345,690.967925
346,738.173122
347,743.609922
348,690.696625
349,738.346051
350,738.494568
351,691.148547
352,762.457502
353,838.107438
354,790.891049
355,840.517323
356,840.359071
357,811.515248
358,837.142269
359,862.224165
360,809.298908
361,836.915711
362,856.409228
363,809.15317
364,839.218276
365,858.581864
366,811.510036
367,763.287528
368,737.71249
369,690.727156
370,737.927231
371,743.485754
372,690.757091
373,738.422384
374,738.585781
375,691.249715
376,762.519574
377,838.051386
378,790.788428
379,840.41544
380,840.340458
381,791.787979
382,856.636368
383,862.170656
384,789.767498
385,856.494649
386,856.469942
387,789.692073
388,868.46191
389,866.886542
390,1111.250369
391,2059.806262
392,2527.927439
393,2521.487159
394,2549.082544
395,2548.764389
396,2540.314656
397,2506.682025
398,2506.642003
399,2461.406421
400,2458.34883
401,2086.271187
402,2086.37713
403,2048.812563
404,2049.660782
405,790.397058
406,856.899341
407,862.541454
408,790.495119
409,856.973132
410,856.682641
411,790.542028
412,859.37638
413,858.860974
414,1108.366364
415,2034.934475
416,2504.2603
417,2504.006223
418,2532.498143
419,2536.559063
420,2537.336368
421,2500.61257
422,2497.047538
423,2451.864804
424,2448.926918
425,2077.159489
426,2077.326841
427,2042.809005
428,2050.413647
429,791.710702
430,856.381704
431,862.283267
432,790.137621
433,856.611522
434,856.311924
435,790.163206
436,858.99172
437,858.493936
438,1106.760552
439,2057.339262
440,2528.389161
441,2511.040288
442,2541.244791
443,2539.978414
444,2532.151849
445,2498.281412
446,2497.961897
447,2452.430188
448,2449.532272
449,2077.942374
450,2078.309185
451,2041.551325
452,2050.626673
453,791.695176
454,856.360643
455,862.264049
456,790.128476
457,856.613026
458,856.313096
459,790.184063
460,868.674038
461,866.275407
462,1109.890673
463,2054.944625
464,2514.752241
465,2506.027898
466,2533.253043
467,2537.382214
468,2531.296853
469,2502.332331
470,2504.120856
471,2453.279164
472,2448.330682
473,2076.39768
474,2076.563213
475,2043.335275
476,2048.07426
477,790.026563
478,856.482798
479,862.381411
480,790.244026
481,856.728903
482,856.437555
483,790.307661
484,859.167813
485,858.687723
486,792.699917
487,782.785905
488,757.380048
489,691.470803
490,757.927045
491,743.627469
492,691.468314
493,738.931793
494,738.825028
495,692.031518
496,762.985355
497,838.249166
498,791.605272
499,840.919058
500,840.446786
501,812.219213
502,837.599335
503,862.342729
504,810.104501
505,837.234125
506,856.338884
507,809.626653
508,839.295448
509,858.281044
510,812.055179
511,763.238513
512,756.917227
513,710.590227
514,737.933265
515,762.585501
516,710.289153
517,738.07208
518,757.432936
519,710.686014
520,762.40951
521,857.616884
522,811.327591
523,841.239838
524,859.902988
525,812.42046
526,838.0803
527,862.275342
