hours,kW
0,1856.500508
1,1771.518692
2,1515.205502
3,1788.130014
4,1908.422367
5,1616.992758
6,1862.982496
7,1740.484713
8,1439.741638
9,1728.592634
10,1795.484218
11,1283.811755
12,1545.04325
13,1552.261373
14,1138.735249
15,1412.394768
16,1526.909742
17,1192.930552
18,1474.746722
19,1560.515617
20,1195.461867
21,1568.228286
22,1641.120074
23,1263.373642
24,1559.371629
25,1641.145476
26,1318.366221
27,1600.16602
28,1770.964619
29,1370.398669
30,10986.900981
31,9546.969275
32,5701.784115
33,5253.565525
34,4812.717345
35,4114.197988
36,3687.767458
37,3383.58607
38,3285.785187
39,3787.403787
40,3409.47603
41,3860.323379
42,3385.130597
43,3447.54637
44,3458.686454
45,1170.359696
46,1369.804702
47,1441.193474
48,1209.587525
49,1408.312359
50,1568.73302
51,1409.377628
52,1613.335266
53,1737.391027
54,10030.996844
55,10166.356634
56,6139.732966
57,6141.337044
58,6279.637135
59,6075.251125
60,5984.591712
61,6068.440409
62,5989.229559
63,8032.026804
64,7065.647323
65,8094.343139
66,6652.070246
67,7047.184417
68,7154.524064
69,1832.669659
70,2078.907965
71,2147.585435
72,1660.401844
73,2031.682284
74,2140.563951
75,1680.710364
76,2018.602113
77,2140.730098
78,14730.318899
79,14435.191446
80,9607.161063
81,9613.759497
82,9112.386397
83,8724.572324
84,8680.258466
85,8707.281625
86,8380.383226
87,10796.932496
88,8790.398634
89,9528.933189
90,7632.157521
91,7919.070073
92,8002.032185
93,1567.818592
94,1865.226035
95,1955.682108
96,1581.535192
97,1927.346127
98,1975.975424
99,1658.747006
100,1991.853698
101,2141.496612
102,15347.166029
103,16986.950743
104,11926.465254
105,11529.816268
106,10675.168689
107,9696.717678
108,9470.364286
109,9799.225606
110,9535.140069
111,12247.297109
112,11351.119019
113,12360.503204
114,10205.473797
115,11642.256568
116,12432.617076
117,2284.867511
118,2853.953834
119,2960.046966
120,2409.098006
121,2940.003596
122,3051.127735
123,2473.890028
124,2957.445812
125,3114.514681
126,18678.505106
127,21546.971686
128,19789.024429
129,17531.372894
130,15990.974224
131,14122.136503
132,13061.109093
133,12459.237777
134,12065.684915
135,14083.479574
136,13134.483398
137,14076.292778
138,11239.197336
139,11812.977141
140,11796.228449
141,2088.017688
142,2605.102551
143,2728.034865
144,2188.326596
145,2644.111991
146,2726.253175
147,2209.126738
148,2626.513665
149,2724.832618
150,2244.203836
151,2205.433812
152,2049.427529
153,1573.698347
154,1789.572308
155,1707.626147
156,1312.646631
157,1539.013552
158,1503.43664
159,1276.511662
160,1594.515744
161,1781.295696
162,1520.761125
163,1781.911232
164,1788.075861
165,1711.443093
166,2000.653335
167,2081.80912
168,1724.705407
169,2025.168578
170,2097.10939
171,1737.98889
172,2041.840377
173,2108.063843
174,1746.479422
175,1714.501632
176,1712.661092
177,1360.735068
178,1580.540879
179,1491.02035
180,1404.572679
181,1719.57897
182,1868.34383
183,1467.179241
184,1575.347186
185,1625.83031
186,1346.77475
187,1620.093045
188,1626.487509
189,1559.923102
190,1889.860393
191,1933.930028
192,1591.533635
193,1948.890165
194,2036.41332
195,1687.99721
196,2058.406311
197,2105.353177
198,15318.087932
199,18635.108254
200,14842.466744
201,13380.345596
202,12318.713554
203,11403.046344
204,10436.822108
205,10393.611261
206,10433.771298
207,12922.832451
208,11269.616606
209,12435.738048
210,10374.695855
211,10983.172921
212,10963.270593
213,1873.618363
214,2302.463381
215,2427.011953
216,1958.236865
217,2421.877462
218,2528.299592
219,2116.721565
220,2518.128919
221,2640.249539
222,17073.820992
223,19899.46289
224,16500.812106
225,14708.055781
226,13225.10026
227,11590.847153
228,10839.107296
229,10828.999576
230,10755.72122
231,12799.988321
232,10798.23631
233,11693.083651
234,9368.163969
235,9820.946596
236,9773.908711
237,1694.125503
238,2113.123762
239,2143.884507
240,1745.774054
241,2111.040028
242,2163.118646
243,1801.682938
244,2127.478982
245,2207.951343
246,15384.335841
247,18161.278393
248,12807.549211
249,11282.240021
250,10263.892568
251,8972.38986
252,7734.952925
253,7461.818565
254,7131.123403
255,8962.295642
256,8196.140165
257,9382.997864
258,7881.065291
259,8231.298962
260,8613.108774
261,1855.96098
262,2127.067264
263,2206.394387
264,1680.473559
265,2011.268669
266,2195.912798
267,1686.425232
268,2004.249227
269,2112.834887
270,14610.530226
271,15247.319149
272,10214.221169
273,9968.818538
274,9571.482111
275,8979.773539
276,8982.615535
277,8998.728866
278,8358.110549
279,10389.860026
280,9080.373583
281,10281.032201
282,7754.277722
283,8431.429249
284,8500.000835
285,1622.968796
286,1988.394697
287,2073.930377
288,1626.59286
289,1905.382909
290,1985.900513
291,1634.638392
292,2011.149357
293,2075.85243
294,15301.032504
295,17568.344111
296,11456.085464
297,9992.692102
298,9204.376275
299,8261.841068
300,8120.002956
301,8270.258013
302,8163.249092
303,10723.545847
304,8896.192437
305,10028.314933
306,7602.455015
307,8267.430217
308,8352.329125
309,1576.747074
310,1908.503039
311,2026.72975
312,1673.251682
313,2103.424306
314,2168.141764
315,1735.047567
316,2075.018318
317,2093.698306
318,1728.926664
319,1666.31786
320,1532.626442
321,1417.174701
322,1645.46326
323,1688.15484
324,1273.437092
325,1616.124756
326,1689.348738
327,1341.045274
328,1749.099804
329,1924.917452
330,1520.309168
331,1868.439393
332,1646.085058
333,1672.915853
334,2063.093179
335,2236.031567
336,1919.337653
337,2303.28087
338,2385.826845
339,1991.588392
340,2389.546459
341,2481.128294
342,2032.236851
343,1982.082247
344,1880.702874
345,1444.564128
346,1699.793165
347,1591.577615
348,1280.741377
349,1471.615464
350,1474.479101
351,1220.309603
352,1505.941906
353,1619.713727
354,1350.703221
355,1616.997336
356,1667.749228
357,1630.025595
358,1982.501301
359,2054.170255
360,1675.011754
361,2044.309376
362,2130.771724
363,1736.473837
364,2074.007439
365,2112.467402
366,1727.639845
367,1774.285518
368,1683.514449
369,1355.087322
370,1685.508153
371,1809.384769
372,1409.739271
373,1786.670718
374,1822.219275
375,1458.925133
376,1827.17802
377,1992.904201
378,1413.927458
379,1704.459287
380,1937.086243
381,1751.374603
382,2111.977367
383,2222.244343
384,1775.541876
385,2112.144178
386,2239.060939
387,1765.589605
388,2133.425644
389,2247.057736
390,14941.127606
391,18082.299302
392,13853.595263
393,12792.967227
394,12132.521824
395,11001.338685
396,10177.962943
397,9805.62843
398,9439.242831
399,11482.355089
400,9693.194417
401,10611.375578
402,8998.466834
403,9408.965291
404,9382.332232
405,1912.840714
406,2156.367702
407,2275.351745
408,1578.640977
409,1897.753834
410,1963.177289
411,1590.870706
412,1956.363927
413,2056.107658
414,15264.644114
415,18212.322993
416,13502.711177
417,12929.801839
418,12108.871837
419,11290.772433
420,10771.045437
421,11187.873899
422,11084.022447
423,13813.120113
424,12729.72905
425,13863.792845
426,11274.129015
427,12119.20924
428,12508.733819
429,2151.042638
430,2632.648725
431,2758.13354
432,2238.753982
433,2710.270146
434,2811.407415
435,2266.431319
436,2747.671473
437,2831.48056
438,17829.015623
439,20962.073511
440,19157.037411
441,17157.580853
442,15707.836595
443,13960.591998
444,12713.201978
445,12131.755893
446,11693.454828
447,13776.154347
448,12688.499893
449,14080.969558
450,11757.308874
451,12483.9291
452,12732.786301
453,2194.434282
454,2724.280826
455,2809.319005
456,2220.816753
457,2687.827665
458,2777.725082
459,2122.239406
460,2515.538942
461,2573.682084
462,16699.84827
463,19716.473704
464,16546.430313
465,14616.543006
466,13500.348402
467,12205.960705
468,11567.689902
469,10786.195719
470,10219.629978
471,12943.932651
472,11415.450405
473,12417.245453
474,10194.35787
475,10824.635521
476,11077.957907
477,1929.686199
478,2411.360739
479,2496.749145
480,1961.072831
481,2387.718818
482,2413.347466
483,1915.913674
484,2289.853545
485,2331.611208
486,1855.899914
487,1842.707369
488,1764.887923
489,1426.581457
490,1599.859922
491,1686.388044
492,1391.837194
493,1728.653225
494,1786.85113
495,1417.569889
496,1808.582965
497,1954.840966
498,1547.579652
499,1914.491245
500,1976.175725
501,1712.969071
502,2077.152596
503,2133.159116
504,1715.193071
505,2090.222833
506,2103.148974
507,1899.330123
508,2385.218981
509,2598.620574
510,2222.88619
511,2256.510169
512,2223.408464
513,1757.460881
514,2107.179579
515,2025.799389
516,1638.672909
517,1927.639626
518,1979.795035
519,1640.726103
520,2066.191573
521,2222.824201
522,1820.737378
523,2241.664168
524,2334.553625
525,2265.204606
526,2808.065901
527,3017.315096
528,2369.300224
529,2789.297772
530,2786.146762
531,2242.66736
532,2668.121149
533,2743.996965
534,16993.509464
535,19954.74218
536,18389.746323
537,17594.559706
538,15444.014484
539,13773.025621
540,12538.047687
541,11909.627709
542,11557.799471
543,13544.556122
544,11311.967425
545,11950.461118
546,9977.545834
547,10024.778748
548,9717.125422
549,1902.423238
550,2180.884709
551,2117.798456
552,1739.549616
553,1952.305072
554,2180.54305
555,1883.528574
556,2305.705564
557,2431.880732
558,16305.916775
559,19418.541827
560,16226.850834
561,14933.508751
562,13740.757246
563,12031.530307
564,11210.342379
565,10600.208702
566,10183.411903
567,12526.79391
568,10888.980373
569,12638.869917
570,10285.140456
571,10929.214488
572,11055.204139
573,1911.743869
574,2377.245327
575,2468.239322
576,1991.971138
577,2406.171277
578,2516.314058
579,2007.523763
580,2438.389714
581,2530.888891
582,16665.066927
583,19521.802902
584,16516.25266
585,15451.630327
586,14555.942642
587,13715.046047
588,12864.384296
589,13012.619417
590,12900.950598
591,14854.900987
592,13460.36881
593,14256.206641
594,11516.984337
595,11975.580313
596,11928.54512
597,1988.431486
598,2433.296462
599,2536.743931
600,2045.029836
601,2433.952067
602,2475.365302
603,1949.87028
604,2357.711321
605,2408.639263
606,16196.204543
607,19177.092613
608,15765.535998
609,14538.883963
610,13586.488548
611,12196.983038
612,11550.726077
613,11472.882911
614,10954.934121
615,13012.257351
616,10987.447883
617,12096.283212
618,9937.517979
619,10477.478159
620,10492.000146
621,1813.224046
622,2218.477373
623,2340.914723
624,1917.527838
625,2288.665644
626,2359.359494
627,1884.810831
628,2286.093675
629,2367.817334
630,16155.165511
631,18996.572291
632,14812.152777
633,13411.428075
634,12582.910597
635,12531.69812
636,12204.204383
637,12269.083002
638,12730.192809
639,14927.679821
640,14172.29714
641,15459.520834
642,12586.717676
643,13213.297065
644,13467.946731
645,2268.810787
646,2823.939945
647,2998.503731
648,2403.600421
649,2998.310723
650,3075.242433
651,2481.930758
652,3039.400881
653,3141.758196
654,2542.317254
655,2595.491769
656,2484.788675
657,1943.504348
658,2209.814634
659,2137.857091
660,1653.045773
661,1967.057369
662,1941.328146
663,1593.984552
664,1962.673365
665,2059.904552
666,1728.42363
667,2164.799277
668,2205.858789
669,2180.420926
670,2792.223128
671,2913.168086
672,2376.852387
673,2863.341472
674,2974.297869
675,2413.982193
676,2916.313295
677,3010.391401
678,2428.151364
679,2414.011209
680,2392.481569
681,1905.135889
682,2321.897156
683,2271.59067
684,1846.895287
685,2230.853512
686,2273.082335
687,1833.050273
688,2270.960707
689,2428.085541
690,2044.095303
691,2581.518767
692,2652.011301
693,2491.255323
694,3032.397343
695,3189.392149
696,2619.803841
697,3294.638907
698,3341.658568
699,2747.607124
700,3312.338307
701,3389.448842
702,20357.292221
703,23574.707977
704,22590.125927
705,22035.985209
706,21645.187987
707,21108.248722
708,21052.905031
709,21060.170094
710,20345.054159
711,21025.611088
712,21051.516757
713,21650.847757
714,18645.241166
715,18961.584871
716,19002.919959
717,2803.129533
718,3159.242266
719,3214.314355
720,3120.555544
721,3212.063647
722,3238.078891
723,3148.02287
724,3197.33443
725,3272.177361
726,20884.753337
727,24162.647268
728,23091.078867
729,22189.752397
730,21417.44687
731,20417.61113
732,19710.452918
733,18960.850849
734,18068.352797
735,19019.445962
736,18049.021213
737,18557.268886
738,16014.992161
739,16038.843507
740,15910.642938
741,2419.099628
742,2699.602695
743,2903.419468
744,2733.736887
745,2837.771866
746,2976.059442
747,2789.219493
748,2910.447888
749,2974.878446
750,18822.624443
751,21642.556353
752,20572.135816
753,20165.622192
754,19323.193422
755,17787.710034
756,16688.154086
757,16019.225692
758,15460.87156
759,17048.801708
760,16500.159665
761,17485.387028
762,15076.378634
763,15559.645462
764,16007.838008
765,2553.91307
766,2864.466136
767,3032.702349
768,2874.038355
769,2971.876014
770,3085.494958
771,2915.298558
772,3060.687667
773,3140.331289
774,20027.382426
775,23223.301486
776,22732.542661
777,22311.576664
778,22107.509365
779,21207.258156
780,20305.366008
781,19798.487762
782,19134.719671
783,19816.328012
784,19787.271118
785,20597.734175
786,17665.79006
787,18018.282097
788,18337.262658
789,2755.30758
790,3094.647183
791,3219.53737
792,3096.36003
793,3196.495781
794,3259.804968
795,3122.865721
796,3251.895636
797,3267.632048
798,21225.106544
799,24833.514702
800,24004.9761
801,23092.375594
802,22571.47475
803,21346.627966
804,20355.481001
805,19396.979843
806,18593.357977
807,19555.739851
808,19598.479744
809,20642.481843
810,17746.650151
811,18085.118654
812,18286.503001
813,2717.631597
814,3069.566527
815,3211.261236
816,3063.789895
817,3208.032777
818,3227.091771
819,3107.899291
820,3224.396549
821,3249.636863
822,3150.17423
823,2882.242116
824,2826.558164
825,2538.457075
826,2537.457107
827,2550.065516
828,2226.263021
829,2303.150054
830,2320.021066
831,2134.061659
832,2340.75634
833,2551.238077
834,2472.364509
835,2684.633487
836,2689.527293
837,2879.595967
838,2982.542202
839,3049.144665
840,2869.466087
841,2861.79587
842,2949.678741
843,2768.51386
844,2774.939122
845,2889.138894
846,2685.266405
847,2232.041925
848,2265.522103
849,2010.125899
850,2000.679312
851,1927.747677
852,1727.035022
853,1689.634811
854,1713.494353
855,1535.633276
856,1665.830856
857,1980.340146
858,1920.622436
859,2081.415149
860,2193.715232
861,2483.774017
862,2686.177021
863,2832.797892
864,2587.457857
865,2676.720917
866,2779.403311
867,2633.818229
868,2694.142589
869,2875.565105
870,18074.197491
871,20696.499908
872,18896.433482
873,17707.76633
874,15894.40628
875,13772.860992
876,13405.767099
877,12875.516087
878,12279.736776
879,14137.706824
880,12757.555835
881,12765.91958
882,10931.799738
883,11144.375832
884,10945.040414
885,1660.896249
886,2109.788945
887,2068.556192
888,1649.588738
889,2112.758757
890,2185.720951
891,1707.645734
892,2001.707937
893,2121.962821
894,14458.524865
895,16821.254288
896,12187.544674
897,11402.389343
898,10641.49438
899,9825.942708
900,9239.497228
901,9040.711448
902,8940.368758
903,11197.496866
904,9250.528357
905,10063.423812
906,8545.530274
907,8841.093803
908,8793.747398
909,1791.66461
910,2013.989173
911,2080.374321
912,1572.008964
913,1836.520873
914,1968.558389
915,1500.209467
916,1821.053052
917,1931.325474
918,13971.339802
919,13307.864712
920,8985.132779
921,8650.038488
922,8096.090478
923,6945.386421
924,5788.451466
925,5275.74718
926,5683.387783
927,7674.924019
928,7318.521185
929,8769.622271
930,8107.239791
931,8947.9099
932,8981.923036
933,1890.711668
934,2148.437398
935,2264.029804
