hours,kW
0,323.010645
1,323.010645
2,323.010645
3,323.010645
4,323.010645
5,323.010645
6,323.010645
7,3230.106446
8,6005.449898
9,7616.294278
10,7519.145654
11,7509.74465
12,7505.854144
13,7501.726809
14,7499.639347
15,7500.214844
16,7500.487217
17,3230.106446
18,323.010645
19,323.010645
20,323.010645
21,323.010645
22,323.010645
23,323.010645
24,323.010645
25,323.010645
26,323.010645
27,323.010645
28,3230.106446
29,6005.449898
30,7557.589651
31,7510.427404
32,7504.693465
33,7502.185515
34,7500.919502
35,7499.425368
36,7558.237135
37,7614.717699
38,7614.072714
39,7611.819824
40,7567.792531
41,7540.626309
42,7593.535575
43,7618.50524
44,7621.971157
45,7665.111766
46,3230.106446
47,323.010645
48,323.010645
49,323.010645
50,323.010645
51,323.010645
52,3230.106446
53,6005.449898
54,7549.044667
55,7506.715563
56,7502.705781
57,7501.380573
58,7500.773396
59,7499.309672
60,7498.94579
61,7498.712851
62,7498.675907
63,7498.281037
64,7499.308858
65,7500.797034
66,7501.016525
67,7501.21421
68,7502.802598
69,7503.448867
70,3230.106446
71,323.010645
72,323.010645
73,323.010645
74,323.010645
75,323.010645
76,3230.106446
77,6005.449898
78,7593.900435
79,7517.547983
80,7510.057813
81,7507.179967
82,7505.416759
83,7503.991402
84,7503.686729
85,7503.131176
86,7501.504303
87,7501.252205
88,7502.153786
89,7503.485694
90,7504.987969
91,7505.330883
92,7506.262275
93,7506.355471
94,3230.106446
95,323.010645
96,323.010645
97,323.010645
98,323.010645
99,323.010645
100,3230.106446
101,6005.449898
102,7618.872294
103,7524.170085
104,7515.367724
105,7511.731398
106,7508.048129
107,7504.730766
108,7503.81807
109,7504.627224
110,7503.420628
111,7503.569591
112,7506.580885
113,7509.472567
114,7512.245761
115,7515.678927
116,7519.793099
117,7522.216124
118,3230.106446
119,323.010645
120,323.010645
121,323.010645
122,323.010645
123,323.010645
124,3230.106446
125,6005.449898
126,7698.166497
127,7557.444096
128,7534.659757
129,7525.660089
130,7520.971724
131,7515.969207
132,7512.904192
133,7510.785524
134,7509.138159
135,7508.431285
136,7511.292842
137,7514.447701
138,7515.509704
139,7516.083851
140,7517.186134
141,7518.051173
142,3230.106446
143,323.010645
144,323.010645
145,323.010645
146,323.010645
147,323.010645
148,323.010645
149,323.010645
150,323.010645
151,3230.106446
152,6005.449898
153,7656.073949
154,7534.529458
155,7515.733051
156,7508.981877
157,7505.692905
158,7503.472397
159,7503.759706
160,7508.595639
161,3230.106446
162,323.010645
163,323.010645
164,323.010645
165,323.010645
166,323.010645
167,323.010645
168,323.010645
