hours,kW
0,1859.571312
1,2109.164976
2,1935.382503
3,2312.83603
4,2237.012004
5,2005.169124
6,2429.537481
7,1825.776759
8,1368.380036
9,1747.073762
10,1580.365708
11,1307.167653
12,1532.102644
13,1361.460859
14,1083.046221
15,1312.969937
16,1521.835674
17,1696.252434
18,1907.965532
19,1826.361078
20,1693.59834
21,1919.119412
22,1794.053716
23,1686.848459
24,2120.950495
25,2025.328868
26,1907.748137
27,2129.598413
28,2080.645059
29,2048.623578
30,16795.576142
31,17801.624471
32,15093.122262
33,13726.797451
34,12898.057917
35,12261.667447
36,13320.542767
37,10611.766782
38,9975.118384
39,9176.890367
40,9434.800742
41,11135.687025
42,8478.920473
43,8038.789179
44,7584.575758
45,7372.184969
46,1752.76114
47,1753.010349
48,1753.010357
49,1684.345719
50,1774.649156
51,1755.918664
52,1724.865445
53,1963.610852
54,9573.45072
55,12457.137113
56,9451.865952
57,8869.46265
58,8859.045283
59,8722.645925
60,12857.112355
61,8536.208307
62,8267.320406
63,8222.255809
64,8885.598904
65,13951.980898
66,8506.262909
67,7920.320734
68,8087.31588
69,8599.242402
70,1829.315321
71,1967.685279
72,1964.547733
73,1856.388641
74,2045.293887
75,1992.434254
76,1877.568592
77,2159.276807
78,12549.66828
79,17323.248079
80,12685.899511
81,11770.640493
82,11526.649121
83,11575.744751
84,17061.406812
85,11461.731979
86,10100.177989
87,10112.621898
88,10725.272588
89,16132.33845
90,10074.401383
91,9458.284444
92,9273.129127
93,9251.101649
94,1872.873439
95,2038.821455
96,2034.148717
97,1895.708751
98,2106.220659
99,2068.38475
100,1934.218328
101,2273.2672
102,13981.596434
103,20883.181894
104,14616.020464
105,13522.168128
106,11776.034724
107,10767.273991
108,17415.21721
109,11056.596345
110,10393.172485
111,10365.440186
112,11870.463581
113,20493.070547
114,12674.779077
115,12674.778278
116,13196.4239
117,13795.826527
118,2034.913206
119,2371.282093
120,2389.126176
121,2160.014949
122,2561.874762
123,2515.578627
124,2269.577334
125,2839.457827
126,21363.916843
127,32026.17967
128,19822.810876
129,17529.833252
130,16185.685236
131,15228.226247
132,23020.93754
133,13593.170064
134,12967.348191
135,12858.74197
136,14098.122512
137,23220.344688
138,14285.098573
139,13474.411558
140,13309.04855
141,13413.996128
142,2006.283774
143,2314.032063
144,2100.254324
145,1890.20345
146,2230.533674
147,2171.304377
148,1953.026983
149,2348.46921
150,18509.431148
151,17997.816428
152,15581.958596
153,13586.165076
154,12130.221096
155,10929.584063
156,9946.230831
157,9072.356344
158,8035.418309
159,8169.419995
160,9557.560656
161,11003.982491
162,1661.864207
163,1953.744135
164,1947.029389
165,1760.934151
166,1996.031778
167,1936.512696
168,1766.832363
169,2028.310942
170,1983.751159
171,1771.246742
172,2071.802829
173,2023.361166
174,1828.913559
175,1688.943854
176,1441.544968
177,1256.365263
178,1510.638757
179,1360.345911
180,1121.921648
181,1335.942849
182,1229.587062
183,1119.226288
184,1660.996077
185,1956.7724
186,1781.996466
187,2115.361409
188,2040.177578
189,1850.413
190,2155.756835
191,2083.404634
192,2093.600189
193,2451.525869
194,2362.561172
195,2127.412025
196,2561.986781
197,2532.531562
198,21422.44488
199,27614.33336
200,19130.685914
201,16573.4885
202,15348.913073
203,15009.71352
204,20212.240089
205,12860.703289
206,12805.520523
207,12609.999299
208,13368.390694
209,21061.244258
210,13606.406929
211,12895.099046
212,12656.757536
213,12580.625282
214,1954.453205
215,2209.878198
216,2215.766158
217,2032.626601
218,2351.881694
219,2319.907966
220,2135.618311
221,2604.212424
222,18950.619355
223,27132.107714
224,18297.533541
225,16548.813578
226,15134.265704
227,14102.40405
228,19756.348808
229,12836.07516
230,12673.88406
231,12398.511718
232,12783.43832
233,19408.927106
234,12023.216104
235,11227.755468
236,10937.53538
237,10906.880084
238,1910.511067
239,2103.582054
240,2103.885648
241,1945.297551
242,2189.57376
243,2149.466806
244,1991.785196
245,2349.39096
246,15686.86159
247,22273.342809
248,15472.769379
249,13652.996729
250,12274.601821
251,11304.179368
252,14643.833094
253,9890.094351
254,9467.817619
255,9385.606733
256,10001.461733
257,15082.010854
258,9610.245212
259,8976.010251
260,8992.822729
261,8926.175321
262,1839.108757
263,1990.456364
264,1972.21947
265,1854.236303
266,2050.779854
267,2002.034757
268,1880.330838
269,2150.921002
270,12577.191682
271,16944.422154
272,12423.483625
273,11373.910766
274,10798.166456
275,10472.191972
276,15894.374596
277,10062.864395
278,8750.930569
279,8161.60197
280,9386.229691
281,16114.561998
282,9562.865069
283,9174.81775
284,9045.360716
285,9247.718782
286,1881.731179
287,2062.7771
288,2051.248076
289,1894.511257
290,2105.358282
291,2060.98664
292,1932.353609
293,2252.92539
294,13641.86302
295,20309.989175
296,12230.819092
297,10048.784539
298,8979.417274
299,8433.739071
300,13889.255094
301,8972.933357
302,8676.59211
303,8377.275128
304,9128.533868
305,15510.239643
306,8978.568502
307,8498.852013
308,8339.347343
309,8415.605298
310,1866.301611
311,2036.974174
312,1836.387753
313,1705.126992
314,1947.345477
315,1902.271387
316,1743.084345
317,1974.995154
318,12938.035893
319,12054.956551
320,10145.204538
321,8825.762686
322,7601.673088
323,6734.368248
324,6394.501091
325,6249.852173
326,6239.755792
327,6668.197853
328,7098.699547
329,8034.956027
330,1564.137245
331,1789.690635
332,1816.286586
333,1696.037864
334,1931.66059
335,1917.999297
336,1782.881292
337,2080.78226
338,2054.320269
339,1825.880624
340,2192.57898
341,2147.309811
342,1922.331248
343,1839.779274
344,1539.087668
345,1270.280678
346,1488.903738
347,1371.374033
348,1130.727292
349,1375.787956
350,1266.370535
351,1124.824736
352,1538.170883
353,1965.92613
354,1785.669938
355,2118.783166
356,2048.475291
357,1858.461757
358,2195.996497
359,2125.037128
360,1903.28767
361,2283.181842
362,2163.685661
363,1968.277357
364,2363.727972
365,2237.018576
366,1972.522739
367,1980.471876
368,1678.776139
369,1404.335147
370,1735.983442
371,1527.140474
372,1262.312382
373,1531.261026
374,1413.968247
375,1243.678159
376,1732.801827
377,2095.98543
378,1944.771575
379,2356.909201
380,2176.022464
381,1957.235348
382,2365.000996
383,2217.721849
384,2192.352076
385,2576.901589
386,2448.635277
387,2204.051963
388,2616.238597
389,2555.980342
390,22495.655379
391,26575.265492
392,20668.889753
393,19089.597243
394,18608.640496
395,17637.018946
396,21021.590536
397,14656.36763
398,13710.955212
399,13158.587792
400,13184.684547
401,18339.235435
402,12368.234291
403,11619.41552
404,11366.498991
405,11174.919201
406,1881.291396
407,2046.950067
408,2047.804047
409,1898.633024
410,2155.387396
411,2114.438933
412,1955.593931
413,2348.148446
414,17271.009841
415,23404.616747
416,16248.037151
417,15096.507758
418,13745.042088
419,12836.766395
420,19513.569655
421,12582.150921
422,12004.332816
423,12464.567827
424,13469.569664
425,22406.624011
426,13946.030533
427,13345.271906
428,13498.837855
429,13641.318502
430,2025.653431
431,2308.050866
432,2316.292539
433,2085.73151
434,2480.149764
435,2440.310439
436,2202.391603
437,2707.212557
438,20185.300123
439,30233.690468
440,19742.896835
441,17114.453326
442,15679.030568
443,14505.901991
444,21633.31513
445,12477.830213
446,11645.319227
447,11500.999652
448,12469.916983
449,21979.169767
450,13846.80334
451,13172.103792
452,13151.691696
453,13390.549774
454,2038.828114
455,2325.671015
456,2298.082699
457,2100.397321
458,2438.565011
459,2383.692664
460,2121.417288
461,2555.897503
462,18145.850667
463,26042.517977
464,16773.014147
465,14349.673479
466,13034.670309
467,12334.929147
468,19123.628465
469,10636.348452
470,9832.534192
471,10686.255609
472,11549.511491
473,19310.23958
474,11711.610971
475,11091.201635
476,11171.467971
477,11379.157163
478,1976.234352
479,2200.859913
480,1963.496772
481,1796.402124
482,2067.657637
483,2032.882738
484,1818.032352
485,2098.42784
486,15144.197689
487,14414.73083
488,13528.957933
489,12634.099729
490,11291.260338
491,9589.097876
492,8396.178191
493,7492.811405
494,6389.97481
495,6488.405656
496,7323.54385
497,8578.825841
498,1577.569233
499,1796.483149
500,1789.812327
501,1661.085979
502,1850.795382
503,1810.008168
504,1666.423252
505,1858.29586
506,1897.989431
507,1776.190054
508,2125.588267
509,2145.254407
510,1938.695971
511,1984.783787
512,1729.571724
513,1413.269522
514,1819.259081
515,1667.841729
516,1396.233324
517,1762.42441
518,1644.018247
519,1404.70299
520,1999.357456
521,2416.358881
522,2139.343086
523,2660.362251
524,2550.535586
525,2232.641028
526,2777.337229
527,2720.283847
528,2513.432423
529,3067.764857
530,2954.478973
531,2514.75836
532,3057.433151
533,3066.960083
534,26285.041082
535,34561.394426
536,26024.706649
537,23881.953991
538,21239.150243
539,19618.081353
540,24455.509607
541,16841.101564
542,15570.474997
543,14969.825744
544,14835.501451
545,20042.870876
546,13495.841553
547,12339.442796
548,11796.599076
549,11655.599062
550,1885.813355
551,2073.940883
552,2055.259763
553,1921.398971
554,2211.824878
555,2233.363933
556,2074.804073
557,2542.971853
558,18644.999486
559,26065.682045
560,18216.433202
561,16775.04413
562,15398.305474
563,14110.785024
564,19786.921901
565,11798.910732
566,11131.668682
567,10845.899001
568,11500.297096
569,20015.426558
570,12546.289333
571,11912.708724
572,11942.874733
573,12189.844461
574,1977.001738
575,2207.075998
576,2187.341653
577,2025.528959
578,2328.798891
579,2298.357737
580,2088.489936
581,2536.115834
582,18465.367734
583,26031.631857
584,18388.703324
585,17373.837745
586,16574.918448
587,16056.808855
588,22909.017447
589,15062.980326
590,14881.348213
591,14759.616331
592,15072.785645
593,23193.893545
594,14512.52694
595,13565.744139
596,13312.77038
597,13204.337041
598,1998.145549
599,2226.309488
600,2236.026069
601,2044.456127
602,2338.539887
603,2281.009736
604,2057.036734
605,2498.542091
606,17704.578489
607,24891.159459
608,17469.924629
609,16185.289804
610,15133.924335
611,13412.040053
612,19835.520711
613,12582.708476
614,11389.366799
615,10632.311578
616,10900.783106
617,18810.702075
618,11731.509505
619,11105.892958
620,10959.475497
621,10991.065819
622,1949.202669
623,2118.687163
624,2157.557414
625,1985.502383
626,2249.419404
627,2219.252872
628,1999.880317
629,2399.487245
630,16289.010827
631,23532.56843
632,16420.778052
633,14103.725561
634,13007.826051
635,13581.486356
636,20819.942453
637,12561.219541
638,13391.920176
639,13430.811722
640,13911.938767
641,24242.022975
642,14940.753805
643,14081.55992
644,14133.161855
645,14333.758365
646,2059.081691
647,2364.951015
648,2188.587514
649,1969.342558
650,2403.77171
651,2360.548745
652,2075.618003
653,2608.330377
654,21031.763677
655,21062.866281
656,18976.974746
657,18123.901682
658,15855.390687
659,14178.023273
660,13155.377937
661,12483.482117
662,11734.992885
663,11503.869024
664,11741.508163
665,13205.017519
666,1718.882859
667,2112.10853
668,2132.275941
669,1924.926196
670,2340.375836
671,2301.415946
672,2038.079646
673,2523.252389
674,2429.340355
675,2131.977508
676,2615.058386
677,2520.574335
678,2190.999328
679,2129.016187
680,1980.927686
681,1582.814452
682,2141.967799
683,2003.112997
684,1613.799164
685,2134.08021
686,2057.681185
687,1653.523521
688,2236.664422
689,2788.647385
690,2381.652151
691,2999.519104
692,2991.574589
693,2473.841926
694,3091.725783
695,3028.712865
696,2748.55574
697,3455.438526
698,3435.681753
