hours,kW
0,112.103431
1,112.103431
2,112.103431
3,112.103431
4,112.103431
5,112.103431
6,112.103431
7,1115.579929
8,2073.577918
9,46261.458565
10,23129.162851
11,18752.129751
12,16565.68248
13,14451.513037
14,13370.420526
15,13578.100485
16,13684.487897
17,1115.579929
18,112.103431
19,112.103431
20,397.51507
21,112.103431
22,403.800322
23,403.822995
24,112.103431
25,112.103431
26,112.103431
27,112.103431
28,1115.579929
29,2073.577918
30,29158.382249
31,17769.110315
32,15329.262638
33,14633.433371
34,13863.689436
35,13918.254231
36,13795.238179
37,13189.920205
38,12946.963031
39,11999.900754
40,12101.581797
41,13093.211302
42,13209.353849
43,13426.195775
44,14239.039725
45,14124.758057
46,1407.303592
47,403.809486
48,112.103431
49,112.103431
50,112.103431
51,112.103431
52,1115.579929
53,2073.577918
54,26737.613436
55,17223.897117
56,15214.877134
57,14977.407079
58,14526.243786
59,14595.597655
60,14165.185071
61,13774.119191
62,13760.683161
63,13660.76336
64,14277.811186
65,15455.651564
66,15413.245065
67,15538.993052
68,16285.896611
69,16962.132323
70,1407.291783
71,403.765331
72,112.103431
73,112.103431
74,112.103431
75,112.103431
76,1115.579929
77,2073.577918
78,43291.869188
79,23728.884045
80,20157.994121
81,19134.613725
82,17919.150452
83,17815.513993
84,17455.419236
85,16930.415397
86,16158.174788
87,16039.814968
88,16475.778418
89,17403.95399
90,18025.906457
91,18445.091984
92,18993.266977
93,19342.054771
94,1407.277014
95,403.820218
96,112.103431
97,112.103431
98,112.103431
99,112.103431
100,1115.579929
101,2073.577918
102,53898.854578
103,28938.490025
104,24525.568005
105,23044.10269
106,20959.681996
107,19526.59062
108,19365.18901
109,19197.03247
110,18556.878516
111,18918.718943
112,20986.462777
113,22993.378993
114,24294.459395
115,26313.695863
116,28725.703904
117,30459.577879
118,1407.301342
119,112.103431
120,112.103431
121,391.523063
122,112.103431
123,112.103431
124,1115.579929
125,2073.577918
126,86963.79682
127,47484.046939
128,36952.144431
129,32021.00301
130,29681.629928
131,26854.988848
132,25374.988679
133,23541.238331
134,22596.554531
135,22200.115703
136,23807.42387
137,25854.935468
138,26139.394638
139,26447.097767
140,27043.855563
141,27835.536607
142,1221.020682
143,298.30976
144,112.103431
145,112.103431
146,112.103431
147,112.103431
148,391.523118
149,112.103431
150,1663.314574
151,2721.918578
152,2626.07794
153,71246.031789
154,34609.471937
155,26723.614195
156,23155.92348
157,19241.818213
158,18231.440942
159,18322.1989
160,21038.625511
161,2667.058992
162,1854.418202
163,254.54626
164,112.103431
165,112.103431
166,403.805091
167,403.824156
168,112.103431
169,112.103431
170,112.103431
171,112.103431
172,112.103431
173,112.103431
174,2047.645207
175,2672.947008
176,2369.864431
177,61410.708235
178,31210.952067
179,25262.317403
180,21630.139297
181,18640.374002
182,18217.445239
183,18393.07824
184,19417.380382
185,2666.77618
186,1689.58038
187,373.505219
188,112.103431
189,112.103431
190,403.805221
191,403.824203
192,112.103431
193,112.103431
194,112.103431
195,112.103431
196,1115.579929
197,2073.577918
198,61822.806944
199,33382.722442
200,26419.365303
201,23189.508789
202,21987.4955
203,20901.235461
204,19791.796621
205,19192.537629
206,19284.05894
207,19242.326738
208,20307.945818
209,22145.471293
210,23468.92445
211,24027.851692
212,24938.502875
213,24709.245843
214,1407.301653
215,403.802461
216,112.103431
217,112.103431
218,112.103431
219,112.103431
220,1115.579929
221,2073.577918
222,73685.239674
223,39734.34675
224,31800.990867
225,27795.330296
226,25254.739472
227,22744.480833
228,21427.486983
229,20938.200482
230,20905.632864
231,20506.744043
232,20810.416765
233,21566.713225
234,21649.059739
235,21656.920537
236,22416.445307
237,22121.351831
238,1407.297063
239,403.813053
240,112.103431
241,112.103431
242,112.103431
243,112.103431
244,1115.579929
245,2073.577918
246,59749.765133
247,31949.615164
248,26129.352292
249,22201.481819
250,19741.64192
251,18547.053396
252,16934.411586
253,16208.410651
254,15847.961904
255,15621.311987
256,16382.924528
257,17574.522472
258,17457.317796
259,17537.725983
260,18889.710683
261,18289.283209
262,1407.293724
263,403.770717
264,112.103431
265,112.103431
266,112.103431
267,112.103431
268,1115.579929
269,2073.577918
270,46131.933433
271,25047.333312
272,21063.979282
273,19695.865426
274,18494.311578
275,17974.010513
276,17653.980743
277,17048.355886
278,15672.972462
279,14441.491609
280,15940.100817
281,17995.671191
282,18713.163152
283,19296.650875
284,20304.832268
285,20532.183311
286,1407.281301
287,403.824608
288,112.103431
289,112.103431
290,112.103431
291,112.103431
292,1115.579929
293,2073.577918
294,55656.253021
295,30006.634762
296,22635.170783
297,19078.279722
298,16931.368644
299,15896.731371
300,15574.23959
301,15432.7489
302,15345.232356
303,15039.141803
304,15769.096428
305,17681.857753
306,18454.891643
307,18938.720343
308,19646.406637
309,20101.967859
310,1407.306465
311,403.810577
312,112.103431
313,112.103431
314,112.103431
315,112.103431
316,112.103431
317,112.103431
318,1663.926438
319,2950.968784
320,2451.290008
321,50176.28544
322,23865.848126
323,19196.091683
324,17507.840824
325,14905.021414
326,15479.700142
327,16420.182198
328,17848.628159
329,2667.167293
330,1889.922604
331,228.974672
332,112.103431
333,112.103431
334,403.805059
335,403.824149
336,112.103431
337,112.103431
338,112.103431
339,112.103431
340,112.103431
341,112.103431
342,2047.686292
343,2672.905795
344,2369.864419
345,67311.170004
346,33337.538915
347,26539.78024
348,23129.937814
349,20364.302859
350,18957.114343
351,19725.029184
352,20474.732916
353,2666.776186
354,1689.584457
355,373.502271
356,112.103431
357,112.103431
358,403.805221
359,403.824203
360,112.103431
361,112.103431
362,112.103431
363,112.103431
364,112.103431
365,112.103431
366,112.103431
367,1115.579929
368,2358.989314
369,61679.84933
370,31447.557702
371,23492.962583
372,20332.738158
373,18814.587706
374,18073.936896
375,18188.46035
376,19052.507189
377,1115.579929
378,112.103431
379,112.103431
380,273.537527
381,236.055546
382,403.812007
383,403.831437
384,112.103431
385,112.103431
386,112.103431
387,112.103431
388,1115.579929
389,2073.577918
390,55604.088675
391,30645.083782
392,24699.049732
393,22810.722296
394,21612.347829
395,20585.252472
396,19089.113324
397,18264.652791
398,17913.358227
399,17465.611943
400,17820.709731
401,18806.512765
402,18906.185856
403,19104.147752
404,19669.310303
405,19956.898228
406,1407.226675
407,403.817347
408,112.103431
409,112.103431
410,112.103431
411,112.103431
412,1115.579929
413,2073.577918
414,56858.152036
415,31699.322969
416,26391.394988
417,24954.52414
418,23464.623331
419,22141.85686
420,21557.218522
421,21579.173427
422,21344.206942
423,22349.827566
424,23713.635607
425,25856.825599
426,26483.509418
427,27309.605838
428,28766.627239
429,29517.618584
430,1407.29859
431,112.103431
432,391.522996
433,112.103431
434,112.103431
435,112.103431
436,1115.579929
437,2073.577918
438,81011.684184
439,45422.950149
440,36411.354797
441,31738.801242
442,29515.867805
443,26532.789352
444,24889.152901
445,22906.454792
446,21776.347676
447,21257.429282
448,22643.736542
449,25490.588772
450,26873.629516
451,27700.413831
452,28941.634348
453,30209.7478
454,1255.854983
455,263.474768
456,112.103431
457,112.103431
458,112.103431
459,391.522988
460,1115.579929
461,2073.577918
462,74309.056641
463,39783.697724
464,31325.216153
465,26809.818979
466,25154.576794
467,23114.195917
468,22258.265468
469,20107.681742
470,19002.510735
471,19908.498383
472,20987.695127
473,22728.962962
474,23440.073291
475,23975.571888
476,25197.497332
477,25923.475581
478,1115.579929
479,403.805103
480,112.103431
481,112.103431
482,112.103431
483,112.103431
484,112.103431
485,112.103431
486,2051.970416
487,2668.495458
488,2369.8322
489,63454.687475
490,32066.361899
491,24041.097863
492,20405.657635
493,17047.401259
494,15853.769846
495,15949.463727
496,17570.256783
497,2666.791374
498,1700.36119
499,365.711449
500,112.103431
501,112.103431
502,403.805215
503,403.824197
504,112.103431
505,112.103431
506,112.103431
507,112.103431
508,112.103431
509,112.103431
510,2047.402197
511,2673.190771
512,2369.864502
513,78613.128703
514,41609.931109
515,34345.017078
516,31193.768308
517,28352.938598
518,27328.111651
519,27996.107933
520,29388.839579
521,2666.776146
522,1689.556264
523,373.522656
524,112.103431
525,112.103431
526,403.805221
527,403.824203
528,112.103431
529,112.103431
530,112.103431
531,112.103431
532,1115.579929
533,2073.577918
534,84934.588086
535,44944.830782
536,35541.769641
537,30919.822459
538,27117.515337
539,24436.052765
540,23023.743333
541,21470.676778
542,20255.343668
543,19728.914921
544,19959.044942
545,20446.120032
546,20419.828139
547,19939.255227
548,20427.372458
549,20423.961191
550,1407.301653
551,403.802461
552,112.103431
553,112.103431
554,112.103431
555,112.103431
556,1115.579929
557,2073.577918
558,67153.837025
559,36963.313726
560,31213.690576
561,28298.923529
562,26323.070056
563,23456.709611
564,21891.064755
565,20322.186399
566,19484.174253
567,19069.640574
568,19884.469416
569,22695.907041
570,23452.986906
571,24093.614978
572,25377.333189
573,25712.880837
574,1407.297063
575,403.813053
576,112.103431
577,112.103431
578,112.103431
579,112.103431
580,1115.579929
581,2073.577918
582,71990.639069
583,38725.491121
584,32131.993374
585,29517.53672
586,27909.047057
587,26967.739568
588,25601.830371
589,25287.939678
590,25391.930628
591,25101.565659
592,25853.818688
593,27010.115666
594,26784.343686
595,26773.403117
596,27507.215951
597,27176.079528
598,1407.293724
599,403.770717
600,112.103431
601,112.103431
602,112.103431
603,112.103431
604,1115.579929
605,2073.577918
606,68551.598939
607,37051.212195
608,30340.724846
609,27906.080312
610,25943.791564
611,24193.309414
612,22648.122775
613,22053.027869
614,20954.98937
615,19888.474437
616,19819.065607
617,21946.865611
618,22693.779699
619,23123.10159
620,24120.571939
621,23967.434458
622,1407.281301
623,403.824608
624,112.103431
625,112.103431
626,112.103431
627,112.103431
628,1115.579929
629,2073.577918
630,66247.220035
631,35713.664801
632,29076.204121
633,25825.601074
634,24050.755507
635,24543.457645
636,23899.773851
637,23563.192265
638,24638.865668
639,24760.631028
640,26019.132894
641,28749.849098
642,29517.990447
643,29937.140068
644,31102.485124
645,31812.620491
646,1407.306465
647,403.810577
648,112.103431
649,112.103431
650,112.103431
651,112.103431
652,112.103431
653,112.103431
654,1663.926438
655,2950.968783
656,2451.290009
657,91577.352592
658,46349.109309
659,35761.380448
660,31528.467723
661,27365.25877
662,26482.918516
663,26155.260636
664,27318.436966
665,2667.167293
666,1889.922603
667,228.974672
668,112.103431
669,112.103431
670,403.805059
671,403.824149
672,112.103431
673,112.103431
674,112.103431
675,112.103431
676,112.103431
677,112.103431
678,2047.686292
679,2672.905795
680,2369.864419
681,92640.285978
682,50421.725361
683,40659.794398
684,37184.969219
685,34914.959477
686,34055.169603
687,34484.86926
688,34758.4952
689,2666.776186
690,1689.584457
691,373.502271
692,112.103431
693,112.103431
694,403.805221
695,403.824203
696,112.103431
697,112.103431
698,112.103431
699,112.103431
700,1115.579929
701,2073.577918
702,113492.553607
703,63689.636898
704,49207.770415
705,44365.662307
706,41798.228043
707,40164.775792
708,39715.50376
709,38378.920197
710,36636.129656
711,35293.973426
712,36345.693636
713,39858.7114
714,42087.542776
715,43325.103894
716,44609.806259
717,44400.608062
718,1407.301653
719,403.802461
720,112.103431
721,112.103431
722,112.103431
723,112.103431
724,1115.579929
725,2073.577918
726,115911.903139
727,64939.502278
728,51201.320045
729,45110.393697
730,41570.423646
731,38216.637269
732,36271.022939
733,34549.531759
734,33285.130506
735,32576.511346
736,32284.83498
737,33157.566958
738,33950.083278
739,34271.194395
740,35010.443869
741,34846.317085
742,1407.297063
743,403.813053
744,112.103431
745,112.103431
746,112.103431
747,112.103431
748,1115.579929
749,2073.577918
750,94203.232515
751,51839.665835
752,41979.366607
753,37740.484132
754,35501.489691
755,33507.589819
756,31403.377516
757,29752.050954
758,29012.179677
759,28721.173646
760,29965.325452
761,32058.610146
762,32876.9019
763,33918.593791
764,35949.946442
765,36563.618336
766,1407.293724
767,403.770717
768,112.103431
769,112.103431
770,112.103431
771,112.103431
772,1115.579929
773,2073.577918
774,102559.110745
775,58593.051329
776,48111.232552
777,44177.358692
778,41691.703271
779,40195.121916
780,38615.644136
781,37344.576492
782,36344.509626
783,34869.577969
784,35385.982052
785,37766.054923
786,38954.295291
787,39945.147418
788,41649.229872
789,42391.1819
790,1407.281301
791,403.824608
792,112.103431
793,112.103431
794,112.103431
795,112.103431
796,1115.579929
797,2073.577918
798,116141.207659
799,66094.086513
800,51461.393593
801,45599.848416
802,42341.248315
803,40240.87233
804,38107.406383
805,36042.073599
806,34245.251365
807,33398.427744
808,34372.054076
809,37434.112829
810,38809.861522
811,40042.445461
812,41471.105811
813,42390.908922
814,1407.306465
815,403.810577
816,112.103431
817,112.103431
818,112.103431
819,112.103431
820,112.103431
821,112.103431
822,1663.926438
823,2950.968784
824,2451.290008
825,110417.37174
826,59451.775294
827,46325.205433
828,41043.513819
829,36259.820047
830,34308.885228
831,34114.166562
832,35856.454846
833,2667.167293
