hours,kW
0,31.192576
1,31.416903
2,31.416956
3,31.192589
4,31.416938
5,31.416983
6,31.426008
7,31.669
8,31.463502
9,31.391876
10,31.217612
11,31.416911
12,31.416952
13,31.192587
14,31.416934
15,31.416979
16,31.1925
17,31.416962
18,31.425831
19,31.42595
20,31.425947
21,31.416942
22,31.192533
23,31.416994
24,31.416954
25,31.32693
26,31.282538
27,31.416955
28,31.416942
29,33.276965
30,33.510287
31,784.934022
32,426.695487
33,367.986383
34,330.263047
35,300.05466
36,386.827322
37,229.960863
38,216.692469
39,195.641421
40,194.536483
41,326.614156
42,41.84791
43,41.847898
44,37.679131
45,37.445672
46,33.501332
47,31.416994
48,31.192525
49,31.416977
50,31.416922
51,31.217081
52,31.392433
53,33.501347
54,33.510467
55,767.33416
56,343.552172
57,325.059274
58,345.734862
59,325.19778
60,587.903401
61,297.075882
62,305.477996
63,307.110983
64,324.957346
65,679.146514
66,41.847791
67,41.847923
68,37.679157
69,37.670069
70,33.501332
71,31.192586
72,31.416931
73,31.416976
74,31.192501
75,31.416959
76,31.41698
77,33.276912
78,33.510349
79,1272.692891
80,688.813986
81,619.975934
82,593.293571
83,580.247368
84,907.676862
85,524.715701
86,445.171521
87,440.705783
88,458.297713
89,832.214769
90,41.847962
91,41.847945
92,37.679177
93,37.445682
94,33.501378
95,31.416955
96,31.336371
97,31.273098
98,31.416947
99,31.416943
100,31.192583
101,33.501302
102,33.510428
103,1516.195917
104,771.395075
105,687.700203
106,529.132279
107,431.22295
108,825.780498
109,409.091348
110,402.933298
111,386.429481
112,457.090218
113,1026.969695
114,41.84783
115,41.847967
116,37.679202
117,37.670098
118,33.501377
119,31.192524
120,31.416977
121,31.416922
122,31.216133
123,31.393381
124,31.416964
125,33.478414
126,33.514613
127,1797.784281
128,1330.148915
129,1006.37121
130,830.184131
131,725.929753
132,1177.999895
133,540.093631
134,542.870712
135,533.948163
136,592.553541
137,1188.148372
138,41.848033
139,41.84802
140,37.679252
141,37.670112
142,33.276919
143,31.416947
144,31.416991
145,31.192523
146,31.416974
147,31.416923
148,31.199538
149,31.409992
150,31.425863
151,31.698481
152,31.435394
153,31.416941
154,31.416985
155,31.192507
156,31.416968
157,31.416937
158,31.192534
159,31.416995
160,31.416955
161,31.336338
162,31.429916
163,31.434676
164,31.434589
165,31.252057
166,31.41693
167,31.416947
168,31.192585
169,31.416929
170,31.416974
171,31.192504
172,31.416957
173,31.416995
174,31.426036
175,31.698475
176,31.435458
177,31.41694
178,31.192582
179,31.416909
180,31.416968
181,31.192521
182,31.41695
183,31.416995
184,31.192525
185,31.416978
186,31.425843
187,31.425965
188,31.425963
189,31.416926
190,31.251064
191,31.358425
192,31.41697
193,31.41693
194,31.192577
195,31.4169
196,31.416958
197,33.276959
198,33.510303
199,1611.996123
200,862.275593
201,662.480162
202,569.654642
203,552.1078
204,862.692682
205,380.310982
206,426.145927
207,425.760219
208,457.973929
209,974.48997
210,41.847929
211,41.847914
212,37.679146
213,37.44565
214,33.501347
215,31.41695
216,31.192532
217,31.416992
218,31.416952
219,31.313755
220,31.295714
221,33.501351
222,33.510481
223,1719.952437
224,1125.940795
225,894.334079
226,763.466063
227,672.713501
228,997.140847
229,532.179996
230,549.649264
231,533.660529
232,533.37424
233,958.382511
234,41.847802
235,41.847937
236,37.679172
237,37.67005
238,33.501346
239,31.19254
240,31.416946
241,31.416991
242,31.192523
243,31.416973
244,31.416924
245,33.278858
246,33.514104
247,1580.422439
248,879.803017
249,760.741005
250,692.145952
251,605.775731
252,799.002252
253,465.090673
254,446.604821
255,434.15499
256,440.271648
257,786.628535
258,41.847974
259,41.847959
260,37.679192
261,37.504044
262,33.442976
263,31.41697
264,31.41693
265,31.192577
266,31.4169
267,31.416958
268,31.192577
269,33.501323
270,33.510273
271,1291.882738
272,719.7837
273,633.299453
274,569.958719
275,522.613671
276,849.350301
277,431.487779
278,363.321411
279,318.743954
280,354.249035
281,749.266267
282,41.847846
283,41.847982
284,37.679216
285,37.670112
286,33.501336
287,31.192532
288,31.416991
289,31.416951
290,31.309133
291,31.300336
292,31.416974
293,33.501322
294,33.510347
295,1509.923591
296,644.699651
297,497.864055
298,417.52404
299,345.332228
300,706.096078
301,364.376577
302,372.363392
303,340.105409
304,356.247845
305,788.992515
306,41.847915
307,41.847909
308,37.679127
309,37.670126
310,33.276883
311,31.41696
312,31.416971
313,31.19253
314,31.416988
315,31.41694
316,31.287359
317,31.322115
318,31.425874
319,31.69843
320,31.435403
321,31.416954
322,31.416999
323,31.192527
324,31.416981
325,31.416925
326,31.246292
327,31.3632
328,31.416969
329,31.416929
330,31.425953
331,31.42595
332,31.425949
333,31.192579
334,31.4169
335,31.416961
336,31.192553
337,31.416944
338,31.416988
339,31.192516
340,31.416971
341,31.416928
342,31.42605
343,31.698638
344,31.435474
345,31.416954
346,31.192589
347,31.416937
348,31.416982
349,31.192501
350,31.416964
351,31.41695
352,31.192532
353,31.416992
354,31.425854
355,31.425979
356,31.425977
357,31.416956
358,31.342192
359,31.267278
360,31.416942
361,31.416944
362,31.192584
363,31.416922
364,31.416972
365,31.192509
366,31.425934
367,31.698406
368,31.51033
369,31.344969
370,31.416972
371,31.416932
372,31.192578
373,31.416899
374,31.41696
375,31.192562
376,31.416942
377,31.416987
378,31.426027
379,31.42601
380,31.426008
381,31.192523
382,31.416974
383,31.416924
384,31.197338
385,31.412194
386,31.416961
387,31.375237
388,31.234243
389,33.501302
390,33.510491
391,1485.997181
392,959.326814
393,818.145178
394,787.116871
395,728.918833
396,957.919963
397,532.160592
398,512.214546
399,492.019218
400,482.897843
401,839.173505
402,41.84781
403,41.847946
404,37.679181
405,37.670076
406,33.501356
407,31.192506
408,31.416955
409,31.417
410,31.192528
411,31.416983
412,31.416927
413,33.339935
414,33.514129
415,1594.874825
416,801.979916
417,717.275649
418,591.865569
419,508.190181
420,909.081386
421,453.844803
422,455.336944
423,483.526327
424,539.258344
425,1118.859445
426,41.847991
427,41.847977
428,37.67921
429,37.625286
430,33.321723
431,31.416921
432,31.416949
433,31.192586
434,31.416931
435,31.416976
436,31.192501
437,33.501342
438,33.510211
439,1758.319451
440,1307.79051
441,956.068368
442,781.31721
443,668.453197
444,1079.418045
445,459.040882
446,449.772963
447,446.061068
448,493.23222
449,1111.576965
450,41.847867
451,41.848001
452,37.679235
453,37.670131
454,33.50131
455,31.255145
456,31.354342
457,31.41697
458,31.416931
459,31.192577
460,31.4169
461,33.501341
462,33.510369
463,1709.837314
464,1089.047323
465,772.757372
466,626.772736
467,551.40944
468,946.12562
469,373.567304
470,365.174401
471,424.030257
472,471.726291
473,969.694442
474,41.84778
475,41.847828
476,37.679056
477,37.67014
478,33.276906
479,31.416975
480,31.416923
481,31.204534
482,31.404991
483,31.416963
484,31.382433
485,31.22705
486,31.425886
487,31.698441
488,31.435412
489,31.416969
490,31.416935
491,31.192534
492,31.416996
493,31.416956
494,31.340661
495,31.268809
496,31.416943
497,31.416944
498,31.425972
499,31.425965
500,31.425964
501,31.192586
502,31.416931
503,31.416976
504,31.192502
505,31.416958
506,31.416984
507,31.192529
508,31.416985
509,31.416933
510,31.426065
511,31.698822
512,31.43549
513,31.416969
514,31.192518
515,31.416951
516,31.416996
517,31.192525
518,31.416978
519,31.416922
520,31.227724
521,31.38178
522,31.425864
523,31.425992
524,31.425991
525,31.41697
526,31.416931
527,31.192577
528,31.4169
529,31.416958
530,31.192572
531,31.416941
532,31.416985
533,33.27689
534,33.510331
535,1762.901181
536,1427.584833
537,1186.19414
538,930.189614
539,818.737173
540,1112.425633
541,622.470406
542,653.663204
543,627.230517
544,609.787723
545,968.568436
546,41.847951
547,41.847933
548,37.679165
549,37.445676
550,33.501366
551,31.416928
552,31.258273
553,31.351212
554,31.416971
555,31.416931
556,31.192577
557,33.501282
558,33.5105
559,1714.576805
560,997.396267
561,844.77342
562,729.277191
563,627.713559
564,959.916474
565,422.94911
566,422.782356
567,404.387996
568,430.087688
569,976.699836
570,41.847819
571,41.847956
572,37.67919
573,37.670086
574,33.501365
575,31.192502
576,31.416965
577,31.416948
578,31.192532
579,31.416992
580,31.416952
581,33.400446
582,33.514267
583,1708.098011
584,1151.723244
585,969.240613
586,877.323258
587,808.939258
588,1207.698355
589,678.974914
590,700.351501
591,687.745847
592,684.759771
593,1196.299368
594,41.848009
595,41.847996
596,37.679228
597,37.670088
598,33.276964
599,31.416909
600,31.416967
601,31.192522
602,31.41695
603,31.416995
604,31.192525
605,33.50136
606,33.510228
607,1686.341203
608,1082.664509
609,898.364443
610,788.136144
611,618.871564
612,991.089001
613,518.804293
614,468.280192
615,409.452256
616,416.445481
617,930.754007
618,41.847888
619,41.84802
620,37.685118
621,37.664389
622,33.501344
623,31.376189
624,31.233291
625,31.416918
626,31.416949
627,31.192586
628,31.416932
629,33.501359
630,33.510391
631,1676.203287
632,992.757551
633,749.102285
634,626.795189
635,645.815782
636,1062.268048
637,493.776747
638,599.142957
639,593.830176
640,610.844761
641,1274.587166
642,41.847739
643,41.847843
644,37.679081
645,37.670111
646,33.276913
647,31.416989
648,31.416946
649,31.297147
650,31.312324
651,31.416977
652,31.416937
653,31.19258
654,31.4259
655,31.698451
656,31.435421
657,31.416983
658,31.416927
659,31.254618
660,31.354869
661,31.41697
662,31.416931
663,31.192577
664,31.4169
665,31.416958
666,31.42599
667,31.42598
668,31.425978
669,31.192546
670,31.416945
671,31.41699
672,31.19252
673,31.416972
674,31.416926
675,31.192536
676,31.416999
677,31.41696
678,31.426079
679,31.699015
680,31.435506
681,31.416982
682,31.192502
683,31.416965
684,31.416948
685,31.192532
686,31.416992
687,31.416952
688,31.31708
689,31.292389
690,31.425874
691,31.426005
692,31.426005
693,31.416941
694,31.416944
695,31.192584
696,31.416923
697,31.416972
698,31.192508
699,31.416954
700,31.416999
701,33.27691
702,33.510345
703,1915.598515
704,1774.481641
705,1561.639934
706,1472.415548
707,1411.963003
708,1651.148117
709,1215.786345
710,1060.029113
711,954.917075
712,946.01127
713,1509.951496
714,41.847959
715,41.847942
716,37.679174
717,37.445681
718,33.501375
719,31.416953
720,31.317457
721,31.292011
722,31.416965
723,31.41694
724,31.192582
725,33.501292
726,33.510471
727,1928.215655
728,1751.928738
729,1537.425005
730,1438.282844
731,1343.787115
732,1586.179875
733,1101.802272
734,1010.901605
735,947.033717
736,908.00127
737,1396.092025
738,41.847827
739,41.847965
740,37.679199
741,37.670095
742,33.501374
743,31.192523
744,31.416974
745,31.416924
746,31.197037
747,31.412495
748,31.416961
749,33.459319
750,33.514511
751,1802.142346
752,1513.075335
753,1355.015685
754,1169.835056
755,1041.359608
756,1425.230119
757,827.366578
758,813.134702
759,799.347557
760,804.464968
761,1362.423342
762,41.848027
763,41.848014
764,37.679247
765,37.670107
766,33.276954
767,31.416941
768,31.416985
769,31.192508
770,31.416968
771,31.416935
772,31.192534
773,33.501378
774,33.510241
775,1861.278232
776,1635.747587
777,1453.777482
778,1374.810723
779,1233.264842
780,1591.905045
781,1122.212104
782,1032.093726
783,921.21761
784,910.552373
785,1478.582907
786,41.851649
787,41.856306
788,37.687461
789,37.544926
790,33.501347
791,31.41694
792,31.192582
793,31.41691
794,31.416968
795,31.19252
796,31.41695
797,33.501378
798,33.510412
799,1943.327338
800,1717.01911
801,1467.251657
802,1335.075181
803,1162.455772
804,1539.594329
805,948.579587
806,871.343342
807,844.378686
808,877.72939
809,1465.73594
810,41.847753
811,41.847873
812,37.679105
813,37.67007
814,33.296968
815,31.396932
816,31.416964
817,31.390484
818,31.219003
819,31.416911
820,31.416952
821,31.192587
822,31.425914
823,31.698463
824,31.43543
825,31.416997
826,31.416957
827,31.347458
828,31.262013
829,31.416938
830,31.416945
831,31.192584
832,31.416925
833,31.416972
834,31.426008
835,31.425995
836,31.425993
837,31.192501
838,31.416959
839,31.416977
840,31.192529
841,31.416987
842,31.416937
843,31.280398
844,31.329077
845,31.416974
846,31.426093
847,31.699096
848,31.4355
849,31.416996
850,31.192526
851,31.416979
852,31.416922
853,31.230551
854,31.378952
855,31.416967
856,31.408449
857,31.201049
858,31.425885
859,31.426019
860,31.426018
861,31.4169
