hours,kW
0,0.000
1,0.000
2,0.00
3,0.00
4,0.000
5,0.000
6,6.000
7,30.000
8,42.000
9,48.000
10,54.000
11,60.000
12,60.000
13,60.000
14,60.000
15,60.000
16,48.000
17,48.000
18,54.000
19,60.000
20,60.000
21,60.000
22,60.000
23,60.000
24,60.000
25,60.000
26,60.000
27,54.000
28,36.000
29,24.000
30,18.000
31,30.000
32,42.000
33,48.000
34,54.000
35,60.000
36,60.000
37,60.000
38,60.000
39,60.000
40,48.000
41,48.000
42,54.000
43,60.000
44,60.000
45,60.000
46,60.000
47,60.000
48,60.000
49,60.000
50,60.000
51,54.000
52,36.000
53,24.000
54,18.000
55,30.000
56,42.000
57,48.000
58,54.000
59,60.000
60,60.000
61,60.000
62,60.000
63,60.000
64,48.000
65,48.000
66,54.000
67,60.000
68,60.000
69,60.000
70,60.000
71,60.000
72,60.000
73,60.000
74,60.000
75,54.000
76,36.000
77,24.000
78,18.000
79,30.000
80,42.000
81,48.000
82,54.000
83,60.000
84,60.000
85,60.000
86,60.000
87,60.000
88,48.000
89,48.000
90,54.000
91,60.000
92,60.000
93,60.000
94,60.000
95,60.000
96,60.000
97,60.000
98,60.000
99,54.000
100,36.000
101,24.000
102,18.000
103,30.000
104,42.000
105,48.000
106,54.000
107,60.000
108,60.000
109,60.000
110,60.000
111,60.000
112,48.000
113,48.000
114,54.000
115,60.000
116,60.000
117,60.000
118,60.000
119,60.000
120,60.000
121,60.000
122,60.000
123,54.000
124,36.000
125,24.000
126,18.000
127,0.000
128,0.000
129,0.000
130,0.000
131,0.000
132,0.000
133,0.000
134,0.000
135,0.000
136,0.000
137,6.000
138,6.000
139,6.000
140,6.000
141,6.000
142,6.000
143,6.000
144,6.000
145,6.000
146,6.000
147,6.000
148,6.000
149,6.000
150,6.000
151,6.000
152,6.000
153,6.000
154,6.000
155,6.000
156,6.000
157,6.000
158,6.000
159,0.000
160,0.000
161,6.000
162,6.000
163,6.000
164,6.000
165,6.000
166,6.000
167,6.000
168,0.000
169,0.000
170,0.000
171,0.00
172,0.00
173,0.000
174,0.000
175,6.000
176,30.000
177,42.000
178,48.000
179,54.000
180,60.000
181,60.000
182,60.000
183,60.000
184,60.000
185,48.000
186,48.000
187,54.000
188,60.000
189,60.000
190,60.000
191,60.000
192,60.000
193,60.000
194,60.000
195,60.000
196,54.000
197,36.000
198,24.000
199,18.000
200,30.000
201,42.000
202,48.000
203,54.000
204,60.000
205,60.000
206,60.000
207,60.000
208,60.000
209,48.000
210,48.000
211,54.000
212,60.000
213,60.000
214,60.000
215,60.000
216,60.000
217,60.000
218,60.000
219,60.000
220,54.000
221,36.000
222,24.000
223,18.000
224,30.000
225,42.000
226,48.000
227,54.000
228,60.000
229,60.000
230,60.000
231,60.000
232,60.000
233,48.000
234,48.000
235,54.000
236,60.000
237,60.000
238,60.000
239,60.000
240,60.000
241,60.000
242,60.000
243,60.000
244,54.000
245,36.000
246,24.000
247,18.000
248,30.000
249,42.000
250,48.000
251,54.000
252,60.000
253,60.000
254,60.000
255,60.000
256,60.000
257,48.000
258,48.000
259,54.000
260,60.000
261,60.000
262,60.000
263,60.000
264,60.000
265,60.000
266,60.000
267,60.000
268,54.000
269,36.000
270,24.000
271,18.000
272,30.000
273,42.000
274,48.000
275,54.000
276,60.000
277,60.000
278,60.000
279,60.000
280,60.000
281,48.000
282,48.000
283,54.000
284,60.000
285,60.000
286,60.000
287,60.000
288,60.000
289,60.000
290,60.000
291,60.000
292,54.000
293,36.000
294,24.000
295,18.000
296,0.000
297,0.000
298,0.000
299,0.000
300,0.000
301,0.000
302,0.000
303,0.000
304,0.000
305,0.000
306,6.000
307,6.000
308,6.000
309,6.000
310,6.000
311,6.000
312,6.000
313,6.000
314,6.000
315,6.000
316,6.000
317,6.000
318,6.000
319,6.000
320,6.000
321,6.000
322,6.000
323,6.000
324,6.000
325,6.000
326,6.000
327,6.000
328,0.000
329,0.000
330,6.000
331,6.000
332,6.000
333,6.000
334,6.000
335,6.000
336,6.000
337,0.000
338,0.000
339,0.000
340,0.00
341,0.00
342,0.000
343,0.000
344,6.000
345,30.000
346,42.000
347,48.000
348,54.000
349,60.000
350,60.000
351,60.000
352,60.000
353,60.000
354,48.000
355,48.000
356,54.000
357,60.000
358,60.000
359,60.000
360,60.000
361,60.000
362,60.000
363,60.000
364,60.000
365,54.000
366,36.000
367,24.000
368,18.000
369,30.000
370,42.000
371,48.000
372,54.000
373,60.000
374,60.000
375,60.000
376,60.000
377,60.000
378,48.000
379,48.000
380,54.000
381,60.000
382,60.000
383,60.000
384,60.000
385,60.000
386,60.000
387,60.000
388,60.000
389,54.000
390,36.000
391,24.000
392,18.000
393,30.000
394,42.000
395,48.000
396,54.000
397,60.000
398,60.000
399,60.000
400,60.000
401,60.000
402,48.000
403,48.000
404,54.000
405,60.000
406,60.000
407,60.000
408,60.000
409,60.000
410,60.000
411,60.000
412,60.000
413,54.000
414,36.000
415,24.000
416,18.000
417,30.000
418,42.000
419,48.000
420,54.000
421,60.000
422,60.000
423,60.000
424,60.000
425,60.000
426,48.000
427,48.000
428,54.000
429,60.000
430,60.000
431,60.000
432,60.000
433,60.000
434,60.000
435,60.000
436,60.000
437,54.000
438,36.000
439,24.000
440,18.000
441,30.000
442,42.000
443,48.000
444,54.000
445,60.000
446,60.000
447,60.000
448,60.000
449,60.000
450,48.000
451,48.000
452,54.000
453,60.000
454,60.000
455,60.000
456,60.000
457,60.000
458,60.000
459,60.000
460,60.000
461,54.000
462,36.000
463,24.000
464,18.000
465,0.000
466,0.000
467,0.000
468,0.000
469,0.000
470,0.000
471,0.000
472,0.000
473,0.000
474,0.000
475,6.000
476,6.000
477,6.000
478,6.000
479,6.000
480,6.000
481,6.000
482,6.000
483,6.000
484,6.000
485,6.000
486,6.000
487,6.000
488,6.000
489,6.000
490,6.000
491,6.000
492,6.000
493,6.000
494,6.000
495,6.000
496,6.000
497,0.000
498,0.000
499,6.000
500,6.000
501,6.000
502,6.000
503,6.000
504,6.000
505,6.000
506,0.000
507,0.000
508,0.000
509,0.00
510,0.00
511,0.000
512,0.000
513,6.000
514,30.000
515,42.000
516,48.000
517,54.000
518,60.000
519,60.000
520,60.000
521,60.000
522,60.000
523,48.000
524,48.000
525,54.000
526,60.000
527,60.000
528,60.000
529,60.000
530,60.000
531,60.000
532,60.000
533,60.000
534,54.000
535,36.000
536,24.000
537,18.000
538,30.000
539,42.000
540,48.000
541,54.000
542,60.000
543,60.000
544,60.000
545,60.000
546,60.000
547,48.000
548,48.000
549,54.000
550,60.000
551,60.000
552,60.000
553,60.000
554,60.000
555,60.000
556,60.000
557,60.000
558,54.000
559,36.000
560,24.000
561,18.000
562,30.000
563,42.000
564,48.000
565,54.000
566,60.000
567,60.000
568,60.000
569,60.000
570,60.000
571,48.000
572,48.000
573,54.000
574,60.000
575,60.000
576,60.000
577,60.000
578,60.000
579,60.000
580,60.000
581,60.000
582,54.000
583,36.000
584,24.000
585,18.000
586,30.000
587,42.000
588,48.000
589,54.000
590,60.000
591,60.000
592,60.000
593,60.000
594,60.000
595,48.000
596,48.000
597,54.000
598,60.000
599,60.000
600,60.000
601,60.000
602,60.000
603,60.000
604,60.000
605,60.000
606,54.000
607,36.000
608,24.000
609,18.000
610,30.000
611,42.000
612,48.000
613,54.000
614,60.000
615,60.000
616,60.000
617,60.000
618,60.000
619,48.000
620,48.000
621,54.000
622,60.000
623,60.000
624,60.000
625,60.000
626,60.000
627,60.000
628,60.000
629,60.000
630,54.000
631,36.000
632,24.000
633,18.000
634,0.000
635,0.000
636,0.000
637,0.000
638,0.000
639,0.000
640,0.000
641,0.000
642,0.000
643,0.000
644,6.000
645,6.000
646,6.000
647,6.000
648,6.000
649,6.000
650,6.000
651,6.000
652,6.000
653,6.000
654,6.000
655,6.000
656,6.000
657,6.000
658,6.000
659,6.000
660,6.000
661,6.000
662,6.000
663,6.000
664,6.000
665,6.000
666,0.000
667,0.000
668,6.000
669,6.000
670,6.000
671,6.000
672,6.000
673,6.000
674,6.000
675,0.000
676,0.000
677,0.000
678,0.00
679,0.00
680,0.000
681,0.000
682,6.000
683,30.000
684,42.000
685,48.000
686,54.000
687,60.000
688,60.000
689,60.000
690,60.000
691,60.000
692,48.000
693,48.000
694,54.000
695,60.000
696,60.000
697,60.000
698,60.000
699,60.000
700,60.000
701,60.000
702,60.000
703,54.000
704,36.000
705,24.000
706,18.000
707,30.000
708,42.000
709,48.000
710,54.000
711,60.000
