hours,kW
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,1.510900
9,3.050100
10,2.541450
11,4.573050
12,3.320750
13,0.638150
14,1.891950
15,0.635850
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,1.917800
33,7.737950
34,29.317150
35,33.361550
36,34.004550
37,31.421400
38,25.694900
39,16.255400
40,2.793300
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,4.682900
57,21.327400
58,24.617350
59,31.96250
60,32.502700
61,30.271650
62,24.662800
63,15.673400
64,2.87950
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0.167200
81,0.68900
82,1.125450
83,4.696850
84,33.09700
85,30.635950
86,25.069950
87,16.072800
88,2.923800
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,10.212450
105,21.371100
106,27.621850
107,31.406100
108,31.924800
109,29.822250
110,24.409350
111,12.908650
112,3.245300
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,9.598400
129,20.321950
130,27.37700
131,31.047300
132,31.858150
133,4.553850
134,3.460050
135,4.485650
136,0.484050
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,2.456850
153,6.307950
154,6.321600
155,7.55900
156,12.162250
157,10.921100
158,23.311400
159,14.692950
160,3.291200
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,3.446300
177,17.02650
178,24.576100
179,27.017200
180,28.046050
181,26.227250
182,24.704450
183,16.268700
184,4.094950
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,2.715850
201,9.117300
202,2.214750
203,0.968750
204,4.726400
205,6.899250
206,2.040600
207,14.790400
208,3.936100
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,3.294950
225,17.461450
226,23.728600
227,28.611650
228,29.18600
229,29.288400
230,14.779850
231,10.986650
232,2.953650
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,2.028300
249,6.832400
250,12.233100
251,5.87800
252,0.192700
253,2.659450
254,0.542200
255,14.144800
256,3.686800
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0.044150
273,2.689200
274,18.727400
275,17.802850
276,29.69200
277,27.670400
278,22.849650
279,15.29150
280,4.564850
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,3.546100
297,0.08400
298,1.146550
299,3.986400
300,16.67150
301,9.958100
302,7.918600
303,5.467750
304,1.146250
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0.440850
321,0.193650
322,3.407550
323,17.57350
324,11.157200
325,6.337450
326,9.404100
327,4.672450
328,0.924800
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0.19650
345,2.070550
346,3.353700
347,5.200800
348,11.042750
349,10.345850
350,3.417450
351,1.381200
352,1.904900
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0.130050
370,0.710300
371,2.060150
372,1.928400
373,1.374150
374,1.581750
375,2.212700
376,0.357400
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0.347900
393,2.628900
394,6.739800
395,3.425100
396,6.650650
397,10.732300
398,2.506600
399,1.508600
400,0.61850
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,11.281100
417,22.61700
