hours,kW
0,633.528803
1,821.262873
2,687.900697
3,821.262873
4,821.262873
5,687.900697
6,821.262873
7,634.144047
8,438.40893
9,571.771105
10,571.771105
11,438.40893
12,571.771105
13,477.90407
14,438.40893
15,477.90407
16,602.649954
17,687.900697
18,727.395838
19,727.395838
20,687.900697
21,727.395838
22,727.395838
23,687.900697
24,727.395838
25,727.395838
26,687.900697
27,727.395838
28,727.395838
29,687.900697
30,956.739524
31,1312.977459
32,1765.658252
33,2080.724381
34,2080.724381
35,2080.724381
36,1909.039803
37,2080.724381
38,2080.724381
39,2080.724381
40,2205.470265
41,871.83881
42,539.661768
43,539.661768
44,500.166627
45,539.661768
46,539.661768
47,500.166627
48,539.661768
49,539.661768
50,500.166627
51,587.67101
52,727.395838
53,735.909939
54,956.739524
55,1312.977459
56,1765.658252
57,2080.724381
58,2080.724381
59,2080.724381
60,1909.039803
61,2080.724381
62,2080.724381
63,2080.724381
64,2205.470265
65,1059.57288
66,821.262873
67,821.262873
68,687.900697
69,821.262873
70,821.262873
71,687.900697
72,821.262873
73,821.262873
74,687.900697
75,821.262873
76,821.262873
77,687.900697
78,956.739524
79,1312.977459
80,1765.658252
81,2080.724381
82,2080.724381
83,2080.724381
84,1909.039803
85,2080.724381
86,2080.724381
87,2080.724381
88,2205.470265
89,1059.57288
90,821.262873
91,821.262873
92,698.066217
93,837.276676
94,837.276676
95,703.9145
96,837.276676
97,837.276676
98,703.9145
99,837.276676
100,837.276676
101,703.9145
102,971.968872
103,1327.939673
104,1780.353331
105,2096.215214
106,2095.419461
107,2095.686595
108,1923.206264
109,2095.419461
110,2096.209565
111,2095.675298
112,2220.688315
113,1075.586682
114,837.276676
115,837.276676
116,703.9145
117,837.276676
118,837.276676
119,703.9145
120,837.276676
121,837.276676
122,703.9145
123,837.276676
124,837.276676
125,703.9145
126,971.963223
127,1327.939673
128,1780.614816
129,2095.94808
130,2096.476699
131,2096.47105
132,1925.053606
133,2096.209565
134,2096.476699
135,2095.680946
136,2221.484068
137,1075.586682
138,837.276676
139,837.276676
140,703.9145
141,837.276676
142,837.276676
143,703.9145
144,837.276676
145,837.276676
146,703.9145
147,837.276676
148,837.276676
149,703.9145
150,837.276676
151,785.111531
152,751.297452
153,1008.904811
154,1008.120355
155,1008.643326
156,722.732941
157,722.994426
158,723.000074
159,722.994426
160,579.168616
161,837.276676
162,837.276676
163,703.9145
164,837.276676
165,837.276676
166,703.9145
167,837.276676
168,837.276676
169,703.9145
170,837.276676
171,837.276676
172,703.9145
173,837.276676
174,837.276676
175,516.795674
176,587.784908
177,587.784908
178,454.422732
179,587.784908
180,587.784908
181,454.422732
182,587.784908
183,587.784908
184,579.168616
185,837.276676
186,837.276676
187,703.9145
188,837.276676
189,837.276676
190,703.9145
191,837.276676
192,837.276676
193,703.9145
194,837.276676
195,837.276676
196,703.9145
197,837.276676
198,972.491842
199,1328.468292
200,1781.40492
201,2096.738184
202,2096.209565
203,2095.942431
204,1924.002017
205,2095.413812
206,2095.942431
207,2095.686595
208,2220.421181
209,1075.586682
210,837.276676
211,837.276676
212,703.9145
213,837.276676
214,837.276676
215,703.9145
216,837.276676
217,837.276676
218,703.9145
219,837.276676
220,837.276676
221,703.9145
222,972.753327
223,1328.991262
224,1781.672054
225,2096.738184
226,2095.675298
227,2095.953729
228,1924.792121
229,2095.680946
230,2096.209565
231,2095.94808
232,2220.693964
233,1075.586682
234,837.276676
235,837.276676
236,703.9145
237,837.276676
238,837.276676
239,703.9145
240,837.276676
241,837.276676
242,703.9145
243,837.276676
244,837.276676
245,703.9145
246,972.753327
247,1328.729777
248,1781.149084
249,2096.476699
250,2093.464385
251,2082.511271
252,1909.039803
253,2080.724381
254,2080.724381
255,2080.724381
256,2205.470265
257,1059.57288
258,831.323797
259,837.276676
260,703.9145
261,837.276676
262,837.276676
263,703.9145
264,837.276676
265,837.276676
266,703.9145
267,837.276676
268,837.276676
269,703.9145
270,971.428955
271,1327.14392
272,1780.88195
273,2095.942431
274,2095.680946
275,2095.942431
276,1924.263502
277,2095.94808
